r_cntr,object_id,ngood,flags,smss_j,raj2000,dej2000,e_raj2000,e_dej2000,mean_epoch,nimaflags,class_star,u_psf,e_u_psf,u_petro,e_u_petro,u_apc05,e_u_apc05,v_psf,e_v_psf,v_petro,e_v_petro,v_apc05,e_v_apc05,g_psf,e_g_psf,g_petro,e_g_petro,g_apc05,e_g_apc05,r_psf,e_r_psf,r_petro,e_r_petro,r_apc05,e_r_apc05,i_psf,e_i_psf,i_petro,e_i_petro,i_apc05,e_i_apc05,z_psf,e_z_psf,z_petro,e_z_petro,z_apc05,e_z_apc05,self_dist1,self_id1
210.79,2618873814,0,528,100101.12-544524.5,150.254705,-54.756833,36,36,59329.4051,0,0.0,16.3575,,,,17.9855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.76,430151923
210.88,430155810,6,0,100058.58-544951.3,150.243977,-54.830874,36,65,58395.9535,0,0.828,,,,,,,,,,,,,,,,,,,19.6731,0.0439,19.9239,0.1235,19.7017,0.0903,18.7657,0.0221,18.8664,0.1014,18.7917,0.0502,18.2508,0.0365,18.2754,0.0926,18.1998,0.0652,10.54,430155813
210.91,430152020,13,0,100054.20-544427.0,150.225905,-54.740719,50,86,58275.3818,0,0.685,,,,,,,,,,,,,,,,,,,19.4801,0.0217,19.8022,0.1558,19.4644,0.0558,18.5837,0.0451,18.5853,0.0689,18.4404,0.0382,17.9569,0.0889,18.2444,0.0783,17.9289,0.0459,5.47,430152048
211.01,430159489,1,1,100045.32-544356.5,150.188798,-54.732323,36,36,57743.6914,0,0.509,,,,,,,,,,,,,,,,,,,,,,,,,19.2021,0.2093,19.3592,0.1605,19.4313,0.1332,,,,,,,4.46,430159488
211.04,430157145,14,3,100023.59-544951.5,150.098213,-54.830934,36,78,58327.4843,0,0.704,,,,,,,,,,,,,19.3979,0.0442,19.5957,0.0997,19.384,0.0391,18.6855,0.0564,18.9074,0.107,18.7084,0.0385,18.0832,0.0648,18.2705,0.0675,18.0476,0.0247,17.8071,0.064,17.9554,0.1282,17.7256,0.036,6.82,430157143
211.21,430163429,28,2,100027.77-544427.1,150.115694,-54.740843,36,43,58045.9818,0,0.981,,,,,,,,,,,,,19.103,0.0501,19.0619,0.0802,19.1462,0.0335,18.1252,0.0259,18.0814,0.0623,18.1332,0.0281,17.2749,0.0133,17.263,0.0289,17.287,0.0168,16.7978,0.0175,16.7508,0.0356,16.7864,0.0198,5.11,430163428
211.43,2618879228,3,3,100048.36-545045.9,150.201504,-54.846096,49,36,58831.6968,0,0.943,,,,,,,,,,,,,,,,,,,,,,,,,18.374,0.0402,18.4369,0.1602,18.3872,0.082,18.0699,0.0581,18.0474,0.1083,18.017,0.0823,2.22,2618879227
211.48,430155738,6,3,100059.89-544939.4,150.249517,-54.82757,54,36,57329.0529,0,0.878,,,,,,,,,,,,,,,,,,,,,,,,,17.7646,0.1504,17.9141,0.1106,17.9364,0.0896,17.5164,0.0493,17.3035,0.1391,17.5149,0.0411,5.96,430155808
211.75,430163912,12,0,100016.60-544727.1,150.069093,-54.790807,36,36,58117.8768,0,0.906,,,,,,,,,,,,,20.0038,0.0663,20.017,0.1105,20.0477,0.0764,19.1519,0.1167,19.0043,0.0777,19.1897,0.062,18.4571,0.0245,18.4853,0.1058,18.6036,0.0337,18.1616,0.0445,18.3316,0.0672,18.2452,0.0549,5.78,430163913
211.75,430163810,13,3,100017.85-544617.0,150.074386,-54.771368,36,36,58119.2821,0,0.965,,,,,,,,,,,,,19.447,0.049,19.294,0.0732,19.456,0.0497,18.7878,0.0249,18.7862,0.0607,18.7747,0.0483,18.1741,0.0129,18.2502,0.0546,18.1777,0.026,17.8664,0.0237,17.9073,0.0726,17.8551,0.0419,6.77,430163809
