r_cntr,object_id,ngood,flags,smss_j,raj2000,dej2000,e_raj2000,e_dej2000,mean_epoch,nimaflags,class_star,u_psf,e_u_psf,u_petro,e_u_petro,u_apc05,e_u_apc05,v_psf,e_v_psf,v_petro,e_v_petro,v_apc05,e_v_apc05,g_psf,e_g_psf,g_petro,e_g_petro,g_apc05,e_g_apc05,r_psf,e_r_psf,r_petro,e_r_petro,r_apc05,e_r_apc05,i_psf,e_i_psf,i_petro,e_i_petro,i_apc05,e_i_apc05,z_psf,e_z_psf,z_petro,e_z_petro,z_apc05,e_z_apc05,self_dist1,self_id1
6.12,430155918,3,513,100040.54-544728.2,150.168851,-54.791141,36,60,57225.8298,0,0.891,,,,,,,,,,,,,18.1593,0.0725,18.4647,0.1615,18.4353,0.1481,17.836,0.0461,18.3637,0.1485,18.1425,0.1007,17.2625,,17.6271,,17.3774,,,,,,,,6.97,430155919
9.76,430155910,20,3,100040.84-544714.5,150.170108,-54.787389,73,73,57799.3912,3,0.674,16.5441,0.1125,16.2872,0.0771,16.8,0.0268,15.958,0.1321,15.8003,0.0309,16.3152,0.0216,14.8592,0.1545,14.8589,0.0735,15.327,0.0144,14.3912,0.1707,14.4629,0.0792,14.8366,0.0183,13.8836,0.1981,13.9809,0.1372,14.4465,0.0194,,,,,,,5.81,2618878241
11.09,430155911,43,3,100042.33-544722.3,150.17638,-54.789571,36,36,58339.1293,10,0.997,14.4596,0.0153,14.4669,0.0153,14.458,0.0157,14.3927,0.0097,14.3917,0.0196,14.3988,0.0102,13.4251,0.0126,13.3805,0.0224,13.4326,0.0129,12.798,0.016,12.7484,0.0457,12.8018,0.0145,12.2439,0.0189,12.2271,0.0245,12.2516,0.0183,12.0353,0.0152,11.9613,0.0287,12.0344,0.0162,8.29,430155909
11.12,2618878241,10,3,100040.17-544716.1,150.167402,-54.787806,36,69,58873.1498,1,0.836,15.1173,0.1166,14.8766,0.0585,15.7654,0.1075,14.6212,0.1263,14.41,0.0337,15.3795,0.0874,13.0587,0.2745,13.2877,0.0121,14.3888,0.1345,,,,,,,,,,,,,,,,,,,1.74,430155952
11.51,430155953,13,3,100039.89-544719.0,150.16621,-54.788534,44,36,58269.2704,6,0.061,,,,,,,,,,,,,12.5746,0.2789,12.8142,0.0146,14.9012,0.0251,12.4909,0.4127,12.3914,0.0146,14.1533,0.179,11.9249,0.2239,11.8645,0.0154,13.9176,0.2798,11.3993,0.1308,11.5751,0.0466,13.8418,0.1093,2.62,430155952
12.13,430155919,25,3,100039.72-544727.8,150.165501,-54.791006,36,42,58157.3248,3,0.691,17.3276,0.0489,17.2045,0.0538,17.4197,0.0286,16.7495,0.0685,16.5786,0.0549,16.918,0.0214,15.5151,0.133,15.3462,0.027,15.8713,0.0164,14.9629,0.1458,14.6761,0.1749,15.3985,0.0168,14.4699,0.1913,14.3488,0.0494,14.9926,0.0208,14.2351,0.3503,14.21,0.0473,14.7113,0.0384,4.14,1524774824
12.32,430155952,23,3,100039.95-544716.2,150.166564,-54.787835,222,36,57948.4018,3,0.979,15.3367,0.0496,15.1984,0.0436,15.3408,0.0481,14.8603,0.0412,14.6766,0.0305,14.8618,0.0332,13.9156,0.0344,13.744,0.0261,13.9452,0.0283,13.445,0.0391,13.2409,0.0513,13.4538,0.0291,13.0872,0.0573,12.8483,0.1262,13.0774,0.048,12.4157,0.2803,12.0695,0.0297,12.8389,0.0355,1.74,2618878241
12.46,430155920,30,3,100041.25-544736.6,150.171786,-54.793478,37,38,58079.547,7,0.997,16.9802,0.0577,17.4569,0.0666,17.1567,0.077,17.9364,0.0361,18.4319,0.0774,17.9419,0.0347,13.8779,0.0112,13.8118,0.0272,13.8915,0.0102,12.4501,0.0116,12.4477,0.0147,12.4511,0.013,11.2042,0.0106,11.206,0.0105,11.2029,0.0133,10.4434,0.0146,10.4245,0.0201,10.4384,0.0173,1.54,2618878203
13.01,2618878203,6,0,100041.06-544737.1,150.171108,-54.793655,128,132,58878.3525,0,0.973,17.0274,0.0401,17.2245,0.0885,17.0601,0.0313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.54,430155920
13.26,430155914,15,3,100042.07-544734.2,150.175293,-54.792819,36,36,58042.5794,1,0.911,18.1456,0.0345,18.4195,0.0864,18.1957,0.0422,17.5909,0.0236,17.6017,0.0725,17.6095,0.0215,16.4809,0.0341,16.4384,0.0572,16.4722,0.0225,15.9364,0.0506,15.8623,0.0555,15.9175,0.0247,,,,,,,,,,,,,6.39,2618878196
14.2,1524774824,3,27,100039.17-544725.1,150.164261,-54.790107,992,559,58649.628,476,0.03,16.3674,0.3507,16.0311,0.0576,17.3116,0.0558,,,,,,,14.3784,0.255,13.9832,0.1593,15.8938,0.0385,14.3029,,13.5062,,15.8834,,13.6827,,12.9938,,16.1027,,,,,,,,4.14,430155919
17.1,430155909,13,3,100042.96-544728.6,150.179051,-54.791282,47,56,57665.9535,7,0.947,17.7968,0.0697,17.7736,0.151,17.8514,0.1042,17.4032,0.0287,17.2955,0.0955,17.3997,0.0346,16.4082,0.0231,16.3414,0.0321,16.4242,0.022,15.9325,0.0311,15.8069,0.0273,15.9376,0.0211,15.5095,0.0595,15.2927,0.1005,15.5333,0.0273,15.2744,0.0587,15.1244,0.0604,15.2743,0.0455,8.29,430155911
18.11,430155640,1,3,100042.60-544709.9,150.177037,-54.786355,36,36,57054.5376,0,0.695,,,,,,,,,,,,,,,,,,,,,,,,,17.6868,0.0612,18.0917,0.1717,17.9093,0.1551,,,,,,,2.05,2618877885
19.14,430155951,1,3,100040.02-544707.0,150.166754,-54.785352,36,36,56755.4498,0,0.86,,,,,,,,,,,,,,,,,,,,,,,,,17.3339,0.2064,17.2927,0.1053,17.3684,0.0861,,,,,,,2.16,2618878240
19.22,430155962,31,3,100038.87-544725.6,150.161871,-54.790469,70,36,58185.8854,2,0.98,16.7126,0.0228,16.5669,0.0478,16.7333,0.0208,16.272,0.0187,16.0716,0.0842,16.3185,0.0218,15.2424,0.0414,15.095,0.0672,15.3385,0.0736,14.7635,0.0483,14.5927,0.1001,14.8683,0.0753,14.3908,0.055,14.255,0.0192,14.4333,0.0193,14.1156,0.1136,13.9978,0.0353,14.1535,0.0366,5.13,1524774824
19.47,430155954,0,19,100039.20-544715.6,150.16268,-54.787658,36,36,57053.6257,0,0.973,,,,,,,,,,,,,,,,,,,,,,,,,15.3676,,15.6415,,15.6933,,,,,,,,4.03,430155961
19.49,2618878196,0,25,100042.68-544737.6,150.177856,-54.7938,36,36,57743.6914,8,0.789,,,,,,,,,,,,,,,,,,,,,,,,,18.7425,,18.7219,,18.7173,,,,,,,,6.39,430155914
19.85,430155642,23,3,100041.91-544705.3,150.174751,-54.784945,89,148,58168.2608,1,0.905,18.4575,0.0703,18.2806,0.0969,18.4432,0.0928,17.8347,0.0289,17.8087,0.0688,17.8778,0.0339,16.6651,0.0634,16.3898,0.0311,16.7665,0.0212,15.9694,0.0852,15.7506,0.0726,16.1412,0.0188,15.291,0.1298,15.3116,0.0321,15.5296,0.0193,14.8722,0.1393,14.825,0.0726,15.0524,0.0358,6.02,430155639
20.05,430155961,13,3,100038.83-544719.1,150.161752,-54.788642,36,36,57633.8106,0,0.906,17.7179,0.0537,17.5982,0.059,17.738,0.065,17.2258,0.0703,17.1061,0.1432,17.3169,0.0982,16.1223,0.0625,15.9608,0.0299,16.1716,0.0285,15.5773,0.0757,15.4332,0.0526,15.6599,0.0195,15.0803,0.132,14.8009,0.1329,15.2906,0.0458,,,,,,,4.03,430155954
20.13,2618877885,6,3,100042.62-544709.1,150.177596,-54.785887,164,36,57325.5261,0,0.797,,,,,,,,,,,,,,,,,,,17.4779,0.1976,17.4586,0.1201,17.6407,0.066,17.371,0.0485,17.0498,0.4895,17.2191,0.1839,16.1515,0.3137,16.1996,0.1144,16.5919,0.0731,2.05,430155640
21.25,2618878240,5,3,100039.85-544705.6,150.166079,-54.784895,172,523,57439.5416,0,0.593,,,,,,,,,,,,,,,,,,,,,,,,,16.9436,0.1997,16.9816,0.1436,17.1127,0.1052,16.3492,0.2225,16.3067,0.0768,16.6306,0.2254,2.16,430155951
23.25,2618878244,0,17,100038.87-544710.5,150.161996,-54.786276,36,36,57053.626,0,0.548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.9933,,17.2357,,17.6459,,5.17,430155954
23.32,430155940,23,1,100039.91-544745.2,150.166297,-54.795896,36,43,58079.2333,2,0.903,,,,,,,18.0917,0.0482,18.4236,0.1182,18.0566,0.0468,16.9673,0.0292,17.0476,0.0543,16.9232,0.023,16.5176,0.0279,16.841,0.0985,16.4623,0.0216,16.0977,0.0299,16.3352,0.0821,16.0517,0.0239,15.7678,0.063,16.0267,0.0641,15.7441,0.029,12.01,430155941
24.21,430155913,4,512,100043.47-544736.7,150.181102,-54.793499,44,62,57108.2351,0,0.823,,,,,,,,,,,,,18.2254,,18.9378,,18.4611,,17.7998,0.0247,17.9814,0.1163,17.8447,0.077,17.2914,0.0287,17.9454,0.2353,17.3269,0.0843,17.0371,0.0495,17.5101,0.1856,17.0066,0.0807,6.82,2618878196
24.56,430155917,6,1,100041.91-544747.6,150.174653,-54.796548,36,36,57510.8684,0,0.943,,,,,,,,,,,,,,,,,,,18.0577,0.0636,18.2504,0.2517,18.0944,0.0954,17.3995,0.0341,17.5547,0.1223,17.5278,0.061,16.9032,0.2843,17.0435,0.1327,17.1508,0.1266,4.5,430155937
24.81,2618877884,3,513,100043.29-544708.5,150.180375,-54.785695,36,59,58083.8179,1,0.892,,,,,,,,,,,,,18.1658,0.1057,18.6931,0.1906,18.2857,0.0963,17.3827,,18.1447,,17.6974,,17.1467,0.0423,17.8241,0.2869,17.1873,0.1115,16.7393,,17.5623,,16.9571,,5.81,2618877885
25.14,430155907,34,3,100043.97-544725.4,150.183193,-54.790407,36,88,58168.3278,1,0.946,16.8676,0.0244,16.8287,0.0361,16.8846,0.0253,16.3399,0.0168,16.2777,0.0244,16.3595,0.0123,15.2941,0.0347,15.2367,0.0212,15.3922,0.0197,14.8521,0.0387,14.8052,0.024,14.9179,0.0163,14.4758,0.091,14.4752,0.0228,14.5662,0.0195,14.1904,0.0859,14.1591,0.021,14.2739,0.0237,4.85,430155908
25.29,430155673,3,1,100040.11-544700.4,150.167028,-54.78342,36,36,58469.0297,0,0.906,,,,,,,,,,,,,,,,,,,,,,,,,18.3931,0.0317,18.5747,0.0853,18.4021,0.0474,17.8878,0.0496,18.1157,0.1134,17.8619,0.0777,5.66,2618878240
25.83,430155639,6,3,100042.30-544700.7,150.176191,-54.783492,55,47,57325.5264,0,0.979,,,,,,,,,,,,,,,,,,,,,,,,,16.3458,0.0251,16.3827,0.0506,16.3686,0.0275,15.7137,0.088,14.3901,0.7649,15.7128,0.0281,4.58,430155637
25.97,2618878256,0,529,100038.19-544731.8,150.159146,-54.792169,36,36,56904.5377,0,0.337,,,,,,,,,,,,,,,,,,,,,,,,,17.3615,,17.4418,,17.8893,,,,,,,,8.33,430155962
28.24,430155916,11,3,100042.60-544749.2,150.177427,-54.796985,53,42,57536.1844,0,0.963,,,,,,,,,,,,,17.8936,0.0699,17.9918,0.2449,17.9385,0.0525,17.4254,0.0383,17.4124,0.1186,17.454,0.0493,16.9879,0.0248,17.1511,0.0687,17.0127,0.041,16.8607,0.0749,17.2105,0.1763,16.9392,0.1065,2.83,430155915
28.31,430155941,30,3,100038.56-544742.4,150.160672,-54.79511,36,36,58185.2129,2,0.984,16.9926,0.0188,17.1261,0.0276,16.9953,0.0209,16.5597,0.0121,16.7126,0.0359,16.5612,0.0136,15.5384,0.0147,15.6367,0.0142,15.5296,0.0135,15.0588,0.0131,15.136,0.0171,15.0512,0.0144,14.6787,0.0198,14.7347,0.0213,14.6766,0.0239,,,,,,,11.05,2618878256
28.83,430155908,1,3,100044.35-544729.0,150.18479,-54.791392,36,36,56755.4498,0,0.923,,,,,,,,,,,,,,,,,,,,,,,,,16.9888,0.0412,16.9794,0.0818,16.9999,0.0667,,,,,,,4.85,430155907
28.92,430155937,1,1,100041.94-544752.0,150.174716,-54.797797,36,36,58166.5915,0,0.835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.9234,0.0585,16.8695,0.2276,16.9381,0.1064,4.5,430155917
29.14,430155938,47,3,100041.21-544753.3,150.171672,-54.798128,36,44,58233.7778,9,0.984,14.5629,0.0153,14.556,0.0154,14.5689,0.0158,13.9657,0.0093,13.9555,0.0089,13.9756,0.0097,13.4348,0.0126,13.3389,0.0422,13.522,0.0444,13.4083,0.0217,13.2341,0.0787,13.5455,0.0778,13.4559,0.032,13.237,0.0916,13.606,0.1137,13.4456,0.045,13.3489,0.0205,13.4875,0.0195,6.43,430155937
29.87,2618878248,2,1043,100038.41-544705.0,150.160052,-54.784723,47,70,58831.6968,0,0.541,,,,,,,,,,,,,,,,,,,,,,,,,18.1707,0.101,18.5178,0.109,18.0941,0.0396,17.7226,,18.0351,,17.6882,,3.84,430155955
29.92,430155915,13,3,100043.00-544749.5,150.17878,-54.797074,345,40,57847.164,0,0.945,,,,,,,,,,,,,,,,,,,17.4279,0.0546,17.4639,0.1219,17.4448,0.0683,16.6517,0.0327,16.6798,0.0941,16.6445,0.0312,16.0003,0.1081,16.1214,0.0652,16.1605,0.0288,2.83,430155916
30.4,430155637,29,3,100042.34-544653.6,150.177303,-54.782392,36,56,58162.5623,0,0.972,17.7505,0.0343,17.7813,0.0694,17.7507,0.0315,17.2791,0.0152,17.1613,0.0307,17.2822,0.0181,16.1519,0.0209,15.9249,0.0467,16.1796,0.0162,15.631,0.0417,15.3043,0.0177,15.6621,0.0161,15.1645,0.0507,14.9444,0.0925,15.2207,0.04,14.9073,0.0624,14.6247,0.1787,14.9685,0.0407,3.24,2618877881
30.49,430155635,53,3,100044.43-544714.9,150.185034,-54.787364,58,120,58284.3122,9,0.98,15.6927,0.0211,15.5988,0.0233,15.7364,0.0155,15.4116,0.0198,15.2513,0.0189,15.4544,0.01,14.1273,0.0735,14.1029,0.0193,14.4673,0.0181,13.7717,0.0308,13.4557,0.1089,13.8516,0.0279,13.2667,0.0249,12.8866,0.1069,13.3072,0.0264,12.9205,0.0312,12.5925,0.1051,13.0813,0.0362,4.22,430155634
30.69,430155634,6,3,100044.25-544710.5,150.184351,-54.786261,36,43,57510.8684,0,0.337,,,,,,,,,,,,,,,,,,,15.2661,0.0993,15.3118,0.097,15.3182,0.0437,14.7754,0.0943,14.8322,0.0293,14.8409,0.0192,14.5397,0.191,14.548,0.0374,14.5718,0.0377,4.22,430155635
31.46,430155955,4,1043,100038.58-544701.5,150.160646,-54.783714,48,77,58504.8899,0,0.953,,,,,,,,,,,,,,,,,,,,,,,,,17.9272,0.0313,18.0553,0.0339,17.8807,0.0255,17.5134,,17.7804,,17.4495,,3.84,2618878248
32.14,2618877881,7,3,100042.33-544653.9,150.176412,-54.781653,150,380,58574.8871,1,0.029,,,,,,,,,,,,,15.6066,0.2487,14.4525,0.0106,16.6717,0.1796,14.5385,0.2818,13.3665,0.013,16.7041,0.2279,13.2111,0.2222,12.2346,0.0918,17.1914,0.0667,,,,,,,3.24,430155637
32.71,2618877880,0,3,100043.56-544659.6,150.181529,-54.783229,36,36,58166.5915,8,0.973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.1111,,16.196,,16.2676,,2.75,430155636
32.86,430155903,11,3,100044.26-544742.0,150.184428,-54.794966,43,36,58097.6805,0,0.881,,,,,,,,,,,,,,,,,,,18.6387,0.0568,18.7743,0.0708,18.6106,0.0449,17.9315,0.0392,17.9186,0.0605,17.8841,0.0251,17.642,0.0421,17.6207,0.0483,17.5942,0.033,6.08,430155899
32.91,430155672,38,1,100039.83-544653.0,150.165943,-54.781395,36,42,58217.5492,0,0.983,18.3397,0.0413,18.4858,0.1454,18.3837,0.0524,17.8123,0.0286,17.9388,0.0661,17.8161,0.03,16.6133,0.0097,16.6413,0.0276,16.6194,0.0134,16.1192,0.0112,16.1623,0.0293,16.1277,0.0145,15.7218,0.0122,15.7213,0.0291,15.7255,0.0138,15.4072,0.0141,15.4562,0.0328,15.4124,0.0159,7.63,430155673
32.99,430155964,25,1,100037.33-544717.7,150.15551,-54.788261,36,124,57919.1166,4,0.976,18.4896,0.0448,18.806,0.1109,18.5124,0.0645,18.0022,0.023,18.1561,0.081,18.0047,0.0303,16.5401,0.0131,16.5604,0.0262,16.5254,0.0169,16.0059,0.0167,16.0176,0.022,15.9983,0.0172,15.6032,0.0313,15.5602,0.0209,15.5938,0.0168,15.3768,0.0538,15.3514,0.0308,15.3728,0.0227,9.08,430155965
33.2,430155671,14,1,100041.84-544651.6,150.174348,-54.78101,36,36,57717.2371,0,0.804,,,,,,,,,,,,,17.9954,0.0696,18.0331,0.0854,17.9985,0.0688,17.4259,0.0341,17.3892,0.1122,17.4279,0.0413,16.9149,0.0505,16.6554,0.1058,16.8635,0.0341,16.7005,0.0492,16.3806,0.1013,16.5473,0.0428,4.87,2618877881
33.92,2618877920,0,531,100038.85-544656.1,150.161883,-54.782259,89,36,56979.0819,0,0.686,,,,,,,,,,,,,,,,,,,,,,,,,17.9823,,18.3254,,18.074,,17.7043,,18.0122,,17.9267,,3.11,430155675
34.11,2618878187,0,1024,100043.91-544747.7,150.182977,-54.796589,36,36,58166.5894,5,0.741,16.3417,,18.2613,,17.8792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.19,430155905
35.05,430155906,8,25,100045.08-544722.4,150.18797,-54.789588,102,62,57554.1417,7,0.906,,,,,,,,,,,,,18.5052,,18.6148,,18.5801,,17.6309,0.1536,17.9748,0.226,17.8583,0.3482,17.4024,0.067,17.4863,0.135,17.5113,0.0776,17.1981,0.0484,17.0373,0.2782,17.3393,0.0938,3.8,2618878177
35.13,430155636,10,3,100043.64-544657.5,150.181807,-54.782482,36,387,57887.1661,14,0.654,,,,,,,18.086,0.0842,18.344,0.0838,18.2086,0.04,16.4128,0.151,16.4284,0.0684,16.7462,0.0391,15.8634,0.296,15.7862,0.1844,16.1988,0.0319,14.9489,0.278,15.4325,0.0725,15.7895,0.0283,15.7945,,15.8288,,15.9555,,2.75,2618877880
35.56,430155939,19,3,100040.05-544758.6,150.166923,-54.799619,70,36,57965.4083,2,0.955,,,,,,,18.5059,0.049,18.0231,0.2649,18.5127,0.0598,17.1612,0.0244,16.9131,0.0859,17.2215,0.0372,16.7494,0.0264,16.6129,0.0521,16.7506,0.025,16.2727,0.0308,16.1807,0.0458,16.2581,0.0242,15.9495,0.0438,15.8614,0.0668,15.9471,0.0269,5.04,430155943
36.19,430155963,33,3,100036.90-544727.8,150.153753,-54.791058,38,36,57968.6176,2,0.945,17.0805,0.0218,16.9871,0.0458,17.0814,0.0206,16.5761,0.0184,16.4634,0.027,16.5824,0.0134,15.5046,0.0372,15.393,0.0274,15.5735,0.0123,15.0069,0.0532,14.8614,0.0277,15.0851,0.0138,14.5693,0.1325,14.488,0.022,14.7105,0.0224,,,,,,,4.93,1524774829
36.35,430155957,51,3,100037.45-544705.8,150.156001,-54.784925,36,36,58078.2083,3,0.994,16.9497,0.0183,17.0698,0.033,16.9611,0.0197,16.3759,0.0116,16.461,0.0207,16.3825,0.0125,15.3302,0.0083,15.335,0.0232,15.3247,0.0098,15.0098,0.0103,15.0523,0.0322,15.0068,0.012,14.7788,0.0116,14.8248,0.0242,14.7838,0.0129,14.6651,0.0124,14.749,0.0125,14.6631,0.0146,6.57,430155958
36.41,430155899,34,3,100044.90-544739.3,150.187066,-54.794233,36,117,58116.7618,0,0.978,,,,,,,,,,,,,17.8077,0.033,17.3933,0.0674,17.8671,0.0269,17.3413,0.0201,17.0463,0.0967,17.3595,0.0215,16.9327,0.0168,16.8618,0.0276,16.9613,0.0179,16.6472,0.0201,16.6523,0.0485,16.6903,0.027,5.8,430155898
36.83,430155675,11,3,100038.57-544654.5,150.160646,-54.781773,41,42,57596.2192,0,0.753,,,,,,,,,,,,,,,,,,,18.02,0.0862,18.1421,0.1474,18.1147,0.139,17.3715,0.0471,17.1096,0.0641,17.2031,0.0505,16.8436,0.0837,16.9015,0.0602,16.8562,0.0502,3.11,2618877920
37.18,430155898,17,3,100045.22-544734.1,150.18836,-54.792806,36,40,58106.9001,0,0.976,,,,,,,,,,,,,18.7203,0.0271,18.8706,0.0384,18.7496,0.0273,18.2231,0.0202,18.4724,0.0843,18.2452,0.0305,17.7617,0.0134,18.0119,0.0339,17.8399,0.0283,17.3881,0.0338,17.6799,0.0557,17.4918,0.0517,5.8,430155899
37.24,430155947,17,3,100039.29-544758.0,150.163657,-54.799453,38,51,57814.4969,3,0.882,,,,,,,,,,,,,17.9603,0.0691,18.1178,0.143,18.0342,0.0964,17.4307,0.026,17.5948,0.0694,17.4229,0.0412,17.0147,0.0299,17.2485,0.0693,17.018,0.0389,16.6603,0.024,16.7342,0.0768,16.6276,0.0302,6.8,430155939
37.31,430155988,34,3,100037.15-544739.6,150.15475,-54.794344,36,67,58196.666,10,0.999,16.0468,0.0285,16.1702,0.0254,16.088,0.0301,17.2858,0.0179,17.3137,0.0498,17.2979,0.0183,13.108,0.0154,13.1148,0.0224,13.0943,0.0237,11.5543,0.0123,11.5613,0.0234,11.5618,0.0123,10.0859,0.0199,10.0604,0.0203,10.0778,0.0189,9.2373,0.0454,9.1935,0.0454,9.2289,0.0526,7.55,2618878285
37.62,2618878177,0,16,100045.41-544725.2,150.189218,-54.790359,36,100,57053.6259,0,0.543,,,,,,,,,,,,,,,,,,,,,,,,,17.8724,,18.8084,,18.4925,,17.7192,,18.0389,,18.0042,,3.8,430155906
38.03,430155927,13,3,100042.53-544800.1,150.177171,-54.800007,36,47,57758.283,0,0.96,,,,,,,,,,,,,,,,,,,17.629,0.0396,17.5555,0.1499,17.6771,0.0673,17.1436,0.0375,16.9591,0.0369,17.0958,0.0305,16.7523,0.0581,16.3752,0.0537,16.7427,0.0275,3.86,430155930
38.41,430155632,22,3,100042.70-544648.4,150.177892,-54.780114,42,36,58152.344,0,0.978,18.6193,0.0592,19.287,0.0961,18.6025,0.0684,17.7349,0.0175,17.7185,0.0502,17.7342,0.0229,16.2708,0.0153,16.2828,0.0341,16.266,0.0193,15.6739,0.0144,15.6531,0.0182,15.6859,0.0161,15.2319,0.0168,15.2193,0.0184,15.2331,0.0178,14.937,0.0393,14.954,0.0447,14.9138,0.0394,6.34,2618877881
38.8,430155926,1,19,100043.30-544757.9,150.18041,-54.799385,75,36,57743.6956,0,0.591,,,,,,,,,,,,,,,,,,,,,,,,,19.0351,,19.5663,,19.1053,,18.6645,0.0382,18.8052,0.1986,18.7234,0.1484,6.5,430155929
38.88,2618878226,0,4096,100041.50-544802.8,150.172925,-54.800789,47,87,58831.6968,0,0.626,,,,,,,,,,,,,,,,,,,,,,,,,19.1723,,19.6324,,19.2705,,,,,,,,8.43,430155930
39.24,1524774829,2,3,100036.54-544724.1,150.152195,-54.790026,36,181,58709.0857,0,0.029,,,,,,,,,,,,,14.3858,0.3613,14.362,0.2558,16.869,0.0322,,,,,,,,,,,,,,,,,,,2.55,430155966
39.25,430155905,33,3,100044.41-544750.7,150.185026,-54.797416,44,57,58130.3341,0,0.985,,,,,,,,,,,,,17.5225,0.0177,17.5383,0.0254,17.5198,0.0146,16.9869,0.012,17.0802,0.0311,16.9951,0.0166,16.5721,0.0107,16.7151,0.0211,16.5947,0.0137,16.3731,0.0164,16.5843,0.0319,16.4017,0.0206,5.19,2618878187
39.38,430155948,29,3,100038.45-544756.4,150.16022,-54.799001,36,45,58123.6041,0,0.982,18.3482,0.0387,18.4494,0.0741,18.364,0.0485,17.8113,0.017,17.9537,0.07,17.8353,0.0253,16.7321,0.0171,16.8486,0.0311,16.7479,0.0208,16.2922,0.0176,16.4453,0.0461,16.3119,0.02,15.8918,0.0186,15.994,0.0389,15.9092,0.0174,15.6138,0.0179,15.7139,0.0251,15.6291,0.0215,7.25,430155949
39.67,430155902,12,3,100044.87-544746.6,150.186899,-54.796244,36,36,58068.0181,0,0.967,,,,,,,,,,,,,,,,,,,18.807,0.0344,18.9153,0.0653,18.8341,0.05,18.13,0.0181,18.3049,0.0323,18.2283,0.0262,17.819,0.0528,18.1529,0.0527,17.9759,0.0399,5.74,430155905
40.55,430155942,6,3,100040.32-544804.2,150.167985,-54.80116,66,36,57325.5264,0,0.841,,,,,,,,,,,,,,,,,,,,,,,,,17.4212,0.0471,17.5355,0.0855,17.4184,0.0554,17.0274,0.0471,17.0714,0.078,16.9683,0.057,3.72,430155943
40.57,2618877910,0,513,100040.44-544643.9,150.168506,-54.77887,36,36,57461.0207,0,0.243,,,,,,,,,,,,,,,,,,,,,,,,,17.789,,17.9254,,17.7387,,17.1912,,17.9774,,17.2539,,6.3,430155668
40.59,430155943,2,3,100039.89-544804.6,150.166225,-54.800959,132,1607,57643.0829,0,0.18,,,,,,,,,,,,,,,,,,,,,,,,,17.4201,0.5615,15.7609,0.7652,17.4677,0.065,,,,,,,3.72,430155942
41.03,430155966,24,19,100036.36-544722.3,150.151357,-54.789507,174,36,57859.6355,0,0.984,17.7653,0.0412,17.5597,0.057,17.8054,0.0382,17.321,0.028,17.0739,0.1252,17.3676,0.0306,16.4055,0.017,16.4053,0.0417,16.4253,0.0177,15.941,0.0335,15.9204,0.0599,15.9539,0.0312,15.5865,0.0244,15.6267,0.0232,15.5887,0.025,15.3205,,15.0009,,15.3694,,2.55,1524774829
41.26,2618877922,4,3,100037.99-544652.5,150.15832,-54.781264,102,44,58709.0875,0,0.487,,,,,,,,,,,,,16.7891,0.2179,16.4582,0.0147,17.4786,0.0196,16.4767,0.2434,15.9666,0.027,16.8664,0.0366,15.9271,0.304,15.4347,0.0297,16.5053,0.0419,,,,,,,1.64,430155676
41.53,430155930,31,3,100042.46-544804.1,150.176957,-54.801072,36,36,58179.3713,0,0.983,,,,,,,18.5214,0.0366,18.7978,0.1705,18.5183,0.0425,17.0821,0.0362,17.034,0.0752,17.1401,0.0376,16.6804,0.0254,16.5289,0.0867,16.7279,0.0221,16.3414,0.0109,16.2949,0.063,16.3671,0.0141,16.1934,0.0153,16.1534,0.0814,16.217,0.019,3.86,430155927
41.97,430155965,1,3,100036.28-544717.5,150.151135,-54.788197,36,36,57053.6257,0,0.765,,,,,,,,,,,,,,,,,,,,,,,,,16.8488,0.0762,16.8562,0.0803,16.7854,0.0548,,,,,,,3.07,430155968
42.41,430155631,33,3,100045.19-544701.0,150.188218,-54.783611,37,36,58484.6154,4,0.989,14.7148,0.0159,14.6693,0.0153,14.7277,0.0156,13.7623,0.0093,13.7346,0.0085,13.7723,0.0095,12.5986,0.0141,12.575,0.0171,12.6,0.0155,12.033,0.0183,12.006,0.0172,12.0524,0.0179,11.5531,0.0173,11.5264,0.0147,11.5587,0.019,11.1217,0.0178,11.0913,0.0159,11.1242,0.0192,12.47,430155634
42.78,430155958,1,0,100036.92-544701.2,150.1537,-54.783672,36,36,57053.626,0,0.552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.9178,0.656,17.8129,0.1579,17.9818,0.1618,3.65,430155960
42.79,430155897,20,3,100045.66-544740.3,150.190189,-54.794531,36,41,58240.3031,0,0.976,,,,,,,,,,,,,18.6702,0.0173,18.7412,0.0423,18.6732,0.0212,18.1438,0.0167,18.2145,0.0529,18.1586,0.0246,17.6802,0.0163,17.8023,0.0448,17.7198,0.0321,17.2852,0.0339,17.3709,0.0863,17.3499,0.0353,5.39,430155901
