,RA,DEC,x,y,e1,e2,res,sigmae,rkron,extendedness,blendedness,psf_used,e1_sdss,e2_sdss,e1_psf_sdss,e2_psf_sdss,e1_hsm,e2_hsm,e1_psf_hsm,e2_psf_hsm,i_e1_psf_sdss,i_e2_psf_sdss,u_psf_mag,u_psf_magerr,u_cmodel_mag,u_cmodel_magerr,g_psf_mag,g_psf_magerr,g_cmodel_mag,g_cmodel_magerr,r_psf_mag,r_psf_magerr,r_cmodel_mag,r_cmodel_magerr,i_psf_mag,i_psf_magerr,i_cmodel_mag,i_cmodel_magerr,z_psf_mag,z_psf_magerr,z_cmodel_mag,z_cmodel_magerr,Y_psf_mag,Y_psf_magerr,Y_cmodel_mag,Y_cmodel_magerr,idn,Weigth,in_field,mask
31,302.7904482,-56.70350278,26546.04132,25789.60219,,,,,5.560955048,1,,0,0.188221651,0.365026104,-0.018898107,0.021884848,,,-0.018976094,0.021882588,0.012515615,0.023143138,24.86678923,0.146978143,24.42448306,0.152641098,25.42167969,0.123599698,24.49734262,0.141923466,23.00404,0.011074843,21.67669106,0.00893763,22.01212275,0.006868195,20.70360465,0.006020758,21.3879738,0.00790274,20.16814489,0.007024228,21.12821348,0.019395769,19.87342702,0.017040814,1020618,8,IN,2
20,302.8139585,-56.70913442,26369.11643,25713.10106,-0.80509311,0.093569726,0.784061432,0.004509881,5.493999481,1,0.010192923,0,-0.596842942,0.07708644,-0.017939799,0.02523483,-0.599298,0.077209949,-0.017978426,0.025285987,0.011805378,0.023181607,23.23441671,0.032786883,22.54268616,0.027609722,22.61793569,0.008834671,21.6832172,0.007046829,21.54055894,0.003104517,20.5790122,0.002613724,21.07858206,0.00351081,19.99712229,0.003126116,20.6455005,0.004025732,19.63789671,0.003512182,20.58570231,0.011409083,19.46211575,0.010055558,1020606,8,IN,2
13,302.8294122,-56.72468202,26252.07528,25500.80365,0.434581548,0.263169169,0.812938213,0.201661497,15.18331146,1,0.109060612,0,0.03859174,0.180927204,-0.015440058,0.028509452,0.337265819,0.195023909,-0.015375547,0.028503295,0.010706854,0.025411787,,0.513960934,inf,,27.02457545,0.480065024,23.10761124,0.164395616,25.50004551,0.110046454,21.84001762,0.05014343,25.4916316,0.148467806,21.51095971,0.055214043,25.74267984,0.422355375,21.55318979,0.119812174,25.52184511,1.025756964,20.96754795,0.20771645,1019445,8,IN,2
