,RA,DEC,x,y,e1,e2,res,sigmae,rkron,extendedness,blendedness,psf_used,e1_sdss,e2_sdss,e1_psf_sdss,e2_psf_sdss,e1_hsm,e2_hsm,e1_psf_hsm,e2_psf_hsm,i_e1_psf_sdss,i_e2_psf_sdss,u_psf_mag,u_psf_magerr,u_cmodel_mag,u_cmodel_magerr,g_psf_mag,g_psf_magerr,g_cmodel_mag,g_cmodel_magerr,r_psf_mag,r_psf_magerr,r_cmodel_mag,r_cmodel_magerr,i_psf_mag,i_psf_magerr,i_cmodel_mag,i_cmodel_magerr,z_psf_mag,z_psf_magerr,z_cmodel_mag,z_cmodel_magerr,Y_psf_mag,Y_psf_magerr,Y_cmodel_mag,Y_cmodel_magerr,idn,Weigth,in_field,mask
35,302.7810349,-56.71275731,26616.22994,25662.31244,0.707395494,0.544225037,0.652175426,0.012877456,4.320438385,1,0.000419623,0,0.443710408,0.356560202,-0.016649121,0.024746677,0.444207698,0.356488764,-0.016684685,0.024795862,0.012530225,0.025153937,23.60651131,0.045421177,23.20998315,0.042200832,23.25043454,0.01479572,22.66877777,0.013022304,22.36672694,0.005876626,21.77583073,0.005209952,22.13109479,0.007111206,21.49988644,0.006371834,21.85834669,0.011342771,21.29374112,0.010311587,21.69070723,0.029659511,21.10622076,0.026993024,1020745,8,IN,1
30,302.7906359,-56.70117738,26549.6968,25825.88546,-0.137032345,-0.146232113,0.994797409,0.001911111,47.01203918,1,0.922729961,0,-0.00708376,0.204343678,-0.021041047,0.020081028,-0.134463087,-0.14324066,-0.021075523,0.019970043,0.012282051,0.023617345,23.08241828,0.028287868,20.00322671,0.034009005,22.15796683,0.007057516,18.08255248,0.003530492,21.43598616,0.003177109,17.27476902,0.001797088,21.08420541,0.003574106,16.81095498,0.002508411,20.62238892,0.004099328,16.47379743,0.002259157,20.3017286,0.009376703,16.145211,0.004440138,1020604,8,IN,1
27,302.7962719,-56.7093625,26501.98682,25709.35033,0.106989123,-0.278318822,0.69196552,0.003404034,5.250430584,1,0.280111246,0,0.060999606,-0.159194771,-0.017961663,0.02297053,0.061085664,-0.159015745,-0.017999541,0.023017718,0.011174084,0.025490601,22.44650323,0.016447587,21.41728934,0.01466945,21.55500614,0.004089351,20.54218204,0.00356795,21.06919543,0.002356402,20.15742321,0.002094064,20.85946276,0.003115211,19.86199409,0.002839871,20.52046823,0.003695473,19.60874057,0.003198338,20.2753139,0.008618553,19.16327975,0.006930594,1020599,8,IN,1
24,302.8088503,-56.70715413,26407.62303,25740.0296,-0.026769895,0.427100122,0.863504291,0.002791785,7.159342766,1,0.129265702,0,-0.019989992,0.3375114,-0.018077619,0.024532216,-0.020497842,0.337401718,-0.018095439,0.024503756,0.012032114,0.022008123,22.41432899,0.015908884,21.31360326,0.012069885,21.9535056,0.005222331,20.52606578,0.003840022,21.25012563,0.002539105,19.86451033,0.002003008,20.97513189,0.003323075,19.40300205,0.002815147,20.66516404,0.004013247,19.14529026,0.003176033,20.60549154,0.011834775,18.93230862,0.00900618,1020601,8,IN,1
19,302.8143025,-56.6783537,26368.47197,26134.44604,-0.133799225,0.182374239,0.279532641,0.010527388,3.099914789,1,5.57e-05,0,-0.049801432,0.063222192,-0.021163812,0.019678109,-0.049758479,0.063170485,-0.021184592,0.019645967,0.009038942,0.021017646,23.71588528,0.049262928,23.62813848,0.050060073,22.20185295,0.006572665,22.01822802,0.006488494,21.01673551,0.002415092,20.82645507,0.002368655,20.60948121,0.002922768,20.38900708,0.002884035,20.33710801,0.003357849,20.14618545,0.003300744,20.25579149,0.008462852,20.0528265,0.008340453,1022128,8,IN,1
17,302.8176669,-56.717297,26340.74576,25601.49755,0.787368834,0.348188132,0.669671893,0.011773364,4.898870945,1,0.0,0,0.485415088,0.229383601,-0.016339109,0.027958441,0.484908432,0.229297206,-0.016376618,0.028016904,0.010832205,0.024060216,24.63718358,0.122106023,23.84546432,0.105857788,23.79258227,0.023334977,23.0318745,0.020190696,22.29993758,0.00581929,21.60998457,0.005168193,21.66757297,0.0050351,20.85648929,0.004619438,21.21899524,0.006509548,20.46140019,0.005996535,21.12817165,0.018261977,20.39601734,0.016672908,1020280,8,IN,1
15,302.8200779,-56.72283591,26322.2918,25525.76199,0.209599808,0.278346926,0.736787617,0.005129518,6.588214874,1,0.000178908,0,0.127178145,0.18839685,-0.014710465,0.029724364,0.127140328,0.188503087,-0.01474502,0.029788459,0.010568939,0.024345296,23.2714429,0.03669229,22.35638745,0.033428736,22.28711771,0.006498817,21.06746645,0.0055822,21.58968912,0.003428583,20.35649687,0.0029295,21.35938228,0.004056367,20.00958437,0.003534048,21.11945201,0.006257283,19.8647432,0.00529459,21.10046311,0.017975477,19.78644434,0.015196838,1019461,8,IN,1
12,302.8300479,-56.68404552,26249.73411,26057.06547,0.465841353,0.236568421,0.715462208,0.005169811,4.407010078,1,0.066336229,0,0.29057909,0.161012961,-0.018894816,0.022236245,0.290525258,0.160948962,-0.018913513,0.022207778,0.007984935,0.021312334,23.34521551,0.035884973,22.81919137,0.033014437,22.78074207,0.010268259,21.9767055,0.008712964,21.45861918,0.003187575,20.63792373,0.002760915,20.99028154,0.003488228,19.94774197,0.003153922,20.6047836,0.004029023,19.60490312,0.003567568,20.44352082,0.009991988,19.4690713,0.008857764,1021825,8,IN,1
9,302.8401441,-56.69774486,26175.66226,25857.98016,-0.166658431,0.00595649,0.995405674,0.001719083,47.36772537,1,0.893812427,0,-0.162768378,-0.001282728,-0.022015486,0.022731297,-0.164529756,0.005237398,-0.022051189,0.022628251,0.011254408,0.02614349,,178686000000.0,20.38235776,0.071207525,21.7964647,0.005323345,17.71383222,0.00304795,22.02460221,0.004884275,17.44378971,0.001645884,21.95616848,0.007045869,17.06026001,0.002444186,23.48070401,0.053990268,18.61795021,0.025717186,23.71964644,0.203467165,17.75090327,0.03542209,1020431,8,IN,1
