,r_cntr,object_id,ngood,flags,smss_j,RA,DEC,e_raj2000,e_dej2000,mean_epoch,nimaflags,class_star,u_psf,e_u_psf,u_petro,e_u_petro,u_apc05,e_u_apc05,v_psf,e_v_psf,v_petro,e_v_petro,v_apc05,e_v_apc05,g_band,e_g_psf,g_petro,e_g_petro,g_apc05,e_g_apc05,r_band,e_r_psf,r_petro,e_r_petro,r_apc05,e_r_apc05,i_band,e_i_psf,i_petro,e_i_petro,i_apc05,e_i_apc05,z_band,e_z_psf,z_petro,e_z_petro,z_apc05,e_z_apc05,self_dist1,self_id1
92,60.79,2709403537,0,19,053843.78-690703.6,84.682453,-69.117692,373,47,58778.679,9,0.029,,,,,,,,,,,,,11.8858,,12.1902,,15.174,,12.0812,,11.9186,,14.9775,,,,,,,,,,,,,,2.89,1605797176.0
93,60.88,2709403855,0,531,053831.47-690546.2,84.631164,-69.096178,469,203,57009.4806,0,0.026,,,,,,,,,,,,,13.5862,,,,15.3175,,13.0248,,13.7331,,15.3529,,,,,,,,,,,,,,1.59,2709403856.0
94,61.04,2709403557,0,3,053841.95-690704.3,84.674818,-69.117875,61,69,57007.5072,45,0.86,14.3134,,14.0955,,15.0001,,14.4845,,14.4935,,15.0039,,,,,,,,,,,,,,13.9723,,14.1526,,14.9155,,,,,,,,7.24,2709403539.0
95,61.54,2709403810,1,0,053839.21-690504.2,84.66341,-69.084506,36,36,59187.5179,0,0.38,,,,,,,,,,,,,,,,,,,,,,,,,15.8092,0.1539,15.883,0.0518,15.882,0.0518,,,,,,,6.31,494751701.0
96,61.68,2709403856,0,19,053831.41-690544.6,84.63088,-69.095749,36,36,57009.4792,0,0.008,13.8194,,13.2228,,16.0375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.59,2709403855.0
97,62.18,494751700,15,3,053836.99-690508.3,84.653874,-69.085694,94,219,58433.3936,3,0.986,12.1517,0.0241,11.917,0.0424,12.2006,0.0199,12.0742,0.0385,11.8309,0.0542,12.1314,0.0308,,,,,,,,,,,,,12.0933,0.0269,11.8968,0.0425,12.1477,0.0185,11.9637,0.2366,11.832,0.0306,12.2752,0.0389,3.62,494751699.0
98,62.93,2709403563,7,3,053836.41-690657.5,84.651738,-69.115988,36,49,58127.8582,0,0.984,14.1043,0.0591,13.9412,0.064,14.2301,0.0288,14.0645,0.0417,13.8751,0.0648,14.1405,0.0264,,,,,,,,,,,,,,,,,,,,,,,,,5.74,2709403751.0
99,63.05,494751525,1,3,053844.27-690705.4,84.684517,-69.11822,36,36,57006.5209,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,13.2878,0.5047,11.587,0.0324,16.1093,0.0518,,,,,,,2.2,2709403534.0
100,63.84,494751542,10,1,053839.54-690705.3,84.664824,-69.118158,36,36,58331.952,0,0.947,16.7619,0.0532,16.8238,0.0969,16.7539,0.0739,16.7184,0.0969,16.9093,0.0424,16.7417,0.0548,16.4242,0.1022,16.6406,0.0237,16.4812,0.0439,16.4579,0.0355,16.717,0.1067,16.4798,0.05,16.4946,0.0277,16.5995,0.1161,16.5452,0.0443,,,,,,,5.65,494751541.0
101,64.1,1605797386,1,0,053831.60-690631.1,84.631665,-69.108652,36,36,58780.5445,0,0.65,,,,,,,,,,,,,16.9471,0.3258,17.0435,0.0262,17.5183,0.0523,,,,,,,,,,,,,,,,,,,6.4,494751707.0
102,64.71,494751701,6,0,053840.07-690459.9,84.666957,-69.083294,38,36,58189.2128,0,0.892,,,,,,,,,,,,,14.4029,0.4698,15.634,0.1042,15.5814,0.0531,14.209,0.3266,15.7327,0.1067,15.5942,0.0655,,,,,,,,,,,,,6.31,2709403810.0
103,64.81,2709403534,0,19,053844.58-690707.1,84.685759,-69.11864,36,36,58720.7535,3,0.028,,,,,,,,,,,,,13.692,,12.2511,,16.6881,,,,,,,,,,,,,,,,,,,,2.2,494751525.0
104,65.24,494751673,0,27,053834.68-690654.4,84.64471,-69.115028,391,1558,57803.3342,27,0.029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.2847,,10.209,,14.4082,,3.45,2709403754.0
105,65.32,494751698,6,3,053842.35-690458.0,84.676393,-69.082789,36,36,58905.304,142,0.997,11.9079,0.0423,11.8453,0.0536,11.9323,0.0343,11.9677,0.0267,11.9319,0.0513,11.973,0.0306,11.833,,11.728,,11.974,,11.8831,,11.8519,,12.0865,,12.0992,,11.9974,,12.1372,,12.2004,0.0587,12.4042,0.0315,12.2023,0.0594,4.09,2709403804.0
106,65.71,2709403754,0,27,053835.18-690656.5,84.646601,-69.115711,355,1447,58557.8328,52,0.029,,,,,,,,,,,,,,,,,,,,,,,,,12.6157,,9.985,,15.9701,,,,,,,,3.45,494751673.0
107,66.41,2709403781,1,3,053847.53-690502.9,84.69808,-69.084147,36,36,57006.5213,2,0.028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.2588,0.3588,9.2514,0.041,13.8269,0.0452,4.56,494751687.0
108,66.5,2709403912,0,1043,053832.36-690524.1,84.634854,-69.090035,62,76,57093.5128,0,0.982,14.4243,,14.4197,,14.4777,,14.4803,,14.2475,,14.5279,,,,,,,,14.8472,,15.3203,,14.8442,,13.7365,,13.1342,,14.6316,,,,,,,,4.23,2709403914.0
109,66.66,494751687,2,19,053848.32-690505.2,84.701339,-69.084647,312,252,58097.5125,93,0.029,,,,,,,12.5189,0.5744,10.3747,0.041,15.0394,0.0492,,,,,,,,,,,,,12.7155,0.5137,10.587,0.04,14.9926,0.0479,11.2824,,8.9345,,13.9008,,2.75,494751686.0
110,66.92,2709403804,3,23,053843.04-690456.5,84.679345,-69.082368,233,186,57702.9096,70,0.638,,,,,,,,,,,,,10.6976,,12.6655,,15.0203,,10.8822,0.4458,10.8999,0.0314,14.236,0.045,11.3391,0.2901,9.9953,0.1118,14.7401,0.4498,11.49,,12.2611,,13.8326,,4.09,494751698.0
111,67.48,494751524,4,539,053844.88-690709.7,84.688713,-69.119177,1112,262,58963.3791,204,0.302,14.5033,0.4866,11.9255,0.0376,16.5346,0.0572,13.9409,0.3694,11.1674,0.0245,16.2623,0.0645,12.7584,,11.296,,15.3744,,13.4492,,11.9417,,15.8831,,14.2569,0.4084,11.8193,0.0352,16.0438,0.0479,,,,,,,2.69,2709403532.0
112,67.73,2709403833,0,19,053830.07-690618.8,84.625299,-69.105232,36,36,57009.4804,0,0.017,,,,,,,,,,,,,14.3472,,16.4052,,16.3006,,,,,,,,,,,,,,,,,,,,3.25,494751717.0
113,68.09,494747564,13,3,053852.71-690643.1,84.719701,-69.111981,36,36,57395.137,0,0.984,14.3761,0.0235,14.413,0.0328,14.3721,0.0274,14.4038,0.024,14.4897,0.0232,14.3952,0.0265,14.1391,0.1113,14.0286,0.0225,14.2486,0.033,14.2213,0.0698,14.1686,0.0259,14.27,0.033,14.3395,0.0508,14.2868,0.0273,14.3564,0.0344,14.3026,0.0639,14.1226,0.0462,14.3923,0.0252,8.42,494751643.0
114,68.28,2709403562,1,0,053837.10-690705.4,84.654599,-69.118194,36,36,57007.5064,0,0.48,16.5178,0.1743,16.5196,0.0585,16.6449,0.0567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.75,2709403563.0
115,68.78,2709403913,0,19,053832.64-690518.5,84.63604,-69.088482,36,36,57681.7427,0,0.029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.6528,,11.1172,,14.6681,,3.83,2709403916.0
116,68.84,494751541,5,0,053839.84-690710.8,84.665973,-69.119672,36,36,58205.4203,3,0.867,,,,,,,,,,,,,16.4979,0.1651,16.8062,0.0238,16.6429,0.044,16.6031,0.0814,16.7754,0.0237,16.6114,0.0459,16.71,0.0219,16.9096,0.0494,16.7436,0.035,,,,,,,5.65,494751542.0
117,68.88,494751686,2,27,053848.84-690504.8,84.703282,-69.084328,197,259,58097.0191,326,0.029,,,,,,,12.3009,,10.643,,14.9345,,,,,,,,11.9142,0.3033,10.1855,0.0807,14.2243,0.0723,12.0748,,10.3078,,14.8847,,11.4301,,8.5776,,14.0583,,2.75,494751687.0
118,68.96,494751516,8,19,053847.34-690707.0,84.697561,-69.118577,36,200,57552.1393,0,0.008,14.5087,0.2716,13.4588,0.5611,16.0589,0.0319,14.4991,0.2606,14.2136,0.1434,15.8405,0.0635,,,,,,,,,,,,,14.3369,0.3364,13.6589,0.3389,15.8476,0.0529,13.4274,,13.5651,,15.2046,,11.56,494751524.0
119,69.02,2709403915,0,19,053833.31-690514.3,84.638817,-69.08732,317,187,57009.4805,0,0.027,13.5698,,14.2639,,14.994,,13.2732,,13.5327,,14.7908,,,,,,,,13.1353,,14.0481,,14.6043,,13.534,,14.2813,,15.1776,,12.0923,,12.5158,,14.4499,,3.45,2709403916.0
120,69.02,494747572,12,3,053855.23-690556.8,84.730147,-69.099088,36,36,57632.048,0,0.9,16.3478,0.1409,16.0687,0.1702,16.5408,0.0321,16.1504,0.1098,16.0543,0.0475,16.3018,0.0883,15.7414,0.4696,16.3945,0.0304,16.3766,0.0389,16.0205,0.274,16.6395,0.1151,16.4644,0.0443,16.6659,0.1109,16.753,0.0445,16.7459,0.0422,16.574,0.2145,16.8922,0.0379,16.8741,0.0421,5.25,494747571.0
