ccd_x_ra_in,ccd_y_dec_in,ccd_x_pix_in,ccd_y_pix_in,dmd_x_mir_out,dmd_y_mir_out,dmd_x_mir_in,dmd_y_mir_in,ccd_x_pix_out,ccd_y_pix_out,ccd_x_ra_out,ccd_y_dec_out,delta_dmdx_in_out,delta_dmdy_in_out,delta_ccdx_in_out,delta_ccdy_in_out
0.10785388648590444,0.2102616583687584,388.273991349256,756.9419701275302,399.96317634864715,800.0068292672823,400.0,800.0,388.3074525527767,756.9358890952091,0.10786318126466019,0.21025996919311363,0.036823651352847264,0.006829267282341789,0.03346120352068738,0.006081032321162638
0.11289687735377597,0.2102764882306675,406.4287584735935,756.995357630403,419.9368141846336,799.9937321723023,420.0,800.0,406.48620147738006,757.0012520790413,0.11291283374371669,0.21027812557751147,0.06318581536640977,0.00626782769768397,0.05744300378654543,0.005894448638287031
0.11797055901569613,0.2102953669937948,424.6940124565061,757.0633211776614,440.02939557533136,800.0010327645227,440.0,800.0,424.6672870360829,757.0622963696148,0.11796313528780081,0.21029508232489302,0.029395575331363943,0.001032764522733487,0.02672542042319037,0.0010248080465089515
0.12301468975293452,0.21030953912775197,442.8528831105643,757.1143408599071,460.00208901852085,799.9948405391985,460.0,800.0,442.8509913409013,757.1190221866653,0.12301416426136148,0.21031083949629592,0.00208901852084864,0.005159460801451132,0.001891769662961451,0.004681326758259274
0.1280652862821595,0.210322899647849,461.03503061577413,757.1624387322564,479.9971962697498,799.9901098188172,480.0,800.0,461.0375965037153,757.1714297497076,0.1280659990288098,0.21032539715269657,0.0028037302502070816,0.009890181182754532,0.002565887941159417,0.008991017451194239
0.13311175280918963,0.2103335546603787,479.20231011308266,757.2007967773633,499.97247281558134,799.9794573091115,500.0,800.0,479.2273846361931,757.2195192781279,0.1331187179544981,0.21033875535503552,0.02752718441865909,0.02054269088853289,0.025074523110447444,0.018722500764624783
0.13815716974267966,0.210342298441634,497.3658110736468,757.2322743898824,519.9398063608671,799.9659886657472,520.0,800.0,497.4206378497681,757.2632909911193,0.13817239940271336,0.21035091416419982,0.06019363913287634,0.03401133425279568,0.05482677612133102,0.031016601236956376
0.1432375140509159,0.21035232882460117,515.6550505832972,757.2683837685643,540.0412009637604,799.9620816635737,540.0,800.0,515.6176382555782,757.3027451077729,0.1432271217376606,0.21036187364104802,0.04120096376038873,0.03791833642628717,0.03741232771903924,0.03436133920865814
0.1482856414895595,0.21036318468516405,533.8283093624142,757.3074648665905,560.0106746190788,799.9664882795714,560.0,800.0,533.8186679644427,757.337881846964,0.1482829633234563,0.21037163384637889,0.010674619078827163,0.033511720428577974,0.009641397971449805,0.030416980373502156
0.153337226726839,0.21037005354709404,552.0140162166203,757.3321927695386,579.9891275230976,799.9598155746615,580.0,800.0,552.0240090867952,757.3687014273279,0.1533400025241098,0.2103801948409244,0.010872476902363815,0.040184425338452456,0.009992870174869495,0.03650865778934076
0.1583884860076328,0.210373932453416,570.1985496274781,757.3461568322977,599.96128008048,799.9460414926168,600.0,800.0,570.2339437326668,757.3952040675215,0.15839831770351856,0.21038755668542264,0.03871991951996279,0.05395850738318586,0.0353941051887432,0.04904723522383847
