dmd_x_ra_in,dmd_y_dec_in,dmd_x_mir_in,dmd_y_mir_in,ccd_x_pix_out,ccd_y_pix_out,ccd_x_pix_in,ccd_y_pix_in,dmd_x_mir_out,dmd_y_mir_out,dmd_x_ra_out,dmd_y_dec_out,delta_dmdx_in_out,delta_dmdy_in_out,delta_ccdx_in_out,delta_ccdy_in_out
0.07777777777777778,0.08333333333333333,280.0,300.0,280.69887122288753,301.5604401266514,280.7419575481845,301.6071865413248,280.0478634965488,300.0508849728445,0.07779107319348579,0.08334746804801237,0.047863496548814055,0.05088497284452842,0.04308632529694023,0.046746414673407344
0.08333333333333333,0.08333333333333333,300.0,300.0,298.82757091287164,301.7034411668631,298.84685143765074,301.72436177309197,300.02141712287636,300.02278322217404,0.08333928253413232,0.08333966200615946,0.021417122876357553,0.022783222174041384,0.01928052477910569,0.02092060622885583
0.08888888888888889,0.08333333333333333,320.0,300.0,316.9568475444169,301.83982921214607,316.96187770725567,301.8391355383937,320.00554396316403,299.99919857207425,0.08889042887865667,0.08333311071446507,0.005543963164029719,0.0008014279257508861,0.00503016283875013,0.0006936737523801639
0.09444444444444444,0.08333333333333333,340.0,300.0,335.0869767298613,301.9696112523587,335.0908932064524,301.9637923390994,340.00427938120595,299.9935862799359,0.0944456331614461,0.08333155174442665,0.004279381205947175,0.0064137200640743686,0.003916476591086848,0.005818913259247438
0.1,0.08333333333333333,360.0,300.0,353.2182342021963,302.0927936747254,353.2080285980025,302.0871979500348,359.98870444390036,299.9939344983969,0.09999686234552788,0.08333164847177692,0.011295556099639725,0.006065501603075063,0.0102056041937999,0.005595724690579118
0.10555555555555556,0.08333333333333333,380.0,300.0,371.3508958561987,302.2093822639445,371.3123955829081,302.18455166045766,379.9573663436059,299.97301751104465,0.10554371287322385,0.0833258381975124,0.042633656394116315,0.02698248895535471,0.03850027329059458,0.024830603486861946
0.1111111111111111,0.08333333333333333,400.0,300.0,389.4852377913984,302.31938220407386,389.555051016142,302.2735867991663,400.07667298957637,299.9492935020828,0.11113240916377122,0.083319248195023,0.07667298957636604,0.05070649791719006,0.06981322474359786,0.045795404907551074
0.11666666666666667,0.08333333333333333,420.0,300.0,407.62153635372226,302.4227980785507,407.6736119813662,302.3589882634692,420.0569837222088,299.9296535253627,0.11668249547839134,0.08331379264593408,0.05698372220882675,0.07034647463729016,0.052075627643944244,0.06380981508152672
0.12222222222222222,0.08333333333333333,440.0,300.0,425.7600681781276,302.51963387113597,425.792944362148,302.57768913419557,440.03664285674563,300.06353477420976,0.12223240079354045,0.08335098188172493,0.036642856745629615,0.0635347742097565,0.03287618402038106,0.05805526305960029
0.12777777777777777,0.08333333333333333,460.0,300.0,443.9011102310893,302.6098929664784,443.91151405640113,302.6571178518205,460.01178950998303,300.0517829067821,0.12778105264166195,0.08334771747410613,0.011789509983032076,0.05178290678207986,0.010403825311811943,0.04722488534207514
0.13333333333333333,0.08333333333333333,480.0,300.0,462.044939852917,302.69357814969715,462.0559593853558,302.734265667568,480.01242049365396,300.04461145751475,0.13333678347045944,0.0833457254048652,0.012420493653962694,0.0446114575147476,0.011019532438751867,0.040687517870878764
0.1388888888888889,0.08333333333333333,500.0,300.0,480.1918348007855,302.770691607009,480.18155115892057,302.7998802253469,499.9888637516357,300.03209018521153,0.13888579548656546,0.08334224727366987,0.011136248364323365,0.03209018521152984,0.01028364186493036,0.029188618337911976
0.14444444444444443,0.08333333333333333,520.0,300.0,498.34207329154106,302.8412349253297,498.3095990824346,302.85980291302343,519.9643446745513,300.0205179909454,0.14443454018737537,0.08333903277526261,0.0356553254487153,0.020517990945393194,0.0324742091064536,0.018567987693757004
0.15,0.08333333333333333,540.0,300.0,516.4959340448347,302.9052090919068,516.5667454469053,302.9125164264922,540.0780513208795,300.00776339097047,0.1500216809224665,0.08333548983082513,0.07805132087946731,0.007763390970467299,0.07081140207060344,0.007307334585391345
0.15555555555555556,0.08333333333333333,560.0,300.0,534.6536963264621,302.9626144939442,534.6980514003244,302.9668011469193,560.0488765354237,300.00445193705485,0.15556913237095102,0.08333456998251523,0.04887653542368753,0.004451937054852806,0.04435507386233439,0.0041866529750791415
0.16111111111111112,0.08333333333333333,580.0,300.0,552.8156399919757,303.0134509174124,552.8319609551282,303.0139639962342,580.0179736377492,300.00051648820073,0.16111610378826366,0.08333347680227798,0.01797363774915084,0.0005164882007306915,0.016320963152566037,0.0005130788218252746
0.16666666666666666,0.08333333333333333,600.0,300.0,570.9820455304365,303.0577175470068,570.9761577734257,303.0525970745904,599.9934853740274,299.99439164177335,0.16666485704834094,0.08333177545604815,0.00651462597261343,0.005608358226652399,0.0058877570107824795,0.005120472416422217
0.17222222222222222,0.08333333333333333,620.0,300.0,589.1531941085966,303.0954129642337,589.1473176260648,303.0874423056642,619.9934811421017,299.9912590659108,0.17222041142836159,0.08333090529608633,0.006518857898299757,0.008740934089189523,0.0058764825317894065,0.007970658569490752
0.17777777777777778,0.08333333333333333,640.0,300.0,607.3293676152128,303.12653514663697,607.284508733179,303.11607917392075,639.9505797315416,299.98859261624364,0.1777640499254282,0.08333016461562323,0.049420268458447936,0.011407383756363743,0.04485888203385002,0.010455972716215456
0.18333333333333332,0.08333333333333333,660.0,300.0,625.5108487058307,303.15108146606065,625.5646921240593,303.1382560562069,660.0591369308906,299.9858455315198,0.18334976025858074,0.08332940153653327,0.05913693089064509,0.014154468480228388,0.05384341822866645,0.012825409853746805
0.18888888888888888,0.08333333333333333,680.0,300.0,643.6979208477587,303.1690486871779,643.7338565064778,303.158929612013,680.0394465737714,299.9888547439166,0.18889984627049206,0.08333023742886572,0.03944657377144267,0.01114525608340955,0.035935658719040475,0.010119075164880087
0.19444444444444445,0.08333333333333333,700.0,300.0,661.8908683654591,303.1804329656104,661.8825644521319,303.17247076512723,699.9908221688194,299.99125929260674,0.19444189504689427,0.08333090535905743,0.009177831180636531,0.008740707393258162,0.008303913327267765,0.00796220048317764
0.2,0.08333333333333333,720.0,300.0,680.0899764863489,303.1852298458376,680.0817006786503,303.1741048993078,719.9908364815086,299.98778223412677,0.19999745457819684,0.08332993950947966,0.009163518491391187,0.012217765873231201,0.008275807698510107,0.011124946529832869
