,r_cntr,object_id,ngood,flags,smss_j,RA,DEC,e_raj2000,e_dej2000,mean_epoch,nimaflags,class_star,u_psf,e_u_psf,u_petro,e_u_petro,u_apc05,e_u_apc05,v_psf,e_v_psf,v_petro,e_v_petro,v_apc05,e_v_apc05,g_band,e_g_psf,g_petro,e_g_petro,g_apc05,e_g_apc05,r_band,e_r_psf,r_petro,e_r_petro,r_apc05,e_r_apc05,i_band,e_i_psf,i_petro,e_i_petro,i_apc05,e_i_apc05,z_band,e_z_psf,z_petro,e_z_petro,z_apc05,e_z_apc05,self_dist1,self_id1
47,107.18,481591798,23,0,201050.61-564711.4,302.710881,-56.786542,36,36,57868.4983,0,0.984,,,,,,,,,,,,,17.9847,0.012,18.011,0.0215,17.9867,0.0118,17.1238,0.0113,17.1479,0.0125,17.1288,0.011,16.4265,0.008,16.4635,0.0128,16.4257,0.0099,16.1417,0.0093,16.1733,0.0176,16.1468,0.0122,15.0,
48,108.99,481591799,14,3,201047.81-564508.7,302.699153,-56.752291,36,101,58339.5052,0,0.521,,,,,,,,,,,,,19.4925,0.1408,19.1489,0.0771,19.7696,0.0298,18.728,0.1344,18.4101,0.0758,19.0439,0.0205,18.2742,0.0783,17.7659,0.0679,18.3851,0.0252,17.922,0.1178,17.4258,0.0579,18.0713,0.0483,7.41,481591800.0
49,109.44,1585660153,5,0,201053.04-564420.5,302.720961,-56.7391,111,52,58320.7506,0,0.535,,,,,,,,,,,,,20.5895,0.204,20.5327,0.11,20.8024,0.0975,20.123,0.0934,20.0065,0.1647,20.1346,0.0544,19.5324,0.2499,19.5073,0.1056,19.6368,0.0963,,,,,,,15.0,
50,113.74,481591837,7,0,201113.01-564521.8,302.804128,-56.756095,47,36,58130.905,0,0.979,,,,,,,,,,,,,18.7558,0.011,18.7609,0.026,18.7593,0.017,18.5737,0.015,18.5775,0.0371,18.5851,0.0206,18.3983,0.0194,18.4288,0.089,18.4019,0.0525,18.1896,0.091,18.4852,0.1153,18.1843,0.0941,15.0,
51,114.59,481591826,38,0,201101.21-564400.9,302.755003,-56.733667,36,36,58157.5444,1,0.983,18.3379,0.1185,18.4774,0.2175,18.4018,0.1484,18.1933,0.0338,18.1895,0.2067,18.1757,0.0411,17.2687,0.0097,17.2667,0.011,17.2747,0.009,17.0155,0.0131,17.016,0.0147,17.0087,0.0096,16.8205,0.0093,16.8382,0.0185,16.8266,0.0092,16.7724,0.0133,16.7337,0.0376,16.7651,0.0146,15.0,
52,115.09,481591812,42,0,201057.94-564400.8,302.741444,-56.733626,36,36,58107.0825,11,0.985,17.8486,0.0433,17.8271,0.179,17.8638,0.0375,17.5397,0.0298,17.5521,0.1012,17.5167,0.0282,15.9821,0.0065,15.9869,0.0099,15.981,0.0068,15.5863,0.0069,15.5954,0.0074,15.5858,0.0074,15.3522,0.0062,15.3706,0.0072,15.3523,0.007,15.2664,0.0077,15.2955,0.0119,15.2664,0.0087,5.79,2686745121.0
53,116.0,1585660417,1,0,201103.15-564747.5,302.763037,-56.796617,36,36,58317.5395,0,0.495,,,,,,,,,,,,,,,,,,,20.4203,0.1053,20.3336,0.1565,20.3751,0.0987,,,,,,,,,,,,,7.51,1585660418.0
54,116.02,481591833,6,0,201109.76-564432.7,302.790483,-56.74249,36,64,58176.5951,0,0.788,,,,,,,,,,,,,19.8539,0.0557,19.784,0.1017,19.8521,0.0539,19.3315,0.038,19.38,0.1119,19.3344,0.0348,18.8493,0.1192,18.7155,0.1227,18.7927,0.0661,18.3476,0.1294,18.2875,0.1326,18.37,0.1039,15.0,
55,116.04,2686745121,0,16,201057.24-564400.9,302.738513,-56.733609,71,256,59019.6147,0,0.354,,,,,,,,,,,,,18.0615,,20.5967,,19.6137,,18.6442,,22.3449,,19.5339,,,,,,,,,,,,,,5.79,481591812.0
56,119.12,481591795,15,0,201046.06-564633.9,302.691943,-56.776149,36,36,58293.452,0,0.978,,,,,,,,,,,,,20.1458,0.0215,20.1793,0.0664,20.1568,0.0376,19.2054,0.029,19.3573,0.0422,19.2375,0.0349,18.3121,0.0194,18.4559,0.0445,18.3324,0.0289,17.9562,0.0209,18.0415,0.0675,17.9694,0.0439,15.0,
