,r_cntr,object_id,ngood,flags,smss_j,RA,DEC,e_raj2000,e_dej2000,mean_epoch,nimaflags,class_star,u_psf,e_u_psf,u_petro,e_u_petro,u_apc05,e_u_apc05,v_psf,e_v_psf,v_petro,e_v_petro,v_apc05,e_v_apc05,g_band,e_g_psf,g_petro,e_g_petro,g_apc05,e_g_apc05,r_band,e_r_psf,r_petro,e_r_petro,r_apc05,e_r_apc05,i_band,e_i_psf,i_petro,e_i_petro,i_apc05,e_i_apc05,z_band,e_z_psf,z_petro,e_z_petro,z_apc05,e_z_apc05,self_dist1,self_id1
0,8.22,481595868,21,0,201255.08-564938.7,303.229553,-56.827454,36,38,57889.8915,0,0.854,,,,,,,,,,,,,18.7663,0.0745,18.6638,0.0285,18.8174,0.0174,18.2946,0.0617,18.1708,0.0876,18.2849,0.0173,17.7886,0.0347,17.6052,0.0349,17.7943,0.0135,17.5967,0.0345,17.4307,0.0492,17.5841,0.0284,15.0,
1,18.09,481595866,21,0,201253.90-565000.3,303.224504,-56.833541,36,124,58018.8609,1,0.598,,,,,,,,,,,,,18.2839,0.207,17.781,0.1533,18.669,0.055,17.7221,0.1856,16.9926,0.0915,18.0836,0.0174,17.353,0.0901,16.8512,0.0537,17.61,0.0131,17.0976,0.0989,16.7497,0.0715,17.3507,0.0174,15.0,
2,32.93,1585661441,5,0,201250.22-564944.1,303.209217,-56.82895,36,55,58317.97,0,0.493,,,,,,,,,,,,,20.4497,0.1138,20.3471,0.1026,20.471,0.0585,19.7043,0.1742,19.7462,0.1457,19.8675,0.0629,19.4379,0.1771,19.4533,0.1555,19.4103,0.0831,,,,,,,13.07,1585661440.0
3,39.38,481595869,13,1,201258.74-564955.8,303.244784,-56.832197,36,74,58373.7998,0,0.578,,,,,,,,,,,,,19.2845,0.1454,19.1523,0.0471,19.4652,0.0263,18.7094,0.1538,18.4433,0.0872,18.8693,0.0245,18.405,0.0421,18.2867,0.0667,18.4434,0.026,17.8846,0.1055,17.8468,0.1013,18.0313,0.1348,15.0,
4,42.38,1585661440,3,0,201249.16-564934.2,303.204836,-56.826224,36,49,58428.2278,0,0.587,,,,,,,,,,,,,,,,,,,,,,,,,19.5514,0.0355,19.9596,0.1858,19.5833,0.0967,19.05,0.033,19.2697,0.1311,19.0161,0.0933,13.07,1585661441.0
5,43.45,2686746473,0,1024,201255.35-564900.4,303.230633,-56.816787,36,36,58773.4773,6,0.659,,,,,,,,,,,,,,,,,,,,,,,,,18.183,,19.4824,,19.0448,,,,,,,,15.0,
6,44.04,481595901,8,0,201258.98-564922.5,303.245824,-56.823006,36,77,58405.0864,0,0.754,,,,,,,,,,,,,,,,,,,,,,,,,19.0988,0.032,19.2874,0.0732,19.1269,0.0455,18.4511,0.024,18.6025,0.0728,18.5298,0.0702,8.46,481595902.0
7,44.65,481595865,7,0,201248.97-564954.7,303.204096,-56.831932,36,36,58302.7388,0,0.793,,,,,,,,,,,,,20.178,0.0532,20.1589,0.1284,20.1518,0.0446,19.6059,0.1003,19.4115,0.0798,19.6084,0.0425,19.3064,0.0469,19.3215,0.1196,19.2364,0.0673,,,,,,,14.73,1585661441.0
8,46.39,1585666287,3,0,201259.82-564935.6,303.249184,-56.82658,36,36,58317.8994,0,0.838,,,,,,,,,,,,,,,,,,,19.9473,0.0646,19.776,0.11,19.9364,0.0978,19.7245,0.0543,19.9729,0.1561,19.7994,0.1166,,,,,,,8.62,481595902.0
9,49.12,481595902,4,0,201259.89-564926.8,303.249533,-56.824192,50,96,58291.103,0,0.674,,,,,,,,,,,,,,,,,,,,,,,,,19.3383,0.0554,19.2844,0.1871,19.2775,0.1037,18.7475,0.1072,19.1656,0.1506,18.7355,0.1258,8.46,481595901.0
