,index,RA,e_RA_ICRS,DEC,e_DE_ICRS,MainID,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Dup,FG,e_FG,Gmag,e_Gmag,FBP,e_FBP,BPmag,e_BPmag,FRP,e_FRP,RPmag,e_RPmag,BP-RP,RV,e_RV,Teff,AG,E_BP-RP_,Rad,Lum,in_field,rank,slit_width,slit_length,good,ymax,ymin
304,404,150.1550989115,0.0243,-54.77695234643,0.0226,5260177705937382016,0.0653,0.0273,-4.273,0.05,2.69,0.041,0,20732.0,7.9351,14.8968,0.0004,9590.8,14.469,15.3967,0.0016,16696.0,15.17,14.2054,0.001,1.1914,,,4851.0,,,,,IN,TARGET,3,9,1,-54.77672734643,-54.77717734643
150,218,150.16065864199,0.0712,-54.79511760036,0.0667,5260177499778942080,0.1579,0.0846,-4.208,0.146,2.605,0.131,0,18520.0,10.042,15.0192,0.0006,8585.5,11.927,15.517,0.0015,15263.0,25.734,14.3028,0.0018,1.2141,,,4884.0,,,,,IN,TARGET,3,9,1,-54.79489260036,-54.79534260036
134,201,150.1662905639,0.0171,-54.78778699904,0.0163,5260177499778947584,0.0427,0.02,-4.277,0.034,2.499,0.03,0,76394.0,190.74,13.4807,0.0027,34880.0,249.34,13.995,0.0078,62655.0,471.26,12.7695,0.0082,1.2254,,,4891.09,,,,,IN,TARGET,3,9,1,-54.78756199904,-54.78801199904
289,389,150.16199913219,0.0218,-54.79042246582,0.0219,5260177705937374848,0.1183,0.0263,-4.067,0.045,2.624,0.041,1,23040.0,10.925,14.7822,0.0005,10746.0,18.919,15.2733,0.0019,19018.0,26.195,14.064,0.0015,1.2092,,,4893.5,,,,,IN,TARGET,3,9,1,-54.79019746582,-54.79064746582
317,418,150.15149188981,0.0362,-54.78953832094,0.0334,5260177705937560832,0.053,0.0418,-4.287,0.073,2.699,0.064,0,7923.9,6.263,15.941,0.0009,3765.4,16.184,16.4119,0.0047,6327.3,17.774,15.2589,0.003,1.153,,,4899.93,,,,,IN,TARGET,3,9,1,-54.789313320939996,-54.78976332094
175,245,150.1817095872,0.0506,-54.78321651141,0.0481,5260177534138695808,0.7804,0.0598,-8.728,0.107,4.022,0.093,0,4026.7,2.6847,16.676,0.0007,1842.0,9.7827,17.1882,0.0058,3473.2,23.22,15.9101,0.0073,1.2781,,,4929.3,0.5495,0.288,0.74,0.293,IN,TARGET,3,9,1,-54.782991511409996,-54.78344151141
308,409,150.16595852179,0.0407,-54.7814128932,0.0377,5260177740297121280,0.0479,0.0477,-4.388,0.084,2.601,0.073,0,7025.6,5.1568,16.0717,0.0008,3120.5,12.476,16.6158,0.0043,5909.4,11.681,15.3331,0.0021,1.2828,,,4935.56,,,,,IN,TARGET,3,9,1,-54.7811878932,-54.7816378932
303,403,150.15001351235,0.3909,-54.77464398468,0.3889,5260177705937381632,-0.38,0.4552,-22.716,0.959,-11.352,0.86,1,13271.0,75.428,15.3811,0.0062,6995.1,18.416,15.7394,0.0029,11786.0,21.682,14.5835,0.002,1.1559,,,4964.7,,,,,IN,TARGET,3,9,1,-54.77441898468,-54.77486898468
128,194,150.16707759174,0.0777,-54.78840571542,0.075,5260177499769681792,0.2479,0.0891,-2.882,0.161,3.828,0.144,0,4335.9,5.679,16.5957,0.0014,2412.4,18.386,16.8953,0.0083,4432.1,75.999,15.6454,0.0186,1.2499,,,5000.0,,,,,IN,TARGET,3,9,1,-54.78818071542,-54.78863071542
163,231,150.18296082746,0.0492,-54.7910174392,0.0467,5260177534138690560,0.1143,0.0573,-4.321,0.104,2.644,0.09,0,4610.8,3.3783,16.5289,0.0008,2271.7,29.053,16.9605,0.0139,3909.0,24.269,15.7818,0.0067,1.1787,,,5037.74,,,,,IN,TARGET,3,9,1,-54.7907924392,-54.7912424392
124,190,150.17667120901,0.0768,-54.78889340068,0.0725,5260177534129433472,-0.3261,0.09,-5.012,0.156,2.77,0.142,0,3010.4,6.9275,16.9918,0.0025,2064.6,138.0,17.0643,0.0726,4059.2,237.44,15.7408,0.0635,1.3235,,,5143.45,,,,,IN,TARGET,3,9,1,-54.78866840068,-54.78911840068
67,128,150.14031394597,0.0323,-54.81411964698,0.0289,5260177293620498304,0.4682,0.037,-6.8,0.063,3.379,0.053,0,11389.0,5.3374,15.5471,0.0005,5688.5,13.509,15.9639,0.0026,8559.7,17.529,14.9308,0.0022,1.0331,,,5195.03,,,1.82,2.184,IN,TARGET,3,9,1,-54.813894646979996,-54.81434464698
61,117,150.13688047877,0.0797,-54.79893919108,0.0788,5260177327980242048,2.3588,0.09,-49.58,0.172,21.62,0.163,0,88570.0,26.957,13.3201,0.0003,43975.0,40.153,13.7434,0.001,64843.0,55.461,12.7323,0.0009,1.0111,,,5289.46,0.253,0.124,0.97,0.659,IN,TARGET,3,9,1,-54.79871419108,-54.79916419108
2,7,150.21221251318,0.151,-54.80807178372,0.133,5260176709504968448,0.4804,0.1743,-5.046,0.29,3.656,0.24,0,724.35,1.3538,18.5385,0.002,283.65,5.9008,19.2194,0.0226,717.01,6.2186,17.6231,0.0094,1.5963,,,,,,,,IN,FILLER,3,9,1,-54.80784678372,-54.80829678372
3,15,150.21195427891,0.0884,-54.80470072759,0.082,5260176709504971648,0.2866,0.1033,-4.013,0.183,2.719,0.154,0,1461.2,1.5461,17.7766,0.0011,628.77,7.1578,18.3552,0.0124,1291.3,7.8911,16.9844,0.0066,1.3708,,,,,,,,IN,FILLER,3,9,1,-54.80447572759,-54.80492572759
8,29,150.16829853374,0.135,-54.81470090668,0.1229,5260177117499592576,0.4721,0.1541,-7.078,0.264,6.483,0.226,0,865.28,1.2198,18.3455,0.0015,324.75,6.7338,19.0725,0.0225,849.83,9.595,17.4386,0.0123,1.6339,,,,,,,,IN,FILLER,3,9,1,-54.81447590668,-54.81492590668
9,30,150.16560452917,0.1349,-54.81327115997,0.1242,5260177117499592448,-0.0429,0.158,-5.423,0.269,2.885,0.23,0,958.68,1.3955,18.2342,0.0016,384.62,14.314,18.8888,0.0404,1148.8,15.536,17.1114,0.0147,1.7775,,,,,,,,IN,FILLER,3,9,1,-54.81304615997,-54.81349615997
14,41,150.16592214695,0.244,-54.80141201785,0.2405,5260177121821817856,0.4235,0.3128,-4.005,0.486,2.539,0.402,0,491.65,1.6086,18.9592,0.0036,,,,,,,,,,,,,,,,,IN,FILLER,3,9,1,-54.80118701785,-54.80163701785
20,49,150.16449599109,0.1338,-54.80291255083,0.1256,5260177121821816448,0.2585,0.1564,-3.649,0.272,3.324,0.238,0,1589.4,1.9081,17.6853,0.0013,745.88,16.045,18.1697,0.0234,1517.0,11.024,16.8095,0.0079,1.3603,,,,,,,,IN,FILLER,3,9,1,-54.80268755083,-54.80313755083
26,57,150.1720404261,0.0905,-54.81027186242,0.0886,5260177117504051840,0.1935,0.1081,-4.145,0.18,2.556,0.159,0,1692.9,1.8023,17.6168,0.0012,778.15,9.7446,18.1237,0.0136,1459.8,10.326,16.8512,0.0077,1.2725,,,,,,,,IN,FILLER,3,9,1,-54.81004686242,-54.81049686242
33,75,150.12818554014,0.0844,-54.81248101682,0.0789,5260177289298264448,0.1155,0.0972,-4.738,0.173,3.493,0.152,0,2180.2,1.8465,17.3421,0.0009,539.52,9.6389,18.5214,0.0194,2624.2,9.541,16.2144,0.0039,2.3069,,,,,,,,IN,FILLER,3,9,1,-54.81225601682,-54.81270601682
36,81,150.14307130759,0.1553,-54.79674729498,0.1574,5260177327970909568,0.2917,0.1896,-3.819,0.308,1.961,0.273,0,764.6,1.2975,18.4798,0.0018,326.12,6.738,19.0679,0.0224,788.04,11.22,17.5206,0.0155,1.5474,,,,,,,,IN,FILLER,3,9,1,-54.79652229498,-54.79697229498
37,82,150.15105275872,0.1312,-54.79432481674,0.1218,5260177327972735488,0.6028,0.1459,-4.237,0.265,3.153,0.24,0,1339.4,2.4562,17.8711,0.002,622.72,9.4104,18.3657,0.0164,1511.8,18.757,16.8132,0.0135,1.5525,,,,,,,,IN,FILLER,3,9,1,-54.79409981674,-54.79454981674
44,93,150.12832941832,0.232,-54.78632787425,0.2344,5260177392382039936,0.2253,0.2805,-4.256,0.517,3.254,0.485,0,960.97,2.1948,18.2316,0.0025,404.7,18.053,18.8335,0.0484,972.27,11.464,17.2925,0.0128,1.5411,,,,,,,,IN,FILLER,3,9,1,-54.78610287425,-54.78655287425
51,101,150.13879795234,0.2181,-54.79180007327,0.2134,5260177323658063872,-0.9587,0.2561,-4.413,0.432,2.417,0.382,0,553.76,1.2879,18.8301,0.0025,262.95,9.5058,19.3017,0.0392,553.85,9.636,17.9034,0.0189,1.3983,,,,,,,,IN,FILLER,3,9,1,-54.791575073269996,-54.79202507327
53,103,150.12821345511,0.1911,-54.77990314251,0.1942,5260177396690428160,0.2038,0.2412,-7.229,0.4,1.233,0.353,0,768.6,2.0824,18.4741,0.0029,,,,,,,,,,,,,,,,,IN,FILLER,3,9,1,-54.77967814251,-54.78012814251
54,105,150.12759453393,0.0982,-54.78715250409,0.1084,5260177392377553920,0.4171,0.115,-2.548,0.213,1.871,0.231,0,1649.0,1.7215,17.6453,0.0011,639.02,8.8829,18.3376,0.0151,1527.1,10.268,16.8022,0.0073,1.5354,,,,,,,,IN,FILLER,3,9,1,-54.78692750409,-54.78737750409
74,139,150.13511427131,0.1723,-54.79365394279,0.1604,5260177327970904960,0.3861,0.2167,-3.837,0.356,3.122,0.283,0,664.35,1.3678,18.6324,0.0022,441.86,15.89,18.7382,0.039,909.46,28.477,17.365,0.034,1.3732,,,,,,,,IN,FILLER,3,9,1,-54.79342894279,-54.79387894279
75,140,150.14215081589,0.0898,-54.80714504512,0.0821,5260177293611146880,-0.0226,0.1031,-4.254,0.18,2.481,0.157,0,1745.8,2.0765,17.5834,0.0013,741.82,9.2056,18.1756,0.0135,1641.5,8.0327,16.7238,0.0053,1.4518,,,,,,,,IN,FILLER,3,9,1,-54.80692004512,-54.80737004512
78,143,150.19073544801,0.1683,-54.80628753613,0.134,5260177426737235584,0.2367,0.1865,-4.1,0.305,2.509,0.258,0,797.4,1.4216,18.4342,0.0019,327.53,9.321,19.0633,0.0309,718.25,7.9327,17.6212,0.012,1.442,,,,,,,,IN,FILLER,3,9,1,-54.80606253613,-54.80651253613
82,147,150.1747446768,0.0925,-54.79777811836,0.0872,5260177495461259392,0.2087,0.1109,-4.203,0.188,2.723,0.169,0,1629.5,1.6873,17.6582,0.0011,780.34,10.466,18.1207,0.0146,1392.6,8.6178,16.9023,0.0067,1.2183,,,,,,,,IN,FILLER,3,9,1,-54.79755311836,-54.79800311836
91,156,150.21125506962,0.1029,-54.79836688059,0.0955,5260177461096997248,0.2564,0.1207,-6.342,0.215,4.535,0.181,0,1408.0,1.5789,17.8169,0.0012,391.51,7.5575,18.8695,0.021,1635.4,8.6584,16.7279,0.0057,2.1417,,,,,,,,IN,FILLER,3,9,1,-54.79814188059,-54.79859188059
99,164,150.19071680226,0.1303,-54.79614725864,0.1221,5260177461097013632,-0.0464,0.1526,-4.633,0.266,2.775,0.232,0,831.33,1.1827,18.3889,0.0015,349.86,5.9251,18.9917,0.0184,800.39,7.9799,17.5037,0.0108,1.488,,,,,,,,IN,FILLER,3,9,1,-54.79592225864,-54.79637225864
121,186,150.17179863458,0.9159,-54.79244961551,0.8661,5260177499769672448,,,,,,,0,970.72,2.4605,18.2206,0.0028,647.76,28.827,18.3229,0.0483,2126.1,86.082,16.443,0.044,1.8799,,,,,,,,IN,FILLER,3,9,1,-54.79222461551,-54.79267461551
127,193,150.19093991014,0.1346,-54.78385329982,0.133,5260177534131880960,0.6116,0.1601,-2.745,0.293,3.92,0.271,0,1160.6,2.3936,18.0267,0.0022,601.04,19.568,18.4041,0.0353,1388.5,22.976,16.9055,0.018,1.4986,,,,,,,,IN,FILLER,3,9,1,-54.78362829982,-54.78407829982
141,208,150.19338010485,0.0989,-54.80244674851,0.0901,5260177431059470080,0.0464,0.1153,-2.705,0.197,2.997,0.169,0,1710.7,1.7007,17.6054,0.0011,346.75,10.238,19.0014,0.0321,2264.4,6.182,16.3745,0.003,2.6268,,,,,,,,IN,FILLER,3,9,1,-54.80222174851,-54.80267174851
153,221,150.17653948361,0.0733,-54.78457850864,0.0697,5260177534138693632,0.0512,0.086,-3.991,0.151,2.777,0.136,0,2009.9,1.7564,17.4304,0.0009,925.36,10.303,17.9356,0.0121,1752.5,10.136,16.6528,0.0063,1.2828,,,,,,,,IN,FILLER,3,9,1,-54.78435350864,-54.78480350864
155,223,150.18036855617,0.0718,-54.78571866554,0.07,5260177534138693888,0.1154,0.0851,-5.87,0.151,3.257,0.137,0,2210.3,1.908,17.3273,0.0009,990.58,9.8926,17.8617,0.0108,1910.3,8.7204,16.5592,0.005,1.3025,,,,,,,,IN,FILLER,3,9,1,-54.78549366554,-54.78594366554
183,254,150.17747013813,0.206,-54.78272944127,0.1786,5260177534129460352,0.0015,0.2148,-4.854,0.535,2.754,0.361,0,842.98,1.7413,18.3738,0.0022,,,,,,,,,,,,,,,,,IN,FILLER,3,9,1,-54.78250444127,-54.78295444127
190,261,150.17596228945,0.198,-54.77767229548,0.1856,5260177534129474816,0.5037,0.2329,-3.733,0.419,2.269,0.363,0,553.06,1.3764,18.8314,0.0027,304.68,15.587,19.1418,0.0555,681.82,27.243,17.6777,0.0434,1.464,,,,,,,,IN,FILLER,3,9,1,-54.77744729548,-54.77789729548
192,263,150.17630468794,0.1428,-54.77837246741,0.1723,5260177534129471616,0.2035,0.1827,-1.938,0.375,1.431,0.467,0,859.04,2.7851,18.3533,0.0035,,,,,,,,,,,,,,,,,IN,FILLER,3,9,1,-54.77814746741,-54.77859746741
202,274,150.19833158376,0.1009,-54.81144644477,0.0886,5260177426737215872,0.072,0.1133,-2.902,0.204,3.273,0.175,0,1690.2,1.8761,17.6185,0.0012,438.25,7.817,18.7471,0.0194,2024.7,8.2604,16.496,0.0044,2.2511,,,,,,,,IN,FILLER,3,9,1,-54.81122144477,-54.81167144477
203,275,150.19878327331,0.1897,-54.77216490431,0.1911,5260177637208730496,0.1422,0.1885,-4.777,0.459,5.377,0.416,0,933.17,2.4946,18.2635,0.0029,,,,,,,,,,,,,,,,,IN,FILLER,3,9,1,-54.77193990431,-54.77238990431
228,319,150.21105041001,0.0878,-54.76848117579,0.084,5260177602858189696,0.3535,0.1013,-5.638,0.18,4.194,0.158,0,1532.2,1.8387,17.7251,0.0013,657.56,15.009,18.3066,0.0248,1859.1,26.465,16.5887,0.0155,1.7179,,,,,,,,IN,FILLER,3,9,1,-54.76825617579,-54.76870617579
229,324,150.1851933002,0.1063,-54.77580271268,0.1089,5260177632904943488,1.5115,0.1229,-19.761,0.241,6.881,0.232,0,1492.3,2.2227,17.7538,0.0016,532.03,12.916,18.5365,0.0264,1759.0,22.783,16.6487,0.0141,1.8878,,,,,,,,IN,FILLER,3,9,1,-54.77557771268,-54.77602771268
231,328,150.19189941282,0.1919,-54.77299521771,0.1792,5260177637208719744,0.7289,0.2198,-5.782,0.4,2.673,0.351,0,585.64,1.3533,18.7693,0.0025,274.36,6.499,19.2556,0.0257,644.14,9.2147,17.7395,0.0155,1.5161,,,,,,,,IN,FILLER,3,9,1,-54.77277021771,-54.77322021771
232,329,150.13906553968,0.22,-54.77899884191,0.2195,5260177770339162368,-0.1335,0.2742,-3.446,0.48,3.172,0.441,0,522.41,1.2601,18.8933,0.0026,208.28,13.57,19.5548,0.0707,782.84,14.576,17.5277,0.0202,2.027,,,,,,,,IN,FILLER,3,9,1,-54.77877384191,-54.77922384191
243,341,150.15667501893,0.1314,-54.7706355915,0.1283,5260177740287894656,0.3145,0.1571,-4.318,0.292,2.804,0.255,0,962.68,1.6645,18.2297,0.0019,428.0,12.009,18.7728,0.0305,868.02,12.237,17.4156,0.0153,1.3572,,,,,,,,IN,FILLER,3,9,1,-54.7704105915,-54.7708605915
279,379,150.16831394357,0.1229,-54.77352975259,0.1234,5260177740287905280,0.1003,0.1495,-2.829,0.264,5.439,0.244,0,2251.4,5.1535,17.3072,0.0025,1539.1,481.34,17.3832,0.3395,,,,,,,,,,,,,IN,FILLER,3,9,1,-54.77330475259,-54.77375475259
281,381,150.14457589903,0.1093,-54.78207238198,0.1158,5260177705937374720,-0.038,0.1268,-2.784,0.231,1.472,0.234,0,2144.9,3.127,17.3598,0.0016,1010.6,10.358,17.84,0.0111,1977.3,10.681,16.5217,0.0059,1.3182,,,,,,,,IN,FILLER,3,9,1,-54.78184738198,-54.78229738198
284,384,150.16381508239,0.4602,-54.77534551991,0.4677,5260177735975383808,1.8117,0.5642,-4.845,1.033,1.85,0.934,0,593.73,2.769,18.7544,0.0051,304.22,8.0511,19.1434,0.0287,897.63,15.595,17.3792,0.0189,1.7643,,,,,,,,IN,FILLER,3,9,1,-54.77512051991,-54.77557051991
285,385,150.13305883058,0.6624,-54.77639565902,0.3655,5260177774656850816,,,,,,,0,2128.7,5.0563,17.3681,0.0026,,,,,,,,,,,,,,,,,IN,FILLER,3,9,1,-54.776170659019996,-54.77662065902
