,index,RA,e_RA_ICRS,DEC,e_DE_ICRS,MainID,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Dup,FG,e_FG,Gmag,e_Gmag,FBP,e_FBP,BPmag,e_BPmag,FRP,e_FRP,RPmag,e_RPmag,BP-RP,RV,e_RV,Teff,AG,E_BP-RP_,Rad,Lum,in_field,rank,slit_width,slit_length,good,ymax,ymin
60,115,150.1260703856,0.0219,-54.79475504651,0.0211,5260177396699717632,0.3271,0.0254,-7.281,0.045,6.518,0.04,0,58761.0,19.95,13.7656,0.0004,15349.0,36.486,14.8862,0.0026,66127.0,79.512,12.711,0.0013,2.1752,,,3602.33,1.6925,0.829,17.7,47.53,IN,FILLER,3,9,1,-54.79453004651,-54.79498004651
198,270,150.17177547973,0.0317,-54.79349336869,0.0302,5260177495456252288,0.0802,0.0368,-4.203,0.066,2.875,0.057,0,305180.0,115.38,11.977,0.0004,54648.0,193.98,13.5075,0.0039,397890.0,538.01,10.7625,0.0015,2.745,,,4094.04,,,,,IN,TARGET,3,9,1,-54.79326836869,-54.79371836869
307,408,150.15953404207,0.0394,-54.77855116853,0.0403,5260177740297121024,0.4176,0.0488,-1.504,0.084,8.899,0.073,0,7325.4,6.513,16.0263,0.001,2840.2,12.29,16.718,0.0047,6648.7,10.501,15.2051,0.0017,1.5129,,,4357.35,,,2.64,2.266,IN,TARGET,3,9,1,-54.77832616853,-54.77877616853
56,107,150.1398916173,0.0456,-54.80334925151,0.0424,5260177327980240640,0.174,0.0525,-7.01,0.093,4.148,0.083,0,5672.8,4.0763,16.3039,0.0008,2416.5,41.646,16.8934,0.0187,5422.4,48.915,15.4264,0.0098,1.467,,,4467.5,,,,,IN,TARGET,3,9,1,-54.80312425151,-54.80357425151
211,293,150.20378194563,0.0414,-54.77328006945,0.0399,5260177637218085120,1.3713,0.0487,-0.866,0.089,2.457,0.075,0,6499.2,4.8188,16.1562,0.0008,2578.7,8.8296,16.8229,0.0037,5687.4,11.351,15.3746,0.0022,1.4483,,,4536.78,0.4038,0.1885,0.67,0.173,IN,TARGET,3,9,1,-54.77305506945,-54.77350506945
197,269,150.18517396534,0.019,-54.78758016568,0.0176,5260177529815990272,0.091,0.0216,-3.915,0.039,2.883,0.034,0,58342.0,129.98,13.7734,0.0024,25420.0,113.39,14.3384,0.0048,51996.0,379.83,12.972,0.0079,1.3664,,,4610.0,,,,,IN,TARGET,3,9,1,-54.78735516568,-54.78780516568
215,299,150.1868146548,0.0213,-54.77701960658,0.0192,5260177637217917184,0.1276,0.0236,-4.202,0.043,2.711,0.037,0,35155.0,247.48,14.3234,0.0076,15380.0,259.45,14.884,0.0183,29741.0,698.75,13.5785,0.0255,1.3054,,,4767.81,,,,,IN,TARGET,3,9,1,-54.77679460658,-54.77724460658
335,438,150.16851776049,0.0512,-54.77425868149,0.0498,5260177740287904000,0.0489,0.0616,-4.171,0.109,2.553,0.097,0,3764.4,2.7012,16.7491,0.0008,1735.5,17.17,17.2528,0.0107,3366.3,14.912,15.944,0.0048,1.3088,,,4797.79,,,,,IN,TARGET,3,9,1,-54.774033681489996,-54.77448368149
265,365,150.13666070867,0.3906,-54.77801892119,0.3336,5260177774647568128,1.5325,0.4523,-5.198,0.918,5.893,0.671,1,28351.0,193.98,14.5569,0.0074,14267.0,31.198,14.9656,0.0024,31562.0,73.642,13.514,0.0025,1.4516,,,4819.07,,,,,IN,TARGET,3,9,1,-54.777793921189996,-54.77824392119
315,416,150.16174223701,0.1278,-54.78862585221,0.1308,5260177701615239168,-0.4919,0.1527,-3.6,0.283,3.993,0.257,1,9929.6,10.757,15.696,0.0012,4628.4,12.737,16.1878,0.003,8527.3,16.547,14.9349,0.0021,1.2529,,,4834.0,,,,,IN,TARGET,3,9,1,-54.788400852209996,-54.78885085221
86,151,150.16507597936,0.0437,-54.79034649385,0.0431,5260177495461257472,0.1739,0.0528,-4.156,0.089,2.683,0.079,0,5389.6,3.1766,16.3595,0.0006,2543.3,14.434,16.8379,0.0062,4576.3,11.792,15.6106,0.0028,1.2273,,,4835.01,,,,,IN,TARGET,3,9,1,-54.79012149385,-54.79057149385
172,242,150.18603692226,0.048,-54.78299196666,0.0461,5260177534138697856,0.0998,0.0563,-4.162,0.102,2.623,0.09,0,4709.0,3.0159,16.506,0.0007,2377.5,37.731,16.9111,0.0172,4301.0,51.157,15.678,0.0129,1.2331,,,4848.5,,,,,IN,TARGET,3,9,1,-54.78276696666,-54.78321696666
23,54,150.18504422584,0.0537,-54.81392054,0.0537,5260177053102339456,0.5711,0.0681,-6.103,0.11,4.078,0.092,0,3986.7,2.6715,16.6868,0.0007,1794.1,12.24,17.2168,0.0074,3234.4,13.791,15.9874,0.0046,1.2293,,,4867.61,,,1.04,0.55,IN,TARGET,3,9,1,-54.81369554,-54.81414554
280,380,150.15118863382,0.0296,-54.77952818303,0.0284,5260177705937378304,1.0626,0.0346,-7.099,0.062,-1.759,0.058,0,10724.0,5.3681,15.6125,0.0005,4977.9,12.68,16.1088,0.0028,8424.8,10.051,14.948,0.0013,1.1607,,,4876.15,0.443,0.2173,0.91,0.426,IN,TARGET,3,9,1,-54.77930318303,-54.77975318303
32,74,150.14056672761,0.0485,-54.80278177449,0.0472,5260177327970891648,0.4576,0.0569,-8.161,0.097,3.033,0.088,0,4925.6,3.0405,16.4572,0.0007,2230.5,20.997,16.9804,0.0102,4105.2,21.889,15.7286,0.0058,1.2518,,,4882.0,,,1.44,1.055,IN,TARGET,3,9,1,-54.80255677449,-54.80300677449
164,232,150.194500237,0.0518,-54.79711846508,0.0491,5260177465419213952,0.5554,0.0616,-4.02,0.107,2.899,0.094,0,3661.7,2.2843,16.7791,0.0007,1694.6,8.5903,17.2788,0.0055,2888.4,9.0277,16.1103,0.0034,1.1685,,,4886.0,0.5237,0.262,1.02,0.532,IN,TARGET,3,9,1,-54.79689346508,-54.79734346508
318,419,150.15746552492,0.0486,-54.78110553819,0.0493,5260177701615240960,-0.0193,0.059,-4.224,0.101,2.695,0.09,0,4061.5,2.7429,16.6666,0.0007,1859.8,16.04,17.1777,0.0094,3484.0,12.329,15.9067,0.0038,1.271,,,4889.0,,,,,IN,TARGET,3,9,1,-54.78088053819,-54.78133053819
55,106,150.14672454754,0.0383,-54.80762766889,0.0347,5260177293620501888,0.0746,0.0444,-4.126,0.073,2.697,0.062,0,9008.3,5.9851,15.8018,0.0007,3980.4,12.131,16.3516,0.0033,7667.7,14.202,15.0503,0.002,1.3013,,,4889.5,,,,,IN,TARGET,3,9,1,-54.80740266889,-54.80785266889
58,112,150.13698920329,0.0732,-54.81474373888,0.0567,5260177293620497280,0.115,0.0733,-6.209,0.139,2.004,0.103,0,3335.2,3.3774,16.8806,0.0011,1520.4,7.1392,17.3965,0.0051,2856.7,7.8037,16.1223,0.003,1.2742,,,4892.67,,,,,IN,TARGET,3,9,1,-54.81451873888,-54.81496873888
21,50,150.17202331662,0.0414,-54.80843535857,0.0394,5260177121821815552,0.143,0.0504,-4.209,0.083,2.781,0.071,0,6339.6,3.7286,16.1832,0.0006,2906.0,9.2778,16.6932,0.0035,5249.7,10.509,15.4616,0.0022,1.2316,,,4896.33,,,,,IN,TARGET,3,9,1,-54.80821035857,-54.80866035857
112,177,150.16917350274,0.0456,-54.78969261915,0.0466,5260177495457182464,0.1967,0.0525,-4.115,0.094,2.619,0.094,0,5368.0,3.6788,16.3638,0.0007,2452.9,9.6527,16.8772,0.0043,4500.5,11.571,15.6288,0.0028,1.2484,,,4899.25,,,,,IN,TARGET,3,9,1,-54.78946761915,-54.78991761915
165,235,150.17904101279,0.0346,-54.79128397156,0.036,5260177499778949504,0.1148,0.0422,-4.383,0.072,2.741,0.07,0,8072.0,5.6423,15.9209,0.0008,3771.9,13.004,16.41,0.0037,6567.4,16.795,15.2184,0.0028,1.1915,,,4901.0,,,,,IN,TARGET,3,9,1,-54.79105897156,-54.79150897156
47,96,150.12696797965,0.0523,-54.78365352331,0.0492,5260177396690396672,0.4851,0.0609,-4.86,0.109,4.575,0.092,0,5761.8,3.775,16.287,0.0007,2951.3,39.54,16.6764,0.0145,5052.8,72.782,15.5031,0.0156,1.1733,,,4920.0,,,1.44,1.087,IN,TARGET,3,9,1,-54.78342852331,-54.78387852331
185,256,150.1840816917,0.0914,-54.78413538925,0.0887,5260177534129467392,-0.093,0.1108,-7.904,0.196,5.65,0.174,0,5780.3,6.0196,16.2835,0.0011,2934.2,15.929,16.6827,0.0059,5058.2,21.78,15.5019,0.0047,1.1807,,,4920.0,,,,,IN,TARGET,3,9,1,-54.783910389249996,-54.78436038925
102,167,150.18198496795,0.1882,-54.78235154392,0.1761,5260177534129469824,-0.3218,0.2195,-5.991,0.422,2.78,0.341,0,3282.6,5.4495,16.8978,0.0018,1699.6,32.378,17.2755,0.0207,3092.2,38.198,16.0362,0.0134,1.2392,,,4920.0,,,,,IN,TARGET,3,9,1,-54.78212654392,-54.78257654392
208,288,150.19377023781,0.0517,-54.772821374,0.0436,5260177637218071680,0.5628,0.0544,-2.775,0.107,2.26,0.084,0,4817.9,2.8715,16.4812,0.0006,2342.3,16.731,16.9273,0.0078,3949.2,14.817,15.7706,0.0041,1.1567,,,4925.69,0.844,0.405,1.13,0.675,IN,TARGET,3,9,1,-54.772596374,-54.773046374
104,169,150.18487636221,0.0416,-54.78635405142,0.0401,5260177534129457024,0.1322,0.0489,-4.183,0.089,2.822,0.077,0,5614.4,3.7903,16.3151,0.0007,3051.7,147.06,16.64,0.0523,5671.7,441.2,15.3776,0.0845,1.2624,,,4993.5,,,,,IN,TARGET,3,9,1,-54.78612905142,-54.78657905142
