,index,RA,e_RA_ICRS,DEC,e_DE_ICRS,MainID,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Dup,FG,e_FG,Gmag,e_Gmag,FBP,e_FBP,BPmag,e_BPmag,FRP,e_FRP,RPmag,e_RPmag,BP-RP,RV,e_RV,Teff,AG,E_BP-RP_,Rad,Lum,in_field,rank,slit_width,slit_length,good,ymax,ymin
22,51,150.1718024654,0.1488,-54.81389781637,0.1329,5260177117504051712,0.2475,0.1684,-4.067,0.29,2.702,0.243,0,777.41,1.2704,18.4617,0.0018,358.88,10.474,18.964,0.0317,790.51,13.331,17.5171,0.0183,1.4469,,,,,,,,IN,FILLER,3,9,1,-54.81367281637,-54.81412281637
35,80,150.13793706293,0.5303,-54.80803778332,0.5178,5260177289298275584,-0.4941,0.6244,-5.901,1.133,1.156,1.015,0,1101.8,3.7379,18.0831,0.0037,486.06,9.8095,18.6347,0.0219,1095.7,11.122,17.1627,0.011,1.472,,,,,,,,IN,FILLER,3,9,1,-54.80781278332,-54.808262783320004
49,99,150.14527345511,0.2099,-54.794965382,0.1912,5260177323658054400,0.1612,0.2391,-4.684,0.413,2.588,0.373,0,489.18,1.1465,18.9647,0.0025,214.54,7.413,19.5226,0.0375,505.14,9.545,18.0034,0.0205,1.5192,,,,,,,,IN,FILLER,3,9,1,-54.794740382,-54.795190382
52,102,150.13505946681,0.134,-54.79125692758,0.1289,5260177323658065280,0.1435,0.1575,-3.953,0.264,2.729,0.229,0,890.72,1.3111,18.314,0.0016,409.87,9.1345,18.8198,0.0242,873.0,11.869,17.4094,0.0148,1.4104,,,,,,,,IN,FILLER,3,9,1,-54.79103192758,-54.79148192758
80,145,150.1909308674,0.1319,-54.80116171747,0.1209,5260177426737250688,0.2166,0.1559,-2.778,0.262,1.205,0.215,0,995.43,1.3384,18.1933,0.0015,398.68,7.094,18.8498,0.0193,900.74,6.6377,17.3754,0.008,1.4744,,,,,,,,IN,FILLER,3,9,1,-54.80093671747,-54.80138671747
84,149,150.17537028303,0.1513,-54.78785830912,0.1591,5260177529820998016,-0.1429,0.1786,-6.41,0.308,3.636,0.321,0,690.31,1.2647,18.5908,0.002,308.54,9.2141,19.1281,0.0324,920.48,13.276,17.3519,0.0157,1.7762,,,,,,,,IN,FILLER,3,9,1,-54.78763330912,-54.78808330912
85,150,150.17731264708,0.0938,-54.77729668071,0.0892,5260177529820998528,-0.0282,0.1087,-4.121,0.199,2.735,0.18,0,1469.4,1.6941,17.7705,0.0013,691.85,8.6419,18.2514,0.0136,1317.1,12.911,16.9629,0.0106,1.2885,,,,,,,,IN,FILLER,3,9,1,-54.77707168071,-54.77752168071
98,163,150.19020000923,0.1065,-54.7945139688,0.1,5260177461097013504,0.1299,0.1227,-4.51,0.217,2.6,0.189,0,1135.5,1.4726,18.0504,0.0014,479.9,7.4295,18.6485,0.0168,1002.4,8.6378,17.2593,0.0094,1.3892,,,,,,,,IN,FILLER,3,9,1,-54.7942889688,-54.7947389688
115,180,150.17284068016,0.0887,-54.79868414443,0.0768,5260177499769655936,0.0634,0.1005,-5.402,0.175,1.89,0.149,0,2146.2,4.2358,17.3592,0.0021,,,,,,,,,,,,,,,,,IN,FILLER,3,9,1,-54.79845914443,-54.79890914443
118,183,150.17057823061,0.1134,-54.79929957775,0.1189,5260177499769651328,0.0014,0.1473,-4.482,0.235,2.826,0.22,0,1679.7,2.5678,17.6253,0.0017,981.25,62.4,17.8719,0.069,1608.1,44.434,16.7461,0.03,1.1258,,,,,,,,IN,FILLER,3,9,1,-54.79907457775,-54.79952457775
