,index,RA,e_RA_ICRS,DEC,e_DE_ICRS,MainID,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Dup,FG,e_FG,Gmag,e_Gmag,FBP,e_FBP,BPmag,e_BPmag,FRP,e_FRP,RPmag,e_RPmag,BP-RP,RV,e_RV,Teff,AG,E_BP-RP_,Rad,Lum,in_field,rank,slit_width,slit_length,good,ymax,ymin
166,236,150.16981380027,0.0228,-54.78741630605,0.0228,5260177499778949632,0.0937,0.0267,-4.271,0.047,2.75,0.042,0,21225.0,6.8748,14.8713,0.0004,9659.6,14.827,15.389,0.0017,17467.0,19.789,14.1564,0.0012,1.2326,,,4907.5,,,,,IN,TARGET,3,9,1,-54.78719130605,-54.78764130605
296,396,150.16751884823,0.0216,-54.777194396,0.021,5260177740297125248,1.8934,0.0257,-14.899,0.046,10.442,0.042,0,28058.0,10.381,14.5682,0.0004,13383.0,33.389,15.035,0.0027,21537.0,53.837,13.929,0.0027,1.1061,,,4965.5,0.1542,0.072,0.79,0.344,IN,TARGET,3,9,1,-54.776969396,-54.777419396
293,393,150.1536377887,0.1357,-54.79116936561,0.1294,5260177705937372416,0.5477,0.1542,-2.434,0.308,3.661,0.271,0,12685.0,30.504,15.4302,0.0026,7383.9,115.05,15.6807,0.0169,13000.0,184.6,14.4771,0.0154,1.2036,,,5074.4,,,,,IN,TARGET,3,9,1,-54.79094436561,-54.79139436561
295,395,150.14944652516,0.0342,-54.78845294935,0.0319,5260177705937372672,0.3361,0.0389,-8.16,0.069,3.733,0.06,0,8889.8,4.9007,15.8161,0.0006,4381.7,10.667,16.2473,0.0026,6675.4,14.287,15.2007,0.0023,1.0465,,,5172.27,,,2.27,3.319,IN,TARGET,3,9,1,-54.78822794935,-54.78867794935
16,44,150.1706787177,0.18,-54.81374941831,0.162,5260177121821812864,0.3411,0.2061,-9.12,0.35,-0.407,0.297,0,602.79,1.1067,18.7379,0.002,231.98,29.287,19.4378,0.1371,573.33,7.4742,17.8659,0.0142,1.5719,,,,,,,,IN,FILLER,3,9,1,-54.81352441831,-54.81397441831
17,45,150.16552055936,0.0738,-54.80829271948,0.0679,5260177121821814016,0.2785,0.0837,-4.151,0.146,4.336,0.127,0,2499.5,2.1246,17.1938,0.0009,717.42,9.1295,18.2119,0.0138,2773.4,14.495,16.1544,0.0057,2.0576,,,,,,,,IN,FILLER,3,9,1,-54.80806771948,-54.80851771948
27,62,150.16319406259,0.1748,-54.80500972834,0.1604,5260177117499591424,0.168,0.2039,-3.884,0.347,2.811,0.299,0,653.64,1.3193,18.65,0.0022,305.14,11.197,19.1401,0.0398,648.16,8.834,17.7327,0.0148,1.4074,,,,,,,,IN,FILLER,3,9,1,-54.80478472834,-54.805234728340004
41,87,150.14189873406,0.123,-54.79477981145,0.1168,5260177327970912896,0.2361,0.144,-6.035,0.247,4.426,0.223,0,1059.1,1.6321,18.1261,0.0017,365.09,12.871,18.9454,0.0383,1162.2,13.811,17.0988,0.0129,1.8466,,,,,,,,IN,FILLER,3,9,1,-54.79455481145,-54.79500481145
43,92,150.15358093012,0.1609,-54.80125868988,0.1516,5260177327970912128,0.2737,0.1872,-4.224,0.319,2.518,0.283,0,693.64,1.7328,18.5855,0.0027,260.1,5.8441,19.3135,0.0244,748.01,10.095,17.5772,0.0147,1.7364,,,,,,,,IN,FILLER,3,9,1,-54.80103368988,-54.80148368988
50,100,150.13750698317,0.113,-54.80176606064,0.1069,5260177323658055296,0.3917,0.1318,-4.444,0.228,2.332,0.202,0,1286.4,1.5762,17.915,0.0013,461.35,8.0682,18.6913,0.019,1315.8,9.2795,16.9639,0.0077,1.7274,,,,,,,,IN,FILLER,3,9,1,-54.80154106064,-54.80199106064
