,index,RA,e_RA_ICRS,DEC,e_DE_ICRS,MainID,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Dup,FG,e_FG,Gmag,e_Gmag,FBP,e_FBP,BPmag,e_BPmag,FRP,e_FRP,RPmag,e_RPmag,BP-RP,RV,e_RV,Teff,AG,E_BP-RP_,Rad,Lum,in_field,rank,slit_width,slit_length,good,ymax,ymin
171,241,150.18957683652,0.049,-54.78188227211,0.0454,5260177534138699904,0.0996,0.0565,-4.099,0.098,2.744,0.085,0,4489.0,2.976,16.558,0.0007,2013.3,12.798,17.0916,0.0069,3952.8,18.007,15.7697,0.0049,1.322,,,4820.38,,,,,IN,TARGET,3,9,1,-54.78165727211,-54.782107272110004
113,178,150.17725244306,0.031,-54.78234847178,0.0299,5260177529816921472,0.0768,0.0367,-4.16,0.066,2.697,0.057,0,10006.0,9.1385,15.6877,0.001,4721.4,24.231,16.1662,0.0056,8708.6,38.861,14.912,0.0048,1.2542,,,4820.41,,,,,IN,TARGET,3,9,1,-54.78212347178,-54.78257347178
62,121,150.12835605116,0.0342,-54.77937226376,0.0354,5260177396699725824,0.1694,0.0419,-4.036,0.07,2.807,0.063,0,7914.0,6.0653,15.9424,0.0008,3690.5,25.536,16.4337,0.0075,6873.3,55.716,15.169,0.0088,1.2647,,,4822.0,,,,,IN,TARGET,3,9,1,-54.77914726376,-54.77959726376
63,123,150.14518424213,0.0438,-54.80115755653,0.0416,5260177327980242816,0.1062,0.0536,-4.146,0.09,2.772,0.076,0,6550.9,4.1514,16.1476,0.0007,2920.1,11.681,16.6879,0.0043,5479.4,11.662,15.4151,0.0023,1.2728,,,4827.14,,,,,IN,TARGET,3,9,1,-54.80093255653,-54.80138255653
89,154,150.18501453065,0.0557,-54.79742975401,0.0524,5260177495456740736,0.3624,0.0645,-6.7,0.114,4.401,0.1,0,3207.6,2.1364,16.9229,0.0007,1405.9,10.345,17.4815,0.008,2647.2,8.3426,16.205,0.0034,1.2765,,,4856.18,,,,,IN,TARGET,3,9,1,-54.79720475401,-54.79765475401
319,420,150.13644770455,0.0596,-54.77101590005,0.059,5260177770334730368,0.3348,0.0704,-6.903,0.124,4.265,0.11,0,3383.8,2.5106,16.8649,0.0008,1511.2,14.059,17.4031,0.0101,2938.9,15.163,16.0915,0.0056,1.3116,,,4861.0,,,,,IN,TARGET,3,9,1,-54.77079090005,-54.77124090005
136,203,150.16569839157,0.0325,-54.79126949706,0.0359,5260177499778945152,0.0875,0.0383,-4.444,0.066,2.76,0.072,0,11946.0,6.0304,15.4953,0.0005,5539.0,15.87,15.9928,0.0031,9820.5,14.279,14.7816,0.0016,1.2112,,,4872.75,,,,,IN,TARGET,3,9,1,-54.79104449706,-54.79149449706
11,36,150.17072761082,0.0597,-54.8080272455,0.0572,5260177117504051456,0.1674,0.0719,-4.181,0.119,2.586,0.101,0,3580.6,2.6046,16.8035,0.0008,1619.7,9.4855,17.3278,0.0064,3108.0,12.953,16.0307,0.0045,1.2971,,,4877.47,,,,,IN,TARGET,3,9,1,-54.8078022455,-54.8082522455
10,34,150.17016026108,0.0338,-54.81064886732,0.0332,5260177121821970304,0.1147,0.0389,-4.07,0.07,2.62,0.064,0,10032.0,5.7958,15.6849,0.0006,4742.9,17.047,16.1613,0.0039,8036.4,14.947,14.9993,0.002,1.162,,,4883.09,,,,,IN,TARGET,3,9,1,-54.81042386732,-54.81087386732
13,40,150.16016872716,0.043,-54.79901976759,0.0399,5260177121821817216,0.0642,0.0501,-4.251,0.089,2.659,0.078,0,6088.3,3.3348,16.2271,0.0006,2835.4,15.413,16.7198,0.0059,4974.3,10.46,15.5201,0.0023,1.1997,,,4893.5,,,,,IN,TARGET,3,9,1,-54.79879476759,-54.799244767590004
201,273,150.18317733386,0.0236,-54.79022504395,0.0252,5260177534138691456,0.1467,0.0297,-4.232,0.05,2.74,0.05,0,18945.0,22.105,14.9947,0.0013,8988.6,23.824,15.4672,0.0029,15303.0,36.813,14.3,0.0026,1.1672,,,4898.0,,,,,IN,TARGET,3,9,1,-54.79000004395,-54.79045004395
126,192,150.17469247469,0.0439,-54.78499637317,0.0423,5260177534138691840,0.1225,0.0504,-4.077,0.092,2.752,0.084,0,5561.7,3.7017,16.3254,0.0007,2591.1,12.611,16.8177,0.0053,4745.4,21.401,15.5712,0.0049,1.2464,,,4901.83,,,,,IN,TARGET,3,9,1,-54.78477137317,-54.78522137317
103,168,150.17163366477,0.0299,-54.78710152342,0.0298,5260177499779105152,0.1716,0.0361,-4.022,0.062,2.78,0.056,0,10158.0,4.9674,15.6713,0.0005,4648.2,15.006,16.1832,0.0035,8485.6,13.307,14.9402,0.0017,1.243,,,4927.47,,,,,IN,TARGET,3,9,1,-54.78687652342,-54.78732652342
147,214,150.19491733616,0.0625,-54.80918328351,0.0524,5260177431059467264,0.4463,0.0681,-6.413,0.119,3.465,0.1,0,3338.6,2.1766,16.8795,0.0007,1552.1,11.614,17.3741,0.0081,2609.8,11.944,16.2204,0.005,1.1537,,,4940.0,0.704,0.352,,,IN,TARGET,3,9,1,-54.80895828351,-54.80940828351
151,219,150.18058222609,0.0428,-54.80478227151,0.0403,5260177499778942592,0.1392,0.0501,-4.159,0.088,2.836,0.078,0,6754.8,3.7828,16.1143,0.0006,2998.9,12.823,16.659,0.0046,5681.5,11.627,15.3758,0.0022,1.2832,,,4942.03,,,,,IN,TARGET,3,9,1,-54.80455727151,-54.80500727151
311,412,150.14704370863,0.051,-54.77245530083,0.0529,5260177770334717952,0.6626,0.0618,-4.547,0.107,6.032,0.105,0,4301.3,2.8532,16.6044,0.0007,2048.9,12.21,17.0726,0.0065,3281.0,15.233,15.9719,0.005,1.1007,,,4948.2,0.181,0.091,0.89,0.432,IN,TARGET,3,9,1,-54.77223030083,-54.772680300830004
325,426,150.15383735841,0.0332,-54.76997128823,0.0379,5260177735974987392,0.0484,0.0431,-4.159,0.073,2.632,0.066,0,10419.0,5.6037,15.6438,0.0006,4812.1,17.179,16.1455,0.0039,8822.2,39.534,14.898,0.0049,1.2476,,,4964.34,,,,,IN,TARGET,3,9,1,-54.76974628823,-54.770196288230004
