,RA,DEC,_r,recno,ID,F555W,e_F555W,F814W,e_F814W,RAJ2000,DEJ2000,MPG,d,in_field,Weight
28506,14.8267625,-72.18221389,0.018492,18931,20590,22.885,0.017,22.211,0.016,00 59 18.423,-72 10 55.97,,1.8930551,IN,2
1379,14.69894167,-72.166225,0.024052,21388,23466,23.079,0.026,22.502,0.017,00 58 47.746,-72 09 58.41,,1.8930551,IN,2
21256,14.78903333,-72.19830833,0.02175,20786,22741,23.032,0.019,22.431,0.019,00 59 09.368,-72 11 53.91,,1.893502,IN,2
25586,14.80939167,-72.17696944,0.012578,18590,20196,22.858,0.06,22.17,0.07,00 59 14.254,-72 10 37.09,,1.893502,IN,2
15471,14.76968333,-72.15796111,0.019543,20480,22393,23.01,0.027,22.398,0.017,00 59 04.724,-72 09 28.66,,1.893502,IN,2
21659,14.79074583,-72.154325,0.02417,19380,21117,22.924,0.021,22.269,0.026,00 59 09.779,-72 09 15.57,,1.8935028,IN,2
30066,14.83755,-72.16984444,0.02253,21051,23071,23.054,0.015,22.464,0.015,00 59 21.012,-72 10 11.44,,1.8935028,IN,2
1837,14.70246667,-72.198225,0.028905,20159,22033,22.986,0.019,22.362,0.014,00 58 48.592,-72 11 53.61,,1.8935028,IN,2
29815,14.835775,-72.19126111,0.024802,20218,22103,22.992,0.036,22.371,0.052,00 59 20.586,-72 11 28.54,,1.8935028,IN,2
23416,14.7986625,-72.15745833,0.022089,20769,22724,23.031,0.016,22.429,0.015,00 59 11.679,-72 09 26.85,,1.8939489,IN,2
2573,14.70751667,-72.16246111,0.023936,21757,23897,23.103,0.02,22.537,0.024,00 58 49.804,-72 09 44.86,,1.8939499,IN,2
22019,14.79240833,-72.18593056,0.011196,21007,23015,23.05,0.018,22.457,0.018,00 59 10.178,-72 11 09.35,,1.8943951,IN,2
3529,14.7141375,-72.1536,0.029098,16798,18156,22.712,0.04,21.95,0.036,00 58 51.393,-72 09 12.96,,1.894396,IN,2
24682,14.80457083,-72.19726667,0.022663,19458,21209,22.928,0.017,22.274,0.015,00 59 13.097,-72 11 50.16,,1.894396,IN,2
4532,14.721225,-72.19304722,0.0212,21000,23008,23.048,0.019,22.454,0.019,00 58 53.094,-72 11 34.97,,1.8943968,IN,2
1355,14.6988,-72.17443333,0.021504,21895,24060,23.115,0.015,22.554,0.015,00 58 47.712,-72 10 27.96,,1.8948429,IN,2
12464,14.76004167,-72.15340833,0.024225,20260,22149,22.993,0.039,22.371,0.038,00 59 02.410,-72 09 12.27,,1.8948438,IN,2
21756,14.7912125,-72.15798889,0.020731,21520,23620,23.087,0.036,22.512,0.017,00 59 09.891,-72 09 28.76,,1.8948447,IN,2
6817,14.73563333,-72.18093333,0.01058,19299,21025,22.915,0.015,22.254,0.016,00 58 56.552,-72 10 51.36,,1.8948455,IN,2
19718,14.78325417,-72.17252222,0.006756,20157,22031,22.985,0.022,22.359,0.012,00 59 07.981,-72 10 21.08,,1.8948455,IN,2
30109,14.83785417,-72.20082778,0.031565,18478,20069,22.71,0.039,21.946,0.034,00 59 21.085,-72 12 02.98,,1.8952907,IN,2
7740,14.7404875,-72.15260278,0.026317,19787,21597,22.958,0.026,22.318,0.019,00 58 57.717,-72 09 09.37,,1.8952907,IN,2
23595,14.799425,-72.1871,0.013516,21853,24014,23.112,0.02,22.549,0.021,00 59 11.862,-72 11 13.56,,1.8952907,IN,2
27188,14.8185375,-72.16631111,0.019012,19713,21514,22.95,0.018,22.306,0.016,00 59 16.449,-72 09 58.72,,1.8952924,IN,2
26275,14.81335417,-72.15480278,0.026557,20609,22541,23.02,0.022,22.411,0.017,00 59 15.205,-72 09 17.29,,1.8952924,IN,2
17440,14.77559583,-72.15933611,0.0183,19858,21676,22.963,0.036,22.325,0.05,00 59 06.143,-72 09 33.61,,1.8957368,IN,2
20286,14.78531667,-72.17141667,0.008002,21207,23249,23.063,0.021,22.475,0.012,00 59 08.476,-72 10 17.10,,1.8957376,IN,2
25906,14.81125,-72.17797778,0.013144,22386,24654,23.155,0.015,22.613,0.016,00 59 14.700,-72 10 40.72,,1.8957386,IN,2
6710,14.7350625,-72.18593056,0.013218,20833,22802,23.037,0.017,22.436,0.02,00 58 56.415,-72 11 09.35,,1.8957386,IN,2
9964,14.7507125,-72.18792222,0.011734,18367,19934,22.839,0.021,22.139,0.016,00 59 00.171,-72 11 16.52,,1.8957394,IN,2
1380,14.69895,-72.18583333,0.022808,19158,20860,22.904,0.041,22.236,0.026,00 58 47.748,-72 11 09.00,,1.8961847,IN,2
9693,14.74955417,-72.15490278,0.023318,20417,22324,23.004,0.02,22.386,0.021,00 58 59.893,-72 09 17.65,,1.8961855,IN,2
19257,14.78169167,-72.19709167,0.020013,22779,25118,23.184,0.017,22.656,0.017,00 59 07.606,-72 11 49.53,,1.8961855,IN,2
8302,14.7433,-72.16033333,0.0188,20548,22474,23.014,0.023,22.401,0.014,00 58 58.392,-72 09 37.20,,1.8961864,IN,2
19136,14.78134167,-72.1657,0.012454,22747,25078,23.18,0.015,22.65,0.019,00 59 07.522,-72 09 56.52,,1.8961864,IN,2
20398,14.78568333,-72.19987778,0.022998,22515,24805,23.162,0.021,22.623,0.017,00 59 08.564,-72 11 59.56,,1.8961872,IN,2
3839,14.71634167,-72.193325,0.022437,20378,22281,23.003,0.019,22.384,0.017,00 58 51.922,-72 11 35.97,,1.8966324,IN,2
20333,14.7854625,-72.15352778,0.02454,19706,21505,22.949,0.018,22.303,0.016,00 59 08.511,-72 09 12.70,,1.8966324,IN,2
21612,14.79055,-72.15343889,0.025005,19178,20883,22.905,0.023,22.237,0.026,00 59 09.732,-72 09 12.38,,1.8966342,IN,2
390,14.69045833,-72.19429444,0.029149,17107,18512,22.74,0.014,21.989,0.016,00 58 45.710,-72 11 39.46,,1.8970795,IN,2
20203,14.78499167,-72.15286944,0.025153,20244,22132,22.992,0.018,22.367,0.018,00 59 08.398,-72 09 10.33,,1.8970803,IN,2
2929,14.71003333,-72.18571944,0.019642,21237,23283,23.068,0.016,22.481,0.017,00 58 50.408,-72 11 08.59,,1.8970803,IN,2
17132,14.77469167,-72.17961111,0.002871,18573,20177,22.856,0.023,22.163,0.063,00 59 05.926,-72 10 46.60,,1.8970811,IN,2
2330,14.706,-72.16368889,0.023558,19927,21761,22.97,0.033,22.333,0.028,00 58 49.440,-72 09 49.28,,1.8979734,IN,2
7630,14.7399,-72.175,0.009055,9628,10256,21.958,0.031,20.815,0.036,00 58 57.576,-72 10 30.00,,1.8979743,IN,2
9192,14.74745417,-72.15930278,0.019288,20918,22906,23.042,0.031,22.441,0.025,00 58 59.389,-72 09 33.49,,1.8979743,IN,2
27599,14.82095833,-72.18283889,0.016966,29008,32732,23.334,0.019,22.879,0.018,00 59 17.030,-72 10 58.22,,1.8979743,IN,2
26945,14.81710833,-72.15430833,0.027586,18975,20640,22.89,0.023,22.213,0.023,00 59 16.106,-72 09 15.51,,1.8979743,IN,2
7275,14.73805,-72.20108333,0.025337,21485,23580,23.086,0.018,22.507,0.022,00 58 57.132,-72 12 03.90,,1.8979751,IN,2
13842,14.76458333,-72.153575,0.023953,20908,22893,23.044,0.025,22.444,0.02,00 59 03.500,-72 09 12.87,,1.8979751,IN,2
17038,14.77440417,-72.15546111,0.022117,19842,21657,22.963,0.02,22.322,0.032,00 59 05.857,-72 09 19.66,,1.8984203,IN,2
22562,14.7948875,-72.16225278,0.01728,20424,22331,23.005,0.013,22.385,0.017,00 59 10.773,-72 09 44.11,,1.8984203,IN,2
17401,14.7754875,-72.16635278,0.01136,21303,23359,23.073,0.015,22.487,0.014,00 59 06.117,-72 09 58.87,,1.898422,IN,2
25414,14.808475,-72.16796111,0.015557,21280,23332,23.07,0.011,22.482,0.013,00 59 14.034,-72 10 04.66,,1.8988682,IN,2
6179,14.7319625,-72.16225833,0.018877,20457,22368,23.008,0.018,22.389,0.021,00 58 55.671,-72 09 44.13,,1.8988682,IN,2
27202,14.8186125,-72.1949,0.023224,21800,23950,23.106,0.031,22.536,0.039,00 59 16.467,-72 11 41.64,,1.8988707,IN,2
8476,14.74411667,-72.20125833,0.024886,21587,23698,23.093,0.014,22.516,0.024,00 58 58.588,-72 12 04.53,,1.899316,IN,2
13386,14.76306667,-72.16376944,0.013825,21452,23538,23.084,0.013,22.502,0.01,00 59 03.136,-72 09 49.57,,1.8997622,IN,2
29301,14.8319125,-72.17769722,0.019461,19769,21572,22.956,0.015,22.31,0.016,00 59 19.659,-72 10 39.71,,1.899763,IN,2
25371,14.80824167,-72.17678611,0.012236,18956,20618,22.888,0.013,22.208,0.011,00 59 13.978,-72 10 36.43,,1.8997638,IN,2
11801,14.75772083,-72.159975,0.017824,19864,21682,22.964,0.027,22.322,0.026,00 59 01.853,-72 09 35.91,,1.8997638,IN,2
19130,14.78131667,-72.16383333,0.014233,18706,20335,22.869,0.027,22.179,0.046,00 59 07.516,-72 09 49.80,,1.9002091,IN,2
30025,14.83733333,-72.17915278,0.021182,19438,21187,22.927,0.024,22.266,0.015,00 59 20.960,-72 10 44.95,,1.9002099,IN,2
16618,14.77312083,-72.17645,0.001803,9664,10294,21.963,0.086,20.82,0.077,00 59 05.549,-72 10 35.22,,1.9002099,IN,2
28582,14.82728333,-72.18558056,0.019766,23530,25999,23.241,0.018,22.737,0.029,00 59 18.548,-72 11 08.09,,1.9002099,IN,2
4970,14.72431667,-72.15623056,0.025181,20925,22913,23.045,0.054,22.443,0.036,00 58 53.836,-72 09 22.43,,1.9002099,IN,2
31427,14.84766667,-72.17318889,0.024664,21557,23664,23.088,0.016,22.507,0.016,00 59 23.440,-72 10 23.48,,1.9006569,IN,2
14376,14.76625833,-72.15372222,0.023786,19269,20993,22.914,0.018,22.246,0.024,00 59 03.902,-72 09 13.40,,1.9006569,IN,2
2435,14.706675,-72.19213889,0.023878,18136,19670,22.82,0.019,22.105,0.02,00 58 49.602,-72 11 31.70,,1.9006578,IN,2
24760,14.80502917,-72.15360833,0.026403,20632,22566,23.02,0.015,22.405,0.017,00 59 13.207,-72 09 12.99,,1.9006578,IN,2
10202,14.75164583,-72.15368333,0.024359,17952,19452,22.804,0.026,22.081,0.024,00 59 00.395,-72 09 13.26,,1.9006594,IN,2
20641,14.78665417,-72.19551944,0.018871,13286,14252,22.393,0.018,21.464,0.022,00 59 08.797,-72 11 43.87,,1.9011039,IN,2
89,14.68757083,-72.19016389,0.027767,19502,21267,22.933,0.019,22.274,0.019,00 58 45.017,-72 11 24.59,,1.9011055,IN,2
15982,14.77121667,-72.15786944,0.01965,21910,24078,23.114,0.024,22.545,0.022,00 59 05.092,-72 09 28.33,,1.9015526,IN,2
7040,14.7367875,-72.16525556,0.015595,18763,20398,22.872,0.083,22.182,0.085,00 58 56.829,-72 09 54.92,,1.9015526,IN,2
5692,14.728925,-72.15763056,0.023247,18797,20438,22.874,0.042,22.185,0.045,00 58 54.942,-72 09 27.47,,1.9015534,IN,2
1760,14.7018875,-72.17216944,0.021027,20361,22262,23.001,0.02,22.375,0.018,00 58 48.453,-72 10 19.81,,1.9019986,IN,2
23527,14.79910833,-72.18015556,0.009786,20937,22931,23.043,0.015,22.438,0.013,00 59 11.786,-72 10 48.56,,1.9019986,IN,2
5701,14.729,-72.17860556,0.012089,21933,24113,23.119,0.027,22.552,0.023,00 58 54.960,-72 10 42.98,,1.9019986,IN,2
16059,14.77145833,-72.17587778,0.001883,21527,23628,23.085,0.018,22.501,0.02,00 59 05.150,-72 10 33.16,,1.9019986,IN,2
20930,14.78770417,-72.17833611,0.005987,19612,21392,22.941,0.021,22.285,0.012,00 59 09.049,-72 10 42.01,,1.9019995,IN,2
14107,14.76547083,-72.15646667,0.021052,20706,22653,23.025,0.026,22.411,0.023,00 59 03.713,-72 09 23.28,,1.9019995,IN,2
2277,14.70557083,-72.16188056,0.024765,18853,20504,22.881,0.026,22.195,0.028,00 58 49.337,-72 09 42.77,,1.9020003,IN,2
9811,14.75005833,-72.15731667,0.020945,22085,24296,23.131,0.021,22.57,0.02,00 59 00.014,-72 09 26.34,,1.9020003,IN,2
4961,14.7242875,-72.16466944,0.018614,23243,25661,23.221,0.018,22.705,0.018,00 58 53.829,-72 09 52.81,,1.9020003,IN,2
5146,14.725425,-72.17435556,0.013505,23360,25799,23.231,0.018,22.72,0.018,00 58 54.102,-72 10 27.68,,1.9020013,IN,2
8142,14.742475,-72.17189444,0.009699,21861,24023,23.113,0.019,22.543,0.018,00 58 58.194,-72 10 18.82,,1.9020013,IN,2
16732,14.7734625,-72.18054722,0.003428,20900,22882,23.042,0.017,22.436,0.026,00 59 05.631,-72 10 49.97,,1.9024457,IN,2
5052,14.724825,-72.16841944,0.016121,23246,25664,23.218,0.014,22.7,0.019,00 58 53.958,-72 10 06.31,,1.9024465,IN,2
6237,14.73222917,-72.17137778,0.012635,20271,22162,22.996,0.016,22.367,0.024,00 58 55.735,-72 10 16.96,,1.9024465,IN,2
28449,14.82635417,-72.20161111,0.029938,13727,14728,22.436,0.039,21.527,0.037,00 59 18.325,-72 12 05.80,,1.9024473,IN,2
9326,14.7480375,-72.17069444,0.009215,21564,23671,23.091,0.02,22.509,0.014,00 58 59.529,-72 10 14.50,,1.9028926,IN,2
4531,14.721225,-72.18844722,0.0181,20311,22209,22.997,0.02,22.368,0.018,00 58 53.094,-72 11 18.41,,1.9028934,IN,2
13474,14.76335417,-72.19754722,0.020105,21529,23630,23.087,0.014,22.503,0.013,00 59 03.205,-72 11 51.17,,1.9028934,IN,2
30800,14.84267917,-72.19319722,0.027636,22088,24299,23.131,0.047,22.569,0.053,00 59 22.243,-72 11 35.51,,1.9028943,IN,2
9663,14.74945417,-72.17126389,0.008502,13723,14722,22.437,0.036,21.528,0.065,00 58 59.869,-72 10 16.55,,1.9028943,IN,2
11209,14.755575,-72.15623056,0.021625,21004,23012,23.051,0.024,22.449,0.021,00 59 01.338,-72 09 22.43,,1.9028951,IN,2
30662,14.84167917,-72.16522778,0.025591,21116,23147,23.06,0.055,22.462,0.067,00 59 22.003,-72 09 54.82,,1.9033405,IN,2
5631,14.72844167,-72.18801667,0.016112,19797,21610,22.958,0.017,22.309,0.016,00 58 54.826,-72 11 16.86,,1.9033413,IN,2
10091,14.75128333,-72.15378611,0.024282,22156,24378,23.138,0.018,22.579,0.029,00 59 00.308,-72 09 13.63,,1.9033413,IN,2
7311,14.73826667,-72.19676111,0.021344,20576,22503,23.016,0.027,22.396,0.021,00 58 57.184,-72 11 48.34,,1.9033421,IN,2
6136,14.73171667,-72.19303611,0.019154,20018,21864,22.977,0.016,22.337,0.026,00 58 55.612,-72 11 34.93,,1.9037874,IN,2
29645,14.8345125,-72.15444722,0.030696,20296,22191,22.997,0.022,22.367,0.02,00 59 20.283,-72 09 16.01,,1.9037874,IN,2
29877,14.83622917,-72.15616944,0.029788,20158,22032,22.987,0.018,22.352,0.016,00 59 20.695,-72 09 22.21,,1.9037882,IN,2
31375,14.84724583,-72.19941111,0.0326,20542,22467,23.013,0.041,22.391,0.028,00 59 23.339,-72 11 57.88,,1.9037882,IN,2
11174,14.75544167,-72.18664444,0.009959,19500,21263,22.933,0.021,22.271,0.024,00 59 01.306,-72 11 11.92,,1.903789,IN,2
11563,14.7569,-72.17315,0.005583,21072,23095,23.056,0.016,22.455,0.022,00 59 01.656,-72 10 23.34,,1.9042352,IN,2
13228,14.76257917,-72.17958611,0.00273,21788,23936,23.104,0.031,22.527,0.031,00 59 03.019,-72 10 46.51,,1.9042352,IN,2
10199,14.75163333,-72.1567,0.02142,21658,23778,23.095,0.031,22.513,0.045,00 59 00.392,-72 09 24.12,,1.9046813,IN,2
16805,14.77370833,-72.15728333,0.020284,19363,21095,22.921,0.022,22.252,0.021,00 59 05.690,-72 09 26.22,,1.9046813,IN,2
7476,14.73909583,-72.19955,0.023795,19798,21611,22.959,0.026,22.309,0.021,00 58 57.383,-72 11 58.38,,1.9046822,IN,2
18301,14.77854167,-72.19121667,0.014068,19924,21757,22.967,0.012,22.321,0.021,00 59 06.850,-72 11 28.38,,1.9046822,IN,2
27325,14.81927083,-72.18966111,0.019768,22018,24213,23.125,0.034,22.558,0.034,00 59 16.625,-72 11 22.78,,1.9046822,IN,2
19726,14.78328333,-72.17318611,0.006289,23561,26037,23.245,0.018,22.738,0.019,00 59 07.988,-72 10 23.47,,1.904683,IN,2
7938,14.7414125,-72.15906389,0.020195,21732,23867,23.101,0.026,22.522,0.022,00 58 57.939,-72 09 32.63,,1.904683,IN,2
18352,14.7787125,-72.15253056,0.025171,21311,23369,23.073,0.015,22.48,0.016,00 59 06.891,-72 09 09.11,,1.904683,IN,2
27487,14.82033333,-72.17410556,0.016275,20317,22215,22.999,0.022,22.369,0.029,00 59 16.880,-72 10 26.78,,1.9046838,IN,2
18401,14.77886667,-72.20076944,0.023491,20724,22673,23.027,0.019,22.411,0.022,00 59 06.928,-72 12 02.77,,1.9046838,IN,2
1766,14.701925,-72.174325,0.020574,22686,25007,23.178,0.022,22.637,0.015,00 58 48.462,-72 10 27.57,,1.90513,IN,2
26628,14.81525833,-72.18750833,0.017502,29786,33687,23.672,0.059,23.378,0.027,00 59 15.662,-72 11 15.03,,1.9051309,IN,2
8755,14.74555,-72.16689167,0.012696,8894,9469,21.859,0.015,20.658,0.015,00 58 58.932,-72 10 00.81,,1.9055753,IN,2
199,14.6885625,-72.17073056,0.025341,18898,20553,22.883,0.024,22.194,0.028,00 58 45.255,-72 10 14.63,,1.9055761,IN,2
18777,14.78004167,-72.15415556,0.023618,21678,23806,23.097,0.019,22.515,0.029,00 59 07.210,-72 09 14.96,,1.9055778,IN,2
23055,14.7970125,-72.153575,0.025486,19339,21070,22.919,0.018,22.248,0.018,00 59 11.283,-72 09 12.87,,1.9055786,IN,2
17002,14.77427917,-72.15998056,0.017614,22382,24650,23.154,0.039,22.6,0.041,00 59 05.827,-72 09 35.93,,1.906023,IN,2
8737,14.74544167,-72.161125,0.017812,21612,23727,23.092,0.022,22.507,0.027,00 58 58.906,-72 09 40.05,,1.906023,IN,2
14658,14.76714167,-72.18009722,0.002623,11646,12438,22.202,0.024,21.172,0.022,00 59 04.114,-72 10 48.35,,1.906023,IN,2
2937,14.710075,-72.17345556,0.018286,19661,21457,22.948,0.02,22.291,0.019,00 58 50.418,-72 10 24.44,,1.906024,IN,2
798,14.6940375,-72.18052222,0.022938,21846,24004,23.11,0.021,22.534,0.023,00 58 46.569,-72 10 49.88,,1.9060248,IN,2
27574,14.82084583,-72.1576,0.025585,19379,21115,22.922,0.02,22.252,0.017,00 59 17.003,-72 09 27.36,,1.9060248,IN,2
14780,14.76758333,-72.15480278,0.022698,22117,24333,23.133,0.025,22.568,0.022,00 59 04.220,-72 09 17.29,,1.9064701,IN,2
5361,14.72678333,-72.17452778,0.013061,21233,23279,23.067,0.022,22.469,0.02,00 58 54.428,-72 10 28.30,,1.9064709,IN,2
27522,14.82058333,-72.19155556,0.021286,22217,24450,23.139,0.047,22.577,0.046,00 59 16.940,-72 11 29.60,,1.9064717,IN,2
12615,14.760525,-72.15786389,0.019781,17617,19072,22.777,0.049,22.034,0.073,00 59 02.526,-72 09 28.31,,1.9064717,IN,2
22604,14.79506667,-72.16560278,0.014441,21722,23856,23.099,0.018,22.517,0.019,00 59 10.816,-72 09 56.17,,1.9064726,IN,2
27770,14.82199167,-72.15793889,0.025547,21684,23813,23.099,0.027,22.517,0.022,00 59 17.278,-72 09 28.58,,1.9064726,IN,2
17780,14.77669583,-72.1531,0.024534,22955,25326,23.198,0.062,22.665,0.06,00 59 06.407,-72 09 11.16,,1.9069178,IN,2
