,RA,DEC,_r,recno,ID,F555W,e_F555W,F814W,e_F814W,RAJ2000,DEJ2000,MPG,d,in_field,Weight
27107,14.8180125,-72.15561389,0.026655,33247,38020,15.869,0.02,23.139,0.026,00 59 16.323,-72 09 20.21,,-8.349924,IN,1
15139,14.7686625,-72.17354722,0.003954,6,7,12.609,0.002,12.742,0.002,00 59 04.479,-72 10 24.77,435,-3.4243138,IN,1
10560,14.75309583,-72.17448889,0.005552,8,9,13.454,0.002,13.679,0.003,00 59 00.743,-72 10 28.16,355,-3.1287055,IN,1
9824,14.75012083,-72.17721111,0.005582,10,11,13.602,0.002,13.833,0.003,00 59 00.029,-72 10 37.96,342,-3.0678852,IN,1
7466,14.73903333,-72.17601944,0.00909,12,13,13.972,0.002,14.197,0.003,00 58 57.368,-72 10 33.67,324,-2.897049,IN,1
17206,14.77488333,-72.17606944,0.002463,13,14,14.09,0.003,14.318,0.004,00 59 05.972,-72 10 33.85,,-2.8469613,IN,1
11731,14.75749583,-72.17534167,0.003958,14,15,14.113,0.003,14.332,0.004,00 59 01.799,-72 10 31.23,368,-2.828626,IN,1
13098,14.76211667,-72.17636111,0.002218,16,17,14.383,0.003,14.622,0.004,00 59 02.908,-72 10 34.90,396,-2.7257662,IN,1
11869,14.75799583,-72.18811944,0.011081,38273,44506,19.732,0.019,22.565,0.022,00 59 01.919,-72 11 17.23,,-2.6537654,IN,1
18163,14.77805,-72.17813889,0.003042,17,18,14.47,0.003,14.672,0.004,00 59 06.732,-72 10 41.30,487,-2.653765,IN,1
17499,14.77580417,-72.17598889,0.002741,21,22,14.562,0.004,14.757,0.005,00 59 06.193,-72 10 33.56,476,-2.6063604,IN,1
17676,14.7763875,-72.1656,0.012153,15,16,14.214,0.003,14.176,0.003,00 59 06.333,-72 09 56.16,482,-2.5535896,IN,1
17254,14.77501667,-72.17916389,0.002637,31,32,14.963,0.004,15.243,0.006,00 59 06.004,-72 10 44.99,471,-2.5030541,IN,1
24342,14.80290833,-72.18586944,0.01349,23,24,14.724,0.004,14.875,0.005,00 59 12.698,-72 11 09.13,615,-2.4945574,IN,1
28628,14.82755833,-72.18608889,0.020055,26,27,14.831,0.004,15.033,0.005,00 59 18.614,-72 11 09.92,682,-2.4923208,IN,1
26523,14.81465833,-72.18658611,0.016837,25,26,14.825,0.004,14.997,0.005,00 59 15.518,-72 11 11.71,655,-2.4681718,IN,1
23997,14.80130417,-72.18554167,0.012902,24,25,14.736,0.004,14.856,0.005,00 59 12.313,-72 11 07.95,602,-2.4614635,IN,1
11826,14.75785417,-72.17870833,0.003427,33,34,14.981,0.004,15.202,0.006,00 59 01.885,-72 10 43.35,370,-2.442233,IN,1
20287,14.78531667,-72.17741389,0.005199,18621,20230,19.309,0.019,21.683,0.016,00 59 08.476,-72 10 38.69,,-2.4323952,IN,1
14458,14.76650417,-72.18087778,0.003424,30,31,14.963,0.004,15.159,0.005,00 59 03.961,-72 10 51.16,417,-2.4279225,IN,1
17088,14.77455833,-72.18065833,0.003688,32,33,14.971,0.004,15.152,0.005,00 59 05.894,-72 10 50.37,467,-2.4109292,IN,1
25807,14.81062917,-72.19995,0.025911,29,30,14.961,0.004,15.137,0.005,00 59 14.551,-72 11 59.82,637,-2.410928,IN,1
18900,14.78049167,-72.17372778,0.005299,35,36,15.075,0.005,15.305,0.006,00 59 07.318,-72 10 25.42,495,-2.4082458,IN,1
23386,14.79849167,-72.166,0.014748,36,37,15.091,0.005,15.325,0.006,00 59 11.638,-72 09 57.60,593,-2.4046679,IN,1
16115,14.77164167,-72.17736389,0.001022,39,40,15.131,0.005,15.365,0.006,00 59 05.194,-72 10 38.51,451,-2.3867793,IN,1
24432,14.803375,-72.18122778,0.011354,34,35,15.065,0.005,15.264,0.006,00 59 12.810,-72 10 52.42,617,-2.3849907,IN,1
8626,14.74485833,-72.18094167,0.007966,40,41,15.138,0.005,15.36,0.006,00 58 58.766,-72 10 51.39,330,-2.3729155,IN,1
8702,14.74525833,-72.17746389,0.007063,38,39,15.128,0.005,15.345,0.006,00 58 58.862,-72 10 38.87,332,-2.3729153,IN,1
21702,14.79095417,-72.18307778,0.00889,43,44,15.216,0.005,15.444,0.006,00 59 09.829,-72 10 59.08,549,-2.3434,IN,1
17650,14.77631667,-72.17566944,0.003053,42,43,15.185,0.005,15.382,0.006,00 59 06.316,-72 10 32.41,481,-2.329535,IN,1
20528,14.78616667,-72.17060556,0.008794,49,50,15.41,0.005,15.681,0.007,00 59 08.680,-72 10 14.18,523,-2.2951002,IN,1
19288,14.78177917,-72.18010278,0.004869,45,46,15.267,0.005,15.444,0.006,00 59 07.627,-72 10 48.37,500,-2.2749755,IN,1
10792,14.75396667,-72.18591667,0.009496,51,52,15.419,0.005,15.626,0.007,00 59 00.952,-72 11 09.30,356,-2.2338326,IN,1
17173,14.77479583,-72.17601389,0.002474,48,49,15.358,0.005,15.53,0.007,00 59 05.951,-72 10 33.65,,-2.229807,IN,1
29839,14.8359125,-72.16612222,0.023612,53,54,15.449,0.005,15.658,0.007,00 59 20.619,-72 09 58.04,701,-2.2222037,IN,1
13031,14.76184583,-72.177075,0.002031,57,58,15.533,0.006,15.781,0.007,00 59 02.843,-72 10 37.47,395,-2.2195213,IN,1
15243,14.76902917,-72.17717222,0.000391,54,55,15.45,0.005,15.65,0.007,00 59 04.567,-72 10 37.82,439,-2.2137072,IN,1
11831,14.75786667,-72.17823611,0.003287,55,56,15.517,0.006,15.746,0.007,00 59 01.888,-72 10 41.65,371,-2.2096822,IN,1
12020,14.75849583,-72.17675278,0.003102,58,59,15.594,0.006,15.826,0.008,00 59 02.039,-72 10 36.31,375,-2.1779306,IN,1
22275,14.7935625,-72.17974444,0.008041,60,61,15.608,0.006,15.845,0.007,00 59 10.455,-72 10 47.08,561,-2.1761417,IN,1
491,14.6913625,-72.19360278,0.028527,63,64,15.652,0.006,15.897,0.008,00 58 45.927,-72 11 36.97,213,-2.163619,IN,1
17046,14.77442083,-72.17470833,0.003356,61,62,15.614,0.006,15.836,0.007,00 59 05.861,-72 10 28.95,468,-2.1600416,IN,1
11855,14.75793333,-72.17263611,0.005813,77,80,15.841,0.006,16.168,0.009,00 59 01.904,-72 10 21.49,372,-2.1524389,IN,1
15556,14.76995,-72.18415556,0.006674,46,47,15.307,0.005,15.364,0.006,00 59 04.788,-72 11 02.96,445,-2.1497557,IN,1
23647,14.79964583,-72.18217778,0.010663,62,63,15.614,0.006,15.798,0.007,00 59 11.915,-72 10 55.84,595,-2.1260533,IN,1
22613,14.7950875,-72.176,0.008325,65,66,15.707,0.006,15.937,0.008,00 59 10.821,-72 10 33.60,571,-2.1256068,IN,1
22107,14.79284583,-72.17853611,0.007574,72,75,15.765,0.006,16.005,0.008,00 59 10.283,-72 10 42.73,557,-2.1086109,IN,1
10057,14.75110417,-72.17291667,0.006987,85,88,15.94,0.007,16.228,0.009,00 59 00.265,-72 10 22.50,348,-2.0732834,IN,1
23058,14.79701667,-72.16703611,0.01366,64,65,15.697,0.006,15.856,0.008,00 59 11.284,-72 10 01.33,583,-2.0665746,IN,1
14838,14.76775,-72.17423333,0.003272,80,83,15.89,0.007,16.145,0.009,00 59 04.260,-72 10 27.24,429,-2.0661268,IN,1
13268,14.7627,-72.17893611,0.002244,74,77,15.796,0.006,15.998,0.008,00 59 03.048,-72 10 44.17,400,-2.060761,IN,1
16445,14.77264583,-72.17845278,0.001628,56,57,15.52,0.006,15.565,0.007,00 59 05.435,-72 10 42.43,455,-2.043765,IN,1
14790,14.76760417,-72.17374444,0.003762,81,84,15.895,0.007,16.124,0.009,00 59 04.225,-72 10 25.48,427,-2.0406356,IN,1
25932,14.8113875,-72.18686389,0.016163,71,74,15.761,0.006,15.894,0.008,00 59 14.733,-72 11 12.71,642,-2.0146978,IN,1
26113,14.8124875,-72.193125,0.020655,73,76,15.788,0.006,15.915,0.008,00 59 14.997,-72 11 35.25,644,-1.9972557,IN,1
11572,14.7569375,-72.17886667,0.003746,91,94,16.023,0.007,16.258,0.009,00 59 01.665,-72 10 43.92,366,-1.9887574,IN,1
2028,14.70381667,-72.16447778,0.02366,75,78,15.797,0.006,15.909,0.008,00 58 48.916,-72 09 52.12,238,-1.979815,IN,1
26807,14.81623333,-72.18631111,0.017102,79,82,15.863,0.007,16.001,0.008,00 59 15.896,-72 11 10.72,658,-1.9735532,IN,1
14243,14.7658875,-72.18025278,0.002853,86,89,15.999,0.007,16.201,0.009,00 59 03.813,-72 10 48.91,414,-1.9699765,IN,1
26093,14.81234167,-72.18393611,0.014926,82,85,15.914,0.007,16.073,0.008,00 59 14.962,-72 11 02.17,,-1.9695292,IN,1
2405,14.70651667,-72.17213889,0.019668,92,95,16.027,0.007,16.242,0.009,00 58 49.564,-72 10 19.70,,-1.9690814,IN,1
22196,14.79324583,-72.17459167,0.008161,97,100,16.114,0.007,16.331,0.009,00 59 10.379,-72 10 28.53,559,-1.9319617,IN,1
15330,14.769275,-72.17535278,0.002166,99,102,16.153,0.007,16.387,0.01,00 59 04.626,-72 10 31.27,443,-1.929726,IN,1
18071,14.77774167,-72.17467778,0.004032,102,105,16.168,0.008,16.403,0.01,00 59 06.658,-72 10 28.84,486,-1.9239137,IN,1
14767,14.76750417,-72.17546111,0.002055,96,99,16.096,0.007,16.292,0.009,00 59 04.201,-72 10 31.66,426,-1.9212285,IN,1
8428,14.74387083,-72.2019,0.025521,100,103,16.156,0.007,16.374,0.01,00 58 58.529,-72 12 06.84,327,-1.9140744,IN,1
25207,14.80736667,-72.157625,0.023193,103,106,16.209,0.008,16.443,0.01,00 59 13.768,-72 09 27.45,,-1.9046838,IN,1
18868,14.78038333,-72.17665556,0.003784,106,109,16.224,0.008,16.453,0.01,00 59 07.292,-72 10 35.96,493,-1.8935003,IN,1
14836,14.76773333,-72.18189722,0.004401,105,108,16.218,0.008,16.436,0.01,00 59 04.256,-72 10 54.83,,-1.886347,IN,1
19236,14.78162083,-72.17756111,0.004067,107,110,16.231,0.008,16.444,0.01,00 59 07.589,-72 10 39.22,499,-1.87606,IN,1
16845,14.7738125,-72.17588056,0.002331,115,118,16.298,0.008,16.529,0.011,00 59 05.715,-72 10 33.17,,-1.8621963,IN,1
14551,14.76682083,-72.16286111,0.014646,111,114,16.261,0.008,16.459,0.01,00 59 04.037,-72 09 46.30,422,-1.8492283,IN,1
17478,14.77573333,-72.17633889,0.002545,119,122,16.353,0.008,16.586,0.011,00 59 06.176,-72 10 34.82,477,-1.8393891,IN,1
17392,14.77545833,-72.18216111,0.005146,117,120,16.324,0.008,16.532,0.01,00 59 06.110,-72 10 55.78,475,-1.8299985,IN,1
29387,14.83249167,-72.16570556,0.022912,118,121,16.322,0.008,16.498,0.01,00 59 19.798,-72 09 56.54,694,-1.8022693,IN,1
22484,14.79450833,-72.19158611,0.016203,113,116,16.264,0.008,16.403,0.01,00 59 10.682,-72 11 29.71,563,-1.7951154,IN,1
20364,14.78555833,-72.18685,0.010733,87,90,16.001,0.007,15.994,0.008,00 59 08.534,-72 11 12.66,519,-1.7821473,IN,1
17992,14.77745417,-72.17517222,0.003635,124,127,16.409,0.008,16.595,0.011,00 59 06.589,-72 10 30.62,,-1.7723063,IN,1
22550,14.79481667,-72.16726667,0.013056,126,129,16.423,0.008,16.612,0.011,00 59 10.756,-72 10 02.16,570,-1.7687289,IN,1
25474,14.80885,-72.15788333,0.023211,159,162,16.663,0.01,16.967,0.013,00 59 14.124,-72 09 28.38,635,-1.7642566,IN,1
24091,14.80175833,-72.17949444,0.010422,129,132,16.45,0.009,16.647,0.011,00 59 12.422,-72 10 46.18,609,-1.7638088,IN,1
4181,14.71874167,-72.18429444,0.016627,156,159,16.656,0.009,16.954,0.013,00 58 52.498,-72 11 03.46,273,-1.7620218,IN,1
9595,14.74916667,-72.15437222,0.023861,16578,17909,20.122,0.027,22.146,0.021,00 58 59.800,-72 09 15.74,,-1.7557608,IN,1
24508,14.80377083,-72.16392778,0.017376,121,124,16.356,0.008,16.496,0.01,00 59 12.905,-72 09 50.14,621,-1.7548652,IN,1
19906,14.783925,-72.17925556,0.005085,59,60,15.599,0.006,15.36,0.006,00 59 08.142,-72 10 45.32,508,-1.7544191,IN,1
28688,14.82792083,-72.17363889,0.018644,140,143,16.566,0.009,16.804,0.012,00 59 18.701,-72 10 25.10,685,-1.748606,IN,1
6752,14.7352625,-72.17601944,0.01023,139,142,16.559,0.009,16.793,0.012,00 58 56.463,-72 10 33.67,313,-1.7481573,IN,1
4489,14.72094583,-72.16760556,0.017561,123,126,16.4,0.008,16.546,0.011,00 58 53.027,-72 10 03.38,279,-1.7405554,IN,1
7386,14.73863333,-72.17466944,0.009521,142,145,16.571,0.009,16.774,0.012,00 58 57.272,-72 10 28.81,323,-1.7150654,IN,1
12025,14.75850833,-72.18402222,0.007182,70,73,15.741,0.006,15.523,0.006,00 59 02.042,-72 11 02.48,374,-1.7096967,IN,1
5986,14.73077083,-72.17338056,0.012214,166,169,16.72,0.01,16.988,0.014,00 58 55.385,-72 10 24.17,300,-1.7065687,IN,1
12548,14.76030833,-72.17673056,0.002574,154,157,16.634,0.009,16.846,0.012,00 59 02.474,-72 10 36.23,388,-1.694939,IN,1
16717,14.77342083,-72.18285833,0.00558,134,137,16.504,0.009,16.638,0.011,00 59 05.621,-72 10 58.29,458,-1.6833128,IN,1
13487,14.76339583,-72.18288611,0.005594,147,150,16.612,0.009,16.8,0.012,00 59 03.215,-72 10 58.39,404,-1.6833119,IN,1
20715,14.78694583,-72.17679722,0.00574,153,156,16.631,0.009,16.809,0.012,00 59 08.867,-72 10 36.47,527,-1.66587,IN,1
17309,14.77516667,-72.17593889,0.00261,162,165,16.685,0.011,16.884,0.016,00 59 06.040,-72 10 33.38,,-1.6605054,IN,1
20304,14.78537917,-72.18837222,0.012059,141,144,16.563,0.009,16.697,0.011,00 59 08.491,-72 11 18.14,517,-1.6569271,IN,1
21221,14.7888625,-72.16908889,0.0105,169,172,16.741,0.01,16.963,0.013,00 59 09.327,-72 10 08.72,538,-1.6560323,IN,1
21877,14.79175,-72.19177778,0.015974,148,151,16.609,0.009,16.758,0.012,00 59 10.020,-72 11 30.40,550,-1.6497715,IN,1
24794,14.8052,-72.19974444,0.02494,158,161,16.658,0.009,16.827,0.012,00 59 13.248,-72 11 59.08,622,-1.6457444,IN,1
23880,14.80082917,-72.18234167,0.011061,146,149,16.606,0.009,16.748,0.012,00 59 12.199,-72 10 56.43,601,-1.6448497,IN,1
23872,14.8007875,-72.18885833,0.015087,132,135,16.493,0.009,16.566,0.011,00 59 12.189,-72 11 19.89,600,-1.6336712,IN,1
30503,14.840525,-72.18636667,0.023803,157,160,16.658,0.01,16.793,0.012,00 59 21.726,-72 11 10.92,710,-1.6153336,IN,1
16591,14.77305417,-72.17536389,0.002579,184,188,16.862,0.01,17.092,0.014,00 59 05.533,-72 10 31.31,,-1.6090744,IN,1
19546,14.78259583,-72.18176667,0.006104,193,197,16.903,0.011,17.152,0.014,00 59 07.823,-72 10 54.36,503,-1.6077334,IN,1
21507,14.7900875,-72.17203333,0.008616,174,177,16.784,0.01,16.971,0.013,00 59 09.621,-72 10 19.32,547,-1.6054969,IN,1
9947,14.75062917,-72.179675,0.005839,168,171,16.723,0.01,16.878,0.012,00 59 00.151,-72 10 46.83,344,-1.6041559,IN,1
18882,14.78042917,-72.17938611,0.004155,189,193,16.893,0.011,17.112,0.014,00 59 07.303,-72 10 45.79,494,-1.5853722,IN,1
30083,14.83764583,-72.17345278,0.021599,136,139,16.548,0.009,16.574,0.01,00 59 21.035,-72 10 24.43,706,-1.5670354,IN,1
20822,14.7873125,-72.18625,0.010502,110,113,16.255,0.008,16.125,0.009,00 59 08.955,-72 11 10.50,529,-1.5585405,IN,1
19453,14.78232083,-72.17875833,0.004462,203,208,16.96,0.011,17.158,0.014,00 59 07.757,-72 10 43.53,502,-1.536628,IN,1
31251,14.84630833,-72.18647222,0.025491,128,131,16.453,0.009,16.397,0.01,00 59 23.114,-72 11 11.30,727,-1.5361793,IN,1
29286,14.831825,-72.18857222,0.022361,138,141,16.558,0.009,16.554,0.011,00 59 19.638,-72 11 18.86,,-1.5357314,IN,1
9930,14.75054167,-72.17965,0.005854,212,217,16.997,0.011,17.212,0.014,00 59 00.130,-72 10 46.74,,-1.5352845,IN,1
20384,14.78562917,-72.19538056,0.018647,186,190,16.872,0.01,17.018,0.013,00 59 08.551,-72 11 43.37,516,-1.5294706,IN,1
16355,14.77234583,-72.17657778,0.001536,165,168,16.713,0.01,16.774,0.013,00 59 05.363,-72 10 35.68,,-1.5245521,IN,1
5035,14.72472917,-72.20132778,0.027307,9,10,13.517,0.002,11.966,0.001,00 58 53.935,-72 12 04.78,283,-1.5120286,IN,1
25978,14.8116375,-72.16156389,0.020731,180,184,16.836,0.01,16.944,0.013,00 59 14.793,-72 09 41.63,645,-1.5115815,IN,1
22858,14.79615,-72.16555278,0.014672,192,196,16.903,0.011,17.015,0.014,00 59 11.076,-72 09 55.99,579,-1.485196,IN,1
23703,14.79991667,-72.1989,0.02348,173,176,16.778,0.01,16.822,0.012,00 59 11.980,-72 11 56.04,594,-1.4802775,IN,1
10325,14.75213333,-72.16846111,0.01031,101,104,16.168,0.007,15.902,0.008,00 59 00.512,-72 10 06.46,,-1.4758062,IN,1
80,14.68747083,-72.19698889,0.031491,164,167,16.723,0.01,16.721,0.011,00 58 44.993,-72 11 49.16,208,-1.4637313,IN,1
21376,14.78957917,-72.19150833,0.015443,208,213,16.989,0.011,17.12,0.014,00 59 09.499,-72 11 29.43,541,-1.4637305,IN,1
24043,14.80154583,-72.16671389,0.014823,211,216,16.998,0.011,17.13,0.014,00 59 12.371,-72 10 00.17,610,-1.4605999,IN,1
21144,14.788525,-72.154375,0.023938,261,268,17.326,0.013,17.621,0.018,00 59 09.246,-72 09 15.75,,-1.4597051,IN,1
16831,14.77377083,-72.17406389,0.003818,248,255,17.251,0.012,17.482,0.017,00 59 05.705,-72 10 26.63,,-1.4360039,IN,1
17942,14.77727083,-72.17517778,0.003588,155,158,16.659,0.009,16.593,0.011,00 59 06.545,-72 10 30.64,,-1.4351082,IN,1
16808,14.77370833,-72.17644167,0.001956,235,241,17.172,0.012,17.36,0.016,00 59 05.690,-72 10 35.19,,-1.4328717,IN,1
22492,14.79457083,-72.16813333,0.012339,227,233,17.128,0.012,17.29,0.015,00 59 10.697,-72 10 05.28,565,-1.4292951,IN,1
15088,14.7685125,-72.16215278,0.015347,187,191,16.876,0.01,16.904,0.013,00 59 04.443,-72 09 43.75,437,-1.4221394,IN,1
14515,14.76669583,-72.17523333,0.002321,253,260,17.26,0.013,17.461,0.017,00 59 04.007,-72 10 30.84,,-1.4051452,IN,1
10701,14.75360833,-72.16820556,0.01033,239,246,17.222,0.012,17.401,0.016,00 59 00.866,-72 10 05.54,357,-1.4024608,IN,1
13591,14.76372083,-72.17921111,0.002218,255,262,17.292,0.013,17.503,0.017,00 59 03.293,-72 10 45.16,,-1.399779,IN,1
21928,14.79200833,-72.16675556,0.012961,240,247,17.222,0.012,17.397,0.016,00 59 10.082,-72 10 00.32,553,-1.3988833,IN,1
15294,14.76917083,-72.18193611,0.004444,259,266,17.313,0.013,17.53,0.017,00 59 04.601,-72 10 54.97,157,-1.3957546,IN,1
29991,14.83700417,-72.17310278,0.021476,241,248,17.233,0.012,17.407,0.016,00 59 20.881,-72 10 23.17,705,-1.3930702,IN,1
31053,14.84473333,-72.16635,0.025912,145,148,16.602,0.009,16.453,0.01,00 59 22.736,-72 09 58.86,724,-1.3863623,IN,1
23989,14.8012875,-72.18577222,0.013043,245,252,17.245,0.013,17.416,0.016,00 59 12.309,-72 11 08.78,,-1.3850197,IN,1
2987,14.71044167,-72.19163056,0.022658,271,278,17.386,0.013,17.623,0.018,00 58 50.506,-72 11 29.87,255,-1.3809953,IN,1
7061,14.73690833,-72.19770556,0.022376,182,186,16.854,0.01,16.817,0.012,00 58 56.858,-72 11 51.74,317,-1.3738395,IN,1
17129,14.77468333,-72.17470833,0.003402,232,238,17.144,0.012,17.249,0.015,00 59 05.924,-72 10 28.95,,-1.3711586,IN,1
16814,14.77372083,-72.17643889,0.001961,234,240,17.176,0.0,17.297,0.016,00 59 05.693,-72 10 35.18,,-1.3711568,IN,1
22405,14.7941375,-72.17605,0.00803,267,274,17.342,0.013,17.544,0.017,00 59 10.593,-72 10 33.78,564,-1.3693699,IN,1
19961,14.78413333,-72.18316667,0.007449,229,235,17.134,0.012,17.225,0.015,00 59 08.192,-72 10 59.40,,-1.3631064,IN,1
25041,14.8065375,-72.1775,0.011693,282,289,17.423,0.014,17.647,0.018,00 59 13.569,-72 10 39.00,626,-1.35282,IN,1
24231,14.80236667,-72.18608333,0.013495,262,269,17.326,0.013,17.489,0.018,00 59 12.568,-72 11 09.90,,-1.3416407,IN,1
24582,14.80412917,-72.18103611,0.011512,236,242,17.186,0.012,17.276,0.015,00 59 12.991,-72 10 51.73,620,-1.3389555,IN,1
5210,14.7258,-72.18481944,0.014932,272,279,17.385,0.013,17.564,0.018,00 58 54.192,-72 11 05.35,289,-1.3295649,IN,1
29312,14.83195,-72.18878889,0.022502,198,202,16.919,0.011,16.865,0.012,00 59 19.668,-72 11 19.64,,-1.3295649,IN,1
23861,14.80070833,-72.20216944,0.026583,224,230,17.123,0.012,17.167,0.014,00 59 12.170,-72 12 07.81,599,-1.3259892,IN,1
9235,14.7476375,-72.18137778,0.007426,238,245,17.216,0.012,17.304,0.015,00 58 59.433,-72 10 52.96,337,-1.3237535,IN,1
24142,14.80193333,-72.18625556,0.013504,249,256,17.254,0.013,17.355,0.016,00 59 12.464,-72 11 10.52,,-1.3183856,IN,1
25992,14.81169583,-72.18396111,0.014759,246,253,17.247,0.013,17.331,0.016,00 59 14.807,-72 11 02.26,,-1.3063107,IN,1
18521,14.779225,-72.19519722,0.018008,250,257,17.26,0.012,17.343,0.015,00 59 07.014,-72 11 42.71,,-1.2996027,IN,1
12186,14.7591125,-72.17757778,0.002823,313,321,17.538,0.014,17.756,0.019,00 59 02.187,-72 10 39.28,,-1.2960253,IN,1
17532,14.77592917,-72.17623056,0.002649,293,300,17.465,0.016,17.641,0.026,00 59 06.223,-72 10 34.43,,-1.2911061,IN,1
25816,14.8106875,-72.19211389,0.019532,265,272,17.328,0.013,17.435,0.016,00 59 14.565,-72 11 31.61,639,-1.2906591,IN,1
17464,14.77566667,-72.17609167,0.00265,318,326,17.552,0.021,17.766,0.034,00 59 06.160,-72 10 33.93,,-1.2861869,IN,1
23972,14.801225,-72.18007222,0.01039,297,304,17.472,0.014,17.643,0.018,00 59 12.294,-72 10 48.26,604,-1.2835026,IN,1
14181,14.76566667,-72.17714722,0.000889,284,291,17.428,0.014,17.568,0.018,00 59 03.760,-72 10 37.73,412,-1.2754545,IN,1
13612,14.7637875,-72.17265556,0.00504,341,349,17.609,0.015,17.832,0.02,00 59 03.309,-72 10 21.56,407,-1.2687466,IN,1
9902,14.7504375,-72.17721667,0.005485,287,294,17.431,0.014,17.564,0.019,00 59 00.105,-72 10 37.98,,-1.2678502,IN,1
12534,14.76025417,-72.18195,0.005091,311,319,17.535,0.015,17.714,0.02,00 59 02.461,-72 10 55.02,386,-1.2624848,IN,1
28684,14.82790833,-72.18187222,0.018749,67,70,15.724,0.006,14.992,0.005,00 59 18.698,-72 10 54.74,684,-1.2575648,IN,1
29710,14.83493333,-72.16643333,0.0232,197,201,16.913,0.011,16.775,0.012,00 59 20.384,-72 09 59.16,699,-1.2571169,IN,1
6300,14.732625,-72.17035,0.013062,334,342,17.589,0.015,17.789,0.02,00 58 55.830,-72 10 13.26,305,-1.2571161,IN,1
11192,14.75549583,-72.17954167,0.004428,298,305,17.476,0.014,17.616,0.018,00 59 01.319,-72 10 46.35,,-1.2539865,IN,1
23227,14.79780417,-72.16600556,0.014613,336,344,17.594,0.015,17.789,0.021,00 59 11.473,-72 09 57.62,,-1.250409,IN,1
14196,14.76572083,-72.18181111,0.004385,269,276,17.371,0.013,17.454,0.017,00 59 03.773,-72 10 54.52,,-1.249962,IN,1
16913,14.77402083,-72.18177222,0.004613,332,340,17.579,0.015,17.757,0.019,00 59 05.765,-72 10 54.38,463,-1.2419115,IN,1
15636,14.770175,-72.19401111,0.016521,288,295,17.433,0.014,17.537,0.017,00 59 04.842,-72 11 38.44,444,-1.2410176,IN,1
16956,14.77413333,-72.19665556,0.019238,275,282,17.404,0.013,17.493,0.017,00 59 05.792,-72 11 47.96,461,-1.2405714,IN,1
15585,14.77002917,-72.19888333,0.02139,324,332,17.562,0.015,17.728,0.019,00 59 04.807,-72 11 55.98,442,-1.2387818,IN,1
23373,14.79844583,-72.16542222,0.015194,322,330,17.557,0.014,17.7,0.019,00 59 11.627,-72 09 55.52,330,-1.2204477,IN,1
15834,14.77078333,-72.17642222,0.001313,340,348,17.602,0.015,17.761,0.02,00 59 04.988,-72 10 35.12,,-1.2146327,IN,1
10458,14.75265833,-72.15308611,0.024881,338,346,17.6,0.015,17.758,0.02,00 59 00.638,-72 09 11.11,,-1.2146311,IN,1
7660,14.7400875,-72.16476111,0.015397,385,394,17.754,0.016,17.986,0.023,00 58 57.621,-72 09 53.14,325,-1.2119492,IN,1
17399,14.7754875,-72.17565556,0.002863,416,426,17.802,0.018,18.056,0.026,00 59 06.117,-72 10 32.36,,-1.2101597,IN,1
23297,14.79810833,-72.15950833,0.02017,387,396,17.764,0.017,17.995,0.023,00 59 11.546,-72 09 34.23,590,-1.2065831,IN,1
13316,14.76282917,-72.181525,0.004363,329,337,17.57,0.015,17.698,0.019,00 59 03.079,-72 10 53.49,399,-1.2012161,IN,1
20636,14.786625,-72.18282778,0.007728,252,259,17.262,0.013,17.232,0.015,00 59 08.790,-72 10 58.18,,-1.1976395,IN,1
17177,14.7748,-72.17621667,0.002359,327,335,17.563,0.015,17.68,0.02,00 59 05.952,-72 10 34.38,,-1.1945082,IN,1
14696,14.767275,-72.17781667,0.000453,392,401,17.776,0.016,17.998,0.023,00 59 04.146,-72 10 40.14,,-1.1931664,IN,1
21685,14.79088333,-72.18705833,0.011789,281,288,17.425,0.014,17.465,0.016,00 59 09.812,-72 11 13.41,548,-1.1873533,IN,1
19788,14.78352083,-72.17694167,0.004682,323,331,17.565,0.014,17.672,0.019,00 59 08.045,-72 10 36.99,507,-1.1846689,IN,1
31678,14.84962083,-72.18910833,0.027447,358,366,17.656,0.015,17.807,0.019,00 59 23.909,-72 11 20.79,733,-1.1833262,IN,1
12432,14.75995,-72.17780278,0.002584,379,388,17.74,0.016,17.932,0.021,00 59 02.388,-72 10 40.09,,-1.1824323,IN,1
20664,14.78675,-72.17818056,0.005678,330,338,17.573,0.015,17.672,0.019,00 59 08.820,-72 10 41.45,526,-1.1739365,IN,1
8922,14.74618333,-72.18051944,0.007421,337,345,17.594,0.015,17.695,0.019,00 58 59.084,-72 10 49.87,333,-1.166333,IN,1
12033,14.75853333,-72.176675,0.003111,289,296,17.445,0.014,17.469,0.017,00 59 02.048,-72 10 36.03,,-1.1640973,IN,1
27237,14.81875833,-72.18071111,0.015763,346,354,17.616,0.015,17.725,0.019,00 59 16.502,-72 10 50.56,666,-1.1636511,IN,1
13166,14.76235833,-72.179475,0.002692,415,425,17.841,0.017,18.055,0.023,00 59 02.966,-72 10 46.11,397,-1.1569424,IN,1
30772,14.84243333,-72.17701389,0.022685,350,358,17.623,0.015,17.727,0.018,00 59 22.184,-72 10 37.25,715,-1.1560476,IN,1
19602,14.78283333,-72.17661944,0.004525,408,418,17.826,0.017,18.027,0.023,00 59 07.880,-72 10 35.83,505,-1.1520222,IN,1
14956,14.76806667,-72.19918611,0.021686,343,351,17.608,0.015,17.693,0.019,00 59 04.336,-72 11 57.07,424,-1.1457622,IN,1
