,source_id,RA,DEC,g,bp_rp,phot_variable_flag,Star_Id,RA_HST,Dec_HST,RA_toGaia,Dec_toGaia,F125W,eF125W,F139M,eF139M,F160W,eF160W,J,eJ,H,eH,Ks,eKs,inMUSE,membership,Weight,in_field,mask
170,5.94e+18,251.7805082,-45.84625919,17.689894,5.664752,NOT_AVAILABLE,1490.0,251.780515,-45.8462633,251.7805005,-45.8462629,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,12.621999,0.012,11.420999,0.008999,10.873999,0.016,1.0,1.0,1.0,IN,3
314,5.94e+18,251.7812283,-45.85346296,19.806143,,NOT_AVAILABLE,26869.0,251.7812331,-45.85346574,251.7812128,-45.853467,14.5183,0.051,13.8246,0.046,13.3967,0.034,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,1.0,0.0,4.0,IN,3
208,5.94e+18,251.782529,-45.83522944,17.167385,5.35623,NOT_AVAILABLE,1871.0,251.7825275,-45.8352385,251.7825227,-45.8352349,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,12.168999,0.016,10.927,0.010999,10.378999,0.014,0.0,1.0,2.0,IN,3
602,5.94e+18,251.7838186,-45.8506964,20.620493,2.556858,NOT_AVAILABLE,27661.0,251.7838294,-45.85069599,251.7838122,-45.850696,17.1863,0.054,16.7756,0.05,16.4937,0.058,17.035999,0.079999,16.216999,0.065999,15.793999,0.048999,0.0,0.0,5.0,IN,3
591,5.94e+18,251.7845615,-45.83907184,20.634718,2.6316185,NOT_AVAILABLE,27071.0,251.7845797,-45.83907108,251.7845723,-45.8390681,15.7833,0.031,15.2266,0.038,14.9427,0.04,15.826,0.018999,14.711,0.016,14.178999,0.023,0.0,0.0,5.0,IN,3
582,5.94e+18,251.7853054,-45.83482985,18.815567,4.224493,NOT_AVAILABLE,1891.0,251.785306,-45.8348375,251.7853023,-45.8348333,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,13.605999,0.013,12.284,0.009999,11.689,0.016,0.0,0.0,5.0,IN,3
569,5.94e+18,251.7861192,-45.85505476,16.366451,1.4655437,NOT_AVAILABLE,26883.0,251.7861281,-45.8550623,251.7861079,-45.855063,14.6193,0.032,14.2756,0.046,14.0907,0.045,14.644,0.009999,13.970999,0.010999,13.836999,0.021999,0.0,0.0,5.0,IN,3
197,5.94e+18,251.7867914,-45.84546201,19.943785,5.165243,NOT_AVAILABLE,26939.0,251.7868077,-45.8454626,251.7867956,-45.8454608,15.0793,0.034,14.5646,0.042,14.3067,0.045,15.057999,0.028,13.857,0.028,13.458,0.045,0.0,1.0,2.0,IN,3
193,5.94e+18,251.7879654,-45.85287297,18.165833,4.5495167,NOT_AVAILABLE,3342.0,251.7879685,-45.8528826,251.7879506,-45.8528824,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,13.454999,0.008999,12.312,0.008999,11.786999,0.010999,0.0,1.0,2.0,IN,3
527,5.94e+18,251.7891375,-45.85364305,20.286604,2.8620205,NOT_AVAILABLE,26988.0,251.7891533,-45.85364607,251.7891351,-45.8536459,15.3923,0.038,14.9126,0.04,14.6637,0.035,15.491,0.014,14.333999,0.010999,13.793999,0.016,0.0,0.0,5.0,IN,3
521,5.94e+18,251.7901404,-45.83824467,20.447214,4.1946983,NOT_AVAILABLE,26931.0,251.7901604,-45.83824583,251.7901552,-45.8382415,15.0063,0.036,14.4116,0.052,14.0497,0.044,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,0.0,0.0,5.0,IN,3
512,5.94e+18,251.7909842,-45.84736256,20.593775,3.5108395,NOT_AVAILABLE,27061.0,251.7909995,-45.84736381,251.790987,-45.8473617,15.7453,0.034,15.0386,0.044,14.7167,0.055,15.675999,0.021999,14.381999,0.017999,13.810999,0.024,0.0,0.0,5.0,IN,3
505,5.94e+18,251.7918694,-45.86488673,19.371208,4.3816967,NOT_AVAILABLE,26858.0,251.7918838,-45.86489216,251.791857,-45.8648943,14.3853,0.046,13.9596,0.054,13.5867,0.045,14.548,0.010999,13.336999,0.008999,12.779999,0.014,0.0,0.0,5.0,IN,3
495,5.94e+18,251.7928359,-45.85827693,20.970644,2.4733906,NOT_AVAILABLE,27063.0,251.7928427,-45.85828127,251.7928217,-45.8582815,15.7493,0.054,15.0996,0.063,14.8147,0.062,15.442999,0.021999,14.078,0.008,13.439999,0.017999,0.0,0.0,5.0,IN,3
486,5.94e+18,251.7935327,-45.83263235,20.435158,3.3127823,NOT_AVAILABLE,27730.0,251.7935516,-45.83263591,251.793552,-45.8326296,17.3153,0.022,16.9126,0.032,16.6537,0.03,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,0.0,0.0,5.0,IN,3
181,5.94e+18,251.7943285,-45.84625823,16.932882,4.6810293,NOT_AVAILABLE,1489.0,251.7943302,-45.8462703,251.7943196,-45.8462672,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,12.442999,0.012,11.328,0.009999,10.848999,0.016,0.0,1.0,2.0,IN,3
457,5.94e+18,251.7954683,-45.83836347,20.1685,3.1455708,NOT_AVAILABLE,26915.0,251.7954892,-45.83836168,251.7954854,-45.8383564,14.9163,0.03,14.2716,0.038,13.8707,0.037,14.928999,0.013,13.614,0.008999,13.015999,0.017,0.0,0.0,5.0,IN,3
