,source_id,RA,DEC,g,bp_rp,phot_variable_flag,Star_Id,RA_HST,Dec_HST,RA_toGaia,Dec_toGaia,F125W,eF125W,F139M,eF139M,F160W,eF160W,J,eJ,H,eH,Ks,eKs,inMUSE,membership,Weight,in_field,mask
294,5.94e+18,251.7262031,-45.85846904,17.708067,4.2532063,NOT_AVAILABLE,3192.0,251.726245,-45.858453,251.7262051,-45.8584659,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,13.565999,0.008,12.666,0.006,12.218,0.009999,0.0,1.0,2.0,IN,0
293,5.94e+18,251.7275018,-45.85098608,17.95478,4.726717,NOT_AVAILABLE,1334.0,251.7275378,-45.8509767,251.7275045,-45.8509875,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,13.536,0.008999,12.550999,0.007,12.067999,0.009999,0.0,1.0,2.0,IN,0
291,5.94e+18,251.728923,-45.83499442,16.118586,5.157832,NOT_AVAILABLE,1888.0,251.7289344,-45.834987,251.7289147,-45.8349935,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,11.447999,0.018999,10.42,0.017,9.8249998,0.023,0.0,1.0,2.0,IN,0
290,5.94e+18,251.7299185,-45.87012437,18.043762,4.3198357,NOT_AVAILABLE,618.0,251.7299701,-45.8701072,251.7299216,-45.8701224,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,13.953,0.008999,13.048,0.006,12.579,0.016,0.0,1.0,2.0,IN,0
288,5.94e+18,251.7313877,-45.85959306,16.7809,4.7834578,VARIABLE,5884.0,251.7314315,-45.8595829,251.7313921,-45.8595951,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,11.885,0.008999,10.656999,0.004,9.8839998,0.008999,0.0,1.0,2.0,IN,0
286,5.94e+18,251.7329613,-45.86151589,16.151295,4.594393,NOT_AVAILABLE,944.0,251.7330081,-45.861505,251.7329676,-45.8615174,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,11.656,0.008999,10.635,0.004999,10.147,0.008999,0.0,1.0,2.0,IN,0
284,5.94e+18,251.7343787,-45.87068736,18.240204,3.871275,NOT_AVAILABLE,17654.0,251.7344107,-45.87067593,251.734363,-45.8706904,14.3763,0.056,14.0446,0.114,13.7007,0.087,14.173,0.009999,13.265,0.007,12.805,0.014999,0.0,1.0,2.0,IN,0
282,5.94e+18,251.7366096,-45.83934239,18.659666,4.1676693,NOT_AVAILABLE,7226.0,251.7366808,-45.8393367,251.7366597,-45.8393428,14.2913,0.025,13.9226,0.067,13.5947,0.046,14.286999,0.010999,13.324,0.010999,12.840999,0.012,0.0,1.0,2.0,IN,0
281,5.94e+18,251.7373428,-45.848899,16.951258,5.339238,NOT_AVAILABLE,1392.0,251.737375,-45.848897,251.7373462,-45.8489054,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,12.079999,0.009999,10.942999,0.004,10.390999,0.008999,0.0,1.0,2.0,IN,0
280,5.94e+18,251.738147,-45.8361103,15.8957815,4.46951,NOT_AVAILABLE,1841.0,251.7381622,-45.8361104,251.7381442,-45.8361154,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,11.574999,0.012,10.595,0.008,10.098999,0.008999,0.0,1.0,2.0,IN,0
278,5.94e+18,251.7406146,-45.82944758,17.432692,4.4602833,NOT_AVAILABLE,4399.0,251.7406195,-45.8294443,251.7406077,-45.8294472,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,13.184,0.014999,12.213,0.013,11.756999,0.016,0.0,1.0,2.0,IN,0
274,5.94e+18,251.7415509,-45.86135658,16.199684,4.778697,NOT_AVAILABLE,4306.0,251.7415945,-45.8613499,251.7415565,-45.8613606,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,11.72,0.010999,10.68,0.007,10.211,0.014,0.0,1.0,2.0,IN,0
271,5.94e+18,251.7427164,-45.8460744,17.543175,4.805649,NOT_AVAILABLE,1492.0,251.7427434,-45.8460763,251.7427184,-45.846083,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,12.967,0.013,11.911,0.006,11.420999,0.013,0.0,1.0,2.0,IN,0
266,5.94e+18,251.7437684,-45.87425228,16.083725,3.9464178,NOT_AVAILABLE,2766.0,251.7438218,-45.8742383,251.7437738,-45.8742519,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,12.166999,0.008999,11.279,0.007,10.876999,0.017,0.0,1.0,2.0,IN,0
265,5.94e+18,251.7445492,-45.8540978,15.657798,4.562808,NOT_AVAILABLE,1201.0,251.7445849,-45.854096,251.7445538,-45.8541044,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,11.326,0.012,10.324,0.006,9.8479995,0.012,0.0,1.0,2.0,IN,0
261,5.94e+18,251.7452646,-45.86277872,15.7542925,4.7846937,NOT_AVAILABLE,5877.0,251.7453124,-45.8627692,251.7452743,-45.8627796,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,11.26,0.010999,10.208,0.006,9.7519998,0.016,0.0,1.0,2.0,IN,0
60,5.94e+18,251.7460215,-45.84120898,15.271654,4.167898,NOT_AVAILABLE,1655.0,251.746042,-45.8412145,251.746022,-45.8412193,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,11.142999,0.009999,10.217,0.004,9.7740001,0.008999,1.0,1.0,1.0,IN,0
18,5.94e+18,251.7474882,-45.84632815,15.5722275,4.390855,NOT_AVAILABLE,1484.0,251.7475143,-45.8463322,251.7474904,-45.846338,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,11.326999,0.013,10.338,0.006,9.8760004,0.010999,1.0,1.0,1.0,IN,0
93,5.94e+18,251.7488104,-45.84756822,13.681605,4.471731,NOT_AVAILABLE,6122.0,251.7488466,-45.8475749,251.7488221,-45.8475808,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,9.2600002,0.024,8.1680002,0.041,7.2709999,0.054,1.0,1.0,1.0,IN,0
50,5.94e+18,251.7497257,-45.84044335,16.619467,4.470212,NOT_AVAILABLE,1683.0,251.749743,-45.8404503,251.7497246,-45.8404542,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,12.295999,0.012,11.282999,0.006,10.822999,0.013,1.0,1.0,1.0,IN,0
169,5.94e+18,251.7505964,-45.85291989,16.154102,5.0205736,NOT_AVAILABLE,1251.0,251.7506263,-45.8529212,251.7505979,-45.8529281,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,11.496999,0.012,10.371999,0.008,9.8509998,0.012,1.0,1.0,1.0,IN,0
28,5.94e+18,251.7516877,-45.85620515,16.97243,5.1407175,NOT_AVAILABLE,3255.0,251.7517213,-45.8562051,251.7516905,-45.8562126,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,12.223999,0.010999,11.088999,0.008999,10.567999,0.014999,1.0,1.0,1.0,IN,0
150,5.94e+18,251.7524717,-45.85378974,17.136803,4.3060246,NOT_AVAILABLE,1219.0,251.752497,-45.853792,251.7524684,-45.8537988,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,12.411999,0.014999,11.277,0.008,10.748999,0.012,1.0,1.0,1.0,IN,0
5,5.94e+18,251.753177,-45.85696438,17.145964,5.145056,NOT_AVAILABLE,1099.0,251.7532107,-45.8569617,251.7531796,-45.8569691,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,12.338,0.010999,11.194999,0.008999,10.678,0.016,1.0,1.0,1.0,IN,0
142,5.94e+18,251.7538951,-45.84497679,17.510218,4.665182,VARIABLE,3553.0,251.7539224,-45.8449834,251.7539015,-45.8449877,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,13.114,0.014,12.098999,0.008999,11.631999,0.014999,1.0,1.0,1.0,IN,0
27,5.94e+18,251.7546192,-45.8537891,14.797423,5.026558,VARIABLE,5905.0,251.7546512,-45.8537921,251.7546232,-45.8537985,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,10.057,0.014,8.861,0.013,8.21,0.021999,1.0,1.0,1.0,IN,0
92,5.94e+18,251.7555723,-45.8530132,18.091433,4.766838,NOT_AVAILABLE,5610.0,251.7556029,-45.8530183,251.7555758,-45.8530243,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,13.223999,0.013,12.036,0.008999,11.491,0.020999,1.0,1.0,1.0,IN,0
15,5.94e+18,251.7563424,-45.84884271,16.470919,5.092305,NOT_AVAILABLE,1397.0,251.7563655,-45.8488493,251.7563421,-45.8488541,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,11.751999,0.012,10.597,0.009999,10.06,0.010999,1.0,1.0,1.0,IN,0
12,5.94e+18,251.7572015,-45.84985377,18.39526,4.976204,NOT_AVAILABLE,5798.0,251.7572424,-45.8498766,251.7572183,-45.8498815,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,13.487999,0.025,12.402,0.018999,11.692,0.081,1.0,1.0,1.0,IN,0
13,5.94e+18,251.7584246,-45.85299094,18.356144,4.812174,NOT_AVAILABLE,5910.0,251.7584531,-45.8529937,251.7584268,-45.8529991,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,13.633999,0.014999,12.532999,0.016,12.005999,0.018999,1.0,1.0,1.0,IN,0
3,5.94e+18,251.759463,-45.83828671,17.461937,4.9808846,NOT_AVAILABLE,3709.0,251.759474,-45.8382954,251.7594602,-45.838297,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,12.871,0.012,11.774999,0.008,11.282999,0.013,1.0,1.0,1.0,IN,0
7,5.94e+18,251.7602242,-45.85813532,16.49902,5.2902994,NOT_AVAILABLE,1051.0,251.7602525,-45.8581342,251.7602225,-45.8581406,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,11.623999,0.008999,10.444999,0.008,9.9110002,0.012,1.0,1.0,1.0,IN,0
72,5.94e+18,251.7611331,-45.84737395,14.676561,4.878337,VARIABLE,5931.0,251.7611563,-45.8473844,251.7611354,-45.8473879,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,10.072999,0.013,8.9849996,0.013,8.4219999,0.018999,1.0,1.0,1.0,IN,0
9,5.94e+18,251.7619146,-45.84616786,15.712761,4.937068,NOT_AVAILABLE,5109.0,251.7619322,-45.8461761,251.7619125,-45.8461792,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,11.031999,0.012,9.9069995,0.008,9.3839998,0.012,1.0,1.0,1.0,IN,0
31,5.94e+18,251.7631134,-45.85968316,16.968779,4.9960203,NOT_AVAILABLE,997.0,251.7631395,-45.8596827,251.763109,-45.8596889,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,12.293999,0.008999,11.168,0.008,10.678,0.013,1.0,1.0,1.0,IN,0
126,5.94e+18,251.7638393,-45.85710611,18.03465,4.822693,NOT_AVAILABLE,3232.0,251.7638619,-45.857107,251.7638337,-45.8571125,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,13.09,0.010999,11.826999,0.012,11.345,0.014,1.0,1.0,1.0,IN,0
34,5.94e+18,251.7648911,-45.86280728,17.27792,4.949295,NOT_AVAILABLE,3064.0,251.7649182,-45.8628024,251.7648856,-45.8628091,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,12.626,0.012,11.494999,0.009999,10.989,0.014,1.0,1.0,1.0,IN,0
1,5.94e+18,251.7661701,-45.85870772,17.158815,5.965618,NOT_AVAILABLE,1028.0,251.766193,-45.8587083,251.7661642,-45.8587137,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,11.854999,0.010999,10.543999,0.008,9.9309997,0.009999,1.0,1.0,1.0,IN,0
26,5.94e+18,251.7671212,-45.84422926,15.153915,4.88445,NOT_AVAILABLE,5132.0,251.7671342,-45.844237,251.7671176,-45.8442386,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,10.546999,0.010999,9.5080003,0.016,8.9130001,0.024,1.0,1.0,1.0,IN,0
22,5.94e+18,251.7680936,-45.8604256,16.389093,4.154705,NOT_AVAILABLE,5581.0,251.7681202,-45.8604173,251.7680905,-45.8604228,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,11.954999,0.009999,10.508,0.006,9.9160003,0.017,1.0,1.0,1.0,IN,0
73,5.94e+18,251.7690019,-45.84986745,16.598217,5.309016,NOT_AVAILABLE,1374.0,251.7690185,-45.8498743,251.7689978,-45.849877,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,11.782999,0.013,10.623999,0.008999,10.092,0.012,1.0,1.0,1.0,IN,0
41,5.94e+18,251.7699151,-45.84136156,16.816177,4.4624786,NOT_AVAILABLE,6143.0,251.7699353,-45.8413593,251.7699219,-45.8413596,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,12.423,0.020999,11.368,0.043,11.081,0.052999,1.0,1.0,1.0,IN,0
2,5.94e+18,251.7707492,-45.83707902,16.913752,4.566023,NOT_AVAILABLE,3745.0,251.7707538,-45.8370869,251.7707441,-45.837086,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,12.434,0.014,11.376999,0.008,10.850999,0.014,1.0,1.0,1.0,IN,0
40,5.94e+18,251.7717413,-45.85357207,18.068977,5.4754715,NOT_AVAILABLE,1227.0,251.7717583,-45.8535744,251.7717353,-45.8535775,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,12.43,0.010999,11.008,0.008,10.340999,0.014,1.0,1.0,1.0,IN,0
55,5.94e+18,251.7726865,-45.8485708,18.866102,5.3562183,NOT_AVAILABLE,26837.0,251.772702,-45.84857243,251.7726834,-45.8485741,14.0683,0.043,13.6436,0.054,13.2227,0.054,14.138999,0.030999,13.057999,0.020999,12.501999,0.016,1.0,1.0,1.0,IN,0
4,5.94e+18,251.7738023,-45.83852729,19.106928,5.25305,NOT_AVAILABLE,1754.0,251.7738086,-45.8385359,251.7737986,-45.8385348,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,13.491,0.014,11.772999,0.008999,11.079,0.014999,1.0,1.0,1.0,IN,0
747,5.94e+18,251.7745134,-45.85017971,20.358366,,NOT_AVAILABLE,27017.0,251.7745258,-45.85018169,251.7745064,-45.8501834,15.5223,0.034,14.9666,0.047,14.6267,0.038,15.565999,0.028999,14.489,0.032,13.538,0.046999,1.0,0.0,5.0,IN,0
19,5.94e+18,251.7752565,-45.8412968,18.702042,4.3576584,NOT_AVAILABLE,43303.0,251.775271,-45.84129683,251.7752591,-45.8412961,13.8193,0.045,13.2906,0.054,13.0547,0.054,13.824999,0.018999,12.694999,0.016,12.199999,0.021999,1.0,1.0,1.0,IN,0
0,5.94e+18,251.7760249,-45.84704235,15.566784,4.927703,NOT_AVAILABLE,3492.0,251.776033,-45.8470512,251.7760166,-45.8470518,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,10.984999,0.013,9.8979997,0.004999,9.3649997,0.014,1.0,1.0,1.0,IN,0
16,5.94e+18,251.7768761,-45.84059399,14.026128,4.738014,VARIABLE,5813.0,251.7768926,-45.8406013,251.7768817,-45.8406001,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,9.3009996,0.029999,8.3719997,0.057999,7.1430001,0.065999,1.0,1.0,1.0,IN,0
17,5.94e+18,251.7779322,-45.84220133,18.642384,4.2158165,NOT_AVAILABLE,26836.0,251.7779488,-45.84220011,251.7779369,-45.8421991,14.0643,0.04,13.4856,0.051,13.1637,0.049,14.088,0.017,13.149999,0.037,12.598999,0.039,1.0,1.0,1.0,IN,0
107,5.94e+18,251.7792299,-45.85071309,18.904055,4.6504536,NOT_AVAILABLE,3399.0,251.7792429,-45.8507178,251.7792243,-45.8507187,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,13.545,0.016,12.17,0.008999,11.522,0.019999,1.0,1.0,1.0,IN,0
