,source_id,RA,DEC,g,bp_rp,phot_variable_flag,Star_Id,RA_HST,Dec_HST,RA_toGaia,Dec_toGaia,F125W,eF125W,F139M,eF139M,F160W,eF160W,J,eJ,H,eH,Ks,eKs,inMUSE,membership,Weight,in_field,mask
295,5.94e+18,251.7262017,-45.86519384,15.305002,5.2044096,NOT_AVAILABLE,5560.0,251.726256,-45.8651762,251.7262106,-45.8651908,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,10.529,0.008,9.4770002,0.024,8.8310003,0.018999,0.0,1.0,2.0,IN,1
292,5.94e+18,251.7285478,-45.86934144,16.293781,5.391094,NOT_AVAILABLE,4275.0,251.7285966,-45.8693254,251.7285484,-45.8693406,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,11.072999,0.008,9.5880002,0.017,8.8669996,0.025,0.0,1.0,2.0,IN,1
289,5.94e+18,251.7308399,-45.86509061,16.459496,4.849004,NOT_AVAILABLE,827.0,251.7308902,-45.8650758,251.7308461,-45.8650895,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,11.928,0.008999,10.904,0.004,10.406999,0.014,0.0,1.0,2.0,IN,1
287,5.94e+18,251.7328822,-45.86643402,18.185682,4.3539944,NOT_AVAILABLE,773.0,251.7329308,-45.8664213,251.7328862,-45.866435,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,13.734999,0.008999,12.722,0.004999,12.218999,0.013,0.0,1.0,2.0,IN,1
285,5.94e+18,251.7341358,-45.84812937,18.983734,4.6055946,NOT_AVAILABLE,5878.0,251.7342001,-45.84812092,251.734171,-45.8481297,14.3903,0.05,13.6916,0.032,13.4207,0.028,14.208999,0.010999,13.130999,0.007,12.583999,0.012,0.0,1.0,2.0,IN,1
283,5.94e+18,251.7363447,-45.85688504,18.496763,4.2072334,NOT_AVAILABLE,9852.0,251.7364098,-45.85688188,251.7363741,-45.8568925,14.0753,0.039,13.6686,0.05,13.4327,0.05,14.137,0.009999,13.166,0.008,12.670999,0.017999,0.0,1.0,2.0,IN,1
279,5.94e+18,251.740395,-45.87525252,16.978718,3.8035336,NOT_AVAILABLE,2737.0,251.7404472,-45.8752351,251.7403974,-45.8752496,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,13.057999,0.009999,12.189,0.007,11.763999,0.014999,0.0,1.0,2.0,IN,1
275,5.94e+18,251.741227,-45.87182368,14.276823,5.251753,NOT_AVAILABLE,175.0,251.741218,-45.871811,251.7411713,-45.8718244,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,9.2370004,0.017999,7.8189997,0.018999,7.2210001,0.023,0.0,1.0,2.0,IN,1
272,5.94e+18,251.7426766,-45.84278833,17.014055,4.2460127,VARIABLE,1603.0,251.7426995,-45.8427915,251.7426772,-45.8427974,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,12.407999,0.009999,11.369,0.004,10.883999,0.013,0.0,1.0,2.0,IN,1
267,5.94e+18,251.7436233,-45.87652548,18.62544,4.0133324,NOT_AVAILABLE,16331.0,251.7436507,-45.87651047,251.7436008,-45.8765246,14.3823,0.025,13.8816,0.044,13.6367,0.043,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,0.0,1.0,2.0,IN,1
262,5.94e+18,251.7449873,-45.85012071,19.16399,4.32843,NOT_AVAILABLE,3392.0,251.7450541,-45.85011668,251.7450264,-45.8501239,14.5463,0.039,14.0766,0.051,13.8337,0.047,14.56,0.010999,13.47,0.007,12.928,0.014999,0.0,1.0,2.0,IN,1
258,5.94e+18,251.7458791,-45.87210325,18.473461,4.0415287,NOT_AVAILABLE,20807.0,251.7459051,-45.87209032,251.7458595,-45.8721029,14.2303,0.039,13.8096,0.047,13.6387,0.046,14.286,0.009999,13.361,0.008999,12.866999,0.016,0.0,1.0,2.0,IN,1
46,5.94e+18,251.7474195,-45.84386292,17.478333,4.385338,NOT_AVAILABLE,839.0,251.7474905,-45.84385112,251.7474686,-45.8438563,13.3533,0.056,12.6286,0.049,12.7837,0.118,13.092,0.016,12.123,0.010999,11.638999,0.019999,1.0,1.0,1.0,IN,1
112,5.94e+18,251.7491387,-45.83960973,15.848607,4.3539143,NOT_AVAILABLE,1710.0,251.7491544,-45.8396186,251.7491366,-45.8396224,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,11.67,0.014999,10.694999,0.004999,10.262,0.009999,1.0,1.0,1.0,IN,1
252,5.94e+18,251.7501386,-45.86196111,18.08619,4.473278,NOT_AVAILABLE,4796.0,251.7501804,-45.8619579,251.7501444,-45.8619672,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,13.312,0.023,12.17,0.012,11.649,0.028,0.0,1.0,2.0,IN,1
83,5.94e+18,251.7515969,-45.85886374,15.163219,5.0131016,NOT_AVAILABLE,5587.0,251.751634,-45.8588615,251.7516009,-45.8588697,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,10.465,0.009999,9.3769998,0.008999,8.8310003,0.013,1.0,1.0,1.0,IN,1
10,5.94e+18,251.7524115,-45.85541521,20.488997,4.844652,NOT_AVAILABLE,22391.0,251.7524463,-45.85540009,251.7524164,-45.8554073,16.3703,0.052,15.8386,0.053,15.5297,0.058,16.326999,0.035,15.276,0.052,14.85,0.166999,1.0,1.0,1.0,IN,1
75,5.94e+18,251.7531291,-45.84724253,17.733225,4.5398407,NOT_AVAILABLE,3485.0,251.7531504,-45.8472499,251.7531274,-45.8472549,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,13.227,0.013,12.159999,0.008999,11.649999,0.012,1.0,1.0,1.0,IN,1
57,5.94e+18,251.7540799,-45.84350695,17.815054,4.69952,NOT_AVAILABLE,5810.0,251.7541158,-45.8435265,251.7540961,-45.8435304,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,13.498999,0.024,12.480999,0.028,12.074999,0.065999,1.0,1.0,1.0,IN,1
67,5.94e+18,251.7548679,-45.84079612,16.510962,6.3280373,NOT_AVAILABLE,4363.0,251.75489,-45.8408052,251.7548728,-45.8408083,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,12.213999,0.014,11.168999,0.008999,10.673,0.016,1.0,1.0,1.0,IN,1
33,5.94e+18,251.7556523,-45.86273866,13.027338,4.865925,VARIABLE,46.0,251.755678,-45.862686,251.7556429,-45.8626944,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,8.1330003,0.010999,7.6859998,,6.9299998,,1.0,1.0,1.0,IN,1
118,5.94e+18,251.7566438,-45.86258371,16.236626,5.0215607,NOT_AVAILABLE,5878.0,251.7566751,-45.8625806,251.7566404,-45.8625888,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,11.428999,0.027,10.043,0.014,9.3179998,0.012,1.0,1.0,1.0,IN,1
42,5.94e+18,251.7580623,-45.85109286,17.398506,5.463917,NOT_AVAILABLE,1328.0,251.7580897,-45.8510956,251.7580649,-45.8511006,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,12.461,0.012,11.274999,0.009999,10.734,0.013,1.0,1.0,1.0,IN,1
23,5.94e+18,251.7587916,-45.85697962,16.090353,5.2548637,NOT_AVAILABLE,3235.0,251.7588213,-45.8569819,251.7587918,-45.8569883,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,11.328,0.009999,10.164999,0.007,9.6160001,0.010999,1.0,1.0,1.0,IN,1
97,5.94e+18,251.759571,-45.86161928,13.951048,4.7610254,NOT_AVAILABLE,6197.0,251.7596066,-45.8616193,251.7595735,-45.8616267,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,9.4499998,0.012,8.2519998,0.025,7.5900001,0.032,1.0,1.0,1.0,IN,1
6,5.94e+18,251.7605251,-45.86346619,15.795116,4.544902,NOT_AVAILABLE,884.0,251.760559,-45.8634617,251.7605246,-45.8634694,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,11.493,0.008999,10.465999,0.008999,10.001999,0.012,1.0,1.0,1.0,IN,1
61,5.94e+18,251.7615361,-45.85127116,16.57099,5.4561033,NOT_AVAILABLE,1318.0,251.7615573,-45.8512783,251.7615333,-45.8512827,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,11.574999,0.012,10.348999,0.009999,9.7969999,0.014,1.0,1.0,1.0,IN,1
45,5.94e+18,251.7622994,-45.84232997,18.79357,4.5041122,NOT_AVAILABLE,44390.0,251.7622586,-45.84233512,251.7622422,-45.8423372,14.0443,0.025,13.4956,0.036,13.2217,0.048,13.831,0.046,12.739999,0.035,12.305999,0.061999,1.0,1.0,1.0,IN,1
