,source_id,RA,DEC,g,bp_rp,phot_variable_flag,Star_Id,RA_HST,Dec_HST,RA_toGaia,Dec_toGaia,F125W,eF125W,F139M,eF139M,F160W,eF160W,J,eJ,H,eH,Ks,eKs,inMUSE,membership,Weight,in_field,mask
296,5.94e+18,251.7259651,-45.82852152,17.064583,4.460944,VARIABLE,6112.0,251.7259746,-45.8285043,251.7259594,-45.8285097,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,11.109,0.034,9.25,0.043,8.1669998,0.052999,0.0,1.0,2.0,IN,2
276,5.94e+18,251.7411113,-45.85350682,18.436949,4.145998,NOT_AVAILABLE,3319.0,251.7411465,-45.8535057,251.7411149,-45.8535146,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,13.963,0.009999,12.942999,0.007,12.451,0.014999,0.0,1.0,2.0,IN,2
273,5.94e+18,251.7426175,-45.84916267,16.571804,5.000103,NOT_AVAILABLE,3434.0,251.7426469,-45.8491635,251.7426193,-45.849171,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,11.913,0.010999,10.829999,0.007,10.317,0.010999,0.0,1.0,2.0,IN,2
268,5.94e+18,251.7434039,-45.85870993,14.64251,4.6280403,NOT_AVAILABLE,5589.0,251.743449,-45.858706,251.7434138,-45.8587157,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,10.189,0.008999,9.1660003,0.014999,8.6260004,0.018999,0.0,1.0,2.0,IN,2
263,5.94e+18,251.7447786,-45.85167226,18.46314,4.1460476,NOT_AVAILABLE,5796.0,251.7448046,-45.8516734,251.7447756,-45.8516811,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,14.0,0.014,12.940999,0.012,12.435,0.023,0.0,1.0,2.0,IN,2
259,5.94e+18,251.7456055,-45.86360099,14.07758,4.841465,NOT_AVAILABLE,6051.0,251.7456529,-45.8635952,251.7456142,-45.8636057,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,9.4750003,0.014,9.0620002,0.07,7.5009999,0.039,0.0,1.0,2.0,IN,2
65,5.94e+18,251.7474452,-45.85199099,17.679665,5.0793056,NOT_AVAILABLE,1294.0,251.7474784,-45.8519933,251.7474498,-45.8520006,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,12.932,0.012,11.795,0.008,11.260999,0.013,1.0,1.0,1.0,IN,2
255,5.94e+18,251.7490394,-45.86115478,18.4106,4.45154,VARIABLE,6054.0,251.7490809,-45.8611486,251.7490452,-45.8611579,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,13.539999,0.043,12.395999,0.032999,11.914999,0.016,0.0,1.0,2.0,IN,2
253,5.94e+18,251.7497648,-45.85726231,16.662855,5.0184927,NOT_AVAILABLE,1090.0,251.7498,-45.8572619,251.7497677,-45.8572701,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,12.022,0.013,10.909,0.008,10.404,0.014999,0.0,1.0,2.0,IN,2
21,5.94e+18,251.7519546,-45.85241594,17.082918,4.9016933,NOT_AVAILABLE,3355.0,251.7519835,-45.8524181,251.7519559,-45.8524246,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,12.411999,0.012,11.293999,0.008,10.777999,0.009999,1.0,1.0,1.0,IN,2
48,5.94e+18,251.7528226,-45.84453091,18.763947,4.5990677,NOT_AVAILABLE,10800.0,251.7528934,-45.84452746,251.7528725,-45.8445318,14.0153,0.04,13.5616,0.058,13.2407,0.038,14.178,0.018999,13.204999,0.014,12.670999,0.021999,1.0,1.0,1.0,IN,2
8,5.94e+18,251.7536626,-45.85571579,16.311314,5.6144238,NOT_AVAILABLE,5599.0,251.7536946,-45.8557174,251.7536647,-45.8557244,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,10.984999,0.012,9.6070003,0.007,8.7659997,0.014999,1.0,1.0,1.0,IN,2
155,5.94e+18,251.7551884,-45.83781003,17.680878,4.4113483,NOT_AVAILABLE,44384.0,251.7551475,-45.83781016,251.7551328,-45.8378124,13.6033,0.062,12.8356,0.044,12.6417,0.041,13.333,0.010999,12.324,0.007,11.866,0.013,1.0,1.0,1.0,IN,2
