,source_id,RA,DEC,g,bp_rp,phot_variable_flag,Star_Id,RA_HST,Dec_HST,RA_toGaia,Dec_toGaia,F125W,eF125W,F139M,eF139M,F160W,eF160W,J,eJ,H,eH,Ks,eKs,inMUSE,membership,Weight,in_field,mask
52,5.94e+18,251.7559241,-45.84666695,17.376497,4.8616133,NOT_AVAILABLE,3503.0,251.7559466,-45.8466732,251.7559248,-45.8466775,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,12.796999,0.014,11.708,0.008,11.21,0.014,1.0,1.0,1.0,IN,2
37,5.94e+18,251.7575968,-45.8619653,15.551808,5.006811,NOT_AVAILABLE,3082.0,251.7576311,-45.8619624,251.7575972,-45.8619703,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,10.956999,0.009999,9.8629999,0.008,9.3549995,0.013,1.0,1.0,1.0,IN,2
422,5.94e+18,251.7584771,-45.85377479,19.076902,,NOT_AVAILABLE,19497.0,251.75851,-45.85375866,251.7584831,-45.8537643,14.2993,0.026,13.7336,0.04,13.4417,0.035,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,1.0,0.0,4.0,IN,2
36,5.94e+18,251.7592401,-45.84973519,12.348214,5.9858303,VARIABLE,3.0,251.759273,-45.849747,251.7592496,-45.8497515,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,6.716,0.007,5.4899997,0.014999,4.795,0.010999,1.0,1.0,1.0,IN,2
76,5.94e+18,251.760121,-45.85545473,18.277308,5.0478535,NOT_AVAILABLE,4917.0,251.7601507,-45.8554588,251.7601228,-45.8554645,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,13.621,0.023,12.515999,0.017999,12.032999,0.023,1.0,1.0,1.0,IN,2
96,5.94e+18,251.7608974,-45.84439396,18.28488,4.2319508,NOT_AVAILABLE,5129.0,251.76092,-45.844395,251.7609015,-45.8443978,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,13.677,0.017,12.541999,0.018999,12.145,0.024,1.0,1.0,1.0,IN,2
141,5.94e+18,251.7617253,-45.86294773,18.40009,4.366106,VARIABLE,3062.0,251.7617522,-45.8629447,251.7617186,-45.862952,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,13.866999,0.008999,12.779,0.008,12.303999,0.013,1.0,1.0,1.0,IN,2
151,5.94e+18,251.7625413,-45.847541,16.291561,5.6016254,NOT_AVAILABLE,6018.0,251.7625808,-45.8475579,251.7625602,-45.8475612,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,11.326999,0.041999,10.185,0.014,9.5139999,0.116999,1.0,1.0,1.0,IN,2
64,5.94e+18,251.7633385,-45.86176802,18.395742,4.3999805,NOT_AVAILABLE,4800.0,251.7633652,-45.8617667,251.763333,-45.8617734,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,13.897,0.010999,12.814999,0.010999,12.319,0.016,1.0,1.0,1.0,IN,2
233,5.94e+18,251.7641578,-45.86608527,15.65206,4.3656445,NOT_AVAILABLE,774.0,251.764188,-45.8660798,251.7641525,-45.8660875,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,11.413999,0.009999,10.402999,0.007,9.9569997,0.010999,0.0,1.0,2.0,IN,2
20,5.94e+18,251.7648824,-45.85881038,18.047216,4.883827,NOT_AVAILABLE,4868.0,251.7649091,-45.8588088,251.7648798,-45.8588145,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,13.088,0.014999,11.901,0.009999,11.355999,0.017,1.0,1.0,1.0,IN,2
124,5.94e+18,251.765793,-45.84670509,17.350912,5.074109,NOT_AVAILABLE,6162.0,251.7657775,-45.8467088,251.7657585,-45.8467113,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,13.064,0.046,11.819999,0.029999,10.947999,0.059999,1.0,1.0,1.0,IN,2
58,5.94e+18,251.766716,-45.85696649,16.741451,5.047077,VARIABLE,4894.0,251.7667399,-45.85697,251.7667126,-45.8569749,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,11.418999,0.013,10.012,0.007,9.25,0.013,1.0,1.0,1.0,IN,2
68,5.94e+18,251.7680828,-45.85285012,15.513021,6.2611446,NOT_AVAILABLE,6009.0,251.7681177,-45.8528497,251.7680942,-45.8528533,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,10.083999,0.012,9.0579996,0.130999,7.6719999,0.041,1.0,1.0,1.0,IN,2
163,5.94e+18,251.7691268,-45.84830959,17.539665,5.056224,NOT_AVAILABLE,5072.0,251.7691367,-45.8483101,251.7691173,-45.8483123,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,12.687999,0.010999,11.571999,0.009999,11.039999,0.017,1.0,1.0,1.0,IN,2
89,5.94e+18,251.7702642,-45.84982174,14.378337,5.374069,VARIABLE,21.0,251.770248,-45.849823,251.7702276,-45.8498254,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,8.993,0.018999,7.9559998,0.017,7.5370001,,1.0,1.0,1.0,IN,2
53,5.94e+18,251.7714665,-45.84485396,14.760118,4.775282,NOT_AVAILABLE,5658.0,251.7714857,-45.8448616,251.7714698,-45.8448625,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,10.258999,0.012,9.203,0.037999,8.5220003,0.035999,1.0,1.0,1.0,IN,2
51,5.94e+18,251.7725203,-45.84352211,11.310527,6.8679686,VARIABLE,54.0,251.772512,-45.843544,251.7724975,-45.8435444,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,4.309,0.519999,1.3509999,1.322,6.21,,1.0,1.0,1.0,IN,2
115,5.94e+18,251.7733391,-45.84806122,15.913909,4.7799063,NOT_AVAILABLE,5927.0,251.7733516,-45.8480705,251.7733336,-45.8480719,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,11.401,0.014,10.335,0.007,9.8500003,0.017999,1.0,1.0,1.0,IN,2
69,5.94e+18,251.7740284,-45.85931493,18.202002,4.6921024,VARIABLE,1012.0,251.7740508,-45.8593168,251.7740237,-45.8593209,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,12.038999,0.012,10.432999,0.006,9.6630001,0.014,1.0,1.0,1.0,IN,2
161,5.94e+18,251.7749909,-45.84870155,18.617214,4.356432,VARIABLE,26829.0,251.7750031,-45.8487013,251.7749851,-45.8487025,13.8553,0.041,13.3156,0.055,12.9857,0.05,13.765999,0.017999,12.619999,0.014999,12.109999,0.021999,1.0,1.0,1.0,IN,2
43,5.94e+18,251.7760523,-45.85734923,17.514687,4.4087715,VARIABLE,3227.0,251.7760714,-45.8573514,251.7760465,-45.8573546,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,11.734999,0.012,10.220999,0.006,9.354,0.014999,1.0,1.0,1.0,IN,2
329,5.94e+18,251.7769238,-45.83976259,20.381784,3.6562233,NOT_AVAILABLE,43358.0,251.7769405,-45.83975967,251.7769303,-45.8397583,15.7453,0.039,15.2976,0.041,14.9757,0.031,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,1.0,0.0,4.0,IN,2
113,5.94e+18,251.7776124,-45.84160742,15.756383,4.6702404,NOT_AVAILABLE,1628.0,251.7776155,-45.8416177,251.777604,-45.8416166,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,11.223999,0.014,10.152,0.008,9.644,0.013,1.0,1.0,1.0,IN,2
79,5.94e+18,251.7783625,-45.83984841,19.065676,4.688633,NOT_AVAILABLE,26852.0,251.7783814,-45.83984868,251.7783716,-45.839847,14.2913,0.032,13.8266,0.058,13.4857,0.056,14.310999,0.014,13.184,0.009999,12.68,0.017,1.0,1.0,1.0,IN,2
114,5.94e+18,251.7794772,-45.83698668,15.180423,4.7087526,NOT_AVAILABLE,3748.0,251.7794824,-45.836996,251.7794753,-45.8369934,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,10.670999,0.013,9.6140003,0.009999,9.0550003,0.021999,1.0,1.0,1.0,IN,2
35,5.94e+18,251.7806907,-45.85198793,16.992167,5.4996758,NOT_AVAILABLE,1293.0,251.7806993,-45.8519935,251.7806801,-45.8519945,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,11.958,0.013,10.680999,0.008999,10.053999,0.014999,1.0,1.0,1.0,IN,2
210,5.94e+18,251.7815872,-45.86140019,16.74731,5.645117,NOT_AVAILABLE,948.0,251.7816072,-45.8614024,251.7815805,-45.8614056,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,11.602,0.008999,10.369999,0.004999,9.7819995,0.013,0.0,1.0,2.0,IN,2
207,5.94e+18,251.7825709,-45.86332508,15.945946,5.479101,NOT_AVAILABLE,3054.0,251.7825917,-45.8633261,251.7825636,-45.8633296,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,10.833,0.008,9.5970001,0.010999,8.9449996,0.016,0.0,1.0,2.0,IN,2
606,5.94e+18,251.7834607,-45.83922497,19.89199,2.7378807,NOT_AVAILABLE,27120.0,251.7834828,-45.83922571,251.7834749,-45.8392229,15.9513,0.024,15.4136,0.035,15.1117,0.04,15.982999,0.023,14.918,0.017,14.583999,0.041999,0.0,0.0,5.0,IN,2
204,5.94e+18,251.7842593,-45.84904758,15.839692,6.595731,VARIABLE,5069.0,251.7842653,-45.8490599,251.7842495,-45.8490595,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,10.229,0.010999,10.506999,0.404,7.6649999,0.043,0.0,1.0,2.0,IN,2
579,5.94e+18,251.7856394,-45.83759503,18.298582,3.5987568,NOT_AVAILABLE,1795.0,251.785637,-45.837602,251.7856311,-45.8375984,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,13.354,0.014,12.152,0.012,11.623999,0.017,0.0,0.0,5.0,IN,2
565,5.94e+18,251.7863634,-45.86915841,20.807243,,NOT_AVAILABLE,17895.0,251.7863971,-45.86914975,251.7863653,-45.869154,15.8553,0.031,15.2846,0.044,15.0277,0.034,16.04,0.017999,14.786999,0.013,14.204999,0.017,0.0,0.0,5.0,IN,2
196,5.94e+18,251.7871021,-45.85684831,16.733067,5.5673637,NOT_AVAILABLE,1103.0,251.7871105,-45.8568549,251.7870891,-45.8568559,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,11.675999,0.008999,10.399999,0.007,9.8140001,0.013,0.0,1.0,2.0,IN,2
192,5.94e+18,251.7883139,-45.86588266,18.42117,4.719486,NOT_AVAILABLE,5554.0,251.7883318,-45.8658821,251.7883032,-45.8658851,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,13.539999,0.010999,12.326,0.008999,11.770999,0.017999,0.0,1.0,2.0,IN,2
526,5.94e+18,251.7894269,-45.85958248,18.06908,2.0381527,NOT_AVAILABLE,27012.0,251.789441,-45.85958602,251.7894179,-45.8595873,15.5093,0.054,15.1936,0.066,15.0297,0.067,15.637999,0.025,14.857999,0.023,14.604,0.039,0.0,0.0,5.0,IN,2
520,5.94e+18,251.7901606,-45.87614453,20.438143,2.0935593,NOT_AVAILABLE,418.0,251.7901713,-45.8761485,251.7901348,-45.8761538,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,17.134,0.026,16.124,0.023,15.741999,0.028,0.0,0.0,5.0,IN,2
511,5.94e+18,251.7910783,-45.85665313,18.508286,2.444456,NOT_AVAILABLE,27065.0,251.7910971,-45.8566487,251.7910769,-45.8566489,15.7573,0.194,15.7016,0.171,15.2827,0.139,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,0.0,0.0,5.0,IN,2
504,5.94e+18,251.791925,-45.84845322,20.241005,3.2681847,NOT_AVAILABLE,27028.0,251.7919411,-45.84845705,251.791928,-45.848455,15.5883,0.037,14.9296,0.047,14.6117,0.049,15.564,0.010999,14.435,0.012,13.895999,0.014999,0.0,0.0,5.0,IN,2
494,5.94e+18,251.7928893,-45.84944918,18.249577,4.376005,NOT_AVAILABLE,5061.0,251.7928778,-45.8494751,251.7928641,-45.8494731,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,13.729,0.018999,12.307999,0.010999,11.8,0.020999,0.0,0.0,5.0,IN,2
485,5.94e+18,251.7935891,-45.85259127,19.774239,2.4211674,NOT_AVAILABLE,27293.0,251.7936085,-45.8525947,251.7935925,-45.8525934,16.4173,0.072,16.1056,0.135,15.8867,0.245,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,0.0,0.0,5.0,IN,2
180,5.94e+18,251.7943937,-45.84093854,18.339867,4.894203,VARIABLE,5193.0,251.7943957,-45.8409485,251.7943895,-45.8409441,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,13.298,0.017999,12.055999,0.012,11.510999,0.028999,0.0,1.0,2.0,IN,2
456,5.94e+18,251.7954786,-45.84523566,19.24187,4.297207,NOT_AVAILABLE,26872.0,251.7954897,-45.84523941,251.7954802,-45.8452359,14.5453,0.09,14.0046,0.109,13.6117,0.058,14.394,0.010999,13.201999,0.010999,12.694999,0.019999,0.0,0.0,5.0,IN,2
