,source_id,RA,DEC,g,bp_rp,phot_variable_flag,Star_Id,RA_HST,Dec_HST,RA_toGaia,Dec_toGaia,F125W,eF125W,F139M,eF139M,F160W,eF160W,J,eJ,H,eH,Ks,eKs,inMUSE,membership,Weight,in_field,mask
270,5.94e+18,251.7432315,-45.8636137,17.29973,4.590028,NOT_AVAILABLE,881.0,251.7432777,-45.8636063,251.7432384,-45.8636173,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,12.843,0.008999,11.814999,0.007,11.329999,0.016,0.0,1.0,2.0,IN,4
453,5.94e+18,251.7458195,-45.85061235,20.673323,,NOT_AVAILABLE,2614.0,251.7458817,-45.85060422,251.7458538,-45.8506115,17.3513,0.041,16.8236,0.049,16.5607,0.047,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,1.0,0.0,4.0,IN,4
451,5.94e+18,251.7474618,-45.84405964,20.254696,,NOT_AVAILABLE,6556.0,251.7475312,-45.84405515,251.7475093,-45.8440604,15.9283,0.034,15.4016,0.047,15.1927,0.05,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,1.0,0.0,4.0,IN,4
447,5.94e+18,251.7493982,-45.840063,18.45002,,NOT_AVAILABLE,11609.0,251.7494735,-45.84005553,251.7494554,-45.8400594,14.3733,0.075,13.7626,0.05,13.5457,0.049,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,1.0,0.0,4.0,IN,4
443,5.94e+18,251.7519343,-45.8421104,19.91256,,NOT_AVAILABLE,12861.0,251.7520063,-45.84210324,251.7519872,-45.8421072,15.1623,0.037,14.5966,0.049,14.2727,0.047,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,1.0,0.0,4.0,IN,4
98,5.94e+18,251.753274,-45.85057228,16.063848,4.9784184,NOT_AVAILABLE,1346.0,251.7533023,-45.8505757,251.7532766,-45.8505815,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,11.467,0.012,10.364,0.008999,9.8620004,0.014,1.0,1.0,1.0,IN,4
250,5.94e+18,251.7542754,-45.83527088,16.886896,6.03218,NOT_AVAILABLE,1869.0,251.7542851,-45.8352782,251.7542723,-45.83528,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,11.482999,0.010999,10.18,0.004999,9.5690002,0.010999,0.0,1.0,2.0,IN,4
95,5.94e+18,251.7555048,-45.86062196,17.324518,4.5366116,NOT_AVAILABLE,3119.0,251.7555395,-45.860623,251.7555061,-45.8606309,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,12.753,0.012,11.666999,0.008,11.175999,0.016,1.0,1.0,1.0,IN,4
246,5.94e+18,251.7564457,-45.83277182,13.942816,4.704732,NOT_AVAILABLE,6188.0,251.7564639,-45.8327795,251.7564538,-45.8327802,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,9.46,0.009999,8.2679996,0.027,7.558,0.037999,0.0,1.0,2.0,IN,4
110,5.94e+18,251.7576736,-45.85819343,13.963886,5.0657415,NOT_AVAILABLE,6131.0,251.7577064,-45.8582027,251.7576756,-45.8582096,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,9.2740001,0.014,7.9720001,0.029999,7.229,0.046,1.0,1.0,1.0,IN,4
