,Unnamed: 0,solution_id,DESIGNATION,SOURCE_ID,random_index,ref_epoch,RA,ra_error,DEC,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,astrometric_primary_flag,nu_eff_used_in_astrometry,pseudocolour,pseudocolour_error,ra_pseudocolour_corr,dec_pseudocolour_corr,parallax_pseudocolour_corr,pmra_pseudocolour_corr,pmdec_pseudocolour_corr,astrometric_matched_transits,visibility_periods_used,astrometric_sigma5d_max,matched_transits,new_matched_transits,matched_transits_removed,ipd_gof_harmonic_amplitude,ipd_gof_harmonic_phase,ipd_frac_multi_peak,ipd_frac_odd_win,ruwe,scan_direction_strength_k1,scan_direction_strength_k2,scan_direction_strength_k3,scan_direction_strength_k4,scan_direction_mean_k1,scan_direction_mean_k2,scan_direction_mean_k3,scan_direction_mean_k4,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,Gmag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,phot_bp_n_contaminated_transits,phot_bp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_blended_transits,phot_proc_mode,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_method_used,rv_nb_transits,rv_nb_deblended_transits,rv_visibility_periods_used,rv_expected_sig_to_noise,rv_renormalised_gof,rv_chisq_pvalue,rv_time_duration,rv_amplitude_robust,rv_template_teff,rv_template_logg,rv_template_fe_h,rv_atm_param_origin,vbroad,vbroad_error,vbroad_nb_transits,grvs_mag,grvs_mag_error,grvs_mag_nb_transits,rvs_spec_sig_to_noise,phot_variable_flag,l,b,ecl_lon,ecl_lat,in_qso_candidates,in_galaxy_candidates,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,in_andromeda_survey,classprob_dsc_combmod_quasar,classprob_dsc_combmod_galaxy,classprob_dsc_combmod_star,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,logg_gspphot,logg_gspphot_lower,logg_gspphot_upper,mh_gspphot,mh_gspphot_lower,mh_gspphot_upper,distance_gspphot,distance_gspphot_lower,distance_gspphot_upper,azero_gspphot,azero_gspphot_lower,azero_gspphot_upper,ag_gspphot,ag_gspphot_lower,ag_gspphot_upper,ebpminrp_gspphot,ebpminrp_gspphot_lower,ebpminrp_gspphot_upper,libname_gspphot,dist,in_field,Weight,mask
116,0,1636148068921376768,Gaia DR3 5332609408813651200,5332609408813651200,1324524130,2016.0,176.3700131618336,0.030297378,-64.84209191643987,0.029547231,0.3401161662971622,0.035217322,9.657639,9.430797,-9.401348780945526,0.040998176,0.7446876193567559,0.04097537,0.09324398,0.018245038,-0.030006763,0.24016206,0.09553993,0.23901618,0.08771303,-0.06020578,0.041016266,0.20969047,360,0,357,3,-1.1505494,335.18506,0.0,0.0,31,False,1.4477537,,,,,,,,42,26,0.062870115,50,16,0,0.030801846,130.24095,0,0,0.9560189,0.17076632,0.11217554,0.13833372,0.29175577,-117.800095,-41.29898,29.466516,4.0228477,False,402,6753.558730381588,4.030753,1675.5079,16.113535,47,2847.5830934593205,9.007344,316.14014,16.70235,47,5676.189258913102,10.223198,555.2264,15.362753,1.2621157,0.0,1.0,0.0,0.0,0,1.3395977,0.5888157,0.750782,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,295.99278725702163,-2.862705385623879,218.32394564090575,-57.26235209462992,False,False,0,True,False,False,False,False,True,True,False,1.0204325e-13,5.111413e-13,0.999998,8049.6763,7882.0874,8207.272,3.6632,3.6468,3.6807,-0.2484,-0.2497,-0.2461,4769.567,4707.443,4827.579,2.5159,2.45,2.5737,2.1317,2.0703,2.1866,1.1605,1.127,1.1906,A,0.0250141773334452,IN,1,1
124,5,1636148068921376768,Gaia DR3 5332609443173395840,5332609443173395840,978267445,2016.0,176.3713294786191,0.07723666,-64.83520017027149,0.07797037,0.396353949677567,0.09234638,4.2920356,6.0486274,-5.999177258500042,0.11135451,-0.7718579701779684,0.10704052,0.017540628,-0.01828238,-0.091814764,0.24172299,0.10640567,0.23698305,0.079494156,-0.16166255,0.08350493,0.0527653,357,0,356,1,-0.049468827,365.022,0.0,0.0,31,False,1.3782272,,,,,,,,42,24,0.15749088,50,19,0,0.026227484,143.14851,0,0,0.9971846,0.20740667,0.08682945,0.16138096,0.35111144,-105.85922,-55.082275,30.499838,3.3059704,False,389,1355.8602909455385,1.3878077,976.9799,17.856829,45,455.37877016976057,4.9112616,92.721344,18.69261,47,1296.8408643731254,7.506049,172.77277,16.96568,1.2923305,0.0,2.0,0.0,0.0,0,1.7269306,0.8357811,0.8911495,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,295.99158417053565,-2.8558961591077177,218.31529490000105,-57.25726090352239,False,False,0,False,False,False,False,False,True,True,False,1.0203678e-13,5.557224e-11,0.9999987,5248.5186,5127.0293,5400.1274,4.7672,4.7452,4.7847,-1.7046,-2.885,-1.5196,938.4804,896.898,997.3077,1.9377,1.8626,2.0394,1.4873,1.4236,1.5725,0.823,0.785,0.8736,MARCS,0.0252546578282707,IN,1,1
19,9,1636148068921376768,Gaia DR3 5332609438845913984,5332609438845913984,1449003895,2016.0,176.3725236619401,0.10849573,-64.83887137489583,0.105594404,0.1602425525744792,0.12856266,1.246416,8.718562,-8.424852814350853,0.14484309,2.243921904046624,0.15194127,0.0516778,-0.033751316,-0.055531763,0.24333867,0.07745189,0.22427303,0.023247859,-0.10040257,0.12404306,0.12566213,369,0,365,4,0.72895086,434.07104,0.4760721,1.879325,95,False,,1.2420903,0.030493448,-0.12064506,-0.07614063,-0.07496167,0.0029092715,-0.08499636,43,26,0.22007805,51,18,0,0.01610048,147.3436,0,0,1.0263904,0.20645596,0.1190499,0.19842494,0.26402798,-93.50191,-44.04887,28.900082,6.130764,False,407,907.5946441431712,1.2160571,746.34216,18.292637,46,162.5333275694789,5.05067,32.180546,19.811186,46,1136.7622670392695,6.3843575,178.05429,17.10872,1.4315814,0.0,2.0,0.0,2.0,0,2.702465,1.518549,1.1839161,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,295.9930056374524,-2.8593196101952354,218.32091468834824,-57.259381552458464,False,False,0,False,False,False,False,False,True,False,False,1.02337525e-13,5.096503e-13,0.9999993,4439.1934,4376.9585,4496.6665,4.3424,4.2884,4.3814,-1.2275,-1.3418,-1.0334,737.0197,708.2492,765.5081,3.8587,3.7716,3.9303,2.6647,2.5989,2.7212,1.4764,1.44,1.5087,MARCS,0.0240878448259439,IN,1,1
377,18,1636148068921376768,Gaia DR3 5332609443148310912,5332609443148310912,46317616,2016.0,176.37378152784487,0.40875667,-64.83926939481456,0.3727188,-0.0441997470154629,0.4522325,-0.097736776,9.667359,-8.894240870923975,0.51454556,3.788181903714072,0.52133584,0.015488725,-0.07330033,0.055603597,0.24142382,0.13446413,0.20434944,0.0850203,-0.10603684,0.072606206,0.09191433,341,0,339,2,9.595741,682.42474,3.1809986,10.7782545,95,False,,1.3370509,0.10722014,-0.11972708,-0.10592725,-0.0690584,-0.0030756176,-0.06933661,40,25,0.75926447,48,16,0,0.09094045,62.701065,0,0,1.3928789,0.18508607,0.14966407,0.18017529,0.21513227,-106.53459,-18.424494,26.549467,3.9655132,False,383,243.512828897162,1.3114433,185.68307,19.721062,13,64.92140651275821,10.122002,6.4138904,20.807573,14,280.4836882787945,10.752321,26.085873,18.628126,1.4184266,0.0,1.0,0.0,1.0,0,2.1794472,1.0865116,1.0929356,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,295.99362447447453,-2.859569453109969,218.32212642333155,-57.25925931666285,False,False,0,False,False,False,False,False,False,False,False,8.2532403e-10,1.8603935e-10,0.9999948,,,,,,,,,,,,,,,,,,,,,,,0.0235147904343255,IN,3,1
249,24,1636148068921376768,Gaia DR3 5332606449550040576,5332606449550040576,355113948,2016.0,176.375515758128,0.22461227,-64.84345352277987,0.18822865,0.0988625947961601,0.23304728,0.42421693,4.9348245,-4.819869310029468,0.28102523,1.0589388424605,0.26182702,0.042889085,-0.036020722,0.21016361,0.29714963,0.1444028,0.25151995,0.10664066,-0.029382832,0.11841151,0.17167826,319,0,317,2,-1.0804954,333.56473,0.0,0.0,95,False,,1.1422284,0.056703422,-0.14864214,-0.14065336,-0.07988946,-0.015956672,-0.066930756,38,24,0.41994482,46,15,0,0.015198392,133.28612,0,0,0.9559344,0.16807853,0.18951057,0.19018595,0.20614684,-115.870766,-11.260818,24.754065,3.0196428,False,363,372.9755802015399,1.0327709,361.1407,19.258165,37,51.14447622022094,4.011017,12.751,21.066545,40,510.442357622004,4.5552464,112.05593,17.97803,1.5056933,0.0,1.0,0.0,0.0,0,3.0885162,1.8083801,1.2801361,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,295.9953979902908,-2.8634311844584874,218.32873114400093,-57.26155963748855,False,False,0,False,False,False,False,False,False,False,False,1.0437481e-13,5.0970117e-13,0.999998,,,,,,,,,,,,,,,,,,,,,,,0.0227501323251302,IN,2,1
376,30,1636148068921376768,Gaia DR3 5332606453853161856,5332606453853161856,1653400433,2016.0,176.37685990932823,0.328894,-64.84777400248716,0.29031685,1.1345873274399465,0.36084706,3.1442335,13.678194,-13.664109168303204,0.42665297,-0.6205777485491354,0.42582986,-0.011511227,-0.06656318,0.17806518,0.25930128,0.1960817,0.164613,-0.004189506,-0.09045367,0.041616436,0.20433682,304,0,304,0,-0.6106775,304.47473,0.0,0.0,95,False,,1.2552662,0.08905831,-0.125382,-0.1910434,-0.13439523,0.021737486,-0.03521188,36,23,0.65585804,44,14,0,0.019470252,139.51067,0,0,0.97398126,0.19679463,0.15240477,0.17818539,0.22868466,-130.89433,-15.242631,25.75952,2.9877033,False,345,223.95200736089885,0.9009041,248.58585,19.81198,39,59.31091384238046,4.127383,14.370101,20.905706,38,238.34831713574857,5.1848407,45.97023,18.804865,1.3291206,0.0,3.0,0.0,1.0,0,2.1008415,1.0937271,1.0071144,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,295.99704520899394,-2.867466829316735,218.33531334515308,-57.26407409166643,False,False,0,False,False,False,False,False,False,False,False,4.3469083e-11,5.532436e-13,0.99999666,,,,,,,,,,,,,,,,,,,,,,,0.0229627327506744,IN,3,1
67,37,1636148068921376768,Gaia DR3 5332606591315131392,5332606591315131392,360667733,2016.0,176.37921879741864,0.050290473,-64.82004525797936,0.0483108,0.2850598304265402,0.058408644,4.8804393,11.147256,-10.85393352002712,0.06861192,2.540364472684107,0.06839184,0.07498464,-0.008487823,-0.080473006,0.22289371,0.12947536,0.21493456,0.06334929,-0.07572359,0.051882666,0.17369795,379,0,375,4,-2.0697975,329.66132,0.0,0.0,31,False,1.4543083,,,,,,,,44,27,0.10318065,51,18,0,0.023895418,138.31007,0,0,0.9240083,0.17729011,0.12723498,0.15904963,0.28750563,-105.039505,-41.70837,31.310022,6.2747254,False,406,2660.963275730214,1.8939599,1404.9734,17.12477,49,1135.9154888266107,8.096094,140.30414,17.700176,46,2154.8211338359183,10.552416,204.20169,16.414368,1.2366712,0.0,2.0,0.0,2.0,0,1.2858086,0.575407,0.71040154,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,295.9909981952852,-2.840385216351192,218.2989503483821,-57.24450336032987,False,False,0,True,False,False,False,False,False,True,False,1.0203173e-13,5.110017e-13,0.9999991,5375.666,5248.709,5560.5825,4.6823,4.6264,4.7206,-1.2626,-1.4685,-1.0024,1143.6123,1052.8455,1294.8191,0.9049,0.8018,1.0379,0.7227,0.6378,0.8333,0.394,0.3476,0.4539,PHOENIX,0.0301078709983831,IN,1,1
630,47,1636148068921376768,Gaia DR3 5332606453854806656,5332606453854806656,423470742,2016.0,176.38062702116437,1.7176278,-64.85365870145404,1.5994081,,,,,,,,,0.13932928,,,,,,,,,,75,0,74,1,0.80724037,78.19708,0.0,0.0,3,False,,,,,,,,,9,9,6.279919,9,2,0,0.08305175,150.78256,0,0,,0.21276204,0.2619009,0.13144082,0.09721315,166.3869,-37.546535,-0.81104416,-27.773445,False,74,81.10605494468331,1.9799047,40.964626,20.914734,5,106.42445487258952,54.952835,1.9366509,20.270939,9,89.76733558018189,11.193402,8.019665,19.865099,2.4189537,0.0,0.0,0.0,0.0,1,0.40583992,-0.643795,1.0496349,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,296.0000856168522,-2.872755665570504,218.3453128765302,-57.26689449654828,False,False,0,False,False,False,False,False,False,False,False,4.571791e-05,3.7940397e-06,0.9998186,,,,,,,,,,,,,,,,,,,,,,,0.0238167346043025,IN,5,1
242,52,1636148068921376768,Gaia DR3 5332606586988994944,5332606586988994944,1740189579,2016.0,176.38207660231646,0.15221497,-64.82718096976942,0.13634984,0.5006664445929099,0.16824254,2.975861,5.2442675,-5.130142324824375,0.19904454,1.0881081094684877,0.19303437,0.0037852929,-0.12172415,-0.11801224,0.22341758,0.12259699,0.22719654,0.043054547,-0.033063624,0.077226505,0.1130537,362,0,358,4,0.95573866,394.60715,0.0,0.0,31,False,1.3911841,,,,,,,,42,27,0.28806946,50,19,0,0.027454384,129.78972,0,0,1.0352291,0.15146802,0.1357923,0.14485428,0.26058656,-110.39789,-32.78565,30.092453,6.5815034,False,396,553.7616892766941,1.016812,544.6058,18.82906,48,193.3913213894276,4.509673,42.883667,19.62245,39,500.43837830616513,6.280588,79.680176,17.99952,1.2529391,0.0,0.0,0.0,0.0,0,1.6229305,0.7933903,0.82954025,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,295.9939817868448,-2.846981917755988,218.3101547603609,-57.24845936776186,False,False,0,False,False,False,False,False,True,False,False,4.876854e-11,5.1056625e-13,0.9999868,3909.291,3890.9697,3932.527,5.0082,4.9285,5.0561,-1.287,-1.3985,-1.0351,731.5793,635.5569,898.1575,0.0264,0.0065,0.0681,0.0191,0.0047,0.0494,0.0102,0.0025,0.0265,PHOENIX,0.0245154118844948,IN,2,1
41,62,1636148068921376768,Gaia DR3 5332606488236105344,5332606488236105344,74449284,2016.0,176.38365793187782,0.028852914,-64.84260606288166,0.029530006,0.3614194797587774,0.034988098,10.329783,4.589917,-4.405739266916066,0.041344553,1.2871671511641023,0.04351443,0.11059102,0.10280257,-0.063714296,0.20657375,0.15866534,0.19548792,0.013640263,-0.07706698,-0.028890831,0.20835428,354,0,352,2,1.6684387,407.93066,0.08877587,0.81032324,31,False,1.4378207,,,,,,,,41,25,0.06487784,49,15,0,0.018060943,145.4861,1,0,1.0630164,0.2192117,0.13855112,0.14944652,0.33281428,-92.00724,-54.12506,32.577835,4.6268573,False,383,7812.977707375821,3.7486312,2084.2214,15.955325,44,3279.2400630845705,20.069918,163.39081,16.549109,47,7063.209194590929,50.434746,140.0465,15.12539,1.3237525,0.0,27.0,0.0,30.0,0,1.4237185,0.5937834,0.8299351,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,295.998536502033,-2.8617362956739383,218.33192722241304,-57.25844346530707,False,False,0,True,False,False,False,False,True,True,False,1.02041476e-13,5.6443603e-11,0.99999815,6023.4424,6007.5874,6047.3745,3.9994,3.9655,4.0225,-0.8545,-0.8906,-0.8194,1597.2756,1546.2137,1675.399,1.613,1.6019,1.6298,1.3028,1.2936,1.3168,0.7159,0.7108,0.7235,A,0.0192374927589822,IN,1,1
