,Unnamed: 0,solution_id,DESIGNATION,SOURCE_ID,random_index,ref_epoch,RA,ra_error,DEC,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,astrometric_primary_flag,nu_eff_used_in_astrometry,pseudocolour,pseudocolour_error,ra_pseudocolour_corr,dec_pseudocolour_corr,parallax_pseudocolour_corr,pmra_pseudocolour_corr,pmdec_pseudocolour_corr,astrometric_matched_transits,visibility_periods_used,astrometric_sigma5d_max,matched_transits,new_matched_transits,matched_transits_removed,ipd_gof_harmonic_amplitude,ipd_gof_harmonic_phase,ipd_frac_multi_peak,ipd_frac_odd_win,ruwe,scan_direction_strength_k1,scan_direction_strength_k2,scan_direction_strength_k3,scan_direction_strength_k4,scan_direction_mean_k1,scan_direction_mean_k2,scan_direction_mean_k3,scan_direction_mean_k4,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,Gmag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,phot_bp_n_contaminated_transits,phot_bp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_blended_transits,phot_proc_mode,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_method_used,rv_nb_transits,rv_nb_deblended_transits,rv_visibility_periods_used,rv_expected_sig_to_noise,rv_renormalised_gof,rv_chisq_pvalue,rv_time_duration,rv_amplitude_robust,rv_template_teff,rv_template_logg,rv_template_fe_h,rv_atm_param_origin,vbroad,vbroad_error,vbroad_nb_transits,grvs_mag,grvs_mag_error,grvs_mag_nb_transits,rvs_spec_sig_to_noise,phot_variable_flag,l,b,ecl_lon,ecl_lat,in_qso_candidates,in_galaxy_candidates,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,in_andromeda_survey,classprob_dsc_combmod_quasar,classprob_dsc_combmod_galaxy,classprob_dsc_combmod_star,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,logg_gspphot,logg_gspphot_lower,logg_gspphot_upper,mh_gspphot,mh_gspphot_lower,mh_gspphot_upper,distance_gspphot,distance_gspphot_lower,distance_gspphot_upper,azero_gspphot,azero_gspphot_lower,azero_gspphot_upper,ag_gspphot,ag_gspphot_lower,ag_gspphot_upper,ebpminrp_gspphot,ebpminrp_gspphot_lower,ebpminrp_gspphot_upper,libname_gspphot,dist,in_field,Weight,mask
18,4,1636148068921376768,Gaia DR3 6290633986209809536,6290633986209809536,1780275873,2016.0,209.78579711383324,0.9330006,-19.51483156786075,0.7206875,-0.5553415506049848,0.9578645,-0.57977045,4.217655,-1.420204908719834,1.1762931,-3.971351757133745,1.0713044,-0.12983036,-0.4312058,0.006307879,-0.20531118,0.10677011,-0.18553737,0.22503088,-0.0044713574,0.073115654,-0.19908053,119,0,118,1,0.25984743,119.48182,0.0,0.0,95,False,,1.7006485,0.26345623,0.08403537,-0.07709129,-0.16429295,-0.30603933,-0.20860916,14,14,1.7328882,16,7,1,0.10824421,27.576912,0,0,1.01442,0.33061066,0.20223539,0.31818298,0.87083733,-126.54346,32.967194,-4.5352454,-26.062944,False,134,109.4377235670616,1.1013767,99.36449,20.589449,13,48.05917278500068,10.165288,4.7277727,21.134102,12,101.68277539889375,15.844468,6.417557,19.729776,1.3682846,0,0,0,0,0,1.4043255,0.54465294,0.85967255,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,324.1051057988405,40.556790067940575,214.51167654804067,-6.905806710227273,False,False,0,False,False,False,False,False,False,False,False,2.4164241e-05,2.1390872e-07,0.99997294,,,,,,,,,,,,,,,,,,,,,,,0.0257250955745955,IN,5,1
16,15,1636148068921376768,Gaia DR3 6290634501605913216,6290634501605913216,465196041,2016.0,209.81348142597744,1.464087,-19.48421300123292,1.6195374,,,,,,,,,-0.19150594,,,,,,,,,,88,0,88,0,-0.011632291,82.186134,0.0,0.0,3,False,,,,,,,,,11,9,4.902393,12,3,0,0.024402581,75.38458,1,0,,0.6385645,0.4986327,0.7275867,0.83354175,-111.48719,49.414932,-6.134429,-28.515108,False,93,92.66866351879176,1.2276708,75.483315,20.770035,10,38.966147470965176,9.790197,3.9801188,21.361824,12,73.42498056251824,7.074395,10.378977,20.083286,1.2128278,0,0,0,0,0,1.2785378,0.59178925,0.6867485,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,324.1511546808863,40.57666095025345,214.5255996475442,-6.868025017007723,False,False,0,False,False,False,False,False,False,False,False,0.0009384297,2.527029e-05,0.9988973,,,,,,,,,,,,,,,,,,,,,,,0.0202241903225559,IN,5,1
5,18,1636148068921376768,Gaia DR3 6290633921785908096,6290633921785908096,951767627,2016.0,209.81769155210287,0.106804244,-19.498924970211288,0.11418223,1.0156825307334458,0.14998485,6.771901,5.7733912,-4.09675249112791,0.15725279,-4.068005077504948,0.1959545,-0.24611801,-0.103043504,0.006871338,0.029037252,-0.39902535,0.1476525,-0.3237143,-0.19389461,0.5075073,-0.47849905,179,0,179,0,4.201744,271.65982,0.51627624,3.9129555,95,False,,1.4904786,0.032603588,-0.114676476,0.10561999,-0.22762083,0.008913202,-0.39751318,22,13,0.30895948,26,26,0,0.07393959,14.045424,69,0,1.2321229,0.2893891,0.31720886,0.392793,0.8614235,-103.02179,45.88308,-11.194133,-26.117952,False,212,1993.7161541595067,3.2672896,610.2049,17.438208,24,1029.3200710057604,9.476197,108.621635,17.807167,25,2510.519010539468,11.057407,227.0441,16.248487,1.775498,0,2,0,0,0,1.5586796,0.36895943,1.1897202,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,324.1494473107566,40.561478339299256,214.5344991594105,-6.880439809867538,False,False,0,True,False,False,False,False,False,True,False,1.8860013e-11,0.00033525773,0.99961543,,,,,,,,,,,,,,,,,,,,,,,0.0249945902342974,IN,2,1
