,MainID,ra_now,dec_now,Gmag
19,6471705551097917184,302.85864325451416,-56.757537539081724,14.150788
10,6471707097286147456,302.8543517969136,-56.72927161318037,15.036564
13,6471707131645883264,302.86975210134773,-56.72634377715227,15.217233
24,6471754032688896896,302.84131037569625,-56.724637095743546,15.597742
7,6471707097286147968,302.84904163237286,-56.73720668050278,15.814596
29,6471754032688758912,302.85532497586684,-56.71770217368704,16.795462
4,6471707092990079488,302.8686853712138,-56.73370419666141,17.486115
27,6471754032688759808,302.84876400385264,-56.719787906820585,17.554148
37,6471706749392662912,302.89525333124607,-56.76408387085291,17.66266
11,6471705551097919104,302.8529671191556,-56.75237364934918,18.19852
42,6471705512442084096,302.8263701327519,-56.76376384587013,18.231922
26,6471752555220013568,302.8294584327141,-56.729104368873834,18.248257
31,6471705585457661824,302.82771581652565,-56.75371327744718,18.323807
8,6471706818112155136,302.8788721425747,-56.74875182017473,18.383694
16,6471707058630344832,302.8852327715016,-56.72842285584311,18.509699
21,6471752550923942912,302.8369881125017,-56.73148211562597,18.562614
2,6471707097286145152,302.86460427909435,-56.73530554865573,18.83221
18,6471706856766295168,302.89385839461124,-56.745590981045105,18.911879
3,6471707092990075904,302.8547785574056,-56.73734576014442,18.950294
9,6471706818112156928,302.8848128618007,-56.74561694115541,19.147423
39,6471754101408241280,302.83063156234164,-56.717901660409744,19.183926
17,6471706856767969792,302.8946509632941,-56.74393585542445,19.401468
23,6471706852471892480,302.89710294807446,-56.74792135853754,19.504358
36,6471705585457662080,302.8243404819201,-56.75769066726326,19.599342
20,6471706856766295040,302.8964005727417,-56.74267012360837,19.632414
12,6471706822408234752,302.8690742703199,-56.754595253679824,19.647762
43,6471706783752401024,302.90324499840256,-56.76373643747373,19.689747
15,6471706818112148736,302.8794420168802,-56.75412293923694,20.076574
0,6471707028566980352,302.86229692757394,-56.7396041498742,20.127506
32,6471707127349834752,302.87430272634833,-56.716384009066815,20.140732
35,6471705581164610048,302.81949595059774,-56.7514308760136,20.299706
28,6471705615521308800,302.83051289385446,-56.75335799218466,20.409233
25,6471707131645187328,302.88084067771376,-56.720488866306006,20.75341
1,6471707028565970048,302.8684732447683,-56.743136847396904,20.976713
30,6471752550924722944,302.8207592227228,-56.73906067837986,20.984154
48,6471752623938929024,302.82306750542466,-56.716725879142196,21.123425
22,6471754032688062976,302.85724282331694,-56.72198515360649,21.124392
5,6471707097285636608,302.85357257829725,-56.736389091814814,21.139496
6,6471705619817707648,302.8486330017263,-56.74288239508203,21.334679
14,6471707062925465472,302.88782180725156,-56.73120553716445,21.35346
