,Unnamed: 0,RA,DEC,_r,recno,ID,F555W,e_F555W,F814W,e_F814W,RAJ2000,DEJ2000,MPG,d,in_field,Weight,mask
302,28,14.68689583,-72.19010833,0.027925,10129,10797,22.018,0.017,21.697,0.017,00 58 44.855,-72 11 24.39,,1.1895872,IN,1,2
163,305,14.68964583,-72.16735833,0.026138,5310,5669,21.248,0.025,20.294,0.023,00 58 45.515,-72 10 02.49,,1.4114045,IN,1,2
169,558,14.691925,-72.19453056,0.028921,6133,6542,21.403,0.019,21.07,0.013,00 58 46.062,-72 11 40.31,,0.92528504,IN,1,2
361,806,14.69409167,-72.18723333,0.024714,2341,2540,19.946,0.014,19.89,0.011,00 58 46.582,-72 11 14.04,,0.025937788,IN,1,2
200,1036,14.696125,-72.16632222,0.024773,3359,3620,20.57,0.084,20.201,0.076,00 58 47.070,-72 09 58.76,,0.5849548,IN,1,2
89,1245,14.6977,-72.19693611,0.029063,12055,12889,22.251,0.015,21.884,0.013,00 58 47.448,-72 11 48.97,,1.3349311,IN,1,2
947,1474,14.69965417,-72.16283889,0.025635,2703,2923,20.21,0.019,19.909,0.028,00 58 47.917,-72 09 46.22,,0.36313584,IN,1,2
49,1744,14.70173333,-72.15580278,0.029779,3347,3608,20.564,0.047,20.496,0.054,00 58 48.416,-72 09 20.89,,0.31304815,IN,1,2
204,2042,14.70390833,-72.17782222,0.019721,493,511,18.095,0.019,16.787,0.012,00 58 48.938,-72 10 40.16,,0.31796736,IN,1,2
838,2275,14.70557083,-72.18168889,0.019659,10256,10936,22.033,0.012,21.362,0.013,00 58 49.337,-72 10 54.08,,1.5093476,IN,1,2
172,2577,14.70754583,-72.16900833,0.020455,1900,2079,19.626,0.011,18.559,0.017,00 58 49.811,-72 10 08.43,,0.7870952,IN,1,2
136,3014,14.71065417,-72.16974444,0.019286,7068,7526,21.631,0.019,20.882,0.022,00 58 50.557,-72 10 11.08,,1.399332,IN,1,2
122,3400,14.71322917,-72.17222222,0.017674,16256,17553,22.672,0.018,22.315,0.017,00 58 51.175,-72 10 20.00,,1.5142659,IN,1,2
619,3716,14.7155,-72.17560278,0.016282,12419,13289,22.295,0.024,21.852,0.013,00 58 51.720,-72 10 32.17,,1.4225872,IN,1,2
76,3977,14.71725,-72.202425,0.029417,10439,11136,22.057,0.027,21.606,0.021,00 58 52.140,-72 12 08.73,,1.3233031,IN,1,2
212,4257,14.71924583,-72.16388889,0.020277,6503,6932,21.53,0.013,20.928,0.019,00 58 52.619,-72 09 50.00,,1.2226833,IN,1,2
83,4610,14.72172083,-72.18594444,0.016576,10181,10854,22.024,0.018,21.531,0.017,00 58 53.213,-72 11 09.40,,1.346113,IN,1,2
167,5036,14.72473333,-72.16760556,0.016615,1372,1531,19.373,0.028,18.9,0.044,00 58 53.936,-72 10 03.38,,0.1426604,IN,1,2
141,5329,14.72650417,-72.20007778,0.025951,2895,3124,20.324,0.025,20.235,0.018,00 58 54.361,-72 12 00.28,,0.22449988,IN,1,2
88,5650,14.72860417,-72.20058333,0.026087,5686,6074,21.351,0.026,20.976,0.018,00 58 54.865,-72 12 02.10,,0.9395957,IN,1,2
327,6072,14.73129583,-72.15531667,0.024915,11394,12169,22.172,0.042,21.696,0.046,00 58 55.511,-72 09 19.14,,1.3970972,IN,1,2
95,6471,14.73365833,-72.17796667,0.010623,11227,11987,22.153,0.013,21.716,0.009,00 58 56.078,-72 10 40.68,,1.3537158,IN,1,2
237,6752,14.7352625,-72.17601944,0.01023,139,142,16.559,0.009,16.793,0.012,00 58 56.463,-72 10 33.67,313.0,-1.7481573,IN,1,2
429,7074,14.73698333,-72.17397222,0.010224,6901,7356,21.602,0.032,21.187,0.065,00 58 56.876,-72 10 26.30,,1.0876223,IN,1,2
151,7463,14.739,-72.16525556,0.015185,8837,9412,21.853,0.019,21.279,0.014,00 58 57.360,-72 09 54.92,,1.3420894,IN,1,2
370,7962,14.74150833,-72.18324167,0.010018,2273,2468,19.901,0.016,19.766,0.016,00 58 57.962,-72 10 59.67,,0.076471604,IN,1,2
223,8298,14.74328333,-72.18723333,0.012389,4486,4803,20.994,0.021,20.034,0.014,00 58 58.388,-72 11 14.04,,1.3031794,IN,1,2
216,8888,14.74604583,-72.16178333,0.017134,8036,8563,21.754,0.016,21.314,0.022,00 58 59.051,-72 09 42.42,,1.177961,IN,1,2
81,9457,14.74860833,-72.16036667,0.018167,2466,2669,20.034,0.018,19.972,0.018,00 58 59.666,-72 09 37.32,,0.07066017,IN,1,2
272,9925,14.75052083,-72.15451944,0.023619,19916,21747,22.642,0.021,22.494,0.034,00 59 00.125,-72 09 16.27,,1.3139143,IN,1,2
96,10482,14.75278333,-72.15989444,0.018238,10139,10809,22.02,0.021,21.493,0.016,00 59 00.668,-72 09 35.62,,1.3747351,IN,1,2
115,10985,14.7546875,-72.15523333,0.022655,14141,15181,22.479,0.021,22.0,0.034,00 59 01.125,-72 09 18.84,,1.5370733,IN,1,2
56,11459,14.756525,-72.15951667,0.018343,7684,8190,21.718,0.022,20.945,0.018,00 59 01.566,-72 09 34.26,,1.459706,IN,1,2
289,11923,14.7581875,-72.15512778,0.022587,11122,11872,22.142,0.018,21.61,0.017,00 59 01.965,-72 09 18.46,,1.4337665,IN,1,2
48,12404,14.75987083,-72.16186667,0.015847,10354,11044,22.047,0.015,21.477,0.02,00 59 02.369,-72 09 42.72,,1.4252715,IN,1,2
308,13007,14.76179167,-72.19428889,0.016908,9610,10236,21.955,0.015,21.513,0.017,00 59 02.830,-72 11 39.44,,1.2696389,IN,1,2
28,13612,14.7637875,-72.17265556,0.00504,341,349,17.609,0.015,17.832,0.02,00 59 03.309,-72 10 21.56,407.0,-1.2687466,IN,1,2
261,14219,14.7657875,-72.15470556,0.022808,3367,3629,20.575,0.017,20.544,0.018,00 59 03.789,-72 09 16.94,,0.2848755,IN,1,2
111,14755,14.76747083,-72.17766667,0.000312,864,964,18.819,0.014,18.886,0.011,00 59 04.193,-72 10 39.60,,-0.58808523,IN,1,2
516,15414,14.7695125,-72.17157222,0.005939,3616,3891,20.69,0.011,20.023,0.018,00 59 04.683,-72 10 17.66,,0.90516037,IN,1,2
80,15963,14.77115,-72.16393056,0.013597,3344,3605,20.561,0.013,19.561,0.011,00 59 05.076,-72 09 50.15,,1.1453143,IN,1,2
147,16680,14.7732875,-72.17778333,0.001543,3336,3597,20.557,0.015,20.522,0.018,00 59 05.589,-72 10 40.02,,0.28040242,IN,1,2
64,17287,14.7751,-72.178075,0.002149,4945,5292,21.138,0.022,21.048,0.016,00 59 06.024,-72 10 41.07,,0.5894279,IN,1,2
189,17900,14.7771,-72.19712778,0.01981,9282,9880,21.908,0.015,21.416,0.025,00 59 06.504,-72 11 49.66,,1.2933426,IN,1,2
98,18714,14.77985417,-72.15298333,0.024769,8117,8646,21.764,0.012,21.139,0.016,00 59 07.165,-72 09 10.74,,1.3479017,IN,1,2
284,19275,14.7817375,-72.20234444,0.02518,6074,6478,21.438,0.016,21.219,0.012,00 59 07.617,-72 12 08.44,,0.83897245,IN,1,2
103,19747,14.78335833,-72.19315,0.016311,8022,8547,21.754,0.013,21.39,0.014,00 59 08.006,-72 11 35.34,,1.1099843,IN,1,2
