,Unnamed: 0,RA,DEC,_r,recno,ID,F555W,e_F555W,F814W,e_F814W,RAJ2000,DEJ2000,MPG,d,in_field,Weight,mask
937,185,14.68837917,-72.16678611,0.026721,1539,1708,19.474,0.031,18.463,0.028,00 58 45.211,-72 10 00.43,,0.66903335,IN,1,3
208,405,14.69054167,-72.17702222,0.023815,9831,10473,21.983,0.015,21.5,0.015,00 58 45.730,-72 10 37.28,,1.3188326,IN,1,3
477,755,14.6937125,-72.19114444,0.026597,6631,7067,21.552,0.016,21.391,0.017,00 58 46.491,-72 11 28.12,,0.83807766,IN,1,3
196,1124,14.69675,-72.16303611,0.02626,8523,9078,21.816,0.031,21.615,0.04,00 58 47.220,-72 09 46.93,,0.99191993,IN,1,3
124,1421,14.69925417,-72.17898056,0.021194,973,1090,18.986,0.018,19.018,0.013,00 58 47.821,-72 10 44.33,230.0,-0.48209587,IN,1,3
97,1772,14.70195833,-72.18490556,0.021619,5470,5837,21.291,0.015,20.993,0.012,00 58 48.470,-72 11 05.66,,0.8438925,IN,1,3
244,2111,14.704325,-72.17684722,0.019602,8815,9389,21.85,0.019,21.601,0.019,00 58 49.038,-72 10 36.65,,1.0500581,IN,1,3
152,2582,14.70757917,-72.15555278,0.028773,4774,5108,21.088,0.037,20.726,0.04,00 58 49.819,-72 09 19.99,,0.8103503,IN,1,3
567,2987,14.71044167,-72.19163056,0.022658,271,278,17.386,0.013,17.623,0.018,00 58 50.506,-72 11 29.87,255.0,-1.3809953,IN,1,3
462,3223,14.71205833,-72.18325278,0.018157,425,436,17.866,0.017,17.951,0.022,00 58 50.894,-72 10 59.71,260.0,-1.0303813,IN,1,3
683,3505,14.714,-72.19019722,0.020918,3630,3907,20.695,0.018,20.61,0.009,00 58 51.360,-72 11 24.71,,0.3868388,IN,1,3
199,3776,14.71589167,-72.18944722,0.020005,7523,8017,21.695,0.022,21.516,0.017,00 58 51.814,-72 11 22.01,,0.91812843,IN,1,3
294,4044,14.71770833,-72.16083611,0.022759,11588,12375,22.196,0.049,21.575,0.047,00 58 52.250,-72 09 39.01,,1.5375185,IN,1,3
502,4332,14.7198,-72.165825,0.018897,7047,7505,21.627,0.016,21.055,0.015,00 58 52.752,-72 09 56.97,,1.2392297,IN,1,3
133,4686,14.72237917,-72.15991667,0.022521,14325,15385,22.495,0.04,22.028,0.043,00 58 53.371,-72 09 35.70,,1.5334966,IN,1,3
253,5053,14.724825,-72.17793611,0.013324,6050,6453,21.432,0.02,21.306,0.019,00 58 53.958,-72 10 40.57,,0.75310683,IN,1,3
343,5356,14.72675417,-72.15581667,0.025146,8730,9298,21.84,0.037,21.289,0.039,00 58 54.421,-72 09 20.94,,1.315703,IN,1,3
205,5597,14.72825833,-72.19466111,0.021091,1868,2046,19.611,0.021,18.704,0.024,00 58 54.782,-72 11 40.78,,0.63727903,IN,1,3
409,5886,14.7302125,-72.15810556,0.022637,5546,5921,21.312,0.05,20.777,0.071,00 58 55.251,-72 09 29.18,,1.0652628,IN,1,3
228,6279,14.73247917,-72.16508333,0.016573,13844,14855,22.45,0.016,21.982,0.019,00 58 55.795,-72 09 54.30,,1.5142659,IN,1,3
143,6624,14.73460833,-72.15289722,0.026683,6616,7051,21.549,0.044,21.231,0.039,00 58 56.306,-72 09 10.43,,0.9771606,IN,1,3
582,6922,14.7361875,-72.153,0.026404,7423,7906,21.682,0.02,21.015,0.025,00 58 56.685,-72 09 10.80,,1.3487957,IN,1,3
118,7304,14.7382125,-72.16092778,0.018966,3857,4143,20.779,0.032,20.416,0.015,00 58 57.171,-72 09 39.34,,0.67305523,IN,1,3
716,7652,14.74001667,-72.15773889,0.02158,6264,6678,21.475,0.072,20.758,0.067,00 58 57.604,-72 09 27.86,,1.3009454,IN,1,3
168,7998,14.74164583,-72.1755,0.00841,6494,6922,21.529,0.015,21.173,0.01,00 58 57.995,-72 10 31.80,,1.0022044,IN,1,3
139,8469,14.74406667,-72.16602222,0.013673,13288,14254,22.392,0.014,21.962,0.014,00 58 58.576,-72 09 57.68,,1.4543389,IN,1,3
127,8877,14.74600833,-72.16539444,0.013902,3991,4282,20.825,0.015,20.646,0.02,00 58 59.042,-72 09 55.42,,0.52905476,IN,1,3
185,9484,14.7487125,-72.18919167,0.013143,2866,3091,20.306,0.021,20.301,0.014,00 58 59.691,-72 11 21.09,,0.14131863,IN,1,3
374,9943,14.750625,-72.19561389,0.018907,11266,12028,22.158,0.01,21.624,0.018,00 59 00.150,-72 11 44.21,,1.4427118,IN,1,3
193,10383,14.75235,-72.17805556,0.004923,9606,10232,21.955,0.013,21.627,0.015,00 59 00.564,-72 10 41.00,,1.1676738,IN,1,3
159,10878,14.75426667,-72.17415278,0.005454,6567,6999,21.54,0.02,21.353,0.011,00 59 01.024,-72 10 26.95,,0.85596746,IN,1,3
250,11417,14.756375,-72.17609444,0.003921,16217,17506,22.669,0.013,22.328,0.037,00 59 01.530,-72 10 33.94,,1.4986143,IN,1,3
82,12025,14.75850833,-72.18402222,0.007182,70,73,15.741,0.006,15.523,0.006,00 59 02.042,-72 11 02.48,374.0,-1.7096967,IN,1,3
300,12533,14.76025417,-72.15529444,0.022343,7748,8258,21.725,0.021,21.085,0.021,00 59 02.461,-72 09 19.06,,1.3438781,IN,1,3
161,13488,14.7634,-72.16985278,0.007795,13431,14410,22.407,0.013,21.996,0.012,00 59 03.216,-72 10 11.47,,1.4440519,IN,1,3
106,14454,14.76649167,-72.15521944,0.022288,10171,10843,22.024,0.021,21.433,0.021,00 59 03.958,-72 09 18.79,,1.4337665,IN,1,3
