,Unnamed: 0,RA,DEC,_r,recno,ID,F555W,e_F555W,F814W,e_F814W,RAJ2000,DEJ2000,MPG,d,in_field,Weight,mask
431,25795,14.81054167,-72.15249722,0.028147,10507,11214,22.067,0.017,21.709,0.016,00 59 14.530,-72 09 08.99,,1.2445949,IN,1,4
532,26194,14.81292083,-72.16531389,0.018299,8941,9520,21.866,0.01,21.346,0.011,00 59 15.101,-72 09 55.13,,1.2996011,IN,1,4
293,26519,14.81465,-72.20236111,0.028614,3174,3419,20.469,0.04,19.751,0.034,00 59 15.516,-72 12 08.50,,0.8519422,IN,1,4
210,26954,14.81714167,-72.19795278,0.025323,8876,9451,21.858,0.031,21.43,0.042,00 59 16.114,-72 11 52.63,,1.2137371,IN,1,4
728,27451,14.82010833,-72.18729167,0.018624,4761,5094,21.083,0.02,20.912,0.022,00 59 16.826,-72 11 14.25,,0.63727903,IN,1,4
203,27852,14.82255417,-72.16461111,0.021017,3926,4214,20.805,0.018,19.831,0.014,00 59 17.413,-72 09 52.60,,1.23118,IN,1,4
482,28162,14.82465,-72.17621389,0.017285,11215,11975,22.152,0.017,21.573,0.022,00 59 17.916,-72 10 34.37,,1.4802775,IN,1,4
329,28436,14.82629583,-72.17235278,0.018475,7050,7508,21.628,0.015,20.956,0.014,00 59 18.311,-72 10 20.47,,1.3291197,IN,1,4
187,28774,14.82850417,-72.17423611,0.018705,6677,7115,21.559,0.024,21.323,0.018,00 59 18.841,-72 10 27.25,,0.90829086,IN,1,4
625,29016,14.83004167,-72.15753889,0.027487,511,535,18.16,0.02,17.29,0.015,00 59 19.210,-72 09 27.14,,-0.044722382,IN,1,4
295,29276,14.83175833,-72.16559722,0.022776,2700,2920,20.205,0.021,20.157,0.016,00 59 19.622,-72 09 56.15,,0.13461156,IN,1,4
182,29531,14.83357083,-72.17610833,0.020016,11407,12183,22.174,0.016,21.73,0.035,00 59 20.057,-72 10 33.99,,1.3693681,IN,1,4
116,29751,14.83528333,-72.18095278,0.020778,12062,12897,22.254,0.019,21.867,0.034,00 59 20.468,-72 10 51.43,,1.3541619,IN,1,4
264,30090,14.8377,-72.18753889,0.02348,5702,6090,21.352,0.02,21.0,0.02,00 59 21.048,-72 11 15.14,,0.9194702,IN,1,4
215,30391,14.83973333,-72.17330556,0.022255,3109,3351,20.435,0.017,20.311,0.018,00 59 21.536,-72 10 23.90,,0.30544543,IN,1,4
256,30732,14.84212917,-72.15888056,0.029281,8495,9050,21.812,0.013,21.533,0.013,00 59 22.111,-72 09 31.97,,1.0598958,IN,1,4
673,30982,14.84416667,-72.16010556,0.029014,11040,11788,22.131,0.015,21.7,0.02,00 59 22.600,-72 09 36.38,,1.3385103,IN,1,4
345,31404,14.84749167,-72.18503056,0.025367,9071,9658,21.883,0.031,21.264,0.026,00 59 23.398,-72 11 06.11,,1.3957529,IN,1,4
371,31675,14.84958333,-72.17050278,0.025838,8469,9022,21.809,0.025,21.472,0.019,00 59 23.900,-72 10 13.81,,1.1104312,IN,1,4
