,Unnamed: 0,RA,DEC,_r,recno,ID,F555W,e_F555W,F814W,e_F814W,RAJ2000,DEJ2000,MPG,d,in_field,Weight,mask
188,3,14.68667917,-72.18276667,0.025537,8650,9215,21.832,0.021,21.609,0.014,00 58 44.803,-72 10 57.96,,1.0187542,IN,1,0
391,364,14.69024583,-72.19615278,0.030308,704,775,18.57,0.018,18.558,0.015,00 58 45.659,-72 11 46.15,211.0,-0.6287832,IN,1,0
964,579,14.69212917,-72.17896667,0.023369,7426,7909,21.682,0.016,21.383,0.016,00 58 46.111,-72 10 44.28,,1.0196464,IN,1,0
20,767,14.69379167,-72.18214444,0.02328,6344,6766,21.493,0.015,21.293,0.017,00 58 46.510,-72 10 55.72,,0.84657604,IN,1,0
410,957,14.69544167,-72.18988056,0.025508,3493,3761,20.635,0.04,20.459,0.026,00 58 46.906,-72 11 23.57,,0.44140044,IN,1,0
131,1165,14.6971,-72.18423333,0.022815,8360,8911,21.795,0.016,21.605,0.018,00 58 47.304,-72 11 03.24,,0.97269005,IN,1,0
233,1579,14.70045417,-72.1942,0.026648,14989,16123,22.559,0.019,22.105,0.026,00 58 48.109,-72 11 39.12,,1.5504899,IN,1,0
44,1817,14.70227917,-72.19040278,0.023978,10114,10781,22.017,0.014,21.543,0.045,00 58 48.547,-72 11 25.45,,1.3259892,IN,1,0
39,2228,14.70522917,-72.18294722,0.020065,3292,3549,20.537,0.013,20.442,0.01,00 58 49.255,-72 10 58.61,,0.32512566,IN,1,0
542,2559,14.70740417,-72.16172222,0.024434,370,379,17.709,0.016,17.781,0.021,00 58 49.777,-72 09 42.20,246.0,-1.0889657,IN,1,0
591,2793,14.709075,-72.15958611,0.025499,17437,18878,22.764,0.04,22.446,0.054,00 58 50.178,-72 09 34.51,,1.5205269,IN,1,0
41,3011,14.71061667,-72.16589444,0.021141,13041,13977,22.365,0.018,21.837,0.025,00 58 50.548,-72 09 57.22,,1.5299175,IN,1,0
338,3262,14.7122875,-72.15476111,0.02849,7755,8265,21.725,0.044,21.235,0.042,00 58 50.949,-72 09 17.14,,1.2097127,IN,1,0
221,3561,14.7143875,-72.16618056,0.020023,9174,9769,21.894,0.015,21.385,0.018,00 58 51.453,-72 09 58.25,,1.3022846,IN,1,0
134,3896,14.71672083,-72.15604722,0.026647,3165,3410,20.464,0.046,20.32,0.035,00 58 52.013,-72 09 21.77,,0.33630583,IN,1,0
36,4355,14.71992083,-72.15845833,0.024132,10283,10967,22.039,0.05,21.482,0.029,00 58 52.781,-72 09 30.45,,1.4100635,IN,1,0
171,4572,14.721475,-72.18314722,0.015412,10213,10889,22.028,0.023,21.498,0.023,00 58 53.154,-72 10 59.33,,1.3809961,IN,1,0
10,4782,14.72312083,-72.19145833,0.019652,1323,1481,19.349,0.02,19.279,0.026,00 58 53.549,-72 11 29.25,281.0,-0.2285243,IN,1,0
74,5229,14.72585417,-72.16230556,0.020001,8024,8549,21.753,0.023,20.967,0.021,00 58 54.205,-72 09 44.30,,1.4869864,IN,1,0
35,5765,14.7294125,-72.17870833,0.011973,4019,4312,20.833,0.013,20.628,0.023,00 58 55.059,-72 10 43.35,,0.5558865,IN,1,0
16,6116,14.7315875,-72.17998611,0.011518,5647,6032,21.339,0.016,21.238,0.012,00 58 55.581,-72 10 47.95,,0.6891563,IN,1,0
335,6450,14.7335625,-72.18243611,0.01173,6676,7114,21.56,0.019,21.168,0.014,00 58 56.055,-72 10 56.77,,1.0482686,IN,1,0
301,6759,14.7352875,-72.17531111,0.010349,5614,5998,21.33,0.012,21.073,0.011,00 58 56.469,-72 10 31.12,,0.8246618,IN,1,0
14,7267,14.73800417,-72.16221389,0.017886,9961,10617,21.998,0.015,21.459,0.012,00 58 57.121,-72 09 43.97,,1.3756282,IN,1,0
973,7601,14.73971667,-72.15265278,0.026348,8397,8949,21.798,0.018,21.205,0.011,00 58 57.532,-72 09 09.55,,1.3344859,IN,1,0
63,8021,14.741775,-72.16522222,0.014726,12099,12938,22.258,0.015,21.881,0.018,00 58 58.026,-72 09 54.80,,1.3470061,IN,1,0
157,8335,14.74347083,-72.179525,0.007874,9441,10049,21.933,0.016,21.699,0.016,00 58 58.433,-72 10 46.29,,1.0737611,IN,1,0
7,8744,14.7454875,-72.154025,0.024496,10365,11056,22.048,0.022,21.533,0.018,00 58 58.917,-72 09 14.49,,1.376523,IN,1,0
653,9185,14.747425,-72.15581667,0.022609,11081,11829,22.136,0.016,21.593,0.022,00 58 59.382,-72 09 20.94,,1.4409214,IN,1,0
79,9586,14.74912917,-72.19152222,0.015203,6697,7135,21.562,0.02,21.014,0.025,00 58 59.791,-72 11 29.48,,1.1886941,IN,1,0
54,10057,14.75110417,-72.17291667,0.006987,85,88,15.94,0.007,16.228,0.009,00 59 00.265,-72 10 22.50,348.0,-2.0732834,IN,1,0
61,10917,14.75440417,-72.16227222,0.015814,7495,7986,21.69,0.02,21.061,0.024,00 59 01.057,-72 09 44.18,,1.3183856,IN,1,0
40,11458,14.75652083,-72.19186667,0.014814,1038,1162,19.073,0.015,19.08,0.013,00 59 01.565,-72 11 30.72,,-0.42082798,IN,1,0
18,11947,14.75829583,-72.15433056,0.023372,6872,7326,21.597,0.057,20.759,0.045,00 59 01.991,-72 09 15.59,,1.4637295,IN,1,0
46,12796,14.761125,-72.17410833,0.004046,1167,1310,19.22,0.01,19.299,0.015,00 59 02.670,-72 10 26.79,,-0.4194871,IN,1,0
1,13562,14.76362083,-72.17950556,0.00247,3236,3486,20.504,0.009,20.406,0.016,00 59 03.269,-72 10 46.22,,0.313049,IN,1,0
21,14079,14.7654,-72.17692778,0.001065,404,413,17.794,0.016,17.949,0.022,00 59 03.696,-72 10 36.94,,-1.125188,IN,1,0
13,14638,14.76707083,-72.15661944,0.020884,11515,12298,22.187,0.02,21.637,0.025,00 59 04.097,-72 09 23.83,,1.4699922,IN,1,0
90,15390,14.769425,-72.17906389,0.001599,7279,7753,21.661,0.02,21.412,0.019,00 59 04.662,-72 10 44.63,,0.9655326,IN,1,0
4,16376,14.77241667,-72.15593889,0.021597,7438,7923,21.684,0.018,20.988,0.018,00 59 05.380,-72 09 21.38,,1.3756282,IN,1,0
117,17009,14.77429167,-72.15399722,0.023574,8153,8684,21.77,0.016,21.18,0.017,00 59 05.830,-72 09 14.39,,1.3192804,IN,1,0
6,17779,14.77668333,-72.18386667,0.00686,3725,4006,20.728,0.01,19.988,0.013,00 59 06.404,-72 11 01.92,,0.9874477,IN,1,0
262,18630,14.77956667,-72.17315278,0.005543,11931,12747,22.237,0.022,21.86,0.019,00 59 07.096,-72 10 23.35,,1.3376147,IN,1,0
53,19184,14.78145,-72.16679167,0.011437,12547,13435,22.312,0.034,21.752,0.046,00 59 07.548,-72 10 00.45,,1.5348366,IN,1,0
137,19862,14.7837875,-72.19491944,0.01805,4989,5339,21.155,0.016,20.5,0.019,00 59 08.109,-72 11 41.71,,1.1023824,IN,1,0
38,20651,14.7866875,-72.17378056,0.006738,15237,16396,22.583,0.017,22.149,0.014,00 59 08.805,-72 10 25.61,,1.5433342,IN,1,0
817,21094,14.78830833,-72.17343333,0.007343,10348,11037,22.047,0.012,21.532,0.014,00 59 09.194,-72 10 24.36,,1.3760778,IN,1,0
33,21570,14.79035417,-72.17906111,0.006918,7663,8168,21.714,0.01,20.945,0.013,00 59 09.685,-72 10 44.62,,1.4543399,IN,1,0
8,21905,14.79190417,-72.15686111,0.021865,6981,7439,21.617,0.022,20.959,0.017,00 59 10.057,-72 09 24.70,,1.3116785,IN,1,0
11,22445,14.794325,-72.17664167,0.008002,1629,1802,19.516,0.011,18.534,0.013,00 59 10.638,-72 10 35.91,,0.66187674,IN,1,0
12,22802,14.79590417,-72.18518889,0.011415,13102,14045,22.372,0.016,21.955,0.018,00 59 11.017,-72 11 06.68,,1.4337665,IN,1,0
27,23222,14.79778333,-72.17057222,0.01137,2918,3148,20.323,0.018,20.205,0.013,00 59 11.468,-72 10 14.06,,0.2499924,IN,1,0
2,23799,14.8004,-72.15817222,0.021679,12630,13522,22.319,0.014,21.908,0.016,00 59 12.096,-72 09 29.42,,1.4046974,IN,1,0
23,24223,14.80230417,-72.19191111,0.017768,13080,14019,22.37,0.018,21.876,0.014,00 59 12.553,-72 11 30.88,,1.5017449,IN,1,0
154,24816,14.8053125,-72.157425,0.023049,11980,12800,22.243,0.061,21.652,0.053,00 59 13.275,-72 09 26.73,,1.5317062,IN,1,0
71,25132,14.80693333,-72.15390556,0.02639,6197,6608,21.463,0.019,20.492,0.014,00 59 13.664,-72 09 14.06,,1.5227609,IN,1,0
796,25465,14.8088,-72.186025,0.015034,1565,1735,19.487,0.019,19.197,0.015,00 59 14.112,-72 11 09.69,,0.029962204,IN,1,0
0,25774,14.81043333,-72.18789722,0.016554,5790,6182,21.371,0.016,21.048,0.017,00 59 14.504,-72 11 16.43,,0.9020299,IN,1,0
114,26140,14.81260417,-72.19568056,0.022671,3129,3373,20.446,0.017,20.406,0.02,00 59 15.025,-72 11 44.45,,0.23523308,IN,1,0
333,26437,14.81421667,-72.18412778,0.015527,9411,10018,21.928,0.041,21.582,0.041,00 59 15.412,-72 11 02.86,,1.1716983,IN,1,0
50,26740,14.81585833,-72.15411944,0.027541,10296,10981,22.039,0.02,21.557,0.014,00 59 15.806,-72 09 14.83,,1.3429825,IN,1,0
266,27042,14.81759583,-72.18872778,0.018795,11504,12286,22.186,0.017,21.837,0.013,00 59 16.223,-72 11 19.42,,1.2897652,IN,1,0
30,27328,14.8192875,-72.17479722,0.015829,952,1068,18.96,0.014,17.825,0.02,00 59 16.629,-72 10 29.27,,0.5500708,IN,1,0
94,27841,14.82249583,-72.17875556,0.016624,2603,2812,20.133,0.017,20.217,0.017,00 59 17.399,-72 10 43.52,,-0.015652407,IN,1,0
65,28177,14.82474583,-72.16322778,0.022406,7998,8521,21.752,0.023,21.174,0.015,00 59 17.939,-72 09 47.62,,1.3004984,IN,1,0
