,Unnamed: 0,RA,DEC,_r,recno,ID,F555W,e_F555W,F814W,e_F814W,RAJ2000,DEJ2000,MPG,d,in_field,Weight,mask
417,110,14.68772917,-72.16397778,0.028141,2220,2411,19.87,0.037,19.841,0.031,00 58 45.055,-72 09 50.32,,-0.032197896,IN,1,1
34,318,14.689775,-72.18765833,0.026096,1028,1152,19.064,0.016,19.156,0.014,00 58 45.546,-72 11 15.57,209.0,-0.5008804,IN,1,1
503,545,14.69180833,-72.16565556,0.026253,4444,4759,20.982,0.035,20.686,0.033,00 58 46.034,-72 09 56.36,,0.7039139,IN,1,1
100,803,14.6940625,-72.16735556,0.024899,9491,10105,21.94,0.027,21.742,0.029,00 58 46.575,-72 10 02.48,,1.0446911,IN,1,1
307,993,14.69579583,-72.18348889,0.022992,9626,10254,21.957,0.018,21.363,0.015,00 58 46.991,-72 11 00.56,,1.406487,IN,1,1
305,1283,14.69812917,-72.20135556,0.032097,8932,9511,21.865,0.013,21.308,0.01,00 58 47.551,-72 12 04.88,,1.3322484,IN,1,1
668,1597,14.70060417,-72.1952,0.027251,9712,10347,21.968,0.02,21.62,0.016,00 58 48.145,-72 11 42.72,,1.1913768,IN,1,1
69,1850,14.70255,-72.16846944,0.022071,11482,12261,22.184,0.016,21.678,0.022,00 58 48.612,-72 10 06.49,,1.4292951,IN,1,1
402,2095,14.70425,-72.18236111,0.020205,10215,10891,22.028,0.016,21.447,0.014,00 58 49.020,-72 10 56.50,,1.4266107,IN,1,1
396,2351,14.70608333,-72.15593889,0.02878,6404,6829,21.505,0.037,21.191,0.048,00 58 49.460,-72 09 21.38,,0.95390546,IN,1,1
66,2691,14.7083125,-72.19693611,0.026737,7327,7804,21.666,0.017,21.468,0.017,00 58 49.995,-72 11 48.97,,0.92215455,IN,1,1
460,2943,14.7101125,-72.17110278,0.018936,4087,4384,20.857,0.012,20.249,0.014,00 58 50.427,-72 10 15.97,,0.9270738,IN,1,1
239,3178,14.71173333,-72.16052778,0.024258,11334,12104,22.165,0.055,21.572,0.042,00 58 50.816,-72 09 37.90,,1.4986135,IN,1,1
176,3483,14.71386667,-72.199075,0.027259,13128,14076,22.375,0.016,22.011,0.02,00 58 51.328,-72 11 56.67,,1.387704,IN,1,1
226,3870,14.71654583,-72.16836389,0.018298,1118,1256,19.177,0.02,18.232,0.016,00 58 51.971,-72 10 06.11,,0.47717664,IN,1,1
146,4133,14.71835,-72.16841111,0.017798,6807,7252,21.585,0.019,21.463,0.02,00 58 52.404,-72 10 06.28,,0.817953,IN,1,1
125,4358,14.7199375,-72.20182222,0.028473,5240,5597,21.224,0.026,20.845,0.021,00 58 52.785,-72 12 06.56,,0.8863792,IN,1,1
