,Unnamed: 0,RA,DEC,J,H,Av,R,Weight,in_field,mask
85,1632,274.6497213,-13.78334102,14.30819427,13.335889,10.03003,24.93402,1,IN,1
6,1802,274.6504374,-13.75954807,18.01999736,16.168066,10.750751,29.265643,1,IN,1
130,1496,274.6512169,-13.77962931,18.9274183,17.286684,9.5495495,29.140031,1,IN,1
198,1431,274.6518078,-13.77996838,18.95255582,17.316522,9.1891892,28.855259,1,IN,1
70,1873,274.6527534,-13.78363935,19.45959875,17.659149,10.990991,30.911851,1,IN,1
109,1394,274.653435,-13.7730908,19.09986824,17.545513,8.9489489,28.795964,1,IN,1
75,1362,274.6542807,-13.7551587,20.25258777,19.301408,8.5885886,29.638774,1,IN,1
50,1636,274.6549939,-13.77355849,19.05588975,17.318291,10.15015,29.785019,1,IN,1
282,1432,274.65558,-13.77596802,13.95655343,12.971552,9.1891892,23.859256,1,IN,1
71,2003,274.6560796,-13.77078375,19.79037363,17.951565,11.711712,31.862446,1,IN,1
110,1517,274.6567866,-13.78062654,17.95755384,16.170505,9.6696697,28.27347,1,IN,1
49,1870,274.6578831,-13.78743309,19.68025918,17.908163,10.990991,31.132512,1,IN,1
280,1817,274.6591108,-13.77927092,18.02625386,16.167255,10.870871,29.375203,1,IN,1
33,1912,274.6596213,-13.79513081,19.3842564,17.532809,11.231231,31.043115,1,IN,1
172,1375,274.6601268,-13.79894258,18.93739828,17.391866,8.7087087,28.426888,1,IN,1
84,1471,274.6610458,-13.77794685,16.42979492,14.935116,9.4294294,26.539104,1,IN,1
156,1726,274.6616231,-13.77452594,18.85063972,17.029747,10.510511,29.889679,1,IN,1
155,1935,274.6624289,-13.78544246,18.74581438,16.792968,11.351351,30.507977,1,IN,1
486,1752,274.6630716,-13.77403851,17.14334546,15.448025,10.630631,28.285688,1,IN,1
126,1834,274.6635685,-13.79130159,19.5398273,17.790245,10.870871,30.888776,1,IN,1
57,1710,274.6641378,-13.75877468,14.37547358,13.092805,10.39039,25.311209,1,IN,1
93,1991,274.6650181,-13.79887952,19.86297532,18.013978,11.591592,31.831744,1,IN,1
100,1368,274.6655937,-13.77264509,19.02316455,17.482147,8.7087087,28.512654,1,IN,1
333,1961,274.6661266,-13.79789277,18.42411308,16.432803,11.471471,30.289579,1,IN,1
68,1806,274.6667055,-13.75378725,14.92817488,13.821758,10.750751,26.173821,1,IN,1
14,2001,274.6673928,-13.7730691,19.67027228,17.787201,11.711712,31.742345,1,IN,1
