,Unnamed: 0,RA,DEC,J,H,Av,R,Weight,in_field,mask
65,1452,274.6493594,-13.77253169,18.17549292,16.452989,9.3093093,28.181499,1,IN,2
168,1926,274.6498952,-13.76077548,19.89329139,18.070955,11.351351,31.655454,1,IN,2
227,1411,274.6505745,-13.78616396,19.76344859,18.244593,8.9489489,29.459545,1,IN,2
112,1751,274.6511785,-13.77476348,20.01382032,18.31088,10.630631,31.156163,1,IN,2
233,1758,274.652293,-13.7651115,19.23741455,17.473503,10.630631,30.379757,1,IN,2
154,1495,274.6528385,-13.78130655,18.19351774,16.422253,9.5495495,28.40613,1,IN,2
124,1451,274.6533965,-13.77417223,20.27456054,18.774515,9.3093093,30.280567,1,IN,2
86,1949,274.6542668,-13.76566419,19.47446197,17.632786,11.471471,31.339928,1,IN,2
90,1768,274.6551209,-13.79385502,18.89216026,17.087692,10.630631,30.034503,1,IN,2
250,1439,274.6561881,-13.79747363,18.93971694,17.322794,9.1891892,28.84242,1,IN,2
166,1901,274.6568569,-13.76609442,19.65452751,17.822655,11.231231,31.313387,1,IN,2
423,1929,274.6573734,-13.7538492,15.12343771,13.99475,11.351351,26.8856,1,IN,2
176,1435,274.6581117,-13.77271719,19.61161031,18.073076,9.1891892,29.514313,1,IN,2
472,1846,274.6588478,-13.77600918,15.02308575,13.896037,10.990991,26.475338,1,IN,2
111,1387,274.6595053,-13.75376324,20.30570545,19.326207,8.8288288,29.898498,1,IN,2
303,1502,274.6600856,-13.77023758,19.44576702,17.854302,9.5495495,29.65838,1,IN,2
983,2466,274.660814,-13.79247811,19.52084586,17.031477,17.597598,36.65478,2,IN,2
182,1722,274.6613195,-13.78394046,14.46832911,13.409258,10.39039,25.404065,1,IN,2
232,1924,274.6619162,-13.76245538,18.17401869,16.262069,11.351351,29.936181,1,IN,2
97,1440,274.6628089,-13.796526,17.96959872,16.236255,9.1891892,27.872302,1,IN,2
240,1955,274.66349,-13.75872006,19.46776295,17.584394,11.471471,31.333229,1,IN,2
127,1865,274.6642825,-13.79788855,18.80311411,16.917316,10.990991,30.255367,1,IN,2
142,1727,274.6648106,-13.77451571,14.8131644,13.738483,10.510511,25.852204,1,IN,2
79,1377,274.6654652,-13.78641102,18.15974203,16.519182,8.7087087,27.649232,1,IN,2
37,0,274.6659601,-13.79560953,12.93108215,12.55665,-0.42042042,14.569521,1,IN,2
245,1482,274.666803,-13.79743029,18.42222055,16.713112,9.4294294,28.53153,1,IN,2
398,1750,274.6673428,-13.77672423,18.86135165,17.025718,10.630631,30.003694,1,IN,2
80,1813,274.6678851,-13.78591031,19.36944648,17.587601,10.750751,30.615092,1,IN,2
175,1484,274.6686188,-13.79079167,19.32802556,17.711249,9.4294294,29.437335,1,IN,2
63,1412,274.6695334,-13.78569466,19.26868691,17.723103,8.9489489,28.964783,1,IN,2
899,2447,274.6700624,-13.76309525,16.64340162,14.921933,16.756757,33.054213,2,IN,2
422,1793,274.6705814,-13.7645146,18.33599454,16.418523,10.750751,29.58164,1,IN,2
165,1702,274.6711002,-13.76734975,18.43397257,16.572786,10.39039,29.369708,1,IN,2
46,1614,274.6716824,-13.76633216,19.06050812,17.354471,10.03003,29.686334,1,IN,2
274,1824,274.672234,-13.76245682,13.73382016,12.6776,10.870871,25.082769,1,IN,2
120,1880,274.6728738,-13.76908699,14.9814727,13.842075,11.111111,26.537028,1,IN,2
860,2557,274.6736926,-13.76188175,15.76788352,13.763254,20.24024,35.17449,2,IN,2
58,1770,274.6741903,-13.79143009,14.54134973,13.436514,10.630631,25.683692,1,IN,2
43,1965,274.6751343,-13.78830034,15.21656811,14.045685,11.471471,27.082034,1,IN,2
231,1981,274.6757561,-13.76262456,20.39269987,18.608171,11.591592,32.361469,1,IN,2
107,1490,274.6762536,-13.78529633,18.03283746,16.280262,9.4294294,28.142147,1,IN,2
153,1476,274.6770338,-13.76281095,18.85679168,17.178402,9.4294294,28.966101,1,IN,2
102,1389,274.6775768,-13.78744658,17.93814624,16.244124,8.8288288,27.530939,1,IN,2
270,1983,274.6782618,-13.76233622,20.30815128,18.500526,11.591592,32.27692,1,IN,2
119,1987,274.6789103,-13.75508762,19.1433351,17.213316,11.591592,31.112104,1,IN,2
316,1385,274.6794421,-13.75594512,16.06190012,14.650287,8.8288288,25.654693,1,IN,2
184,1792,274.6800831,-13.76474148,20.27498985,18.582258,10.750751,31.520636,1,IN,2
785,1628,274.6806215,-13.7894248,16.59162933,15.017666,10.03003,27.217455,2,IN,2
128,1402,274.6811861,-13.75393813,18.3742321,16.705644,8.9489489,28.070328,1,IN,2
145,1508,274.6822268,-13.75780713,18.06429536,16.28099,9.5495495,28.276908,1,IN,2
223,1457,274.6828943,-13.76032147,18.48122419,16.765334,9.3093093,28.48723,1,IN,2
72,1897,274.683812,-13.78053576,18.42444259,16.470051,11.231231,30.083302,1,IN,2
248,1816,274.6845674,-13.78232856,15.03570875,13.919037,10.870871,26.384658,1,IN,2
167,1757,274.6855688,-13.76668418,18.68025101,16.81906,10.630631,29.822594,1,IN,2
215,1779,274.6863218,-13.78362149,18.86494459,17.038579,10.630631,30.007287,1,IN,2
710,2499,274.6872704,-13.76515059,15.57590283,13.710265,18.798799,33.74287,2,IN,2
134,2015,274.6878292,-13.75947916,19.77701509,17.904551,11.711712,31.849087,1,IN,2
700,2425,274.6886419,-13.77839543,15.99660869,14.12549,16.156156,31.890903,2,IN,2
353,1800,274.6895118,-13.75981625,18.95002404,17.11925,10.750751,30.19567,1,IN,2
94,1712,274.6900604,-13.75050061,18.12227101,16.250606,10.39039,29.058007,1,IN,2
424,1928,274.6909499,-13.75887204,19.31508815,17.441119,11.351351,31.07725,1,IN,2
