,Unnamed: 0,RA,DEC,J,H,Av,R,Weight,in_field,mask
217,1980,274.6501241,-13.76489319,20.13623703,18.320662,11.591592,32.105006,1,IN,3
306,1938,274.6506533,-13.78265752,19.54276159,17.692631,11.351351,31.304924,1,IN,3
164,2010,274.6512785,-13.76537103,19.97917523,18.139652,11.711712,32.051247,1,IN,3
213,1450,274.6523133,-13.77882117,18.65949943,16.962169,9.3093093,28.665506,1,IN,3
150,1794,274.6530791,-13.76356135,19.99564142,18.272952,10.750751,31.241287,1,IN,3
301,1500,274.6536268,-13.77286071,18.90716811,17.216462,9.5495495,29.119781,1,IN,3
103,1644,274.6542795,-13.76442761,19.35723269,17.660414,10.15015,30.086362,1,IN,3
346,1470,274.6548524,-13.77861207,19.5001177,17.927862,9.4294294,29.609427,1,IN,3
325,1934,274.6553737,-13.78718591,19.10464597,17.206757,11.351351,30.866808,1,IN,3
178,1807,274.6561741,-13.79880888,14.52247616,13.46622,10.750751,25.768122,1,IN,3
228,1966,274.6567298,-13.78797034,19.72802857,17.891838,11.471471,31.593494,1,IN,3
186,1436,274.6574253,-13.771245,18.82635356,17.221515,9.1891892,28.729056,1,IN,3
266,1382,274.6579983,-13.77258663,18.58642538,16.987897,8.8288288,28.179218,1,IN,3
998,1573,274.658695,-13.7806554,20.30233789,18.703507,9.9099099,30.824861,2,IN,3
190,1459,274.6592601,-13.79931825,18.72249272,17.057096,9.3093093,28.728499,1,IN,3
161,1731,274.6601293,-13.77046565,17.9351158,16.105678,10.510511,28.974155,1,IN,3
235,1866,274.6614133,-13.79740554,19.86224828,18.09734,10.990991,31.314501,1,IN,3
136,1933,274.6619743,-13.79672104,18.83539237,16.894978,11.351351,30.597555,1,IN,3
307,1769,274.6628849,-13.79161844,19.22620242,17.44696,10.630631,30.368545,1,IN,3
132,1743,274.6637747,-13.79114097,19.44201873,17.719042,10.510511,30.481058,1,IN,3
114,1910,274.6647761,-13.79857704,19.77237294,17.957598,11.231231,31.431232,1,IN,3
158,1845,274.6653489,-13.77619024,19.68394417,17.907257,10.990991,31.136197,1,IN,3
151,1406,274.6662369,-13.79100356,18.54964861,16.901503,8.9489489,28.245745,1,IN,3
262,1433,274.666782,-13.77366525,19.78928101,18.238344,9.1891892,29.691984,1,IN,3
171,1511,274.6676527,-13.79075617,18.58286541,16.870954,9.5495495,28.795478,1,IN,3
268,2023,274.6681667,-13.7994056,18.7493964,16.753143,11.711712,30.821469,1,IN,3
200,1945,274.6689294,-13.77204579,15.71697384,14.177899,11.471471,27.582439,1,IN,3
481,1466,274.6694613,-13.78644729,18.38231835,16.682201,9.3093093,28.388324,1,IN,3
104,1424,274.6700033,-13.79405105,18.25896478,16.577113,9.0690691,28.058364,1,IN,3
205,1930,274.6706678,-13.75280245,16.9894571,15.289851,11.351351,28.751619,1,IN,3
138,1379,274.6715432,-13.78286274,17.81746486,16.134235,8.7087087,27.306954,1,IN,3
392,1708,274.6721834,-13.75966204,18.82806421,17.034633,10.39039,29.7638,1,IN,3
214,1891,274.6727396,-13.78733355,18.90940444,17.016017,11.111111,30.46496,1,IN,3
862,2551,274.6732665,-13.78391331,15.52330263,13.501915,20.0,34.723303,2,IN,3
856,1590,274.6737786,-13.76400954,18.90468129,17.195937,9.9099099,29.427204,2,IN,3
197,1414,274.6742864,-13.78387586,18.75825514,17.177021,8.9489489,28.454351,1,IN,3
208,1619,274.6751404,-13.7593542,19.19058578,17.48043,10.03003,29.816412,1,IN,3
204,2021,274.6757914,-13.75234993,19.64289273,17.757991,11.711712,31.714965,1,IN,3
91,1760,274.6768575,-13.7635527,19.94438763,18.23962,10.630631,31.08673,1,IN,3
283,1826,274.6778624,-13.759216,19.14593754,17.327059,10.870871,30.494887,1,IN,3
322,1447,274.6785552,-13.7857046,18.26346642,16.556591,9.1891892,28.166169,1,IN,3
169,1973,274.6791008,-13.77054142,19.74293829,17.871632,11.591592,31.711707,1,IN,3
292,1481,274.6798762,-13.75252635,19.69973105,18.12666,9.4294294,29.80904,1,IN,3
159,1956,274.6805719,-13.75796008,19.10385415,17.169089,11.471471,30.96932,1,IN,3
160,1855,274.6815261,-13.76682787,19.45127538,17.677912,10.990991,30.903528,1,IN,3
229,1714,274.6823319,-13.79464998,14.53378604,13.464438,10.39039,25.469522,1,IN,3
202,1847,274.6832573,-13.77531194,19.69019743,17.892818,10.990991,31.14245,1,IN,3
194,1506,274.6839714,-13.75908761,18.40573205,16.677219,9.5495495,28.618345,1,IN,3
162,1478,274.6844998,-13.75974062,18.8696557,17.188829,9.4294294,28.978965,1,IN,3
239,1700,274.6850514,-13.76863776,19.41771719,17.701356,10.39039,30.353453,1,IN,3
244,1732,274.6858937,-13.76769752,18.99395589,17.198262,10.510511,30.032995,1,IN,3
720,2409,274.686708,-13.75016184,18.89594563,16.610176,15.795796,34.48033,2,IN,3
