,Unnamed: 0,RA,DEC,J,H,Av,R,Weight,in_field,mask
78,1836,274.6493358,-13.78758378,19.83468593,18.073317,10.870871,31.183635,1,IN,0
320,1365,274.6498575,-13.78223328,17.32555176,15.696587,8.7087087,26.815041,1,IN,0
22,1939,274.6503591,-13.78224372,19.44437785,17.584361,11.471471,31.309843,1,IN,0
2,1512,274.6508792,-13.78779884,18.25819092,16.51157,9.5495495,28.470804,1,IN,0
48,1634,274.6520395,-13.77858643,20.11386939,18.472951,10.15015,30.842999,1,IN,0
344,1968,274.6525915,-13.78016877,19.76956344,17.932288,11.591592,31.738332,1,IN,0
140,1808,274.6532478,-13.79613799,19.0630803,17.248057,10.750751,30.308726,1,IN,0
42,1970,274.6537479,-13.77334833,19.17780438,17.280251,11.591592,31.146573,1,IN,0
27,1357,274.6547306,-13.76740607,16.93925881,15.385668,8.5885886,26.325445,1,IN,0
7,1720,274.6555413,-13.78532836,19.14567938,17.395822,10.39039,30.081415,1,IN,0
55,1449,274.6563667,-13.78298667,18.79211383,17.158048,9.1891892,28.694817,1,IN,0
284,1701,274.6570845,-13.76755313,14.47010902,13.390439,10.39039,25.405845,1,IN,0
4,1438,274.657903,-13.79861824,19.26378139,17.700084,9.1891892,29.166484,1,IN,0
498,1612,274.6585014,-13.77034916,19.67526079,18.018869,10.03003,30.301087,1,IN,0
135,2019,274.6592621,-13.75431178,15.34425398,14.169945,11.711712,27.416326,1,IN,0
133,1853,274.6599892,-13.76885463,19.70368815,17.927712,10.990991,31.155941,1,IN,0
331,1746,274.6606049,-13.78307747,19.34469721,17.614531,10.510511,30.383736,1,IN,0
54,1911,274.6613416,-13.79583674,19.06215365,17.165269,11.231231,30.721013,1,IN,0
36,1985,274.6620468,-13.76081171,19.18889048,17.261868,11.591592,31.157659,1,IN,0
278,1892,274.662708,-13.78693132,19.36188102,17.516851,11.111111,30.917437,1,IN,0
82,1473,274.6633104,-13.77710842,18.76316801,17.078536,9.4294294,28.872477,1,IN,0
21,1811,274.6638089,-13.78904077,14.83602924,13.759026,10.750751,26.081675,1,IN,0
216,1917,274.6644987,-13.77307757,19.80555265,18.002553,11.351351,31.567715,1,IN,0
11,1729,274.6651506,-13.77383889,19.63605196,17.922005,10.510511,30.675091,1,IN,0
47,1418,274.666121,-13.75976709,18.78862509,17.200352,9.0690691,28.588025,1,IN,0
19,1890,274.6666774,-13.79090157,18.31956669,16.379993,11.111111,29.875122,1,IN,0
12,1902,274.667721,-13.76556987,14.60695046,13.433394,11.231231,26.265809,1,IN,0
1,1697,274.668595,-13.77619597,19.1199209,17.34608,10.39039,30.055657,1,IN,0
493,1425,274.6691235,-13.78850547,16.47617949,14.983471,9.0690691,26.275579,1,IN,0
25,1959,274.6697252,-13.75168873,19.58279459,17.708605,11.471471,31.44826,1,IN,0
405,1367,274.6703219,-13.77664083,13.82705267,12.77189,8.7087087,23.316542,1,IN,0
20,1844,274.6708609,-13.77799575,18.95343697,17.077632,10.990991,30.405689,1,IN,0
39,1442,274.6717646,-13.79285928,19.26646477,17.6811,9.1891892,29.169168,1,IN,0
872,2676,274.672288,-13.75240595,15.26082068,12.873337,23.963964,37.86983,2,IN,0
5,2014,274.6728295,-13.76136376,19.78597331,17.929292,11.711712,31.858046,1,IN,0
187,1741,274.6733688,-13.75499588,19.99604648,18.320648,10.510511,31.035086,1,IN,0
23,1384,274.6739369,-13.7584776,18.97175146,17.428241,8.8288288,28.564544,1,IN,0
137,1378,274.6747969,-13.78513322,14.05054454,13.167334,8.7087087,23.540034,1,IN,0
8,1766,274.6754093,-13.79898465,15.25461524,13.819861,10.630631,26.396958,1,IN,0
0,1894,274.6760183,-13.78596504,19.49276204,17.698789,11.111111,31.048318,1,IN,0
74,1409,274.6768279,-13.78865865,18.28536882,16.624532,8.9489489,27.981465,1,IN,0
17,1630,274.6773666,-13.78555733,19.53634249,17.873807,10.03003,30.162168,1,IN,0
96,1860,274.6779032,-13.75832885,18.65771678,16.761793,10.990991,30.109969,1,IN,0
76,1618,274.6784979,-13.75961005,19.31684263,17.601055,10.03003,29.942669,1,IN,0
13,1737,274.6792039,-13.75771511,13.9978118,12.967129,10.510511,25.036851,1,IN,0
163,1809,274.6798795,-13.795406,14.92586601,13.81683,10.750751,26.171512,1,IN,0
15,1733,274.6804697,-13.76746881,18.85489576,17.068775,10.510511,29.893935,1,IN,0
349,1441,274.6810577,-13.79459119,18.45353966,16.763577,9.1891892,28.356242,1,IN,0
123,1967,274.681649,-13.78042388,18.83419123,16.877611,11.591592,30.80296,1,IN,0
16,1888,274.6825448,-13.75564632,19.83344072,18.047775,11.111111,31.388996,1,IN,0
170,1621,274.683097,-13.75815548,19.05992385,17.339629,10.03003,29.68575,1,IN,0
3,1723,274.6840085,-13.77841436,14.87838877,13.806247,10.510511,25.917428,1,IN,0
26,1393,274.6848197,-13.77467749,13.87794493,12.899904,8.9489489,23.574041,1,IN,0
108,1818,274.685408,-13.77240009,19.54319933,17.764664,10.870871,30.892148,1,IN,0
9,1919,274.6859708,-13.76825254,19.67221923,17.848064,11.351351,31.434382,1,IN,0
252,1386,274.6865728,-13.75494979,16.5052258,15.016576,8.8288288,26.098019,1,IN,0
148,1400,274.6874786,-13.76476124,19.44779656,17.900576,8.9489489,29.143893,1,IN,0
177,1520,274.6880792,-13.77672901,18.6214177,16.914993,9.6696697,28.937334,1,IN,0
699,1540,274.6886798,-13.78099344,19.2290558,17.545622,9.7897898,29.648275,2,IN,0
41,1719,274.6894051,-13.78616501,14.41464669,13.402047,10.39039,25.350383,1,IN,0
98,1699,274.6900195,-13.76911281,18.63516347,16.813052,10.39039,29.570899,1,IN,0
273,1404,274.6908568,-13.79936685,16.01687981,14.618472,8.9489489,25.712976,1,IN,0
106,1990,274.6913601,-13.7506841,19.29984533,17.386296,11.591592,31.268614,1,IN,0
45,1975,274.6919039,-13.76849611,20.03083636,18.220417,11.591592,31.999605,1,IN,0
31,1474,274.6928886,-13.77130241,18.27705721,16.545682,9.4294294,28.386367,1,IN,0
382,1994,274.6935151,-13.78977787,18.12133904,16.190468,11.591592,30.090108,1,IN,0
40,1413,274.6940648,-13.78558628,18.38240114,16.709887,8.9489489,28.078497,1,IN,0
87,1764,274.6948485,-13.75669337,19.23195091,17.450208,10.630631,30.374293,1,IN,0
44,1359,274.6956908,-13.76131967,18.16166276,16.545204,8.5885886,27.547849,1,IN,0
402,1780,274.6962913,-13.78261653,18.91297541,17.098914,10.630631,30.055318,1,IN,0
10,1499,274.6967921,-13.77325884,18.4589332,16.734121,9.5495495,28.671546,1,IN,0
66,2002,274.6974981,-13.77233589,19.41579947,17.514821,11.711712,31.487872,1,IN,0
295,1759,274.6981042,-13.76509668,18.90509332,17.096422,10.630631,30.047436,1,IN,0
62,1995,274.6987414,-13.78954114,19.74463373,17.908137,11.591592,31.713403,1,IN,0
428,1479,274.6994003,-13.75795872,18.5698119,16.875467,9.4294294,28.679121,1,IN,0
67,2005,274.6999111,-13.7687269,18.95296427,16.983203,11.711712,31.025037,1,IN,0
64,2013,274.7004149,-13.76252568,20.0132293,18.178302,11.711712,32.085302,1,IN,0
