,r_cntr,object_id,ngood,flags,smss_j,RA,DEC,e_raj2000,e_dej2000,mean_epoch,nimaflags,class_star,u_psf,e_u_psf,u_petro,e_u_petro,u_apc05,e_u_apc05,v_psf,e_v_psf,v_petro,e_v_petro,v_apc05,e_v_apc05,g_band,e_g_psf,g_petro,e_g_petro,g_apc05,e_g_apc05,r_band,e_r_psf,r_petro,e_r_petro,r_apc05,e_r_apc05,i_band,e_i_psf,i_petro,e_i_petro,i_apc05,e_i_apc05,z_band,e_z_psf,z_petro,e_z_petro,z_apc05,e_z_apc05,self_dist1,self_id1
0,19.34,481592233,7,0,201113.82-564154.6,302.807501,-56.698575,36,36,58200.8529,0,0.852,,,,,,,,,,,,,20.2531,0.0293,20.3368,0.1064,20.2655,0.0498,19.4342,0.062,19.5416,0.0673,19.4447,0.0597,18.5998,0.0535,18.6342,0.2083,18.6212,0.0808,18.2753,0.0268,18.3468,0.171,18.2831,0.0963,15.0,
1,19.8,481592232,36,0,201113.15-564213.7,302.804666,-56.703841,36,36,57879.9603,5,0.984,17.4162,0.0203,17.5663,0.0608,17.4277,0.0257,17.0007,0.0177,17.0576,0.0384,17.0052,0.0218,16.1943,0.0079,16.2049,0.0092,16.1922,0.0082,15.8757,0.008,15.8904,0.0091,15.8772,0.009,15.6544,0.0083,15.6704,0.0189,15.6547,0.0102,15.556,0.0098,15.5847,0.0129,15.5548,0.0114,15.0,
2,20.06,481592241,6,0,201117.58-564218.5,302.82312,-56.705215,62,36,57951.8515,0,0.819,,,,,,,,,,,,,,,,,,,19.9298,0.0413,20.0747,0.1141,19.9801,0.0762,18.6103,0.0564,18.7747,0.0684,18.6765,0.111,17.998,0.048,18.1893,0.0874,18.0458,0.0543,10.41,481592242.0
3,29.47,481592242,8,0,201118.87-564218.5,302.828388,-56.705163,48,45,58384.1495,0,0.925,,,,,,,,,,,,,19.8126,0.0325,19.956,0.1857,19.8443,0.081,19.1758,0.0314,19.3277,0.1338,19.2339,0.0822,18.8066,0.0514,18.963,0.1502,18.8513,0.0516,18.642,0.0517,18.7012,0.1769,18.6303,0.1032,10.41,481592241.0
4,43.9,1585660757,2,0,201111.07-564233.5,302.796104,-56.709378,248,47,58325.0274,0,0.497,,,,,,,,,,,,,20.5411,0.1348,20.3692,0.1169,20.5785,0.0802,19.9575,0.1761,19.7746,0.1214,20.013,0.0788,,,,,,,,,,,,,15.0,
5,45.89,481592243,32,0,201121.00-564203.1,302.837394,-56.700904,36,67,58097.8464,7,0.576,,,,,,,18.438,0.2015,18.147,0.1882,18.6792,0.0816,16.517,0.0868,15.6779,0.0819,16.8432,0.0103,15.82,0.1002,15.1717,0.0657,16.2379,0.0093,15.2738,0.0936,14.6979,0.0509,15.7014,0.0102,15.0047,0.0935,14.5968,0.0518,15.3752,0.0095,15.0,
6,46.58,481592236,20,0,201115.28-564121.9,302.813538,-56.689485,36,38,57935.3479,0,0.981,,,,,,,,,,,,,18.5823,0.0129,18.6147,0.0371,18.5876,0.0157,17.7731,0.0157,17.8042,0.0415,17.7729,0.0168,17.1192,0.0104,17.1653,0.0202,17.1215,0.0142,16.8435,0.012,16.8706,0.053,16.8434,0.0187,15.0,
7,47.14,481592228,20,0,201111.71-564132.8,302.798683,-56.692541,46,43,57783.8568,0,0.983,,,,,,,,,,,,,18.0729,0.0132,18.0934,0.0175,18.0739,0.0124,17.7488,0.0156,17.788,0.0184,17.7449,0.0137,17.5466,0.0181,17.6121,0.0312,17.5507,0.0183,17.4951,0.0254,17.5331,0.0497,17.47,0.0341,15.0,
8,50.92,2686745751,0,24,201109.38-564158.5,302.789088,-56.699608,984,166,58346.4002,64,0.057,,,,,,,,,,,,,,,,,,,,,,,,,16.9185,,16.3374,,17.7135,,15.912,,15.3197,,16.4597,,5.16,481592231.0
9,54.35,481592240,40,0,201117.57-564117.0,302.823106,-56.688107,36,37,58035.7406,3,0.984,17.4923,0.0208,17.696,0.0463,17.4796,0.0274,17.1084,0.0166,17.1459,0.0351,17.1147,0.0226,15.8153,0.0073,15.8223,0.012,15.8131,0.0077,15.4736,0.0077,15.4888,0.0096,15.474,0.0083,15.2726,0.0074,15.2891,0.0102,15.2714,0.0085,15.2085,0.009,15.2386,0.0107,15.207,0.0102,12.11,481592244.0
