,r_cntr,object_id,ngood,flags,smss_j,RA,DEC,e_raj2000,e_dej2000,mean_epoch,nimaflags,class_star,u_psf,e_u_psf,u_petro,e_u_petro,u_apc05,e_u_apc05,v_psf,e_v_psf,v_petro,e_v_petro,v_apc05,e_v_apc05,g_band,e_g_psf,g_petro,e_g_petro,g_apc05,e_g_apc05,r_band,e_r_psf,r_petro,e_r_petro,r_apc05,e_r_apc05,i_band,e_i_psf,i_petro,e_i_petro,i_apc05,e_i_apc05,z_band,e_z_psf,z_petro,e_z_petro,z_apc05,e_z_apc05,self_dist1,self_id1
16,49.74,481592167,10,0,201056.41-563906.6,302.734876,-56.651798,36,36,58322.3485,0,0.557,,,,,,,,,,,,,18.964,0.2084,18.6532,0.0866,19.6149,0.0421,18.668,0.2033,18.4412,0.0704,19.2562,0.0275,18.4717,0.1721,18.0426,0.1125,18.854,0.0353,18.0687,0.4214,17.838,0.0963,18.5692,0.0866,15.0,
17,51.26,481591774,46,3,201054.58-564042.0,302.727366,-56.678397,36,37,58122.8436,13,0.987,15.926,0.015,15.9362,0.0264,15.9111,0.0164,15.5297,0.0132,15.5374,0.0153,15.5316,0.0144,14.579,0.0097,14.5598,0.011,14.6201,0.0134,14.3395,0.0083,14.3237,0.0195,14.3642,0.0141,14.2024,0.0083,14.1843,0.0263,14.2375,0.0247,14.1685,0.0079,14.1941,0.0078,14.1652,0.0086,9.51,481591775.0
18,51.5,481591773,16,3,201053.18-564042.2,302.721496,-56.678509,36,171,57899.8915,0,0.533,,,,,,,,,,,,,,,,,,,17.1751,0.1891,16.808,0.1547,17.6363,0.0218,16.8325,0.126,16.595,0.1658,17.2504,0.019,16.6466,0.1171,16.6141,0.1223,17.0586,0.0188,11.62,481591774.0
19,58.21,481591775,3,1,201055.50-564047.6,302.731255,-56.679953,36,64,57562.2892,0,0.928,,,,,,,,,,,,,,,,,,,,,,,,,18.5195,0.0293,18.495,0.0864,18.5237,0.0531,17.9911,0.079,18.1676,0.1159,18.0345,0.0702,9.51,481591774.0
20,58.29,481592142,22,0,201051.37-563856.4,302.713963,-56.649064,37,50,57940.5078,0,0.981,,,,,,,,,,,,,19.8909,0.032,19.9785,0.0548,19.9297,0.0376,18.976,0.0124,19.0049,0.0373,18.9927,0.021,17.7105,0.0082,17.7536,0.0216,17.717,0.0138,17.182,0.014,17.1085,0.0723,17.1802,0.0169,15.0,
21,59.12,481592140,3,0,201048.86-563908.5,302.703468,-56.652377,39,59,58171.6059,0,0.608,,,,,,,,,,,,,,,,,,,,,,,,,19.4323,0.0351,19.5631,0.092,19.5076,0.0709,18.9984,0.0805,19.0607,0.1306,18.9473,0.1205,14.09,481592141.0
22,60.36,1585660679,2,0,201100.71-563932.5,302.75304,-56.659024,119,36,58318.0787,0,0.572,,,,,,,,,,,,,20.431,0.2104,20.2234,0.1019,20.5665,0.0793,,,,,,,19.7733,0.204,19.6752,0.1919,19.7473,0.1071,,,,,,,15.0,
23,61.84,481591772,10,1539,201052.27-564051.7,302.717813,-56.681104,69,36,57817.1265,20,0.69,18.2963,0.1305,18.3926,0.1955,18.3454,0.1077,18.4091,0.0324,18.3943,0.2176,18.4287,0.0635,18.0964,0.0376,18.3303,0.1429,18.1599,0.0765,18.1162,0.0565,18.0374,0.1531,18.1171,0.121,17.8268,,18.7351,,17.8191,,18.2862,0.0618,18.5284,0.3442,18.3192,0.0998,10.78,2686745043.0
24,62.45,1585660650,3,0,201053.66-563848.8,302.723738,-56.646927,79,36,58317.8971,0,0.425,,,,,,,,,,,,,19.9376,0.2192,19.8173,0.0821,20.3515,0.0515,19.837,0.3344,19.7038,0.1027,20.2426,0.0893,,,,,,,,,,,,,15.0,
25,63.88,481592174,13,0,201057.91-563857.2,302.741173,-56.649223,36,63,58325.5502,0,0.962,,,,,,,,,,,,,19.2394,0.0177,19.438,0.0375,19.2494,0.0235,18.8448,0.0175,19.0792,0.0396,18.8482,0.0191,18.5971,0.0151,18.7381,0.0737,18.621,0.0268,18.3693,0.0199,18.754,0.1524,18.4076,0.0671,15.0,
26,64.6,481592169,7,0,201057.97-564045.9,302.741411,-56.679478,36,62,58389.5424,0,0.611,,,,,,,,,,,,,20.0319,0.1146,19.8974,0.0963,20.1787,0.0498,19.185,0.1254,18.9476,0.0598,19.3117,0.0343,18.7047,0.0945,18.6589,0.1053,18.7443,0.0449,18.2384,0.1101,18.0776,0.1052,18.2423,0.075,15.0,
27,67.62,481592175,8,0,201100.38-563910.9,302.751454,-56.653039,36,81,58266.5578,0,0.892,,,,,,,,,,,,,19.997,0.0165,20.0209,0.1021,19.9923,0.033,19.6324,0.0177,19.7495,0.0888,19.6388,0.0343,19.357,0.0236,19.4839,0.1117,19.3429,0.0616,,,,,,,15.0,
28,68.49,481591763,4,0,201046.01-564014.4,302.691452,-56.670655,37,112,58321.2845,0,0.619,,,,,,,,,,,,,20.5839,0.039,20.7341,0.2165,20.6064,0.0824,19.9879,0.0311,20.249,0.1798,20.0346,0.0587,19.4946,0.0373,19.5419,0.1141,19.4618,0.0829,,,,,,,12.84,481591762.0
29,68.56,481592141,15,0,201049.15-563854.5,302.704615,-56.648515,40,36,58046.5181,0,0.957,,,,,,,,,,,,,20.7055,0.044,20.8554,0.1531,20.7012,0.0889,19.7901,0.0201,19.9822,0.0905,19.8165,0.0425,18.417,0.0148,18.5431,0.0399,18.4181,0.0229,17.8733,0.0271,17.8762,0.0568,17.8461,0.0401,13.44,1585660644.0
30,71.78,2686745043,3,3,201051.50-564100.6,302.714602,-56.683523,218,238,58327.1658,0,0.029,,,,,,,,,,,,,16.2041,0.2729,15.7649,0.0377,17.4034,0.011,15.6791,0.3452,15.2586,0.0164,16.6077,0.0156,,,,,,,,,,,,,1.73,481591771.0
31,73.44,481591771,28,3,201051.41-564102.0,302.714141,-56.68393,36,36,57999.8282,3,0.475,,,,,,,18.531,0.257,18.437,0.0926,18.7837,0.1007,16.8197,0.0959,16.3806,0.1757,17.023,0.0263,15.9989,0.1169,15.4847,0.0754,16.4478,0.0125,15.4485,0.1112,15.0669,0.0331,15.9247,0.0104,15.2024,0.0921,14.8053,0.0504,15.6165,0.0099,1.73,2686745043.0
32,75.25,481591776,33,0,201054.93-564106.0,302.728804,-56.685013,36,43,58079.8727,4,0.983,,,,,,,18.6927,0.1146,18.5473,0.1719,18.6344,0.1594,16.7421,0.008,16.7433,0.0098,16.7417,0.0089,16.195,0.0086,16.2127,0.0156,16.1945,0.0092,15.8316,0.0071,15.8564,0.0096,15.8319,0.0084,15.6737,0.0084,15.7133,0.0113,15.6755,0.0099,15.0,
33,75.51,481591764,7,0,201046.43-564036.1,302.693347,-56.676725,36,36,58130.2377,0,0.915,,,,,,,,,,,,,,,,,,,19.9235,0.0477,20.366,0.149,19.9815,0.077,18.5784,0.0227,18.7883,0.1076,18.5824,0.0336,17.9706,0.0214,18.1139,0.0844,17.9703,0.0447,15.0,
34,77.96,481592139,14,0,201046.73-563859.5,302.694613,-56.649891,36,66,58326.3924,0,0.951,,,,,,,,,,,,,19.9181,0.023,20.0867,0.0564,19.9498,0.0319,19.2037,0.0171,19.2718,0.0815,19.2202,0.0246,18.8523,0.0156,18.8963,0.0569,18.8352,0.0318,18.4745,0.0628,18.5821,0.0705,18.4278,0.0517,15.0,
35,78.41,1585660682,1,0,201101.20-564040.1,302.755021,-56.677881,36,36,58318.6137,0,0.458,,,,,,,,,,,,,20.6653,0.0769,20.6523,0.1273,20.6984,0.0889,,,,,,,,,,,,,,,,,,,15.0,
36,79.47,1585660644,1,0,201049.25-563841.3,302.70517,-56.644794,36,36,58317.5438,0,0.496,,,,,,,,,,,,,,,,,,,,,,,,,19.7991,0.022,19.9189,0.1661,19.8299,0.1149,,,,,,,13.44,481592141.0
37,79.61,481592173,38,2,201057.64-563838.2,302.740122,-56.643996,36,66,57966.081,5,0.692,,,,,,,18.3918,0.1262,18.0616,0.0839,18.5464,0.0514,16.5737,0.0606,16.1297,0.0265,16.8083,0.0075,15.8502,0.0846,15.5417,0.0288,16.205,0.0078,15.3438,0.0774,15.0736,0.0264,15.6804,0.0072,15.0746,0.069,14.7705,0.0164,15.3511,0.0084,8.85,481592156.0
38,79.63,481591762,16,0,201045.01-564024.3,302.687456,-56.673466,36,58,57973.385,0,0.943,,,,,,,,,,,,,18.8178,0.0248,18.7625,0.0655,18.8296,0.0178,18.2226,0.0407,18.21,0.03,18.2212,0.017,17.7264,0.0223,17.7004,0.0504,17.7035,0.0171,17.3903,0.0265,17.4431,0.0497,17.3703,0.0289,12.84,481591763.0
39,83.87,481592145,32,0,201054.97-563827.9,302.729027,-56.641135,36,63,57873.7379,0,0.983,,,,,,,,,,,,,18.0943,0.0083,18.1341,0.021,18.0941,0.0102,17.5076,0.0092,17.5329,0.013,17.5112,0.0102,17.1355,0.0076,17.1818,0.0132,17.1413,0.0106,16.9563,0.01,16.9929,0.0265,16.9613,0.0146,15.0,
40,87.06,481592156,15,3,201057.44-563829.4,302.739284,-56.641581,36,36,57762.9027,0,0.973,,,,,,,,,,,,,,,,,,,18.6616,0.0812,18.5065,0.0485,18.6721,0.0274,17.8286,0.0247,17.7229,0.0565,17.7974,0.0186,17.4805,0.0179,17.4123,0.0442,17.4698,0.0205,8.85,481592173.0
41,87.22,481592180,25,0,201104.37-563950.8,302.768152,-56.664155,39,41,57734.1351,0,0.982,,,,,,,,,,,,,18.2799,0.0129,18.2565,0.0397,18.2836,0.0161,17.7758,0.0132,17.8045,0.0255,17.7896,0.0139,17.4617,0.0191,17.5216,0.044,17.4737,0.0188,17.2679,0.0204,17.2624,0.0415,17.2628,0.0302,9.93,481592179.0
42,87.76,481591761,17,0,201043.58-564015.8,302.681485,-56.671107,36,47,57913.8548,3,0.867,,,,,,,,,,,,,18.8047,0.0591,18.6414,0.0297,18.8482,0.0193,18.261,0.0529,18.072,0.0453,18.276,0.0173,17.7963,0.0466,17.6146,0.0604,17.8022,0.0219,17.5045,0.0327,17.3311,0.0364,17.4987,0.0213,10.59,2686745032.0
43,87.97,1585660649,2,0,201050.17-563828.5,302.709016,-56.64128,36,36,58317.5416,0,0.502,,,,,,,,,,,,,,,,,,,20.3504,0.0489,20.6524,0.1871,20.3947,0.1017,19.8931,0.0305,20.1807,0.226,20.0422,0.1388,,,,,,,14.76,1585660644.0
44,88.66,481591768,23,0,201047.42-564102.3,302.697331,-56.684041,39,66,57928.9807,1,0.568,,,,,,,,,,,,,17.4482,0.2173,17.2156,0.0385,18.2416,0.0203,16.9438,0.167,16.6796,0.051,17.6553,0.0191,16.5472,0.1293,16.2158,0.037,17.1572,0.0138,16.3422,0.1114,16.0911,0.0381,16.8503,0.0164,10.05,481591767.0
45,89.75,481592170,12,0,201100.59-564101.3,302.752383,-56.683753,42,36,57977.8475,0,0.982,,,,,,,,,,,,,18.4193,0.0112,18.3935,0.037,18.4224,0.0145,18.2692,0.0162,18.2665,0.0449,18.2668,0.0172,18.2062,0.0142,18.2422,0.0864,18.2201,0.0247,18.2466,0.0282,18.1811,0.0819,18.2046,0.0664,15.0,
46,90.37,481591750,29,0,201044.27-563906.2,302.684473,-56.65176,36,51,57893.0783,3,0.927,,,,,,,,,,,,,18.2455,0.0453,18.1679,0.0176,18.3055,0.0112,17.758,0.0439,17.5696,0.0368,17.7275,0.0139,17.2057,0.0332,17.1207,0.0161,17.2172,0.0107,16.9555,0.0333,16.8282,0.0331,16.9295,0.0144,15.0,
47,90.76,481591767,1,1,201046.32-564057.9,302.692834,-56.682743,36,36,57879.7286,0,0.551,,,,,,,,,,,,,,,,,,,,,,,,,19.0433,0.2504,18.7205,0.1484,19.1979,0.094,,,,,,,10.05,481591768.0
48,91.51,481592179,21,0,201104.80-563941.5,302.770066,-56.661604,36,48,57719.8855,0,0.978,,,,,,,,,,,,,18.9023,0.0168,18.8514,0.0288,18.9068,0.0185,18.0512,0.0137,18.0179,0.0322,18.0563,0.0163,17.3513,0.0162,17.3052,0.0246,17.3621,0.0157,17.0691,0.0186,16.9596,0.049,17.0824,0.0203,9.93,481592180.0
49,91.91,481592176,49,0,201104.45-563924.4,302.768505,-56.65683,36,36,57890.3417,4,0.983,17.0152,0.032,16.985,0.0606,17.0714,0.0206,16.6688,0.034,16.5304,0.0337,16.6943,0.0187,15.491,0.0305,15.4662,0.0077,15.6067,0.0073,15.1759,0.0365,15.1583,0.0121,15.2899,0.0079,14.9858,0.0376,14.9534,0.0075,15.0792,0.0079,14.9685,0.0311,14.8913,0.0098,15.0186,0.009,15.0,
50,92.32,2686745032,0,1024,201043.41-564026.5,302.680907,-56.674032,36,36,58331.4411,0,0.902,,,,,,,,,,,,,,,,,,,18.6374,,19.9635,,19.6901,,,,,,,,,,,,,,10.59,481591761.0
51,93.09,481591770,10,0,201051.10-564121.6,302.712805,-56.689379,36,36,58397.2542,0,0.964,,,,,,,,,,,,,19.3848,0.0286,19.4289,0.0449,19.3965,0.0254,18.8018,0.0171,18.9406,0.1031,18.8051,0.0218,18.387,0.0268,18.7145,0.0528,18.4511,0.0303,18.2828,0.0234,18.6791,0.1476,18.2603,0.0591,15.0,
52,97.32,1585660053,2,0,201042.23-563931.7,302.675885,-56.65884,68,96,58317.5416,0,0.485,,,,,,,,,,,,,,,,,,,20.5186,0.0508,20.6458,0.1617,20.6219,0.1242,20.092,0.0287,20.3452,0.1626,20.138,0.151,,,,,,,15.0,
53,98.05,481592172,6,16,201105.21-564020.1,302.771443,-56.672286,36,46,58325.553,0,0.77,,,,,,,,,,,,,19.9611,0.0783,19.7832,0.2317,19.9554,0.0576,19.4566,0.0685,19.2582,0.0696,19.4753,0.0389,19.0254,0.0972,18.9335,0.1178,19.0131,0.0636,18.488,,18.278,,18.6443,,15.0,
54,98.69,1585660688,1,16,201103.95-563859.5,302.766578,-56.649933,137,179,58318.6137,0,0.493,,,,,,,,,,,,,20.6702,0.0543,20.6295,0.1207,20.6437,0.0845,20.3738,,20.6596,,20.472,,,,,,,,,,,,,,15.0,
55,103.9,481592222,9,0,201100.79-564117.6,302.753124,-56.688318,36,36,58328.1029,0,0.886,,,,,,,,,,,,,20.2077,0.0751,20.1465,0.2165,20.2014,0.0966,19.3694,0.0195,19.4602,0.0675,19.3515,0.0363,18.7195,0.0231,18.8304,0.0951,18.7503,0.0386,18.4021,0.0396,18.6731,0.1099,18.4624,0.0839,15.0,
56,104.57,481591814,8,0,201055.92-564134.3,302.732871,-56.692916,36,66,58327.6855,0,0.762,,,,,,,,,,,,,20.5277,0.0409,20.5586,0.1219,20.5533,0.078,19.7755,0.0542,19.9729,0.1176,19.7832,0.0606,18.8754,0.0359,18.9919,0.0855,18.872,0.0426,18.694,0.0716,18.7448,0.2051,18.6633,0.0836,15.0,
57,105.44,481591749,2,1,201043.74-563845.6,302.682324,-56.646069,48,247,56926.9178,0,0.646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.5309,0.0332,17.591,0.114,17.538,0.0769,5.83,481591748.0
58,105.57,481592143,3,0,201049.92-563810.8,302.707921,-56.636323,57,36,58171.6039,0,0.641,,,,,,,,,,,,,,,,,,,20.3128,0.1391,20.1831,0.1627,20.3434,0.0978,19.5199,0.0935,19.4835,0.1101,19.5151,0.0716,,,,,,,15.0,
59,105.61,481591769,11,0,201049.64-564131.0,302.706697,-56.692013,36,36,58266.1579,0,0.932,,,,,,,,,,,,,20.24,0.0383,20.352,0.1188,20.2851,0.0505,19.3131,0.0619,19.4502,0.0752,19.3619,0.061,18.3511,0.0297,18.4577,0.0461,18.3501,0.0336,17.947,0.0347,18.1583,0.0641,17.973,0.0639,15.0,
60,107.86,1585660662,2,0,201055.72-563804.5,302.732195,-56.634648,196,100,58318.0766,0,0.512,,,,,,,,,,,,,20.5049,0.0485,20.5709,0.1554,20.5841,0.0803,20.2366,0.029,20.2044,0.1166,20.2452,0.0893,,,,,,,,,,,,,9.94,481592155.0
61,108.28,481591747,15,0,201041.97-563903.6,302.674896,-56.651074,36,60,58043.9168,0,0.971,,,,,,,,,,,,,,,,,,,19.7112,0.018,19.8231,0.0615,19.7219,0.0367,18.1482,0.0127,18.277,0.0835,18.1638,0.0189,17.5212,0.0152,17.5981,0.0429,17.5246,0.0217,15.0,
62,108.47,481591748,48,0,201043.10-563847.9,302.679585,-56.646668,47,43,58116.1264,4,0.984,16.7412,0.0154,16.7653,0.0421,16.7428,0.0171,16.3852,0.0137,16.3802,0.0256,16.3812,0.0147,15.3236,0.0086,15.3019,0.0087,15.34,0.0066,15.0413,0.0094,15.0031,0.0085,15.0529,0.0074,14.8761,0.0094,14.8235,0.0061,14.8864,0.007,14.8353,0.0089,14.7958,0.012,14.8405,0.0083,5.83,481591749.0
63,109.43,481591759,7,0,201045.87-564119.0,302.691046,-56.688663,53,106,58328.9815,0,0.863,,,,,,,,,,,,,,,,,,,19.875,0.0314,20.0133,0.0792,19.9163,0.056,18.8169,0.0365,18.9693,0.0674,18.8172,0.0494,18.4545,0.0379,18.7314,0.1261,18.4479,0.0756,15.0,
64,110.25,481592154,31,0,201053.89-563801.2,302.724515,-56.633649,36,74,57910.3733,3,0.982,,,,,,,,,,,,,18.0749,0.0178,18.0392,0.0164,18.0917,0.0103,17.4889,0.0226,17.4212,0.0181,17.4627,0.0103,16.9821,0.0168,16.9517,0.0159,16.9854,0.0097,16.7831,0.0209,16.6494,0.0469,16.7705,0.016,15.0,
65,110.45,481591758,9,0,201043.75-564104.2,302.682131,-56.684531,36,36,58328.1029,0,0.929,,,,,,,,,,,,,19.6689,0.0268,19.6328,0.051,19.6727,0.031,19.0662,0.0414,19.0567,0.047,19.0496,0.0624,18.6003,0.0263,18.5728,0.1372,18.5781,0.0333,18.4502,0.1174,18.4961,0.1097,18.3809,0.1252,10.21,481591752.0
66,115.8,481592181,8,0,201107.83-563943.4,302.782473,-56.66217,36,40,58325.8159,0,0.665,,,,,,,,,,,,,19.4469,0.0612,19.2666,0.0447,19.4727,0.0268,18.9014,0.0932,18.6859,0.0458,18.9632,0.0351,18.3985,0.0984,18.2276,0.0731,18.4469,0.0353,18.2113,0.1178,18.0143,0.234,18.2322,0.1069,15.0,
67,115.81,481592177,37,3,201102.33-563819.4,302.759685,-56.638749,36,48,57955.022,4,0.983,,,,,,,18.1887,0.03,18.2266,0.0995,18.2144,0.0362,17.0203,0.0101,17.0236,0.0163,17.0244,0.0087,16.6029,0.0094,16.6104,0.0136,16.6045,0.0089,16.2806,0.0074,16.3089,0.011,16.281,0.0086,16.1336,0.01,16.1441,0.0195,16.1362,0.0108,8.56,481592178.0
68,117.49,481592155,24,0,201055.59-563754.8,302.73164,-56.631903,36,86,57855.9167,1,0.98,,,,,,,,,,,,,19.1892,0.0172,19.1763,0.1318,19.1984,0.0182,18.3638,0.0127,18.3827,0.022,18.3727,0.0142,17.7199,0.0101,17.7965,0.0194,17.7313,0.0139,17.4451,0.0128,17.5111,0.0431,17.4361,0.0199,9.94,1585660662.0
69,119.02,481591752,5,0,201042.52-564105.5,302.677009,-56.684881,40,80,58330.5628,0,0.704,,,,,,,,,,,,,,,,,,,,,,,,,18.9753,0.0191,18.918,0.179,18.9622,0.046,18.4067,0.0385,18.6366,0.1096,18.4654,0.1365,10.21,481591758.0
