,RA,DEC,x,y,e1,e2,res,sigmae,rkron,extendedness,blendedness,psf_used,e1_sdss,e2_sdss,e1_psf_sdss,e2_psf_sdss,e1_hsm,e2_hsm,e1_psf_hsm,e2_psf_hsm,i_e1_psf_sdss,i_e2_psf_sdss,u_psf_mag,u_psf_magerr,u_cmodel_mag,u_cmodel_magerr,g_psf_mag,g_psf_magerr,g_cmodel_mag,g_cmodel_magerr,r_psf_mag,r_psf_magerr,r_cmodel_mag,r_cmodel_magerr,i_psf_mag,i_psf_magerr,i_cmodel_mag,i_cmodel_magerr,z_psf_mag,z_psf_magerr,z_cmodel_mag,z_cmodel_magerr,Y_psf_mag,Y_psf_magerr,Y_cmodel_mag,Y_cmodel_magerr,idn,Weigth,in_field,mask
51,302.6552931,-56.53725027,27577.51804,28059.02347,0.102983616,0.525036573,0.616901517,0.002599294,4.137299061,1,0.013591133,0,0.045142912,0.303435739,-0.031314731,0.010711118,0.045119807,0.30340609,-0.031238306,0.010781836,0.001676145,0.004332793,21.52341842,0.008313424,21.21044931,0.008173782,20.81392989,0.003133309,20.31170134,0.00297693,20.45336938,0.001833706,19.85172137,0.001701377,20.20265397,0.002811502,19.53985575,0.002646712,20.09201583,0.003187901,19.47579201,0.002874376,19.98961504,0.01121161,19.25361637,0.009973314,1035373,9,IN,2
47,302.6595049,-56.50947329,27548.33947,28439.46535,0.767820001,0.180926025,0.893805325,0.004407521,8.019576073,1,0.159195486,0,0.637241162,0.156749236,-0.031013508,0.009806081,0.637189686,0.156646892,-0.031010104,0.009814282,0.005105515,0.00683972,23.77876378,0.05603194,22.55933713,0.038707421,23.06055114,0.015174709,21.55279302,0.010213568,21.60203935,0.004112614,20.03496554,0.003020519,20.88039528,0.004154312,19.0749989,0.003442534,20.33468613,0.003493406,18.63003276,0.002956359,20.04828129,0.010927961,18.24685761,0.008859552,1036929,9,IN,2
37,302.6877413,-56.54153394,27332.23066,28002.01976,0.123730756,-0.153467819,0.755419374,0.000181764,7.48021698,1,0.03638492,0,0.066163499,-0.090395918,-0.030642697,0.005296529,0.066435792,-0.090631105,-0.030641509,0.00528968,0.002644926,0.009696577,20.18290454,0.00485636,18.93083122,0.004707931,18.79637474,0.002211211,17.30753637,0.002170984,17.89721285,0.001251955,16.31927493,0.001232609,17.51544945,0.002110375,15.89120419,0.002097577,17.19511414,0.001256139,15.62370379,0.001234012,16.98756147,0.001229269,15.47503444,0.001060246,1034861,9,IN,2
28,302.7011745,-56.51954825,27232.67598,28303.63901,0.553883672,-0.281731755,0.845275044,0.001041363,7.09655714,1,0.005300006,0,0.410036286,-0.206562905,-0.031720839,0.009291101,0.409671754,-0.206266999,-0.031720337,0.009294959,0.003882223,0.004352318,21.63937122,0.00909723,20.60930685,0.00800414,20.5886108,0.002891163,19.28698731,0.002576757,19.92953786,0.001613745,18.49569079,0.001420877,19.61991707,0.002457696,18.08694156,0.002278418,19.35769569,0.001995706,17.89598463,0.00166366,19.18675294,0.005691951,17.79185616,0.004391509,1034885,9,IN,2
24,302.7046304,-56.52223617,27206.41094,28266.98032,0.672539115,-0.403531253,0.841843426,0.23669146,14.66274357,1,0.037866786,0,0.060887041,0.137952588,-0.031717389,0.009152359,0.5097543,-0.334668994,-0.031749848,0.009161034,0.003385027,0.004891863,,7.611307879,24.35918713,0.919702652,32.14010865,63.82226745,23.88275437,0.401071047,25.50450526,0.131141956,21.72983981,0.066203893,25.44210581,0.229202875,21.96537745,0.132821723,28.29321627,5.23666426,21.3238973,0.113351303,24.28783701,0.585867881,20.67808497,0.269707213,1036420,9,IN,2
8,302.7242368,-56.54707888,27056.35614,27927.81637,0.456901789,-0.343368113,0.682526648,0.004288119,5.286973,1,5.36e-06,0,0.236729847,-0.174638887,-0.035798248,0.002837689,0.239755392,-0.180875495,-0.035732176,0.002876365,-0.000481718,-0.001741254,23.37976948,0.037697881,22.5072297,0.034361343,22.37006712,0.009899139,21.43852362,0.008640194,21.13600074,0.002828366,20.07310906,0.002498388,20.58225503,0.003686024,19.45536093,0.003378663,20.13418113,0.003212329,19.07321919,0.00294073,19.98202503,0.011714133,19.03193208,0.010902621,1024860,9,IN,2
2,302.7356045,-56.52732821,26972.1339,28198.67153,0.022870544,-0.060531754,0.250568897,0.022791596,3.284612179,1,0.028547878,0,-0.024550671,-0.005780819,-0.037652366,0.004089964,-0.024612695,-0.005810408,-0.037594307,0.004134895,-0.003938835,-0.00513034,24.82946253,0.141885007,24.72254585,0.144890225,23.42217888,0.023601692,23.30104403,0.023612098,21.65378525,0.004101899,21.45946865,0.00404357,20.59753562,0.0036482,20.37698536,0.003602524,20.18809364,0.003738864,19.98500201,0.003701326,19.96998471,0.015659476,19.78262152,0.015586804,1036288,9,IN,2
