,RA,DEC,J,H,Av,R,Weight,in_field
1521,274.6831607,-13.77515132,19.07372546,17.382517,9.6696697,29.389642,1,IN
1406,274.6662369,-13.79100356,18.54964861,16.901503,8.9489489,28.245745,1,IN
1408,274.6725283,-13.79011688,18.21870114,16.539997,8.9489489,27.914797,1,IN
1409,274.6768279,-13.78865865,18.28536882,16.624532,8.9489489,27.981465,1,IN
1410,274.6822041,-13.78732004,19.72640043,18.211956,8.9489489,29.422497,1,IN
1411,274.6505745,-13.78616396,19.76344859,18.244593,8.9489489,29.459545,1,IN
1412,274.6695334,-13.78569466,19.26868691,17.723103,8.9489489,28.964783,1,IN
1413,274.6940648,-13.78558628,18.38240114,16.709887,8.9489489,28.078497,1,IN
1414,274.6742864,-13.78387586,18.75825514,17.177021,8.9489489,28.454351,1,IN
1415,274.6612918,-13.78237699,18.43236936,16.757329,9.0690691,28.231769,1,IN
1407,274.6643524,-13.79049297,17.03700468,15.449976,8.9489489,26.733101,1,IN
1522,274.6514006,-13.77486747,18.94044934,17.279728,9.6696697,29.256365,1,IN
1523,274.6795965,-13.77453104,14.13703834,13.126523,9.6696697,24.452954,1,IN
1524,274.6656952,-13.77428239,19.19855701,17.542231,9.6696697,29.514473,1,IN
1631,274.6875968,-13.78441065,18.72863738,16.962461,10.03003,29.354463,1,IN
1632,274.6497213,-13.78334102,14.30819427,13.335889,10.03003,24.93402,1,IN
1633,274.6813391,-13.77904734,14.24306719,13.174416,10.15015,24.972196,1,IN
1634,274.6520395,-13.77858643,20.11386939,18.472951,10.15015,30.842999,1,IN
1635,274.6911155,-13.77399905,13.81723761,12.822788,10.15015,24.546367,1,IN
1636,274.6549939,-13.77355849,19.05588975,17.318291,10.15015,29.785019,1,IN
1637,274.6581335,-13.77079732,19.20986671,17.475261,10.15015,29.938996,1,IN
1638,274.6639184,-13.77049114,14.21719357,13.100037,10.15015,24.946323,1,IN
1639,274.6902248,-13.77018311,19.2151053,17.532316,10.15015,29.944235,1,IN
1640,274.6748348,-13.76987674,16.42685382,14.885654,10.15015,27.155983,1,IN
1641,274.6766235,-13.76716862,14.20473228,13.042758,10.15015,24.933862,1,IN
1642,274.682874,-13.76567967,18.93657481,17.185097,10.15015,29.665704,1,IN
1643,274.6654332,-13.76533835,19.90492731,18.256899,10.15015,30.634057,1,IN
1644,274.6542795,-13.76442761,19.35723269,17.660414,10.15015,30.086362,1,IN
1645,274.6760049,-13.76337672,19.45796638,17.754172,10.15015,30.187096,1,IN
1646,274.6755312,-13.76337775,19.70553974,18.031345,10.15015,30.434669,1,IN
1647,274.6841436,-13.75959027,18.9543973,17.219641,10.15015,29.683527,1,IN
1630,274.6773666,-13.78555733,19.53634249,17.873807,10.03003,30.162168,1,IN
1648,274.6855209,-13.75928613,18.56890042,16.762805,10.15015,29.29803,1,IN
1629,274.6542555,-13.78644868,17.66961139,15.897656,10.03003,28.295437,1,IN
1627,274.6909848,-13.79281956,15.11368505,13.742432,10.03003,25.739511,1,IN
1610,274.6516184,-13.77455061,19.41835199,17.733046,10.03003,30.044178,1,IN
1611,274.6968009,-13.7730827,18.84039387,17.096042,10.03003,29.46622,1,IN
1612,274.6585014,-13.77034916,19.67526079,18.018869,10.03003,30.301087,1,IN
1613,274.6503193,-13.76697794,19.05906786,17.346494,10.03003,29.684894,1,IN
1614,274.6716824,-13.76633216,19.06050812,17.354471,10.03003,29.686334,1,IN
1615,274.6800735,-13.76497026,19.17291648,17.460711,10.03003,29.798742,1,IN
1616,274.6710007,-13.76151989,18.00377728,16.178304,10.03003,28.629603,1,IN
1617,274.6828624,-13.761004,18.52646326,16.734385,10.03003,29.152289,1,IN
1618,274.6784979,-13.75961005,19.31684263,17.601055,10.03003,29.942669,1,IN
1619,274.6751404,-13.7593542,19.19058578,17.48043,10.03003,29.816412,1,IN
1620,274.6821423,-13.75816638,18.91978573,17.189061,10.03003,29.545612,1,IN
1621,274.683097,-13.75815548,19.05992385,17.339629,10.03003,29.68575,1,IN
1622,274.672799,-13.75704716,19.02175903,17.283727,10.03003,29.647585,2,IN
1623,274.6986641,-13.75668269,18.92451196,17.176149,10.03003,29.550338,2,IN
1624,274.6905445,-13.75586679,19.75565934,18.11084,10.03003,30.381485,2,IN
1625,274.6989038,-13.75578049,18.37148626,16.561804,10.03003,28.997312,2,IN
1626,274.6609258,-13.79881873,18.90683682,17.188293,10.03003,29.532663,2,IN
1628,274.6806215,-13.7894248,16.59162933,15.017666,10.03003,27.217455,2,IN
1649,274.6812603,-13.75923813,19.22337667,17.48932,10.15015,29.952506,2,IN
1650,274.6870394,-13.75887501,17.21249737,15.531862,10.15015,27.941627,2,IN
1651,274.6849704,-13.75258675,19.53528362,17.868954,10.15015,30.264413,2,IN
1674,274.6805457,-13.7586223,19.99204295,18.343007,10.27027,30.824476,2,IN
1675,274.6737619,-13.75806281,19.24189712,17.511573,10.27027,30.07433,2,IN
1676,274.6945048,-13.75686287,19.49631368,17.816256,10.27027,30.328746,2,IN
1677,274.7001805,-13.75594225,19.14422387,17.422148,10.27027,29.976656,2,IN
1678,274.6798744,-13.75564121,19.48355239,17.780037,10.27027,30.315985,2,IN
1679,274.6754893,-13.75540917,19.48175266,17.806026,10.27027,30.314185,2,IN
1680,274.6547683,-13.7516083,14.30365123,13.227313,10.27027,25.136084,2,IN
1681,274.6539544,-13.79619168,18.67243013,16.867291,10.27027,29.504863,2,IN
1682,274.6917678,-13.78970284,18.61132556,16.806328,10.27027,29.443758,2,IN
1683,274.6738411,-13.78934955,14.59874441,13.549908,10.27027,25.431177,2,IN
1684,274.6988845,-13.78904515,18.93884011,17.168946,10.27027,29.771273,2,IN
1685,274.6934578,-13.78897072,19.10779629,17.362738,10.27027,29.940229,2,IN
1686,274.6907515,-13.7881277,19.37725199,17.663832,10.27027,30.209685,2,IN
1687,274.6712035,-13.78482361,14.57676976,13.552796,10.27027,25.409202,2,IN
1688,274.658322,-13.78442451,18.81538693,17.046524,10.27027,29.64782,2,IN
1689,274.6739839,-13.78323022,18.9389041,17.180467,10.27027,29.771337,2,IN
1690,274.6750981,-13.78303084,18.09440131,16.246158,10.27027,28.926834,2,IN
1673,274.6962603,-13.75864347,19.23239924,17.489142,10.27027,30.064832,2,IN
1672,274.6809149,-13.7587877,19.3840883,17.663522,10.27027,30.216521,2,IN
1671,274.6977106,-13.75899882,19.65425147,17.989901,10.27027,30.486684,2,IN
1670,274.6856958,-13.75932276,19.84819832,18.186613,10.27027,30.680631,2,IN
1652,274.6588,-13.79797488,14.87394222,13.829282,10.15015,25.603071,2,IN
1653,274.6649098,-13.79770744,19.20825264,17.476288,10.15015,29.937382,2,IN
1654,274.6563549,-13.79747477,18.606737,16.817332,10.15015,29.335866,2,IN
1655,274.6675093,-13.78985948,19.0867061,17.370739,10.15015,29.815835,2,IN
1656,274.6954326,-13.7887053,19.20406358,17.499219,10.15015,29.933193,2,IN
1657,274.6675871,-13.78762902,18.90250561,17.160397,10.15015,29.631635,2,IN
1658,274.6761668,-13.78615706,19.06814687,17.312371,10.15015,29.797276,2,IN
1659,274.6747135,-13.78282855,18.12028978,16.276136,10.15015,28.849419,2,IN
1609,274.6698721,-13.77523183,19.76874428,18.107902,10.03003,30.39457,2,IN
1660,274.6587918,-13.7819001,20.14183616,18.482593,10.27027,30.974269,2,IN
1662,274.6495069,-13.78047778,18.78584089,16.991638,10.27027,29.618273,2,IN
1663,274.6893974,-13.77953462,18.13700917,16.280466,10.27027,28.969442,2,IN
1664,274.6605424,-13.77551351,19.24931388,17.514711,10.27027,30.081746,2,IN
1665,274.6974531,-13.76812703,19.2584996,17.531479,10.27027,30.090932,2,IN
1666,274.6762471,-13.76755623,18.93090442,17.168569,10.27027,29.763337,2,IN
1667,274.6921946,-13.76749455,18.3512623,16.497679,10.27027,29.183695,2,IN
1668,274.6761549,-13.76175247,19.10881476,17.366434,10.27027,29.941247,2,IN
1669,274.6746203,-13.76084985,16.96157395,15.328029,10.27027,27.794007,2,IN
1661,274.658271,-13.78158189,16.61150625,15.024294,10.27027,27.443939,2,IN
