,r_cntr,object_id,ngood,flags,smss_j,RA,DEC,e_raj2000,e_dej2000,mean_epoch,nimaflags,class_star,u_psf,e_u_psf,u_petro,e_u_petro,u_apc05,e_u_apc05,v_psf,e_v_psf,v_petro,e_v_petro,v_apc05,e_v_apc05,g_band,e_g_psf,g_petro,e_g_petro,g_apc05,e_g_apc05,r_band,e_r_psf,r_petro,e_r_petro,r_apc05,e_r_apc05,i_band,e_i_psf,i_petro,e_i_petro,i_apc05,e_i_apc05,z_band,e_z_psf,z_petro,e_z_petro,z_apc05,e_z_apc05,self_dist1,self_id1
15,59.53,1585661170,12,0,201211.43-564557.8,303.047608,-56.766131,36,36,58421.2829,0,0.893,,,,,,,,,,,,,19.4115,0.0501,19.3143,0.0423,19.4235,0.0216,19.1288,0.0469,19.0671,0.0701,19.1121,0.023,18.7991,0.0296,18.6654,0.0928,18.7557,0.031,18.6859,0.0826,18.7784,0.1189,18.7095,0.0735,15.0,
16,64.35,1585661144,4,0,201204.41-564441.7,303.018324,-56.744966,36,62,58317.8088,0,0.541,,,,,,,,,,,,,20.4774,0.0402,20.5371,0.0934,20.5137,0.0594,20.2824,0.0493,20.6032,0.1593,20.3719,0.1016,19.9742,0.1416,20.0384,0.2251,20.0356,0.1431,,,,,,,15.0,
17,67.42,481592513,21,0,201205.21-564653.1,303.021668,-56.781464,36,36,58033.3805,0,0.983,,,,,,,18.4842,0.056,18.8716,0.1429,18.5945,0.1649,17.8947,0.015,17.919,0.0144,17.8991,0.0115,17.8294,0.0135,17.8706,0.0185,17.8315,0.0141,17.8135,0.0128,17.8734,0.0316,17.8099,0.0153,17.8569,0.0182,17.9705,0.0576,17.8923,0.0294,10.3,1585661157.0
18,68.62,1585661142,3,0,201201.85-564440.6,303.00767,-56.744647,60,36,58317.899,0,0.519,,,,,,,,,,,,,20.4928,0.1651,20.3805,0.1376,20.6157,0.0835,20.2734,0.149,20.3513,0.231,20.2826,0.094,19.8828,0.2312,19.8495,0.1353,19.8921,0.1261,,,,,,,15.0,
19,69.07,1585661167,6,0,201209.21-564642.3,303.038348,-56.77847,36,44,58320.2152,0,0.692,,,,,,,,,,,,,20.498,0.0325,20.8221,0.1359,20.5359,0.0605,19.9424,0.0251,19.9538,0.0605,19.953,0.045,19.5022,0.0672,19.5078,0.1478,19.4553,0.0857,,,,,,,15.0,
20,70.49,481592505,23,0,201157.27-564506.1,302.988621,-56.751737,36,39,58104.7866,0,0.983,,,,,,,,,,,,,17.2488,0.0123,17.2698,0.029,17.2519,0.0089,16.6264,0.0085,16.6521,0.0093,16.6286,0.01,16.2203,0.0074,16.2484,0.009,16.2212,0.0082,16.0649,0.0113,16.0978,0.024,16.0657,0.011,15.0,
21,71.09,481592518,24,0,201211.61-564624.5,303.048319,-56.773546,36,43,57960.2538,0,0.983,,,,,,,,,,,,,18.1077,0.0148,18.0707,0.0181,18.1113,0.0104,17.7091,0.0132,17.6502,0.0242,17.7072,0.0109,17.4361,0.013,17.4264,0.026,17.4453,0.0125,17.3724,0.0126,17.3796,0.0308,17.3817,0.0196,12.37,1585661169.0
22,72.47,481592620,20,0,201207.49-564438.3,303.031065,-56.74402,36,43,58142.4409,0,0.98,,,,,,,,,,,,,18.5788,0.0094,18.5561,0.02,18.5828,0.0128,18.3373,0.0147,18.3111,0.043,18.3209,0.0214,18.1902,0.0201,18.1947,0.0757,18.168,0.0297,18.1668,0.0304,18.2533,0.0621,18.1434,0.0337,15.0,
23,74.55,1585661171,4,0,201213.10-564605.1,303.054559,-56.768146,48,76,58317.8088,0,0.523,,,,,,,,,,,,,20.5902,0.0517,20.6039,0.1013,20.5872,0.0635,20.3781,0.0443,20.5806,0.1503,20.4845,0.1124,20.0506,0.0433,20.1967,0.2193,20.1579,0.1601,,,,,,,15.0,
24,76.28,1585661155,10,0,201204.46-564702.3,303.018588,-56.784027,36,38,58439.2511,0,0.621,,,,,,,,,,,,,19.6448,0.1029,19.4072,0.0525,19.7226,0.0313,19.2045,0.074,18.9851,0.2186,19.1889,0.0353,18.6992,0.0563,18.4637,0.0515,18.7108,0.03,18.4329,0.0991,18.3316,0.1273,18.4574,0.0687,10.56,1585661157.0
