,solution_id,DESIGNATION,SOURCE_ID,random_index,ref_epoch,RA,ra_error,DEC,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,astrometric_primary_flag,nu_eff_used_in_astrometry,pseudocolour,pseudocolour_error,ra_pseudocolour_corr,dec_pseudocolour_corr,parallax_pseudocolour_corr,pmra_pseudocolour_corr,pmdec_pseudocolour_corr,astrometric_matched_transits,visibility_periods_used,astrometric_sigma5d_max,matched_transits,new_matched_transits,matched_transits_removed,ipd_gof_harmonic_amplitude,ipd_gof_harmonic_phase,ipd_frac_multi_peak,ipd_frac_odd_win,ruwe,scan_direction_strength_k1,scan_direction_strength_k2,scan_direction_strength_k3,scan_direction_strength_k4,scan_direction_mean_k1,scan_direction_mean_k2,scan_direction_mean_k3,scan_direction_mean_k4,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,Gmag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,phot_bp_n_contaminated_transits,phot_bp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_blended_transits,phot_proc_mode,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_method_used,rv_nb_transits,rv_nb_deblended_transits,rv_visibility_periods_used,rv_expected_sig_to_noise,rv_renormalised_gof,rv_chisq_pvalue,rv_time_duration,rv_amplitude_robust,rv_template_teff,rv_template_logg,rv_template_fe_h,rv_atm_param_origin,vbroad,vbroad_error,vbroad_nb_transits,grvs_mag,grvs_mag_error,grvs_mag_nb_transits,rvs_spec_sig_to_noise,phot_variable_flag,l,b,ecl_lon,ecl_lat,in_qso_candidates,in_galaxy_candidates,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,in_andromeda_survey,classprob_dsc_combmod_quasar,classprob_dsc_combmod_galaxy,classprob_dsc_combmod_star,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,logg_gspphot,logg_gspphot_lower,logg_gspphot_upper,mh_gspphot,mh_gspphot_lower,mh_gspphot_upper,distance_gspphot,distance_gspphot_lower,distance_gspphot_upper,azero_gspphot,azero_gspphot_lower,azero_gspphot_upper,ag_gspphot,ag_gspphot_lower,ag_gspphot_upper,ebpminrp_gspphot,ebpminrp_gspphot_lower,ebpminrp_gspphot_upper,libname_gspphot,dist,in_field,Weight
459,1636148068921376768,Gaia DR3 5332606522595645952,5332606522595645952,778663322,2016.0,176.45664661730092,0.013777223,-64.843052846102,0.015097591,215.67527344818546,0.018143972,11886.883,2683.8972,2661.639591834039,0.018192463,-344.9325076225359,0.019402547,0.14047244,0.12019151,-0.071213,0.1573712,0.25715956,0.124455966,0.050223276,-0.059002496,0.16859087,0.13985805,349,349,348,1,-3.3418372,1212.072,0.1442787,24.357437,31,False,1.6895415,,,,,,,,40,26,0.028073695,48,15,0,0.030705329,140.67618,0,0,0.8742317,,,,,,,,,False,385,507814.61335176806,203.84361,2491.197,11.423104,44,338151.04227875045,179.08488,1888.2166,11.515765,44,255358.8764996215,68.4249,3731.9585,11.230018,1.1687531,0,0,0,0,0,0.28574753,0.092660904,0.19308662,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,296.0287115925498,-2.85434406976176,218.37149498463572,-57.23597865637835,False,False,0,True,True,False,False,False,False,False,False,5.0943055e-10,2.5445799e-09,4.9933235e-05,,,,,,,,,,,,,,,,,,,,,,,0.01192066674774088,IN,1
74,1636148068921376768,Gaia DR3 5332606586985483648,5332606586985483648,477636339,2016.0,176.38716724346128,0.008919316,-64.82242430574605,0.009352744,2.018851851380698,0.01091376,184.98224,1.7749803,1.0730572303850228,0.01229636,-1.413896512015214,0.012988526,0.1376514,0.020082623,-0.12000433,0.18663546,0.1381508,0.18316443,0.0843744,-0.091118306,0.053791113,0.21473925,398,398,396,2,-8.399282,616.564,0.058867108,4.541353,31,False,1.5891398,,,,,,,,45,27,0.01940598,53,17,0,0.030879168,141.10744,0,0,0.71445954,,,,,,,,,False,438,427262.0921740821,102.256004,4178.357,11.610631,52,244645.5557154377,175.91476,1390.7051,11.867199,52,264152.4463248588,109.36126,2415.4116,11.193259,1.1908334,0,0,0,0,0,0.6739397,0.25656796,0.41737175,1.5625002,1.7338148,1,22,9,16,41.97656,0.03919521,0.37780607,909.8218,24.938711,7750.0,4.5,0.25,555,66.511055,15.603415,12,11.009074,0.010657675,12,,NOT_AVAILABLE,295.99487605520426,-2.8418324054994786,218.3064230825606,-57.24363868023145,False,False,0,True,True,False,False,False,False,True,False,1.02206356e-13,5.105156e-13,0.9999818,,,,,,,,,,,,,,,,,,,,,,,0.0260517329410599,IN,1
403,1636148068921376768,Gaia DR3 5332606415187820288,5332606415187820288,322271323,2016.0,176.4467340526102,0.008038454,-64.85419860057652,0.009250367,0.3353635264915672,0.010390324,32.276524,5.922362,-5.673155240970649,0.011376024,1.6999056556600924,0.01214169,0.123589404,0.078919075,-0.11443114,0.16502786,0.20100613,0.17793648,0.022643588,0.015940133,0.1187136,0.19219546,389,380,388,1,-2.601194,422.24237,0.01842739,0.36429408,31,False,1.3583337,,,,,,,,45,29,0.01790024,53,17,0,0.020411065,152.41168,0,0,0.9066605,,,,,,,,,False,431,171119.97184701814,51.17512,3343.8118,12.6041155,49,52941.17788124608,68.74499,770.1096,13.529058,49,172374.21669950124,125.4651,1373.8817,11.656714,1.3167101,0,0,0,0,0,1.872344,0.924943,0.94740105,-11.066562,0.4091024,1,20,4,16,34.776127,0.9284731,0.3526966,909.8218,6.0355806,4250.0,1.5,-1.0,111,11.623103,4.823917,15,11.237168,0.009932331,16,,NOT_AVAILABLE,296.02743820063233,-2.86619140327887,218.38131805014876,-57.24664282978052,False,False,0,True,True,False,False,False,True,True,False,1.0202233e-13,5.0959643e-13,1.0,5039.161,5020.2993,5051.703,2.3326,2.2539,2.4253,-0.175,-0.1877,-0.1568,2727.376,2384.2249,3039.697,2.0297,2.0134,2.0398,1.5145,1.5016,1.5225,0.8088,0.8014,0.8134,PHOENIX,0.014785308637859087,IN,1
188,1636148068921376768,Gaia DR3 5332606625675071232,5332606625675071232,1122872426,2016.0,176.41084503470188,0.010071825,-64.82122709641423,0.011107122,0.4530102456779919,0.012657208,35.79069,5.3174396,-3.9610125129042992,0.013564025,3.5476106652630817,0.015731195,0.14058454,0.04025277,-0.18031596,0.16250965,0.19857095,0.15617631,0.015472677,-0.088121414,-0.00065945357,0.29073513,371,0,371,0,-1.6517764,317.10284,0.0,0.0,31,False,1.4267728,,,,,,,,43,26,0.02337754,49,16,1,0.015304345,139.44687,0,0,0.9386822,0.22312415,0.18492152,0.2221447,0.3108472,-102.110466,-57.79507,33.411324,6.1630106,False,403,78709.0793211884,10.591985,7431.004,13.447305,42,31070.914250276855,21.36379,1454.3727,14.107657,43,68549.49458593363,23.580406,2907.0532,12.657885,1.2656788,0,1,0,0,0,1.4497728,0.6603527,0.7894201,-15.793808,1.3731675,2,17,5,14,13.402009,,,849.25995,,4500.0,2.5,-1.5,111,,,,12.36564,0.04447899,12,,NOT_AVAILABLE,296.00433234936946,-2.8381305499370684,218.31744994038306,-57.235434942192455,False,False,0,True,True,False,False,False,False,True,False,1.0206679e-13,5.098185e-13,0.9999956,,,,,,,,,,,,,,,,,,,,,,,0.021687563089597697,IN,1
588,1636148068921376768,Gaia DR3 5332606316437209472,5332606316437209472,1369376915,2016.0,176.48033314384705,0.011236427,-64.85242445850895,0.012558936,0.670705634337908,0.014376372,46.653328,10.335013,-10.226907215367849,0.015615745,1.4909276464503487,0.015981536,0.034355666,0.028658113,-0.1518977,0.14348334,0.1519709,0.1594967,-0.012502593,-0.027684314,0.11700294,0.118854806,385,0,384,1,-2.3288004,320.46957,0.0,0.0,31,False,1.5106173,,,,,,,,45,28,0.023169648,52,16,0,0.015763927,152.41501,1,0,0.91576385,0.16334765,0.09393308,0.11670474,0.34220347,-117.35643,-77.25191,36.339928,8.356303,False,417,48712.09291237857,7.8850727,6177.7607,13.968275,46,23847.476316647004,16.447405,1449.9233,14.394937,44,35809.17917020792,20.160288,1776.2236,13.362909,1.2246785,0,0,0,2,0,1.0320272,0.4266615,0.60536575,29.36483,8.471644,2,11,3,10,5.651983,,,909.89575,,5750.0,1.5,-1.0,111,,,,13.081768,0.11427431,8,,NOT_AVAILABLE,296.04082712042833,-2.860883022226661,218.39684034298142,-57.23496177131506,False,False,0,True,True,False,False,False,True,True,False,1.0206679e-13,5.098185e-13,0.9999956,6622.6284,6570.9424,6657.086,3.8201,3.7949,3.841,-0.6066,-0.6635,-0.5599,1392.3145,1360.1031,1440.55,1.1136,1.0858,1.1313,0.9411,0.9167,0.9568,0.5126,0.4991,0.5211,A,0.024453308078362056,IN,1
1,1636148068921376768,Gaia DR3 5332603533298197248,5332603533298197248,303561962,2016.0,176.37058845570544,0.013641479,-64.85520128059727,0.013332001,0.2411268656405421,0.015858157,15.205228,7.505404,-7.259625421044244,0.019420482,1.904974276021459,0.01961728,0.102930084,0.106368065,-0.22276098,0.1771997,0.15302883,0.18678597,0.013417943,-0.07717375,0.024063753,0.24243343,362,0,358,4,4.682203,474.55167,0.041207496,0.8311925,31,False,1.254623,,,,,,,,43,25,0.030129245,51,17,0,0.014810236,152.02448,3,0,1.1802973,0.13686287,0.13598341,0.090441495,0.3027783,-121.53992,-41.48555,30.383194,5.2634044,False,387,47457.99771864583,22.854836,2076.497,13.996593,50,8017.0155857435875,25.268053,317.27872,15.57851,50,61868.9268212298,62.16248,995.27765,12.769214,1.4725852,0,42,0,39,0,2.8092966,1.5819168,1.2273798,-23.468515,0.8977483,2,25,11,17,19.03428,,,895.56866,,5500.0,4.5,0.0,0,,,,12.1831,0.039573457,14,,NOT_AVAILABLE,295.99634397211133,-2.875326664566436,218.34205142149702,-57.271073607834666,False,False,0,True,True,False,False,False,True,True,False,1.0202233e-13,5.0959643e-13,1.0,4493.36,4299.4517,4713.9546,1.5042,1.053,2.0019,-0.7803,-0.7873,-0.7738,2674.6375,1707.4731,3916.4656,4.1468,3.9033,4.3834,2.8485,2.6585,3.0383,1.5641,1.4527,1.6769,PHOENIX,0.02828592019781526,IN,1
171,1636148068921376768,Gaia DR3 5332606591315128192,5332606591315128192,1666591167,2016.0,176.40753570620075,0.012169931,-64.82827912791997,0.013112374,0.444413081889295,0.015347616,28.95649,6.073012,-6.052877662790739,0.016384428,0.4941083616581561,0.01755424,0.09533522,0.05114537,-0.18590786,0.13797551,0.22253041,0.11507073,-0.03464624,-0.10113777,0.07080418,0.15848516,381,0,381,0,1.614808,425.5488,0.029061893,0.42779788,31,False,1.5360956,,,,,,,,45,28,0.025412507,52,17,0,0.0189464,139.27522,0,0,1.0585566,0.21260308,0.12734435,0.19239956,0.30767924,-108.33664,-57.46877,31.976946,6.707624,False,412,44561.68882161496,9.11508,4888.7876,14.064962,50,23145.12076442128,15.546376,1488.7792,14.427394,49,31112.916374131204,15.838206,1964.4218,13.515544,1.2175938,0,50,0,49,0,0.91185,0.36243153,0.54941845,-3.0188456,7.620821,2,24,13,19,7.8061256,,,759.97943,,6750.0,2.5,-0.25,111,,,,13.28558,0.1558343,11,,NOT_AVAILABLE,296.0047501806001,-2.845309599589992,218.32524243879863,-57.241259963126446,False,False,0,True,True,False,False,False,False,True,False,2.4592085e-11,5.102565e-13,0.99998695,,,,,,,,,,,,,,,,,,,,,,,0.016042772749333738,IN,1
145,1636148068921376768,Gaia DR3 5332600578360698752,5332600578360698752,1572842643,2016.0,176.4033090501026,0.022333136,-64.8637570026289,0.024769085,0.23651775472007058,0.028330525,8.348513,5.530073,-4.984373192467426,0.03203277,2.3953560312340576,0.033308826,0.14610021,0.1834631,-0.13103563,0.19989248,0.29430988,0.19874163,0.013031448,0.007596692,0.102703676,0.19943343,369,0,369,0,2.6728218,460.5243,0.11774038,2.483778,31,False,1.2475067,,,,,,,,43,25,0.04972936,53,17,0,0.014686055,155.94232,1,0,1.099734,0.11134926,0.1692632,0.1408288,0.33003873,-100.336426,-59.921574,27.621433,1.916726,False,409,14099.242178948418,5.815145,2424.5728,15.314378,49,2208.91358614271,6.940454,318.26645,16.978096,50,18316.75020596499,17.967773,1019.42236,14.090775,1.4557991,0,1,0,2,0,2.8873215,1.6637182,1.2236032,17.999006,3.3311367,2,14,7,10,4.3911934,,,785.7131,,5500.0,4.5,0.0,0,,,,13.59703,0.13044138,7,,NOT_AVAILABLE,296.01197546270583,-2.88009224898716,218.37112386182346,-57.26667597903272,False,False,0,True,False,False,False,False,False,True,False,1.0202233e-13,5.0959643e-13,1.0,4914.148,4849.1846,4994.95,2.4993,2.4012,2.5859,-0.5969,-0.7458,-0.501,2215.402,2018.7224,2523.9917,4.7478,4.6967,4.8059,3.2997,3.2561,3.352,1.8316,1.8028,1.8673,MARCS,0.02474234683813586,IN,1
232,1636148068921376768,Gaia DR3 5332606385156667264,5332606385156667264,997354842,2016.0,176.41822451730778,0.02425332,-64.86101933891199,0.025319006,0.6636921880061094,0.029325843,22.631649,3.424427,-3.4227962098671187,0.034073766,-0.10566955957729186,0.03248138,0.0899327,0.01754534,-0.15202592,0.17216083,0.11878924,0.19813924,0.014669605,0.035551358,0.090078786,0.13910586,376,0,375,1,-0.2598072,378.021,0.0,0.0,31,False,1.4828763,,,,,,,,44,29,0.049534623,53,18,0,0.024377873,152.34482,0,0,0.9895666,0.115701266,0.14922026,0.10260531,0.27651945,-106.40777,-57.070915,31.91378,4.7421365,False,418,9230.416959647026,2.8586967,3228.89,15.774314,49,4240.2991285769585,6.736123,629.4866,16.27005,49,7172.731804247182,10.575846,678.21826,15.108684,1.2364589,0,3,0,4,0,1.1613665,0.49573612,0.66563034,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,296.0174225348521,-2.875844440837483,218.37536307777282,-57.260165660935314,False,False,0,True,False,False,False,False,True,True,False,1.0206907e-13,5.0983106e-13,0.99999535,5536.759,5307.5845,5753.9033,4.4232,4.3563,4.4756,-0.7359,-1.0592,-0.5185,1069.389,1030.9135,1125.1982,0.7446,0.5848,0.8734,0.6051,0.4729,0.7137,0.3289,0.2578,0.3879,MARCS,0.02001439602276011,IN,1
160,1636148068921376768,Gaia DR3 5332606591315122432,5332606591315122432,315025774,2016.0,176.40609841605666,0.024183193,-64.83396242012243,0.025295105,0.6300816909748999,0.029866604,21.096529,5.4165564,-5.411914587526499,0.032361425,-0.22419496132432493,0.033013627,0.069047704,0.03534481,-0.1802394,0.16346513,0.21764356,0.14930604,-0.0045856577,-0.06955625,0.11166565,0.10431153,387,0,385,2,0.30190498,404.50513,0.0,0.0,31,False,1.4830539,,,,,,,,45,28,0.047596708,53,17,0,0.022920199,136.81374,0,0,1.010091,0.20483127,0.11741841,0.20579763,0.30349272,-106.48323,-55.65198,31.939352,7.2960105,False,419,9059.69302103746,3.1652837,2862.2058,15.794583,49,4164.657284111288,9.049851,460.19067,16.289595,48,7012.185596044714,10.973349,639.01965,15.133262,1.233689,0,3,0,2,0,1.156333,0.49501133,0.66132164,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,296.0055940800606,-2.8509631863635736,218.33218168546165,-57.245569978771165,False,False,0,True,False,False,False,False,False,True,False,1.020934e-13,5.0995254e-13,0.99999297,6312.4937,6301.393,6330.7026,4.417,4.4021,4.4331,-0.065,-0.0808,-0.0482,1404.241,1380.6119,1426.1917,1.1258,1.1182,1.1376,0.9284,0.922,0.9386,0.5,0.4965,0.5054,PHOENIX,0.012271731358350033,IN,1
