,r_cntr,object_id,ngood,flags,smss_j,RA,DEC,e_raj2000,e_dej2000,mean_epoch,nimaflags,class_star,u_psf,e_u_psf,u_petro,e_u_petro,u_apc05,e_u_apc05,v_psf,e_v_psf,v_petro,e_v_petro,v_apc05,e_v_apc05,g_band,e_g_psf,g_petro,e_g_petro,g_apc05,e_g_apc05,r_band,e_r_psf,r_petro,e_r_petro,r_apc05,e_r_apc05,i_band,e_i_psf,i_petro,e_i_petro,i_apc05,e_i_apc05,z_band,e_z_psf,z_petro,e_z_petro,z_apc05,e_z_apc05,self_dist1,self_id1
91,61.03,445133071,26,3,114543.90-645130.3,176.432851,-64.858382,36,51,58293.2555,0,0.983,17.7739,0.0399,17.923,0.1672,17.7881,0.0477,17.3511,0.0188,17.4315,0.0335,17.3589,0.025,16.2273,0.018,16.2605,0.0336,16.2336,0.0252,15.8377,0.0136,15.8188,0.0345,15.8372,0.02,15.5616,0.0122,15.6,0.0386,15.571,0.0152,15.4198,0.0192,15.5638,0.0218,15.4314,0.0217,6.82,2636826343.0
92,61.44,445133073,15,3,114542.41-645130.8,176.426567,-64.858558,36,47,58018.1377,0,0.983,,,,,,,,,,,,,17.7584,0.0446,17.6054,0.1196,17.739,0.0482,17.1286,0.0156,17.1565,0.0302,17.1351,0.0274,16.7613,0.0143,16.7918,0.0549,16.7722,0.0208,16.5113,0.0257,16.4963,0.0817,16.5196,0.034,5.28,1540335635.0
93,61.72,444891253,5,3,114551.01-644955.0,176.462426,-64.832041,36,36,58443.3284,0,0.534,,,,,,,,,,,,,,,,,,,18.8748,0.3151,18.743,0.0852,19.1763,0.0573,18.0235,0.2479,18.0372,0.3793,18.293,0.0864,17.5813,0.1974,17.3078,0.1183,17.7957,0.0659,5.61,444891237.0
94,62.12,445133469,6,16,114533.56-645046.6,176.389791,-64.846261,36,40,58582.3546,0,0.914,,,,,,,,,,,,,19.5295,,19.7938,,19.5304,,18.7276,0.0194,18.8207,0.0565,18.7203,0.0415,18.0801,0.047,18.0866,0.0889,18.0765,0.0704,17.6774,0.0419,17.6762,0.1004,17.6823,0.0697,15.0,
95,62.74,2636547283,1,1024,114552.72-645034.3,176.469693,-64.842862,46,72,57474.684,0,0.633,,,,,,,,,,,,,,,,,,,,,,,,,18.2636,,19.0382,,18.3208,,17.9027,0.0468,18.211,0.1809,17.939,0.1313,6.59,2636826290.0
96,63.27,1540074619,3,0,114534.65-644954.7,176.39432,-64.831839,76,119,58580.5337,0,0.807,,,,,,,,,,,,,,,,,,,19.6292,0.0421,19.7946,0.1367,19.5982,0.0739,18.7562,0.094,18.9991,0.168,18.7108,0.0771,18.3075,0.1058,18.7616,0.2216,18.2529,0.105,8.5,444891638.0
97,63.27,2636826288,0,17,114552.21-645051.5,176.467561,-64.847656,36,36,58580.5291,0,0.652,,,,,,,,,,,,,16.2831,,17.0853,,17.9828,,,,,,,,,,,,,,,,,,,,2.99,445133033.0
98,63.58,2636826347,1,0,114541.21-645132.1,176.421735,-64.85892,36,36,58581.4546,0,0.795,,,,,,,,,,,,,,,,,,,19.3234,0.0415,19.7627,0.1474,19.3009,0.0683,,,,,,,,,,,,,7.5,445133073.0
99,64.64,445133033,19,19,114552.28-645054.7,176.467754,-64.848482,36,55,58121.4328,1,0.983,18.4224,,18.4088,,18.4201,,18.1815,0.0394,18.4576,0.228,18.2175,0.0603,16.8546,0.0195,16.9436,0.0517,16.8627,0.0284,16.3379,0.0137,16.3765,0.0302,16.3492,0.022,15.9839,0.0132,16.078,0.0165,15.9908,0.0171,15.8041,0.0221,15.9294,0.0255,15.8105,0.0245,2.99,2636826288.0
100,65.12,1540074585,3,1,114541.84-644924.8,176.424271,-64.823532,70,47,58580.5337,0,0.56,,,,,,,,,,,,,,,,,,,19.6274,0.3244,19.7115,0.0993,19.9922,0.098,18.6076,0.3136,18.5822,0.0749,18.9161,0.086,17.869,0.3835,18.1233,0.1014,18.2917,0.1072,5.79,1540074583.0
101,65.2,444891240,16,3,114547.42-644930.8,176.447527,-64.825247,36,81,58259.4325,0,0.982,,,,,,,,,,,,,19.024,0.0576,18.8378,0.0912,19.1724,0.1008,17.7794,0.0929,17.5652,0.0264,17.8319,0.0297,16.6666,0.0435,16.3957,0.034,16.6681,0.0187,15.8861,0.0629,15.6698,0.0233,15.9185,0.0234,6.36,444891246.0
102,66.51,444891245,26,2,114548.92-644935.1,176.453772,-64.826392,36,42,58176.572,4,0.987,18.9201,0.096,18.9704,0.157,18.9861,0.1103,18.2563,0.024,18.2021,0.0719,18.2644,0.0324,16.5832,0.0164,16.5768,0.0148,16.5876,0.0198,15.8953,0.0139,15.8677,0.0133,15.8931,0.0183,15.3174,0.0129,15.2891,0.0147,15.3127,0.0148,14.9479,0.0247,14.8938,0.0175,14.9303,0.0213,9.14,2636547272.0
103,68.07,444891653,22,0,114532.78-645008.4,176.386527,-64.835674,36,49,58197.6764,0,0.983,,,,,,,18.9708,0.0557,18.8145,0.1262,18.928,0.0957,17.4433,0.0146,17.4731,0.0184,17.4407,0.0234,16.9016,0.012,16.9404,0.0138,16.8944,0.0215,16.5324,0.0155,16.5567,0.0227,16.5233,0.0197,16.3238,0.021,16.3582,0.0257,16.2989,0.0253,11.66,2636547845.0
