,r_cntr,object_id,ngood,flags,smss_j,RA,DEC,e_raj2000,e_dej2000,mean_epoch,nimaflags,class_star,u_psf,e_u_psf,u_petro,e_u_petro,u_apc05,e_u_apc05,v_psf,e_v_psf,v_petro,e_v_petro,v_apc05,e_v_apc05,g_band,e_g_psf,g_petro,e_g_petro,g_apc05,e_g_apc05,r_band,e_r_psf,r_petro,e_r_petro,r_apc05,e_r_apc05,i_band,e_i_psf,i_petro,e_i_petro,i_apc05,e_i_apc05,z_band,e_z_psf,z_petro,e_z_petro,z_apc05,e_z_apc05,self_dist1,self_id1
33,83.52,481592551,25,0,201209.81-565015.6,303.040758,-56.837721,36,36,57949.2484,0,0.981,,,,,,,,,,,,,18.6758,0.0166,18.7262,0.0367,18.6742,0.0235,18.0228,0.0136,17.9869,0.0213,18.0234,0.015,17.5808,0.0087,17.5855,0.025,17.5795,0.0127,17.369,0.0184,17.4277,0.0295,17.3935,0.0231,13.08,481592552.0
34,86.7,481592593,1,1,201225.62-564949.9,303.106687,-56.830599,36,36,57879.73,0,0.138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.5948,0.2462,17.2966,0.1636,17.6973,0.0604,9.38,1585661288.0
35,87.25,1585666034,2,0,201227.48-565145.2,303.11447,-56.862611,137,58,58317.5416,0,0.48,,,,,,,,,,,,,,,,,,,20.5405,0.1405,20.7028,0.1352,20.6379,0.1281,19.8421,0.143,19.6392,0.1692,19.7697,0.1131,,,,,,,15.0,
36,89.25,481595733,3,0,201225.11-565207.6,303.104779,-56.868851,36,36,58171.6059,0,0.623,,,,,,,,,,,,,,,,,,,,,,,,,19.3538,0.0936,19.423,0.0982,19.3083,0.1252,18.8006,0.0821,18.739,0.1679,18.773,0.1045,10.61,481595732.0
37,89.79,481592567,8,0,201212.54-564941.7,303.05221,-56.828277,36,50,58320.0751,3,0.954,,,,,,,,,,,,,19.6543,0.0219,19.6385,0.0591,19.6546,0.0297,19.1502,0.0384,19.104,0.0768,19.1882,0.0559,18.9058,0.0364,18.9849,0.1471,18.9055,0.0826,18.7375,0.0561,18.7952,0.1662,18.7319,0.1006,13.93,2686746289.0
38,90.27,481595713,4,1,201219.60-565225.7,303.081604,-56.873851,68,41,57750.1065,0,0.961,,,,,,,,,,,,,,,,,,,,,,,,,18.439,0.0317,18.4043,0.1342,18.4502,0.0491,18.0209,0.1105,18.0841,0.0747,18.1443,0.0504,11.6,481595714.0
39,91.98,481592547,33,0,201207.55-565103.2,303.031401,-56.850919,36,54,57880.3909,3,0.983,,,,,,,,,,,,,18.2241,0.0097,18.2481,0.0145,18.2256,0.0108,17.6267,0.0125,17.6421,0.0219,17.622,0.0106,17.2014,0.0076,17.2159,0.0192,17.2063,0.0113,17.0163,0.0107,17.1109,0.0206,17.0277,0.015,15.0,
40,92.54,1585661210,3,0,201207.98-565124.1,303.033214,-56.856714,36,36,58469.5226,0,0.533,,,,,,,,,,,,,,,,,,,,,,,,,19.6872,0.0412,19.7872,0.1599,19.7589,0.1116,18.738,0.1023,18.8695,0.1482,18.8161,0.0805,15.0,
41,95.62,481592597,14,3,201229.29-565015.4,303.122035,-56.837688,36,36,57926.5031,0,0.977,,,,,,,,,,,,,20.042,0.0339,20.131,0.1225,20.0643,0.0652,19.1145,0.0258,19.101,0.1078,19.1266,0.0373,18.0306,0.0172,18.1038,0.0568,18.0495,0.0178,17.5918,0.0191,17.6374,0.0691,17.6081,0.0237,8.38,481592598.0
42,95.79,2686746308,1,0,201227.64-564954.1,303.115187,-56.831718,36,36,56923.4221,0,0.57,,,,,,,,,,,,,,,,,,,,,,,,,18.2154,0.3024,17.6985,0.1762,18.3233,0.1602,,,,,,,9.51,481592595.0
43,96.43,1585661217,5,0,201207.02-565046.3,303.029231,-56.846226,57,77,58320.7506,0,0.545,,,,,,,,,,,,,20.5538,0.0943,21.0596,0.2826,20.5531,0.079,19.8113,0.0618,19.7485,0.0739,19.8391,0.0411,19.375,0.1099,19.2077,0.1054,19.3047,0.0753,,,,,,,15.0,
44,96.77,481595712,5,1,201217.94-565232.3,303.074681,-56.875677,61,40,56926.6112,0,0.907,,,,,,,,,,,,,17.9073,0.0389,18.1267,0.1924,17.9527,0.098,17.6267,0.0473,17.6729,0.1395,17.6179,0.0888,17.4318,0.0784,17.4171,0.0696,17.4623,0.0582,17.0343,0.2574,17.1378,0.1029,17.246,0.0863,8.63,481595714.0
45,98.03,1585661287,3,1,201223.86-564927.2,303.099387,-56.824274,182,78,58317.899,0,0.606,,,,,,,,,,,,,20.1944,0.2564,22.0781,1.5872,20.4195,0.0891,19.7406,0.1975,19.347,0.1557,19.8825,0.0876,19.2348,0.2705,20.1015,0.5739,19.3435,0.079,,,,,,,15.0,
46,98.41,481592539,8,0,201209.36-564954.0,303.039035,-56.831721,36,41,58323.6819,0,0.933,,,,,,,,,,,,,19.6191,0.0359,19.747,0.0569,19.6055,0.0377,19.2963,0.031,19.424,0.0911,19.2922,0.0535,19.0507,0.0171,19.2489,0.06,19.1088,0.0406,,,,,,,15.0,
47,98.79,481592546,16,0,201207.12-565028.6,303.029722,-56.84133,44,36,57799.3712,0,0.978,,,,,,,,,,,,,,,,,,,20.141,0.0561,20.4218,0.1329,20.2577,0.0915,18.2323,0.0132,18.3002,0.0592,18.2444,0.0198,17.4656,0.0143,17.5484,0.0402,17.4708,0.0207,15.0,
48,99.49,481592595,6,1,201228.66-564958.9,303.119387,-56.833023,57,192,57861.331,0,0.889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.8497,0.0366,17.823,0.0874,17.9015,0.0298,9.51,2686746308.0
49,100.07,481595714,51,0,201218.88-565235.8,303.078688,-56.876651,36,36,57924.5364,22,0.997,14.1349,0.0117,14.1229,0.0115,14.1381,0.0152,13.6034,0.0112,13.6024,0.0111,13.6035,0.0125,12.8828,0.0075,12.8756,0.007,12.8897,0.0077,12.7377,0.0097,12.7424,0.0094,12.7395,0.0107,12.7034,0.0056,12.7023,0.0066,12.7045,0.0061,12.7121,0.0067,12.7143,0.0064,12.7136,0.0072,8.63,481595712.0
50,101.32,1585665997,4,1,201220.54-565235.9,303.085524,-56.876695,38,43,58317.8091,0,0.79,,,,,,,,,,,,,20.0752,0.0783,20.2814,0.1693,20.0879,0.066,19.504,0.0564,19.3714,0.1032,19.5191,0.0393,19.307,0.0432,19.3442,0.1345,19.2874,0.0747,,,,,,,8.59,481595715.0
51,101.89,481592598,24,2,201230.26-565018.1,303.126075,-56.838418,122,111,57975.9149,3,0.625,,,,,,,,,,,,,18.1806,0.1569,17.8306,0.0632,18.3572,0.0201,17.6052,0.1156,17.2848,0.0778,17.7731,0.0246,17.1085,0.073,16.7647,0.0361,17.3036,0.0112,16.9023,0.0668,16.4889,0.0381,17.0199,0.0159,8.38,481592597.0
52,102.86,481595705,13,0,201214.50-565232.5,303.060386,-56.875763,36,60,58324.8533,0,0.939,,,,,,,,,,,,,20.145,0.0401,20.4387,0.1097,20.1996,0.0596,19.3919,0.0267,19.6119,0.0781,19.4215,0.039,18.6311,0.0235,18.7186,0.0549,18.6758,0.0284,18.3557,0.0264,18.5056,0.1009,18.4173,0.0547,14.9,481595704.0
53,103.33,481592600,9,0,201231.11-565036.6,303.129558,-56.84357,36,36,58325.8506,0,0.898,,,,,,,,,,,,,20.1761,0.0885,20.3842,0.1536,20.2169,0.08,19.5151,0.0294,19.6777,0.0786,19.5163,0.0364,18.9982,0.0204,19.0501,0.0845,19.0134,0.0376,18.7235,0.0632,18.7814,0.1407,18.7258,0.1004,15.0,
54,103.47,481592568,56,0,201212.45-564926.0,303.051844,-56.823919,36,40,57958.2032,15,0.991,15.7815,0.0119,15.8005,0.025,15.788,0.0153,15.4844,0.0118,15.4982,0.0186,15.4869,0.0133,14.3405,0.0064,14.342,0.0064,14.3423,0.0067,14.0402,0.0069,14.0475,0.0068,14.04,0.0074,13.8671,0.0055,13.8769,0.0054,13.8658,0.0062,13.8219,0.0065,13.8357,0.0066,13.8223,0.0073,5.22,2686746260.0
55,104.5,1585661216,7,0,201211.21-565220.2,303.046659,-56.8723,53,36,58321.8191,0,0.541,,,,,,,,,,,,,19.8242,0.1375,19.4041,0.0529,20.0864,0.0362,19.4594,0.1458,18.9856,0.0522,19.7183,0.0373,18.8118,0.3362,18.3755,0.0954,19.1265,0.0652,,,,,,,15.0,
56,105.92,481592594,24,2,201227.33-564936.1,303.113648,-56.826835,82,36,57987.7279,4,0.503,,,,,,,18.2509,0.2901,18.117,0.1327,18.6798,0.0939,15.7838,0.179,15.5943,0.177,16.5883,0.0208,14.8131,0.1957,13.8468,0.1767,15.965,0.0114,14.2008,0.1481,13.2794,0.0844,15.428,0.0176,13.9147,0.1758,13.2047,0.0908,15.0902,0.0112,15.0,
57,107.77,481595734,15,0,201228.48-565207.8,303.118638,-56.868902,36,47,58122.0807,0,0.978,,,,,,,,,,,,,19.0322,0.0186,19.0224,0.0666,19.0329,0.0216,18.6039,0.0158,18.5927,0.0338,18.5991,0.0218,18.3165,0.0158,18.2464,0.0657,18.3147,0.0213,18.1363,0.0305,18.2095,0.1157,18.1205,0.0775,15.0,
58,108.16,2686746260,0,24,201212.40-564920.8,303.051705,-56.822472,36,36,58591.7603,0,0.841,,,,,,,,,,,,,,,,,,,,,,,,,18.6076,,18.7209,,18.6601,,,,,,,,5.22,481592568.0
59,108.32,481592572,44,0,201215.71-564910.2,303.06546,-56.819555,36,36,57859.4453,18,0.995,15.1449,0.0118,15.1685,0.0148,15.1467,0.0147,14.6821,0.0117,14.6816,0.0123,14.6819,0.0128,12.465,0.0096,12.4665,0.0093,12.4625,0.0102,11.8911,0.0089,11.8952,0.0085,11.8906,0.0097,11.5377,0.0087,11.5529,0.0085,11.5366,0.0095,11.3723,0.0082,11.3759,0.008,11.3724,0.0089,15.0,
60,109.19,481595715,20,1,201220.24-565244.1,303.084307,-56.878988,60,36,57703.778,0,0.982,,,,,,,,,,,,,17.8615,0.0973,17.887,0.1055,17.9574,0.0862,17.6078,0.0151,17.6194,0.0544,17.6248,0.0207,17.394,0.0113,17.4222,0.0372,17.4113,0.0152,17.3441,0.0145,17.3704,0.0366,17.373,0.0181,8.59,1585665997.0
61,109.33,1585661254,5,0,201219.61-564906.6,303.081656,-56.818553,36,55,58317.97,0,0.664,,,,,,,,,,,,,19.9857,0.0375,20.0985,0.119,19.9661,0.0405,19.9053,0.045,20.0686,0.0885,19.9264,0.0549,19.6282,0.0709,19.8634,0.1512,19.7781,0.1141,,,,,,,15.0,
62,110.59,481592601,27,0,201232.16-565104.3,303.133976,-56.851256,42,57,57913.2266,3,0.63,,,,,,,,,,,,,18.3269,0.1164,18.1318,0.0522,18.4786,0.0157,17.7855,0.0889,17.6093,0.0314,17.915,0.0138,17.3057,0.0605,17.0693,0.0382,17.3978,0.014,17.0609,0.0561,16.884,0.0324,17.1308,0.016,15.0,
63,115.94,481595706,61,0,201215.99-565249.5,303.066631,-56.880459,36,36,58030.289,16,0.993,15.8099,0.0112,15.8175,0.0131,15.8124,0.014,15.4696,0.0113,15.4799,0.0155,15.4729,0.0123,14.4447,0.0057,14.449,0.0057,14.4473,0.006,14.1635,0.0066,14.1739,0.0064,14.1653,0.0069,14.0,0.0053,14.0057,0.0055,14.0029,0.0058,13.954,0.0062,13.9742,0.0062,13.9557,0.0069,13.14,1585665983.0
64,116.2,481592599,8,0,201231.90-565013.9,303.133025,-56.837226,197,176,58380.4063,0,0.659,,,,,,,,,,,,,20.1091,0.2922,19.7753,0.1445,20.3389,0.0823,19.1484,0.3285,18.858,0.1411,19.5241,0.0505,18.6921,0.095,18.2194,0.1203,18.7929,0.0313,18.4621,0.1063,18.3526,0.0997,18.5084,0.0648,14.34,481592598.0
65,116.65,2686746258,1,0,201211.18-564916.9,303.046596,-56.821372,36,36,58346.4009,0,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.9102,0.1309,16.983,0.0505,17.0548,0.0404,10.82,2686746260.0
66,117.23,481595704,15,0,201213.42-565244.7,303.055917,-56.879105,36,59,58232.8611,0,0.558,,,,,,,,,,,,,19.2794,0.0666,19.1875,0.0618,19.3206,0.023,18.7547,0.0779,18.6038,0.091,18.7985,0.0187,18.3168,0.0644,18.252,0.0545,18.3429,0.0218,18.1737,0.0892,18.0238,0.1131,18.0959,0.0571,14.18,1585665983.0
67,119.75,2686746310,0,16,201227.17-564918.3,303.113238,-56.821756,36,36,58591.7603,0,0.351,,,,,,,,,,,,,,,,,,,,,,,,,17.7076,,17.4555,,18.9613,,,,,,,,15.0,
