source_id,ra_Gaia,dec_Gaia,g,bp_rp,phot_variable_flag,Star_Id,RA_HST,Dec_HST,RA_toGaia,Dec_toGaia,F125W,eF125W,F139M,eF139M,F160W,eF160W,J,eJ,H,eH,Ks,eKs,inMUSE,membership,Weight
5.94E+18,251.7657608,-45.84456495,14.768445,4.912506,NOT_AVAILABLE,6101,251.7657737,-45.8445765,251.7657564,-45.8445784,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,10.097999,0.017999,8.9029998,0.025,8.342,0.029999,1,1,1
5.94E+18,251.7546192,-45.8537891,14.797423,5.026558,VARIABLE,5905,251.7546512,-45.8537921,251.7546232,-45.8537985,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,10.057,0.014,8.861,0.013,8.21,0.021999,1,1,1
5.94E+18,251.7711637,-45.84867071,15.149864,4.957369,NOT_AVAILABLE,3446,251.7711765,-45.8486788,251.7711574,-45.8486807,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,10.593,0.012,9.5530004,0.024,8.9180002,0.016,1,1,1
5.94E+18,251.7671212,-45.84422926,15.153915,4.88445,NOT_AVAILABLE,5132,251.7671342,-45.844237,251.7671176,-45.8442386,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,10.546999,0.010999,9.5080003,0.016,8.9130001,0.024,1,1,1
5.94E+18,251.7515969,-45.85886374,15.163219,5.0131016,NOT_AVAILABLE,5587,251.751634,-45.8588615,251.7516009,-45.8588697,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,10.465,0.009999,9.3769998,0.008999,8.8310003,0.013,1,1,1
5.94E+18,251.7794772,-45.83698668,15.180423,4.7087526,NOT_AVAILABLE,3748,251.7794824,-45.836996,251.7794753,-45.8369934,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,10.670999,0.013,9.6140003,0.009999,9.0550003,0.021999,1,1,1
5.94E+18,251.7626849,-45.83994694,15.18224,4.829303,NOT_AVAILABLE,5960,251.7626932,-45.8399581,251.7626789,-45.8399595,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,10.619,0.012,9.5139999,0.009999,9.0249996,0.014,1,1,1
5.94E+18,251.7589687,-45.85351111,15.2415085,5.047781,NOT_AVAILABLE,5609,251.7589941,-45.8535152,251.7589675,-45.8535207,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,10.543999,0.008999,9.4280004,0.008,8.9049997,0.013,1,1,1
5.94E+18,251.7460215,-45.84120898,15.271654,4.167898,NOT_AVAILABLE,1655,251.746042,-45.8412145,251.746022,-45.8412193,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,11.142999,0.009999,10.217,0.004,9.7740001,0.008999,1,1,1
5.94E+18,251.7672095,-45.86453279,15.281551,4.8799276,NOT_AVAILABLE,3024,251.7672365,-45.8645311,251.7672031,-45.8645378,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,10.715999,0.008999,9.6639995,0.012,9.1099996,0.013,1,1,1
5.94E+18,251.7598335,-45.84929176,15.282057,5.140811,NOT_AVAILABLE,6133,251.7598426,-45.849274,251.7598198,-45.8492782,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,10.303,0.043999,8.96,0.052,8.5109996,0.101999,1,1,1
5.94E+18,251.7674963,-45.8482748,15.297314,5.0867443,NOT_AVAILABLE,3459,251.7675105,-45.8482794,251.7674907,-45.8482819,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,10.581,0.009999,9.5380001,0.018999,8.9189996,0.009999,1,1,1
