,solution_id,DESIGNATION,SOURCE_ID,random_index,ref_epoch,RA,ra_error,DEC,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,astrometric_primary_flag,nu_eff_used_in_astrometry,pseudocolour,pseudocolour_error,ra_pseudocolour_corr,dec_pseudocolour_corr,parallax_pseudocolour_corr,pmra_pseudocolour_corr,pmdec_pseudocolour_corr,astrometric_matched_transits,visibility_periods_used,astrometric_sigma5d_max,matched_transits,new_matched_transits,matched_transits_removed,ipd_gof_harmonic_amplitude,ipd_gof_harmonic_phase,ipd_frac_multi_peak,ipd_frac_odd_win,ruwe,scan_direction_strength_k1,scan_direction_strength_k2,scan_direction_strength_k3,scan_direction_strength_k4,scan_direction_mean_k1,scan_direction_mean_k2,scan_direction_mean_k3,scan_direction_mean_k4,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,Gmag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,phot_bp_n_contaminated_transits,phot_bp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_blended_transits,phot_proc_mode,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_method_used,rv_nb_transits,rv_nb_deblended_transits,rv_visibility_periods_used,rv_expected_sig_to_noise,rv_renormalised_gof,rv_chisq_pvalue,rv_time_duration,rv_amplitude_robust,rv_template_teff,rv_template_logg,rv_template_fe_h,rv_atm_param_origin,vbroad,vbroad_error,vbroad_nb_transits,grvs_mag,grvs_mag_error,grvs_mag_nb_transits,rvs_spec_sig_to_noise,phot_variable_flag,l,b,ecl_lon,ecl_lat,in_qso_candidates,in_galaxy_candidates,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,in_andromeda_survey,classprob_dsc_combmod_quasar,classprob_dsc_combmod_galaxy,classprob_dsc_combmod_star,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,logg_gspphot,logg_gspphot_lower,logg_gspphot_upper,mh_gspphot,mh_gspphot_lower,mh_gspphot_upper,distance_gspphot,distance_gspphot_lower,distance_gspphot_upper,azero_gspphot,azero_gspphot_lower,azero_gspphot_upper,ag_gspphot,ag_gspphot_lower,ag_gspphot_upper,ebpminrp_gspphot,ebpminrp_gspphot_lower,ebpminrp_gspphot_upper,libname_gspphot,dist,in_field,Weight
41,1636148068921376768,Gaia DR3 6210089815971933056,6210089815971933056,1267114093,2016.0,234.74735082235193,0.018427962,-28.594391079983797,0.016099833,4.484929176978195,0.020428116,219.54689,293.1521,-233.57893382117882,0.024107767,-177.14129794738872,0.020368233,-0.32533726,-0.23661217,-0.04597365,-0.22921981,-0.20642547,-0.29503578,0.45800677,0.13023746,-0.075657256,-0.4317778,210,210,210,0,-1.1247324,539.2729,0.1035928,11.779385,31,True,1.579321,,,,,,,,24,13,0.038034264,30,13,1,0.012306488,160.59666,0,0,0.9433757,,,,,,,,,False,232,418709.4895408837,116.00651,3609.362,11.632585,27,233805.19623964987,184.33444,1268.375,11.916407,27,268492.8187530794,99.79605,2690.4153,11.175564,1.1996337,0,0,0,0,0,0.7408428,0.28382206,0.45702076,-126.07419,0.78665024,1,14,4,12,31.374287,-0.6057118,0.7696048,797.5582,8.203384,6000.0,4.0,-2.0,110,,,,10.976739,0.011949925,10,,NOT_AVAILABLE,341.9294472988252,21.31565845836159,239.1431984245732,-8.853083814551121,False,False,0,True,True,False,False,False,True,True,False,1.0224366e-13,5.1070194e-13,0.9999822,6344.832,6290.1396,6365.3184,4.4721,4.4576,4.4772,-2.5239,-2.6303,-2.2912,223.1848,221.8233,225.8612,0.2663,0.2399,0.2758,0.2297,0.2066,0.238,0.1264,0.1137,0.131,MARCS,0.0013111377298280068,IN,1
58,1636148068921376768,Gaia DR3 6210089609813518848,6210089609813518848,1809010082,2016.0,234.7538056453908,0.019030754,-28.598809381549973,0.016683387,3.114297987812024,0.021163922,147.15126,16.461061,-2.6215438639423896,0.026071122,16.250970040555902,0.020632949,-0.33747303,-0.20836423,0.0014479334,-0.17885181,-0.16712317,-0.21553849,0.40745932,0.17969073,-0.034544185,-0.37687528,189,111,188,1,0.45360056,361.17105,0.087193914,5.848457,31,True,1.488256,,,,,,,,22,12,0.039456572,27,12,0,0.027100036,171.86118,0,0,1.0219682,,,,,,,,,False,212,126107.47867836436,34.195507,3687.8376,12.935514,25,58892.51629991202,49.320503,1194.0778,13.413392,24,95595.00842107495,35.184834,2716.938,12.296807,1.2250465,0,0,0,0,0,1.1165848,0.47787762,0.63870716,9.50789,2.6779008,2,11,3,10,12.814376,,,770.641,,5250.0,0.0,-0.5,111,,,,12.0509815,0.021123607,8,,NOT_AVAILABLE,341.9311071141855,21.308640635623245,239.1498161610162,-8.856064437376842,False,False,0,True,True,False,False,False,True,True,False,1.02354316e-13,5.112546e-13,0.9999671,5097.933,5090.094,5105.0073,4.3952,4.3911,4.3991,-0.1141,-0.1221,-0.1055,321.9528,319.5461,324.2549,0.2585,0.2523,0.2644,0.207,0.2019,0.2118,0.11,0.1073,0.1126,MARCS,0.006963440947266552,IN,1
46,1636148068921376768,Gaia DR3 6210089575453779712,6210089575453779712,1596639344,2016.0,234.74872311478947,0.01581789,-28.608879848883287,0.012230093,1.7511269043245952,0.016732872,104.65191,21.235415,-21.043013447997758,0.020787155,-2.8520937086764917,0.016253887,-0.26395842,-0.28447896,-0.19138844,-0.20798004,-0.11436313,-0.26484382,0.39920926,0.010934143,-0.008615868,-0.38267824,216,8,216,0,-0.4857142,211.25555,0.0,0.0,31,False,1.5505997,,,,,,,,25,14,0.03134426,29,13,0,0.0113648,140.26898,0,0,0.97488236,,,,,,,,,False,235,102208.16855949521,25.204222,4055.2004,13.163652,29,54273.33762676807,40.530693,1339.0676,13.502076,25,68567.82057276988,33.571003,2042.4716,12.657595,1.2018722,0,1,0,0,0,0.84448147,0.33842373,0.50605774,-30.024755,2.9280596,2,13,6,12,9.109758,,,770.641,,5500.0,4.0,-0.75,111,,,,12.461459,0.038706765,7,,NOT_AVAILABLE,341.9205235894714,21.30373116985865,239.14779167902913,-8.866896075316237,False,False,0,True,True,False,False,False,True,True,False,1.0258483e-13,5.124061e-13,0.9999443,5693.3423,5656.6357,5714.4976,4.2861,4.2787,4.2919,-0.6049,-0.6436,-0.5811,560.1458,555.2782,565.5997,0.1157,0.0928,0.1294,0.0971,0.0778,0.1086,0.0525,0.0421,0.0588,MARCS,0.015280119077555672,IN,1
71,1636148068921376768,Gaia DR3 6210089609813519104,6210089609813519104,1398851842,2016.0,234.76106093424798,0.060115457,-28.596405780904863,0.052108176,12.525954765983805,0.064790264,193.33083,45.725437,-31.106059388845118,0.08893396,33.514602516561425,0.07187637,-0.36490756,-0.1874688,0.09116801,-0.19345056,-0.0877822,-0.2114665,0.44126865,0.06290796,-0.01130553,-0.40501478,215,0,215,0,52.006496,3838.639,0.4739729,155.22685,31,False,1.340597,,,,,,,,25,13,0.13622652,29,12,0,0.010922888,168.93758,0,0,4.413683,0.20955226,0.39703938,0.16858707,0.55981624,-138.03094,27.763239,-20.120775,-35.807674,False,237,94226.25581820145,28.30465,3329.0027,13.251937,28,26762.14414512959,34.841583,768.1093,14.26974,29,99956.77391393983,76.03586,1314.6005,12.248364,1.3448366,0,1,0,0,0,2.0213757,1.0178032,1.0035725,-15.374021,1.5414425,1,15,5,13,17.570227,1.6178823,0.09388384,770.641,13.554344,3900.0,4.5,0.0,101,18.620886,16.491667,6,11.795738,0.014988423,10,,NOT_AVAILABLE,341.93801845739733,21.306427771460807,239.15552169524634,-8.852246793467977,False,False,1,True,True,False,False,False,False,True,False,1.0202512e-11,5.0961034e-11,1.0000273e-06,,,,,,,,,,,,,,,,,,,,,,,0.011344124196819492,IN,1
64,1636148068921376768,Gaia DR3 6210089506734308736,6210089506734308736,1173766911,2016.0,234.75709841918146,0.02937508,-28.618237001121052,0.024245754,0.6879507973548955,0.03206121,21.457418,14.934512,-14.870990212624974,0.04291298,-1.3759741855983985,0.033002056,-0.24536885,-0.21044597,-0.10499672,-0.15027125,-0.07447348,-0.13248867,0.44860303,0.038332168,0.039088104,-0.230088,179,0,179,0,-0.4632343,170.89247,0.0,0.0,31,True,1.5408,,,,,,,,21,13,0.06157052,23,9,0,0.016285684,127.721146,0,0,0.9733719,0.2086077,0.34854192,0.12184585,0.553055,-148.78946,22.857258,-28.161749,-35.06379,False,187,20695.07486269008,6.892778,3002.4287,14.897699,19,10780.868448587651,14.663669,735.2095,15.256907,20,14271.879476863527,20.861506,684.1251,14.361692,1.2105657,0,0,0,0,0,0.89521503,0.3592081,0.5360069,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,341.92019527562735,21.291834914475043,239.1572298123912,-8.874288927554648,False,False,0,False,False,False,False,False,True,True,False,1.0230693e-13,5.110181e-13,0.9999718,5805.8135,5774.326,5835.973,3.7688,3.7415,3.8942,-0.5813,-0.6057,-0.5513,2168.4001,1775.0695,2248.5632,0.3135,0.2917,0.3317,0.2629,0.2443,0.2783,0.1425,0.1325,0.1511,MARCS,0.025756207194574502,IN,1
69,1636148068921376768,Gaia DR3 6210089506734302464,6210089506734302464,445610138,2016.0,234.7603416600042,0.035373386,-28.614746894913164,0.030563982,0.47913214705545726,0.039342105,12.178609,3.9368603,-3.886420227361645,0.051139534,-0.628177375888098,0.04089346,-0.29541573,-0.10785326,-0.06002077,-0.20137264,-0.18956159,-0.17242803,0.50703305,0.030540492,-0.017952306,-0.2575808,180,0,180,0,0.48470503,191.3313,0.0,0.0,31,False,1.5205383,,,,,,,,21,12,0.07466013,25,10,0,0.012587038,137.18716,0,0,1.0240996,0.18031546,0.38269398,0.20450647,0.510416,-122.60816,24.069923,-24.787354,-34.097805,False,198,14119.712125042885,5.9790764,2361.5205,15.312802,22,7045.564668962645,25.61268,275.08112,15.718753,20,10049.356582893857,18.96658,529.8455,14.74255,1.2107131,0,0,0,0,0,0.97620296,0.40595055,0.5702524,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,341.9249379208983,21.29270658823725,239.15921193549167,-8.870232912866639,False,False,0,False,False,False,False,False,True,True,False,1.02786527e-13,5.1341386e-13,0.9999243,5308.377,5276.678,5389.6636,4.2491,4.1643,4.3023,-0.3556,-0.4001,-0.2819,1425.128,1311.0823,1660.3315,0.1195,0.0954,0.1748,0.0978,0.078,0.1434,0.0524,0.0418,0.0769,MARCS,0.023547485690964504,IN,1
16,1636148068921376768,Gaia DR3 6210089781612194432,6210089781612194432,1106961611,2016.0,234.7292605041463,0.03819972,-28.597283019964625,0.031483103,0.7851169638634509,0.04330469,18.130068,16.317556,-11.342220236086611,0.050788343,-11.731013878036656,0.04409811,-0.25187495,-0.18957491,-0.10839824,-0.13936435,-0.2206822,-0.20755318,0.36496603,-0.047003947,-0.07316465,-0.44680932,239,0,238,1,-0.93522495,222.16599,0.0,0.0,31,False,1.5289315,,,,,,,,28,14,0.08023745,34,15,0,0.015186141,158.85562,0,0,0.9555814,0.22610171,0.3762203,0.23445527,0.59130454,-123.66971,27.821692,-17.222645,-34.779354,False,270,9095.621903472767,3.8525505,2360.935,15.790286,32,4608.88397840178,10.005337,460.64258,16.179552,31,6406.982545018845,12.9414215,495.07565,15.231261,1.2111175,0,0,0,1,0,0.9482908,0.389266,0.5590248,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,341.91433462774023,21.323560963505802,239.12824356182728,-8.859588113215423,False,False,0,True,False,False,False,False,True,True,False,1.0211062e-13,5.100421e-13,0.9999913,5455.5293,5424.1577,5494.0664,4.6464,4.6319,4.6602,-0.7788,-0.8235,-0.7352,906.0176,886.9012,926.9917,0.1815,0.161,0.207,0.1499,0.1328,0.1712,0.0812,0.0718,0.0927,MARCS,0.01732555166900571,IN,1
4,1636148068921376768,Gaia DR3 6210089403655071616,6210089403655071616,1511349219,2016.0,234.72170883532132,0.041877314,-28.614038880102996,0.04006594,0.15779596078266267,0.049512614,3.186985,11.962136,-3.071785307273076,0.06513256,-11.561005452640122,0.059169475,-0.3427176,-0.07287361,0.09454812,-0.26683447,-0.38437143,-0.41390938,0.58621776,0.16226198,-0.27881154,-0.5829304,230,0,227,3,-0.7733708,214.44449,0.0,0.0,31,False,1.4964005,,,,,,,,26,13,0.11158862,31,13,0,0.014519739,169.75687,1,0,0.96204025,0.21229604,0.39136466,0.25001404,0.5767118,-114.11258,28.010084,-18.88874,-34.740833,False,260,8232.109651556628,3.5108173,2344.7844,15.898589,27,3903.008230572701,18.4482,211.5658,16.360044,27,6224.712884066491,13.5085335,460.79855,15.262597,1.2302704,0,0,0,0,0,1.0974474,0.46145535,0.63599205,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,341.89738366558356,21.314880031065037,239.125660096865,-8.877426232248714,False,False,0,True,False,False,False,False,True,True,False,1.02159736e-13,5.1030463e-13,0.9999864,5486.206,5421.446,5550.914,3.7287,3.6653,3.7701,-0.6651,-0.7566,-0.5961,2708.348,2542.256,2902.8484,0.5754,0.5337,0.6183,0.4697,0.4349,0.5056,0.2549,0.2365,0.2745,MARCS,0.031188459334888015,IN,1
53,1636148068921376768,Gaia DR3 6210089609813518464,6210089609813518464,1174314059,2016.0,234.75267044616865,0.04907291,-28.605826312344135,0.040694337,0.6566341569055584,0.054062936,12.145736,4.0049314,-2.618269205323343,0.07241396,3.0305351371621554,0.057141524,-0.3205136,-0.095764756,-0.08549908,-0.2207329,-0.16788697,-0.24607635,0.45780188,-0.15541719,-0.033082273,-0.41950688,216,0,216,0,-0.7359234,204.20863,0.0,0.0,31,False,1.5171282,,,,,,,,25,14,0.11048138,29,13,0,0.009747131,129.22888,0,0,0.9628302,0.19721644,0.40691856,0.18603514,0.5544443,-134.14388,27.631197,-21.240818,-36.07522,False,236,6483.396458105438,3.645824,1778.3076,16.15786,25,3200.585374805063,15.8546,201.8711,16.575468,26,4616.580647982552,12.424559,371.569,15.587094,1.2057208,0,4,0,3,0,0.98837376,0.41760826,0.5707655,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,341.9254788451325,21.303872463439017,239.150484982415,-8.863120919830116,False,False,0,True,False,False,False,False,True,True,False,1.02275833e-13,5.108681e-13,0.9999749,5225.906,5180.969,5266.3755,4.5971,4.5805,4.6127,-0.2901,-0.338,-0.2442,1121.0012,1090.6074,1150.4034,0.0674,0.0346,0.0975,0.0549,0.0281,0.0795,0.0293,0.015,0.0425,MARCS,0.012751736255663903,IN,1
55,1636148068921376768,Gaia DR3 6210089919051165184,6210089919051165184,1587336981,2016.0,234.75345631332803,0.04972874,-28.57984299193269,0.042107508,0.9706461577077162,0.05477705,17.719942,13.092891,-11.181178214376482,0.066099234,-6.812124067558455,0.059041936,-0.33941096,-0.17121172,-0.021170598,-0.2235448,-0.15442315,-0.27766672,0.45480797,-0.09603931,-0.027641596,-0.50152594,226,0,226,0,-0.50399405,219.05644,0.0,0.0,31,False,1.4688334,,,,,,,,26,14,0.10821251,30,13,0,0.014129365,169.3621,0,0,0.9746277,0.23791197,0.41164222,0.19172604,0.5771443,-136.09798,30.265867,-17.3394,-35.89527,False,249,6027.632650519131,3.109507,1938.4528,16.237,28,2655.9524515528683,10.863491,244.48425,16.777992,29,4766.979887785488,10.659941,447.18634,15.552287,1.2314838,0,2,0,2,0,1.2257051,0.54099274,0.6847124,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,341.94384142009244,21.32344211537358,239.14505492995417,-8.837688232841925,False,False,0,True,False,False,False,False,True,True,False,1.0219287e-13,5.1047106e-13,0.99998313,4893.1826,4869.122,4918.139,4.5155,4.4942,4.534,-0.0225,-0.0543,0.0027,1056.3551,1021.544,1094.6414,0.2808,0.2572,0.3042,0.221,0.2022,0.2396,0.1168,0.1068,0.1267,MARCS,0.014418414891299363,IN,1
