,r_cntr,object_id,ngood,flags,smss_j,RA,DEC,e_raj2000,e_dej2000,mean_epoch,nimaflags,class_star,u_psf,e_u_psf,u_petro,e_u_petro,u_apc05,e_u_apc05,v_psf,e_v_psf,v_petro,e_v_petro,v_apc05,e_v_apc05,g_band,e_g_psf,g_petro,e_g_petro,g_apc05,e_g_apc05,r_band,e_r_psf,r_petro,e_r_petro,r_apc05,e_r_apc05,i_band,e_i_psf,i_petro,e_i_petro,i_apc05,e_i_apc05,z_band,e_z_psf,z_petro,e_z_petro,z_apc05,e_z_apc05,self_dist1,self_id1
57,39.77,266608088,1,3,181839.41-134617.4,274.66421,-13.771508,36,36,57498.754,0,0.576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.3819,0.2317,17.7564,0.1787,17.6462,0.1452,2.47,2374957635.0
58,39.81,266608117,12,1539,181840.88-134553.6,274.670384,-13.76489,36,36,57198.751,0,0.985,,,,,,,,,,,,,18.4745,,18.9498,,18.5951,,17.4527,,17.8576,,17.6493,,16.6816,0.0165,16.8902,0.0382,16.7248,0.0176,16.3023,0.0247,16.5274,0.0753,16.3437,0.0284,8.68,266608119.0
59,40.1,266608113,36,2,181840.26-134558.7,274.667783,-13.766344,36,80,57822.0043,0,0.987,,,,,,,18.2587,0.0376,18.2461,0.0926,18.2964,0.0367,16.1548,0.0094,16.217,0.0106,16.1562,0.0095,15.1971,0.008,15.2576,0.008,15.1941,0.0095,14.2841,0.0141,14.2987,0.0109,14.2929,0.0123,13.7471,0.023,13.739,0.017,13.7545,0.0189,7.06,2374957677.0
60,40.16,266605710,19,3,181843.83-134700.0,274.682637,-13.783331,54,36,57220.8352,0,0.983,,,,,,,18.5812,0.1868,18.5058,0.0945,18.6441,0.0721,16.7747,0.0266,16.6736,0.1093,16.7737,0.0222,16.0992,0.0185,16.1438,0.0915,16.1082,0.018,15.5771,0.0173,15.6262,0.0211,15.5804,0.0194,15.3009,0.0268,15.2417,0.0346,15.3075,0.022,5.96,266605708.0
61,40.4,266608132,26,3,181843.75-134558.8,274.682334,-13.766329,54,57,57731.4286,0,0.994,,,,,,,,,,,,,17.463,0.0209,17.3386,0.0549,17.4687,0.0217,16.4141,0.0179,16.4682,0.0299,16.4111,0.0201,15.3477,0.0117,15.3442,0.0209,15.351,0.0125,14.7966,0.02,14.8146,0.038,14.8027,0.0194,6.4,2374957696.0
62,40.47,2374957635,1,3,181839.42-134614.9,274.664255,-13.770824,36,36,57210.5575,0,0.611,,,,,,,,,,,,,,,,,,,,,,,,,15.8564,0.4384,16.2063,0.0325,17.1159,0.0354,,,,,,,1.63,266608089.0
63,41.52,266605688,6,2051,181840.08-134700.7,274.667031,-13.78355,36,36,57530.3483,10,1.0,15.7719,0.0418,15.7902,0.0464,15.7751,0.044,14.9532,0.0343,14.9565,0.0392,14.956,0.0361,13.8119,0.0225,13.8076,0.0199,13.8199,0.0216,13.3076,0.0235,13.3133,0.0213,13.3131,0.0245,12.9147,,12.8764,,12.899,,12.4682,0.0604,12.4233,0.0378,12.4696,0.046,3.28,266605687.0
64,41.69,266605687,30,2051,181839.94-134658.5,274.666327,-13.782948,238,108,57526.2844,2,0.983,14.295,0.2182,14.5607,0.0301,15.5815,0.0458,13.3046,0.1527,14.0262,0.0236,15.5268,0.0641,12.0421,0.1853,12.9269,0.0267,14.6402,0.0409,11.5425,0.1706,12.4007,0.028,14.2065,0.061,11.1151,0.1935,11.9532,0.0591,13.6416,0.0487,10.5583,0.1306,11.6746,0.0195,13.1404,0.0412,3.22,266605689.0
65,41.7,266608085,2,3,181839.18-134622.9,274.663243,-13.773054,93,36,57354.6557,0,0.976,,,,,,,,,,,,,,,,,,,,,,,,,18.2095,0.0342,18.2509,0.0586,18.1995,0.0452,17.4995,0.0863,18.1471,0.2053,18.0026,0.195,5.47,266608036.0
66,41.97,266608089,8,3,181839.33-134613.7,274.663923,-13.770507,36,57,57150.72,0,0.971,,,,,,,,,,,,,,,,,,,,,,,,,17.0798,0.0497,16.2496,0.2851,17.0691,0.0431,16.2464,0.0534,15.7535,0.2752,16.2872,0.0317,1.63,2374957635.0
