,r_cntr,object_id,ngood,flags,smss_j,RA,DEC,e_raj2000,e_dej2000,mean_epoch,nimaflags,class_star,u_psf,e_u_psf,u_petro,e_u_petro,u_apc05,e_u_apc05,v_psf,e_v_psf,v_petro,e_v_petro,v_apc05,e_v_apc05,g_band,e_g_psf,g_petro,e_g_petro,g_apc05,e_g_apc05,r_band,e_r_psf,r_petro,e_r_petro,r_apc05,e_r_apc05,i_band,e_i_psf,i_petro,e_i_petro,i_apc05,e_i_apc05,z_band,e_z_psf,z_petro,e_z_petro,z_apc05,e_z_apc05,self_dist1,self_id1
31,69.48,481595870,9,0,201300.66-565001.8,303.252779,-56.833852,37,51,58393.5828,0,0.588,,,,,,,,,,,,,20.2109,0.0804,20.155,0.0917,20.2103,0.0472,19.5951,0.1045,19.5498,0.0752,19.5999,0.0421,19.1029,0.0718,19.0513,0.0772,19.0348,0.0429,18.6548,0.1083,18.7985,0.0803,18.7058,0.0745,15.0,
32,71.2,481592714,28,3,201308.25-564814.9,303.284351,-56.804166,48,83,57797.9266,0,0.887,,,,,,,,,,,,,18.0611,0.0329,17.7041,0.0691,18.2177,0.1237,17.6495,0.0312,17.4231,0.0934,17.6333,0.0407,17.2484,0.0199,17.0559,0.0915,17.2184,0.0099,17.1896,0.0191,17.1179,0.0626,17.1547,0.0151,10.95,1585661498.0
33,77.11,481595913,16,0,201310.23-564845.8,303.29261,-56.812789,36,36,58212.893,0,0.972,,,,,,,,,,,,,19.36,0.0239,19.4037,0.1076,19.3919,0.0309,18.8175,0.0206,18.9063,0.091,18.8429,0.0241,18.4561,0.0159,18.668,0.0827,18.4883,0.0254,18.2983,0.0311,18.4808,0.1075,18.3311,0.0495,15.0,
34,78.17,1585661464,4,0,201252.71-564812.0,303.219592,-56.803392,36,49,58317.8088,0,0.546,,,,,,,,,,,,,20.3198,0.0337,20.4985,0.0884,20.3486,0.0527,20.0951,0.0341,20.3256,0.1489,20.1278,0.0822,19.7821,0.0512,20.5964,0.2972,19.9791,0.1364,,,,,,,10.47,481592690.0
35,78.87,481592690,29,0,201252.05-564821.1,303.216859,-56.805887,36,36,58093.0741,0,0.983,,,,,,,18.578,0.1279,18.4909,0.1491,18.655,0.1163,17.7363,0.0094,17.7684,0.0134,17.733,0.0111,17.4451,0.014,17.4693,0.0152,17.4373,0.0123,17.2672,0.0092,17.3176,0.0195,17.2666,0.0128,17.2062,0.0116,17.3053,0.0237,17.2128,0.0157,10.47,1585661464.0
36,79.55,1585661467,2,0,201254.07-564755.7,303.225244,-56.798839,140,36,58317.5416,0,0.567,,,,,,,,,,,,,,,,,,,20.4333,0.0423,20.7096,0.206,20.4585,0.11,19.6002,0.0256,19.7569,0.1375,19.672,0.1041,,,,,,,15.0,
37,79.92,1585666292,1,0,201304.46-565006.6,303.268535,-56.835202,36,36,58317.5438,0,0.486,,,,,,,,,,,,,,,,,,,,,,,,,19.9591,0.0375,20.1992,0.2084,19.9594,0.134,,,,,,,15.0,
38,84.76,481595909,42,0,201307.99-564953.6,303.283302,-56.831596,36,50,57989.4839,10,0.985,,,,,,,18.4888,0.0269,19.1407,0.1884,18.5411,0.0509,16.8705,0.015,16.8897,0.0211,16.8847,0.0156,16.459,0.0105,16.4644,0.0194,16.4554,0.0095,16.2061,0.0062,16.2085,0.0125,16.209,0.007,16.1114,0.0071,16.122,0.0184,16.1142,0.0092,15.0,
39,87.1,481595906,37,0,201306.67-565005.0,303.277828,-56.834801,36,36,57951.7883,0,0.983,,,,,,,18.5834,0.0336,18.9317,0.2421,18.5742,0.0603,17.6771,0.0138,17.6945,0.0185,17.6811,0.0109,17.4462,0.0114,17.4373,0.0191,17.4466,0.012,17.3317,0.008,17.381,0.0168,17.3266,0.0103,17.2993,0.0157,17.3785,0.0301,17.3159,0.0173,15.0,
40,87.41,481592689,45,0,201250.59-564829.6,303.210787,-56.808231,36,36,58121.8476,3,0.985,17.5517,0.0243,17.5974,0.0553,17.5565,0.025,17.1754,0.0204,17.2694,0.0756,17.2083,0.0304,16.2042,0.0084,16.2148,0.0142,16.2047,0.0085,15.9233,0.01,15.9384,0.0115,15.9234,0.0109,15.7635,0.0053,15.7796,0.0062,15.7641,0.0062,15.7106,0.0069,15.7419,0.0111,15.7121,0.0083,14.64,481592690.0
