,RA,DEC,x,y,e1,e2,res,sigmae,rkron,extendedness,blendedness,psf_used,e1_sdss,e2_sdss,e1_psf_sdss,e2_psf_sdss,e1_hsm,e2_hsm,e1_psf_hsm,e2_psf_hsm,i_e1_psf_sdss,i_e2_psf_sdss,u_psf_mag,u_psf_magerr,u_cmodel_mag,u_cmodel_magerr,g_psf_mag,g_psf_magerr,g_cmodel_mag,g_cmodel_magerr,r_psf_mag,r_psf_magerr,r_cmodel_mag,r_cmodel_magerr,i_psf_mag,i_psf_magerr,i_cmodel_mag,i_cmodel_magerr,z_psf_mag,z_psf_magerr,z_cmodel_mag,z_cmodel_magerr,Y_psf_mag,Y_psf_magerr,Y_cmodel_mag,Y_cmodel_magerr,idn,Weigth,in_field,mask
49,303.0459175,-56.8736774,24623.58454,23465.87164,-0.352983445,-0.187138528,0.830390453,0.008046149,8.107726097,1,0.385245453,0,-0.283126216,-0.132911152,-0.018902419,0.023596385,-0.281997979,-0.130940005,-0.018938152,0.023489362,0.008412796,0.040718152,23.96015426,0.092759323,23.16507256,0.088489988,22.92367702,0.012339391,21.6263843,0.009141939,22.24741891,0.00601885,20.93901336,0.004514198,22.09163421,0.006218589,20.42424968,0.004628783,21.84610859,0.009407898,20.12332135,0.006856483,21.87540905,0.028702614,19.89886071,0.020307602,1005757,5,IN,2
29,303.0889048,-56.85344158,24302.18523,23743.15534,0.054248031,0.241568387,0.378047794,0.023292312,13.69010639,1,0.0,0,0.010058099,0.113722529,-0.018117938,0.024602305,0.010153487,0.113617763,-0.018161038,0.024654234,0.006418432,0.04123594,24.18130083,0.113755321,24.01756031,0.113773885,23.34770177,0.017244824,23.07675383,0.016740259,22.17178672,0.005550663,21.88437548,0.00535282,21.3766905,0.003752315,21.03642104,0.00363009,20.98614246,0.004641142,20.69112713,0.004492293,20.87940393,0.012554529,20.56676239,0.01209324,984518,5,IN,2
19,303.0987473,-56.84283332,24235.8297,23893.96363,-0.078412622,0.023414588,0.993492067,0.011113147,53.93005371,1,0.983886589,0,0.000891526,0.072549036,-0.017641637,0.024723136,-0.074076876,0.036458805,-0.017683554,0.024774544,0.005855268,0.040773563,24.7003078,0.187887464,21.30880256,0.135045945,23.99098057,0.031017223,19.99986842,0.016884822,23.73167377,0.022492975,19.78777161,0.008522692,23.7570655,0.027671149,19.60904498,0.00941219,23.39496213,0.039207528,19.51412389,0.012259813,23.06919317,0.08572606,19.12764122,0.028910385,1007204,5,IN,2
16,303.1023452,-56.850138,24201.0109,23788.35889,0.166269451,0.27109459,0.742684245,0.004501778,5.484917164,1,0.442900762,0,0.113169147,0.175704284,-0.016409491,0.027100055,0.11502061,0.177288041,-0.016451951,0.02715865,0.006013825,0.040288033,23.13570064,0.04427277,22.60014307,0.04041025,22.57180844,0.008647788,21.78365136,0.00733316,21.32821444,0.002974205,20.51818984,0.002608485,20.92359769,0.003018268,19.98025788,0.00280062,20.51771294,0.003151254,19.6444724,0.002846072,20.46675652,0.008217098,19.55348146,0.007393717,1006968,5,IN,2
8,303.1139202,-56.82676405,24115.04041,24108.3996,0.24331902,-0.229818374,0.948128283,4.95e-05,18.23867798,1,0.248611202,0,0.200633605,-0.189087536,-0.01835392,0.03146767,0.200479135,-0.189007789,-0.018396707,0.031533442,0.009353072,0.046649653,19.21105655,0.004500132,16.35613977,0.004359326,18.06715682,0.002141352,15.0447704,0.00212337,17.20545255,0.001223959,14.15947753,0.001213877,16.93341291,0.002088218,13.71996463,0.002083896,16.50374901,0.001216428,13.43718632,0.001207993,16.38012421,0.000779603,13.23688994,0.000729767,1011400,5,IN,2
