,r_cntr,object_id,ngood,flags,smss_j,RA,DEC,e_raj2000,e_dej2000,mean_epoch,nimaflags,class_star,u_psf,e_u_psf,u_petro,e_u_petro,u_apc05,e_u_apc05,v_psf,e_v_psf,v_petro,e_v_petro,v_apc05,e_v_apc05,g_band,e_g_psf,g_petro,e_g_petro,g_apc05,e_g_apc05,r_band,e_r_psf,r_petro,e_r_petro,r_apc05,e_r_apc05,i_band,e_i_psf,i_petro,e_i_petro,i_apc05,e_i_apc05,z_band,e_z_psf,z_petro,e_z_petro,z_apc05,e_z_apc05,self_dist1,self_id1
29,106.28,108276034,3,0,135907.02-193059.5,209.779225,-19.516553,171,128,57628.5806,0,0.475,,,,,,,,,,,,,,,,,,,20.334,0.1148,20.1743,0.0899,20.4083,0.0783,,,,,,,,,,,,,15.0,
30,106.32,108276169,3,0,135912.79-192743.5,209.803293,-19.462135,47,36,58013.8751,0,0.518,,,,,,,,,,,,,,,,,,,20.7383,0.1436,20.6924,0.1805,20.7694,0.1533,19.7464,0.0361,19.8815,0.2389,19.7416,0.0815,,,,,,,15.0,
31,107.55,2175486576,0,1024,135917.90-192921.8,209.8246,-19.48939,36,36,57102.7717,0,0.645,,,,,,,,,,,,,,,,,,,17.0214,,19.1122,,18.4633,,,,,,,,,,,,,,12.15,108276172.0
32,107.83,108276167,31,0,135916.29-192817.0,209.817845,-19.47143,36,36,57642.774,2,0.979,,,,,,,,,,,,,19.0242,0.0137,19.0519,0.0231,19.0306,0.0134,18.7161,0.0114,18.7766,0.0238,18.7276,0.0165,18.5109,0.0176,18.5382,0.0377,18.5074,0.0169,18.4325,0.0376,18.4388,0.07,18.4692,0.0434,15.0,
33,107.91,108276120,3,0,135902.82-192945.2,209.761746,-19.49592,48,129,57500.6195,0,0.552,,,,,,,,,,,,,,,,,,,20.4332,0.2533,20.6247,0.1539,20.6942,0.144,19.9012,0.1637,19.5946,0.3268,19.5976,0.3549,,,,,,,10.17,108276121.0
34,108.13,1134184722,1,0,135915.24-192801.4,209.813512,-19.467083,36,36,57505.639,0,0.515,,,,,,,,,,,,,,,,,,,,,,,,,19.6875,0.2277,19.8459,0.1665,19.7591,0.1497,,,,,,,15.0,
35,108.54,108276171,33,0,135917.80-192946.9,209.824166,-19.496419,36,54,57583.4523,0,0.977,,,,,,,,,,,,,19.9476,0.0146,20.0337,0.0542,19.9469,0.0292,19.0203,0.0158,19.0672,0.0534,19.0297,0.0228,18.0348,0.0139,18.0804,0.0275,18.0445,0.0137,17.6872,0.025,17.8055,0.041,17.7096,0.0358,9.39,2175486562.0
36,108.54,108276075,1,0,135912.23-193109.0,209.800931,-19.519188,36,36,57505.6418,0,0.421,,,,,,,,,,,,,,,,,,,,,,,,,19.9085,0.1533,19.963,0.1735,19.8341,0.1486,,,,,,,11.96,108276079.0
37,114.03,108276124,2,0,135902.31-192908.7,209.759615,-19.485787,423,326,57895.5095,0,0.935,,,,,,,,,,,,,19.9212,0.0283,20.1515,0.1237,19.9548,0.0509,19.4911,0.0409,19.53,0.0887,19.4929,0.0508,,,,,,,,,,,,,15.0,
38,117.15,108276033,42,0,135904.07-193041.1,209.766958,-19.511453,39,44,57563.0399,3,0.982,,,,,,,18.9682,0.0332,19.3987,0.1892,19.0614,0.122,18.2567,0.0078,18.2735,0.0159,18.2562,0.0095,17.9608,0.0077,18.0016,0.026,17.9646,0.011,17.7591,0.0116,17.8228,0.0204,17.7639,0.011,17.6695,0.0169,17.7622,0.0673,17.6824,0.0229,15.0,
39,117.72,108276172,65,0,135918.62-192928.4,209.827578,-19.491261,36,36,57707.3436,7,0.989,17.9176,0.0219,17.9977,0.0574,17.946,0.031,17.579,0.0203,17.5648,0.05,17.5919,0.0238,16.1546,0.0045,16.1636,0.0049,16.1554,0.0048,15.7777,0.0048,15.791,0.0075,15.7785,0.0053,15.5653,0.0039,15.5809,0.0063,15.5657,0.0045,15.5025,0.0073,15.5405,0.0083,15.5024,0.0079,12.15,2175486576.0
40,119.24,108276168,3,0,135917.41-192819.6,209.822538,-19.472188,74,196,57883.918,0,0.494,,,,,,,,,,,,,,,,,,,,,,,,,19.8134,0.0579,19.8743,0.098,19.7748,0.0734,,,,,,,15.0,
