820,825,495,500
860,865,495,500
900,905,495,500
940,945,495,500
980,985,495,500
1020,1025,495,500
1060,1065,495,500
20,25,535,540
60,65,535,540
100,105,535,540
140,145,535,540
180,185,535,540
220,225,535,540
260,265,535,540
300,305,535,540
340,345,535,540
380,385,535,540
420,425,535,540
460,465,535,540
500,505,535,540
540,545,535,540
580,585,535,540
620,625,535,540
660,665,535,540
700,705,535,540
740,745,535,540
780,785,535,540
820,825,535,540
860,865,535,540
900,905,535,540
940,945,535,540
980,985,535,540
1020,1025,535,540
1060,1065,535,540
20,25,575,580
60,65,575,580
100,105,575,580
140,145,575,580
180,185,575,580
220,225,575,580
260,265,575,580
300,305,575,580
340,345,575,580
380,385,575,580
420,425,575,580
460,465,575,580
500,505,575,580
540,545,575,580
580,585,575,580
620,625,575,580
660,665,575,580
700,705,575,580
740,745,575,580
780,785,575,580
820,825,575,580
860,865,575,580
900,905,575,580
940,945,575,580
980,985,575,580
1020,1025,575,580
1060,1065,575,580
20,25,615,620
60,65,615,620
100,105,615,620
140,145,615,620
180,185,615,620
220,225,615,620
260,265,615,620
300,305,615,620
340,345,615,620
380,385,615,620
420,425,615,620
460,465,615,620
500,505,615,620
540,545,615,620
580,585,615,620
620,625,615,620
660,665,615,620
700,705,615,620
740,745,615,620
780,785,615,620
820,825,615,620
860,865,615,620
900,905,615,620
940,945,615,620
980,985,615,620
1020,1025,615,620
1060,1065,615,620
20,25,655,660
60,65,655,660
100,105,655,660
140,145,655,660
180,185,655,660
220,225,655,660
260,265,655,660
300,305,655,660
340,345,655,660
380,385,655,660
420,425,655,660
460,465,655,660
500,505,655,660
540,545,655,660
580,585,655,660
620,625,655,660
660,665,655,660
700,705,655,660
740,745,655,660
780,785,655,660
820,825,655,660
860,865,655,660
900,905,655,660
940,945,655,660
980,985,655,660
1020,1025,655,660
1060,1065,655,660
20,25,695,700
60,65,695,700
100,105,695,700
140,145,695,700
180,185,695,700
220,225,695,700
260,265,695,700
300,305,695,700
340,345,695,700
380,385,695,700
420,425,695,700
460,465,695,700
500,505,695,700
540,545,695,700
580,585,695,700
620,625,695,700
660,665,695,700
700,705,695,700
740,745,695,700
780,785,695,700
820,825,695,700
860,865,695,700
900,905,695,700
940,945,695,700
980,985,695,700
1020,1025,695,700
1060,1065,695,700
20,25,735,740
60,65,735,740
100,105,735,740
140,145,735,740
180,185,735,740
220,225,735,740
260,265,735,740
300,305,735,740
340,345,735,740
380,385,735,740
420,425,735,740
460,465,735,740
500,505,735,740
540,545,735,740
580,585,735,740
620,625,735,740
660,665,735,740
700,705,735,740
740,745,735,740
780,785,735,740
820,825,735,740
860,865,735,740
900,905,735,740
940,945,735,740
980,985,735,740
1020,1025,735,740
1060,1065,735,740
20,25,775,780
60,65,775,780
100,105,775,780
140,145,775,780
180,185,775,780
220,225,775,780
260,265,775,780
300,305,775,780
340,345,775,780
380,385,775,780
420,425,775,780
460,465,775,780
500,505,775,780
540,545,775,780
580,585,775,780
620,625,775,780
660,665,775,780
700,705,775,780
740,745,775,780
780,785,775,780
820,825,775,780
860,865,775,780
900,905,775,780
940,945,775,780
980,985,775,780
1020,1025,775,780
1060,1065,775,780
20,25,815,820
60,65,815,820
100,105,815,820
140,145,815,820
180,185,815,820
220,225,815,820
260,265,815,820
300,305,815,820
340,345,815,820
380,385,815,820
420,425,815,820
460,465,815,820
500,505,815,820
540,545,815,820
580,585,815,820
620,625,815,820
660,665,815,820
700,705,815,820
740,745,815,820
780,785,815,820
820,825,815,820
860,865,815,820
900,905,815,820
940,945,815,820
980,985,815,820
1020,1025,815,820
1060,1065,815,820
20,25,855,860
60,65,855,860
100,105,855,860
140,145,855,860
180,185,855,860
220,225,855,860
260,265,855,860
300,305,855,860
340,345,855,860
380,385,855,860
420,425,855,860
460,465,855,860
500,505,855,860
540,545,855,860
580,585,855,860
620,625,855,860
660,665,855,860
700,705,855,860
740,745,855,860
780,785,855,860
820,825,855,860
860,865,855,860
900,905,855,860
940,945,855,860
980,985,855,860
1020,1025,855,860
1060,1065,855,860
20,25,895,900
60,65,895,900
100,105,895,900
140,145,895,900
180,185,895,900
220,225,895,900
260,265,895,900
300,305,895,900
340,345,895,900
380,385,895,900
420,425,895,900
460,465,895,900
500,505,895,900
540,545,895,900
580,585,895,900
620,625,895,900
660,665,895,900
700,705,895,900
740,745,895,900
780,785,895,900
820,825,895,900
860,865,895,900
900,905,895,900
940,945,895,900
980,985,895,900
1020,1025,895,900
1060,1065,895,900
20,25,935,940
60,65,935,940
100,105,935,940
140,145,935,940
180,185,935,940
220,225,935,940
260,265,935,940
300,305,935,940
340,345,935,940
380,385,935,940
420,425,935,940
460,465,935,940
500,505,935,940
540,545,935,940
580,585,935,940
620,625,935,940
660,665,935,940
700,705,935,940
740,745,935,940
780,785,935,940
820,825,935,940
860,865,935,940
900,905,935,940
940,945,935,940
980,985,935,940
1020,1025,935,940
1060,1065,935,940
20,25,975,980
60,65,975,980
100,105,975,980
140,145,975,980
180,185,975,980
220,225,975,980
260,265,975,980
300,305,975,980
340,345,975,980
380,385,975,980
420,425,975,980
460,465,975,980
500,505,975,980
540,545,975,980
580,585,975,980
620,625,975,980
660,665,975,980
700,705,975,980
740,745,975,980
780,785,975,980
820,825,975,980
860,865,975,980
900,905,975,980
940,945,975,980
980,985,975,980
1020,1025,975,980
1060,1065,975,980
20,25,1015,1020
60,65,1015,1020
100,105,1015,1020
140,145,1015,1020
180,185,1015,1020
220,225,1015,1020
260,265,1015,1020
300,305,1015,1020
340,345,1015,1020
380,385,1015,1020
420,425,1015,1020
460,465,1015,1020
500,505,1015,1020
540,545,1015,1020
580,585,1015,1020
620,625,1015,1020
660,665,1015,1020
700,705,1015,1020
740,745,1015,1020
780,785,1015,1020
820,825,1015,1020
860,865,1015,1020
900,905,1015,1020
940,945,1015,1020
980,985,1015,1020
1020,1025,1015,1020
1060,1065,1015,1020
20,25,1055,1060
60,65,1055,1060
100,105,1055,1060
140,145,1055,1060
180,185,1055,1060
220,225,1055,1060
260,265,1055,1060
300,305,1055,1060
340,345,1055,1060
380,385,1055,1060
420,425,1055,1060
460,465,1055,1060
500,505,1055,1060
540,545,1055,1060
580,585,1055,1060
620,625,1055,1060
660,665,1055,1060
700,705,1055,1060
740,745,1055,1060
780,785,1055,1060
820,825,1055,1060
860,865,1055,1060
900,905,1055,1060
940,945,1055,1060
980,985,1055,1060
1020,1025,1055,1060
1060,1065,1055,1060
20,25,1095,1100
60,65,1095,1100
100,105,1095,1100
140,145,1095,1100
180,185,1095,1100
220,225,1095,1100
260,265,1095,1100
300,305,1095,1100
340,345,1095,1100
380,385,1095,1100
420,425,1095,1100
460,465,1095,1100
500,505,1095,1100
540,545,1095,1100
580,585,1095,1100
620,625,1095,1100
660,665,1095,1100
