ra,dec,x,y,e1,e2,res,sigmae,rkron,extendedness,blendedness,psf_used,e1_sdss,e2_sdss,e1_psf_sdss,e2_psf_sdss,e1_hsm,e2_hsm,e1_psf_hsm,e2_psf_hsm,i_e1_psf_sdss,i_e2_psf_sdss,u_psf_mag,u_psf_magerr,u_cmodel_mag,u_cmodel_magerr,g_psf_mag,g_psf_magerr,g_cmodel_mag,g_cmodel_magerr,r_psf_mag,r_psf_magerr,r_cmodel_mag,r_cmodel_magerr,i_psf_mag,i_psf_magerr,i_cmodel_mag,i_cmodel_magerr,z_psf_mag,z_psf_magerr,z_cmodel_mag,z_cmodel_magerr,Y_psf_mag,Y_psf_magerr,Y_cmodel_mag,Y_cmodel_magerr,idn
303.24948752803084,-56.84692138819152,23100.151081555578,23831.70628411638,nan,nan,nan,nan,2.69378399848938,1.0,nan,0.0,-0.019026146067776292,0.10959207218129896,-0.016808216638008477,0.03390138490099454,nan,nan,-0.016849450767040187,0.03397463634610178,0.0026630706458973127,0.043171024585838665,22.97397182759965,0.1647701881653193,16.68954852924164,0.004795521162808485,20.86290849731057,0.10945322688516475,18.78457271988735,0.0217105125604826,19.815458632345877,0.0055327133287401305,17.77822920461587,0.003229181577579945,23.21195313999493,0.4536638880505185,17.692933404624327,0.004038270333126945,19.915798827895227,0.012733552042212236,17.238725510185546,0.004311658685339908,19.839024451238004,0.015191226682338788,15.900953540613658,0.0039040338331359082,774312
303.2498907270257,-56.84439443138529,23097.071939359736,23866.29047294096,-0.018457209691405296,0.04771476984024048,0.45079177618026733,0.0022775111719965935,5.283572196960449,1.0,0.5605561814472376,0.0,-0.014933770336895023,0.039749842745406175,-0.016375021811784688,0.034028179674777656,-0.01497704815119504,0.039975501596927566,-0.016415258869528795,0.03410048782825451,0.0026417597312141275,0.041179308756178375,21.854128911885567,0.012452944328581135,21.326191038429748,0.011545671889889206,21.481794567227194,0.004630857762172151,20.874924871412713,0.004305766947801285,20.01727085996426,0.0016529332634460773,19.42688398308102,0.0015937137567429054,19.036042229043197,0.002148484440566448,18.368038879961745,0.0021356456288147666,19.13887109834982,0.0015694805764613939,18.54808372587144,0.0015301749917399875,19.541749264071196,0.003894880477830288,18.898565076389723,0.003615474741185225,774315
303.2233891479932,-56.835668354504975,23295.306283461374,23986.045651263317,-0.6176692247390747,-0.20578749477863312,0.6774781942367554,0.005236930679529905,6.1102800369262695,1.0,0.5171938104700906,0.0,-0.37019414393017624,-0.10878615379274548,-0.015729879488804343,0.031531980094520524,-0.3695915341377258,-0.10911824554204945,-0.015767972916364722,0.03159861266613004,0.007138041192596235,0.04804873674342741,25.08439302581401,0.21718268285643683,24.567606830872116,0.24132041287751538,22.690969922899832,0.01100086967912,21.702809796322132,0.009766957072041307,21.4379059158039,0.003226028647265815,20.511592819527994,0.00285882218058818,20.942056214649032,0.0031061084515113697,19.91435707216578,0.002812270030751621,20.662056563766633,0.0035376961636065215,19.708444135295668,0.003079880996957158,20.710173184650152,0.010148766091555102,19.655772845026803,0.008672844615224268,774340
303.2670564783961,-56.85087692622388,22968.74559019925,23777.261168283098,1.1624268293380737,0.2255696803331375,0.14602595567703247,0.03913592919707298,3.2304158210754395,1.0,0.2638098440411326,0.0,0.10107060145233632,0.05384884283365166,-0.01800241051631242,0.034438426687576615,0.10320252180099508,0.05468667298555381,-0.01804390363395207,0.03450975939631461,0.0033120710612711485,0.0417745896275044,25.845106511332038,0.454769065976759,25.717328613897426,0.46748471152303533,24.24060440677,0.039292615528322354,23.918371985640977,0.03979446966501589,21.73586517109082,0.003999061989678725,21.40101237145377,0.003979546232272002,21.094885812026586,0.003240712130446318,20.672479824230834,0.0031714779550955645,20.897991472938998,0.00431685945666333,20.504518556694908,0.004174906607279093,21.5165580678217,0.021663319528560637,21.120472028977098,0.021246510706878937,774351
303.2509942088744,-56.849469218437314,23088.934352358534,23796.811157784083,-0.09137024730443954,0.13393019139766693,0.7922928333282471,0.011128947138786316,14.052274703979492,1.0,0.8206771797557382,0.0,-0.07828091412035675,0.10004030938499249,-0.015278719439726033,0.0363602402119469,-0.08232822269201293,0.09909595549106587,-0.01526938751339923,0.03637539222836495,0.0026786376205555134,0.04062500307723646,25.82815078787506,0.4470543586822168,24.255916022756796,0.571697961780144,23.277427687979344,0.017120549392086022,20.542127628922756,0.009133268903777586,22.690447778643378,0.009281072575000776,20.349558817206383,0.007031515213462244,22.161769603665324,0.0067822798023785495,19.80959032508328,0.0058195714771068,22.122828434291936,0.0126990303922161,19.686059260116764,0.009157094685938972,21.991708946945952,0.0324885809375124,19.075195619905312,0.015544139259472567,774368
303.23379264809694,-56.84854408941357,23217.795005448075,23809.812247959602,nan,nan,nan,nan,5.336869716644287,1.0,nan,0.0,-0.24962540925545657,-2.2463035001849656,-0.016477369609608626,0.02947404333708092,nan,nan,-0.014805505983531392,0.031846296042203806,0.003167618725903602,0.04177550859517228,25.64664007662724,0.37311602312463754,24.334443963018636,0.4486774705609298,23.06089192402942,0.014727855051618008,20.719945710670824,0.0083302807019705,22.61797817620387,0.008913956567337778,20.59931475579335,0.0067131487627373415,21.94100836957048,0.00577247480044792,19.828398855853802,0.004626352383535008,21.99675855387785,0.01178651941861278,19.87656918809017,0.00834543408556277,21.51588590194393,0.0212980536726188,19.02117744609916,0.01086581750205965,774370
303.18326314133185,-56.85296148226648,23595.95724034287,23749.65813698834,0.3702419102191925,0.5991048812866211,0.9055361747741699,0.015606355853378773,5.574620723724365,1.0,0.5919636040139467,0.0,0.32102115178137064,0.5273510528770107,-0.015354804456136755,0.031514609527711235,0.32117733359336853,0.5277880430221558,-0.015395438298583015,0.03158213570714001,0.003661633337071738,0.04214666642836321,23.281184548720365,0.03985391558462539,22.336626255896167,0.03938031612130645,23.11041250391411,0.013640350302853349,21.5746863570145,0.009565607068314939,23.16067692939603,0.013007572826969363,21.502549540684086,0.008250540931935137,23.138924469438017,0.016225458267413673,nan,nan,23.03611897868262,0.02952813355708057,21.179601366619845,0.019065823638798596,24.24315224371595,0.2573038650259447,23.411795925872102,0.36158624199249867,774378
303.22582575094543,-56.83658391295802,23277.078582549155,23973.48792351482,0.32852494716644287,0.8384431600570679,0.7025678157806396,0.10661081224679947,11.527692794799805,1.0,0.862509470017935,0.0,0.1911353573626804,0.5229408303654334,-0.015779665957026973,0.03154142738235667,0.19382289052009585,0.5229675769805909,-0.015817685052752484,0.03160814940929412,0.0061671948430589724,0.04479319868987046,27.821096255420084,2.707069839714346,25.280528927115228,1.529270848150378,25.5306797043721,0.1351454401317125,22.435958384060655,0.05608876706091617,24.82360291613694,0.06000181445917571,21.983911030866857,0.041153263301155395,23.968552529140137,0.03355795497089652,21.111774188315948,0.029024594654965583,23.875742275038622,0.0605952310946957,21.12114893909019,0.052068470715738314,24.891314460656446,0.4712216157004719,22.480663715654536,0.5185811905009217,774458
303.1934555937348,-56.851717923258335,23519.655175524866,23766.61452302383,0.49770021438598633,-0.43401849269866943,0.689685583114624,0.0051076277159154415,4.421701908111572,1.0,0.0055220471243838665,0.0,0.3149186364969588,-0.2695911045312479,-0.015426371681367033,0.032857249963374996,0.3171633780002594,-0.2692543566226959,-0.015467691235244283,0.03292796015739453,0.0036891140795849995,0.041730469448720796,21.991858959794165,0.013114573794537194,21.489668845195187,0.012314677178533906,21.499621998122038,0.0036748342423174683,20.791630952187255,0.003338117268553887,21.376019358696837,0.002915464204663997,20.64055223844289,0.002561863607958873,21.25044039450802,0.0035480058211112644,20.40516445038231,0.0031739795670925534,21.219095963704735,0.005630961651176025,20.465791568053653,0.004887932570075737,21.25315262671315,0.016456872966641174,20.48478988163802,0.01432965841585261,778751
303.18510540053734,-56.84416997070085,23582.06711294724,23869.986582859463,0.03463213890790939,-0.0983026921749115,0.57254558801651,0.01779436320066452,16.84749984741211,1.0,0.0006502888102635218,0.0,0.011896783256651604,-0.03946847648341678,-0.015005935426423962,0.031363108852639064,0.009918466210365247,-0.039180230349302306,-0.0150464354082942,0.03142981976270671,0.003503948292835668,0.04246663280390095,24.612285233048134,0.14195581227756582,24.3437350193408,0.14754963923692488,23.075556282050165,0.01381130550156115,22.57174080321498,0.012873672140066395,22.411080910372895,0.006767451289289933,21.873780430883745,0.006199241826262156,22.250418693610843,0.00744327673779678,21.605643988774027,0.00668405793609126,22.080360804252464,0.012110520397757903,21.52819893320149,0.011110846617278536,22.339617094603675,0.0435730856132349,21.76895629491694,0.04025444275952234,779181
