,RA,DEC,x,y,e1,e2,res,sigmae,rkron,extendedness,blendedness,psf_used,e1_sdss,e2_sdss,e1_psf_sdss,e2_psf_sdss,e1_hsm,e2_hsm,e1_psf_hsm,e2_psf_hsm,i_e1_psf_sdss,i_e2_psf_sdss,u_psf_mag,u_psf_magerr,u_cmodel_mag,u_cmodel_magerr,g_psf_mag,g_psf_magerr,g_cmodel_mag,g_cmodel_magerr,r_psf_mag,r_psf_magerr,r_cmodel_mag,r_cmodel_magerr,i_psf_mag,i_psf_magerr,i_cmodel_mag,i_cmodel_magerr,z_psf_mag,z_psf_magerr,z_cmodel_mag,z_cmodel_magerr,Y_psf_mag,Y_psf_magerr,Y_cmodel_mag,Y_cmodel_magerr,idn,Weigth,in_field,mask
58,302.9744713,-56.74591308,25161.99128,25213.80403,-0.122542664,-0.057073873,0.680045307,0.207162321,11.27093124,1,0.00255437,0,-0.029842925,0.139689123,-0.015047792,0.042582842,-0.085923918,-0.02787447,-0.015077573,0.042509466,0.00523614,0.039858852,25.50937152,0.437993094,23.45994925,0.665379469,25.26372445,0.092859413,22.20846351,0.067468989,25.1283342,0.088467704,21.96982607,0.052341762,25.24022521,0.113156722,21.8308068,0.051135602,24.78458716,0.154298028,21.44911405,0.061031071,26.56745122,2.560682708,21.03353274,0.134900095,1008879,6,IN,0
57,302.9755225,-56.75912744,25153.69483,25032.94071,0.83731705,0.123988353,0.960089684,0.043019343,25.54500389,1,0.631725063,0,0.047563115,-0.030433674,-0.015364149,0.044409547,0.780139327,0.095662937,-0.015363925,0.044434328,0.003241362,0.040878345,24.67895333,0.210221179,21.08920981,0.301280808,25.01729978,0.077329816,20.99978921,0.043089142,24.22977118,0.035859773,19.35593431,0.01831457,24.28118354,0.051240043,19.16343007,0.021052764,24.26412372,0.098678901,19.70563681,0.036329484,24.09582308,0.255867161,18.7186374,0.044201046,1016879,6,IN,0
56,302.97755,-56.75699784,25138.54604,25062.12514,0.073699623,-0.775436938,0.52606374,0.141939625,8.685098648,1,0.0,0,0.000877737,-0.020653402,-0.01543101,0.044162631,0.022700273,-0.279146641,-0.015424285,0.044190109,0.003188366,0.041092961,25.70406427,0.56487143,24.95505275,3.016795836,24.8601506,0.067602619,21.84920807,0.056938321,24.53917943,0.050471084,21.41619225,0.036009988,24.54155635,0.064207608,21.4207678,0.038177753,24.01497519,0.079278361,20.99747517,0.053188618,23.7077758,0.176708267,20.76149721,0.117848391,1008777,6,IN,0
53,302.9794685,-56.76831414,25123.81068,24907.25691,-0.08595562,0.196738705,0.781003296,0.111308903,13.69464302,1,0.016659844,0,0.025873369,-0.020612927,-0.016294313,0.037044739,-0.071380377,0.148429334,-0.01633732,0.037115283,0.004716469,0.039969986,,452.7764845,25.01972521,2.943037232,25.34002138,0.099033708,21.94016756,0.07532465,24.89018244,0.066838039,21.22032249,0.040196731,24.28072654,0.04826944,20.57259923,0.033118528,24.29123791,0.098282444,20.5214827,0.052151213,24.51347498,0.370988681,20.58166504,0.149345614,1015981,6,IN,0
50,302.9814725,-56.75617902,25108.61638,25073.96781,0.016219044,0.203667209,0.642353177,0.099906169,11.24756527,1,0.212459802,0,0.009237727,-0.008170435,-0.015056836,0.044513364,0.002988186,0.129771829,-0.015056852,0.044538114,0.003232761,0.041131476,25.4108295,0.428243442,23.42004832,0.505325335,24.88270879,0.070090714,22.2224258,0.053326823,24.4903805,0.048251589,21.73763649,0.032798501,24.34365064,0.053041174,21.45873857,0.035087714,24.03433285,0.080455154,21.17401478,0.046979596,24.10889591,0.249558756,20.97969655,0.108716127,1017175,6,IN,0
46,302.9837506,-56.76389177,25091.81797,24967.86044,0.314715177,0.49415198,0.572446406,0.005841788,4.101620197,1,0.183160262,0,0.161989817,0.288131761,-0.014146036,0.041049919,0.162491709,0.288256407,-0.014183901,0.041132115,0.004941604,0.041557822,22.57474108,0.027783454,21.9348641,0.025772586,21.87089995,0.004856989,21.36077159,0.004455614,21.17064944,0.002754143,20.65587903,0.002543535,20.86229866,0.003042374,20.28052689,0.00288201,20.62611884,0.003689208,20.11319136,0.003438502,20.45716402,0.008925179,19.92146621,0.00819014,1016132,6,IN,0
44,302.9882426,-56.77213529,25057.88428,24855.09201,-0.399244279,-0.313168824,0.855162978,0.093370989,16.86196899,1,0.131028414,0,0.067858176,-0.128450889,-0.018404692,0.035477486,-0.340178162,-0.228906348,-0.017814096,0.034931332,0.005251336,0.040323364,25.45692102,0.396022797,22.30097632,0.597458834,25.04120462,0.074084327,20.90251071,0.053689495,24.82240903,0.061331869,20.60741922,0.033264528,24.93846742,0.08382922,20.60239934,0.033432672,24.62523929,0.123766258,20.23633598,0.042944051,24.37365511,0.325996721,19.85464987,0.099138876,1015791,6,IN,0
42,302.9893829,-56.77935923,25049.12917,24756.22673,0.249469131,0.5671767,0.800384045,0.005646987,6.776762486,1,0.062826947,0,0.178295128,0.421026564,-0.016354808,0.031521187,0.178436279,0.421101302,-0.016396308,0.03158205,0.004984084,0.037478811,23.49329497,0.06299139,22.80472845,0.059678125,22.46811475,0.007410692,21.28936564,0.006095838,21.81886707,0.004030864,20.56197323,0.003256741,21.61782317,0.004435055,20.25791808,0.003644355,21.37666895,0.006483505,20.07170943,0.00516736,21.38183163,0.019954524,20.03912101,0.015732908,1015422,6,IN,0
41,302.9911733,-56.76232859,25036.17313,24989.37303,-0.297561884,0.022401577,0.996688962,0.00332123,80.73419952,1,0.932955057,0,-0.249293059,-0.031012952,-0.017291491,0.038362207,-0.294079304,0.021471342,-0.017467532,0.038334683,0.004788318,0.042506593,22.66143329,0.030271224,19.4054343,0.039765864,21.96699506,0.005127134,17.85917119,0.004061907,21.63866966,0.003990887,17.3268245,0.002413686,21.54739082,0.004403345,17.09414475,0.002855746,21.41267272,0.007148533,16.9527524,0.00305975,21.3623781,0.021028214,16.69481952,0.006521251,1016144,6,IN,0
40,302.9940491,-56.78425176,25014.00294,24689.32708,0.133793697,-0.392251313,0.519346714,0.008455757,3.77031374,1,0.013569197,0,0.05405188,-0.17060721,-0.016847592,0.031243483,0.053906441,-0.170295864,-0.016888937,0.031301163,0.005148324,0.035810854,22.75772653,0.032171441,22.2544016,0.031004421,22.38883278,0.006827274,21.96231955,0.006434787,21.54883787,0.003316172,21.05882235,0.003107184,21.2902442,0.003580244,20.71707362,0.003395064,20.97426096,0.004756313,20.45359033,0.004488747,20.79989385,0.011432648,20.24541327,0.010664232,1014530,6,IN,0
