,RA,DEC,x,y,e1,e2,res,sigmae,rkron,extendedness,blendedness,psf_used,e1_sdss,e2_sdss,e1_psf_sdss,e2_psf_sdss,e1_hsm,e2_hsm,e1_psf_hsm,e2_psf_hsm,i_e1_psf_sdss,i_e2_psf_sdss,u_psf_mag,u_psf_magerr,u_cmodel_mag,u_cmodel_magerr,g_psf_mag,g_psf_magerr,g_cmodel_mag,g_cmodel_magerr,r_psf_mag,r_psf_magerr,r_cmodel_mag,r_cmodel_magerr,i_psf_mag,i_psf_magerr,i_cmodel_mag,i_cmodel_magerr,z_psf_mag,z_psf_magerr,z_cmodel_mag,z_cmodel_magerr,Y_psf_mag,Y_psf_magerr,Y_cmodel_mag,Y_cmodel_magerr,idn,Weigth,in_field,mask
55,302.9786953,-56.75527436,25129.95045,25085.55928,0.852885902,-0.059123859,0.506462336,0.228236482,8.709470749,1,0.019930963,0,0.00869161,0.012320746,-0.014440235,0.043720679,0.421627969,-0.001022499,-0.01443041,0.04374408,0.003297341,0.041088578,,161.9930211,,0.87580713,25.48326269,0.120185703,21.59821307,0.070221008,24.88936906,0.070198176,21.37829647,0.038804635,24.71534361,0.075214248,21.0150616,0.040178156,24.91701033,0.181453426,21.10243277,0.087378826,24.98612607,0.573346608,21.14569136,0.209505257,1017214,6,IN,2
52,302.9806827,-56.75647262,25115.05502,25069.36604,-0.070185758,0.01237407,0.664375663,0.068465762,11.01776886,1,0.131551833,0,-0.032091619,0.024473781,-0.015401512,0.044167851,-0.040297262,0.03763628,-0.015393326,0.044195239,0.003220371,0.041120144,26.40050587,1.068171551,24.78250067,1.203014776,25.35111324,0.107203613,23.03502697,0.077981428,24.1515089,0.035449924,21.89950442,0.028463325,24.05909569,0.04109609,21.66588547,0.031477426,23.83816302,0.067422665,21.47205771,0.049589638,23.84194547,0.195399738,21.43638379,0.140562459,1017174,6,IN,2
48,302.9835457,-56.75372262,25093.6519,25107.05478,-0.05017158,-0.463950574,0.72377485,0.060925867,11.95293903,1,0.002259559,0,-0.027396858,-0.031799562,-0.015337511,0.042399059,-0.021916173,-0.201698482,-0.015354047,0.042399827,0.003409458,0.041871267,25.2856488,0.377476831,22.61092578,0.305391335,24.4001005,0.045051359,21.54677557,0.039562171,24.11839291,0.034559251,21.0862056,0.025851119,23.86789346,0.034188267,20.72681093,0.024593021,23.52921224,0.050266842,20.50841432,0.036404817,23.12107014,0.10223491,20.2474523,0.065398499,1008800,6,IN,2
28,303.0177495,-56.7411251,24837.25346,25279.97498,0.446361035,0.486840993,0.645033836,0.006105391,5.152493477,1,0.115573589,0,0.239072174,0.285890093,-0.017077603,0.035703667,0.239992067,0.28580609,-0.01709657,0.035692006,0.005630379,0.036553563,23.06503995,0.043651217,22.59810741,0.041096839,22.0391842,0.005450852,21.21889361,0.005005518,21.4513582,0.003394153,20.58974347,0.003054205,21.2340659,0.003624757,20.2789797,0.003316911,21.04330924,0.005261003,20.14913891,0.00469783,21.04118543,0.014775769,20.16635104,0.012947308,1017953,6,IN,2
17,303.0306347,-56.74578268,24740.43318,25216.36949,-0.317401737,0.031104047,0.53811115,0.00848804,4.597520828,1,0.000839375,0,-0.160502115,0.035854889,-0.016349673,0.038068067,-0.160452396,0.03597467,-0.016385512,0.038135763,0.007167237,0.039015016,22.90498258,0.039338431,22.5264435,0.038062497,22.12927063,0.005737011,21.58497858,0.005367508,21.53434152,0.003454079,20.97536928,0.003229592,21.2897777,0.003605086,20.65292903,0.003410619,21.12516234,0.005533959,20.56111436,0.005165304,21.13410068,0.016002381,20.47677613,0.014979726,1017863,6,IN,2
